POA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA3000,21548,21539,43084,347,345,697,388,376,767,773,950,1726,5009,5819,10827,8888,8779,17665,3240,2670,5909,1333,1133,2466,867,822,1688,482,473,956,183,136,323,40,36,73,20875,20811,41689,673,727,1397,87,63,149,0,0,3,5,0,7,92,64,158,5355,4120,9475,14142,15517,29660,7433,5590,13028,12013,13999,26009,8073,6638,14713,72,79,155,335,307,644,608,771,1380,3218,3812,7030,3033,3710,6741,16734,17205,33940,820,731,1549,602,454,1054,216,167,389,150,131,287,155,171,322,18338,18650,36985,4327,3590,7916
POA3002,2353,2545,4896,59,53,110,87,91,176,40,56,92,130,153,275,565,577,1144,397,386,786,255,297,552,308,351,663,299,349,651,172,150,324,39,84,119,2213,2395,4607,137,150,292,6,0,13,0,0,0,0,0,0,8,0,12,1590,1698,3291,639,710,1348,1905,2026,3933,307,382,689,1939,2103,4045,16,11,31,80,84,165,38,48,85,72,78,149,122,196,314,1791,1937,3727,127,147,278,92,109,205,25,28,47,20,28,49,6,4,9,2060,2235,4297,538,519,1058
POA3003,4093,3926,8025,118,137,250,167,167,336,117,117,227,523,583,1098,1655,1588,3248,761,617,1377,372,329,697,223,209,435,117,125,245,45,47,91,5,12,15,3941,3775,7719,152,151,304,40,24,63,4,0,8,5,0,3,43,26,69,1815,1520,3337,2081,2209,4294,2026,1806,3826,1690,1919,3610,2253,2115,4366,32,35,67,161,158,314,93,104,193,299,351,651,510,568,1078,3006,3031,6038,207,176,383,240,120,365,47,38,85,32,38,71,17,24,38,3650,3651,7304,424,206,630
POA3004,5655,5827,11482,168,193,362,224,223,448,101,105,205,359,358,711,1574,1789,3363,1152,1004,2155,630,596,1224,507,562,1071,489,551,1042,342,316,659,109,136,242,5427,5570,10999,233,254,486,19,22,40,0,0,0,5,0,5,23,22,45,2535,2525,5064,2582,2786,5366,3347,3270,6620,1771,2035,3809,3582,3525,7103,46,54,100,202,199,409,80,90,169,157,185,345,379,518,896,4066,4215,8281,303,318,621,236,223,464,68,67,143,30,29,60,19,21,40,4891,5089,9983,1256,991,2251
POA3006,11499,11197,22699,365,332,702,333,326,657,202,257,458,1341,1517,2861,4744,4696,9434,2322,1905,4225,907,841,1748,646,675,1322,420,451,868,184,176,358,34,26,65,11109,10803,21914,390,394,784,59,33,91,0,0,4,0,0,3,59,36,97,4157,3407,7566,6704,7179,13883,5622,4671,10294,5184,5882,11068,6114,5348,11460,90,72,164,299,287,591,175,220,392,742,831,1571,1318,1535,2853,8979,8876,17855,579,552,1128,395,286,686,100,94,194,50,58,108,55,58,110,10679,10386,21065,993,863,1856
POA3008,8037,7458,15495,359,328,695,266,252,513,118,124,248,770,796,1564,3083,2952,6036,1601,1290,2891,733,664,1397,604,600,1204,375,322,695,107,104,207,22,26,42,7790,7226,15016,245,231,477,26,18,44,0,0,6,0,4,3,34,20,50,2597,2007,4607,4750,4782,9536,3251,2553,5807,4060,4200,8256,3819,3169,6983,84,72,151,244,207,452,100,107,207,454,476,929,691,861,1550,5865,5502,11366,359,314,677,308,234,546,97,81,174,35,47,83,61,57,116,7216,6677,13892,871,778,1649
POA3011,11361,10913,22278,592,567,1156,819,748,1575,324,304,624,866,817,1681,3107,3089,6195,2209,1978,4188,1304,1235,2538,1013,977,1993,666,570,1240,319,387,703,150,239,390,10983,10559,21546,371,352,728,78,71,153,3,3,5,0,4,4,80,82,164,6311,6032,12342,4276,4237,8512,6686,6323,13012,3865,3919,7779,8505,8308,16807,157,159,317,763,715,1471,267,248,519,457,450,914,938,1109,2047,7173,7083,14255,596,457,1055,593,503,1097,250,204,455,314,419,734,156,210,367,10135,9877,20017,1134,932,2063
POA3012,13593,13423,27023,870,845,1716,1545,1318,2864,535,529,1068,805,760,1562,3156,2908,6061,2480,2479,4963,1718,1729,3452,1228,1241,2469,697,826,1525,379,488,873,179,300,479,13246,13057,26306,352,367,712,110,105,214,9,5,9,0,0,6,122,108,227,7861,7882,15739,4991,4942,9930,7887,7729,15616,4902,5030,9931,10642,10950,21594,260,276,535,1431,1250,2685,453,462,910,378,357,735,799,966,1765,7683,7905,15590,797,708,1505,923,716,1638,370,374,744,442,594,1030,172,238,410,12665,12609,25268,814,647,1462
POA3013,7603,8038,15636,550,504,1050,981,963,1946,345,334,682,365,367,727,1274,1380,2654,1412,1492,2901,1168,1219,2386,773,836,1611,416,450,870,214,297,511,109,184,300,7394,7792,15186,207,246,452,72,53,128,0,0,0,0,0,0,75,59,129,5531,5726,11258,1805,2047,3851,5869,6062,11933,1437,1697,3129,6678,7087,13764,172,168,343,937,935,1870,295,309,600,177,173,350,333,460,793,4336,4889,9219,486,397,882,518,392,911,207,209,415,232,329,560,54,97,152,7239,7652,14889,265,268,534
POA3015,9144,9492,18634,779,684,1459,1276,1280,2561,450,426,877,411,378,793,1188,1284,2472,1670,1814,3486,1377,1482,2860,1035,1018,2053,559,619,1180,275,309,589,120,198,320,8884,9239,18119,268,250,515,68,41,109,0,4,6,5,0,4,74,50,119,6751,6899,13653,2073,2303,4377,7242,7304,14546,1562,1885,3449,8033,8369,16402,257,264,512,1229,1234,2466,381,366,754,202,183,386,341,495,831,4818,5508,10323,737,575,1309,673,502,1171,258,215,482,209,276,485,56,87,144,8667,9035,17704,346,349,695
POA3016,7891,8141,16025,348,297,647,1130,1033,2168,577,475,1049,471,377,849,603,689,1297,890,1035,1921,1238,1420,2658,1238,1278,2516,892,906,1796,384,435,821,110,191,303,7580,7846,15421,310,296,602,51,46,97,3,5,9,0,0,0,61,50,108,5909,5922,11835,1730,1933,3665,6548,6535,13085,1083,1323,2406,7140,7297,14439,128,96,219,1102,997,2100,510,414,923,241,246,486,203,369,575,4277,4705,8984,683,658,1344,687,608,1296,294,267,557,205,225,429,27,48,81,7449,7696,15151,346,325,669
POA3018,6470,7084,13556,409,374,782,799,800,1600,252,318,575,270,260,530,698,872,1569,1094,1143,2238,987,1027,2016,794,810,1602,622,750,1370,408,474,887,145,252,398,6286,6884,13171,187,200,387,35,43,79,0,0,0,0,0,0,35,43,79,4440,4749,9197,1742,2043,3784,4993,5351,10338,1185,1441,2619,5551,6048,11595,135,115,252,756,763,1516,205,282,491,135,127,259,176,342,519,3029,3647,6675,657,597,1259,728,641,1364,289,332,628,234,344,576,45,45,86,6120,6746,12861,262,242,503
POA3019,4927,4753,9682,277,242,521,544,448,987,251,276,530,390,336,726,1202,1020,2222,704,716,1416,536,564,1098,487,503,985,362,430,789,128,157,287,43,74,116,4820,4660,9480,107,92,199,33,27,61,0,4,4,3,0,3,37,27,71,1935,1810,3747,2671,2659,5330,1482,1318,2799,3084,3138,6224,3475,3534,7013,68,58,119,496,400,900,204,238,441,175,176,349,304,310,613,2591,2400,4994,257,247,508,354,364,722,177,211,385,241,310,553,149,224,369,4661,4493,9151,303,240,548
POA3020,22570,21797,44372,1312,1254,2562,2424,2270,4692,1109,1076,2186,1637,1459,3093,4379,3716,8090,3338,3023,6370,2664,2694,5356,2430,2334,4759,1781,1980,3766,1093,1343,2442,403,661,1058,22064,21306,43371,509,494,1002,117,110,223,0,0,3,7,3,4,120,110,228,9836,9158,18995,11276,11357,22629,7599,6961,14564,13414,13467,26879,16531,16649,33186,319,317,642,2204,2054,4258,849,897,1749,740,743,1478,1143,1233,2379,10702,10071,20771,1489,1239,2722,1947,1708,3656,946,953,1900,1478,2031,3504,736,907,1644,21118,20368,41484,1348,1311,2656
POA3021,27643,27470,55112,1624,1531,3152,3232,2971,6206,1512,1490,3005,2102,1891,3989,4793,4443,9237,3578,3585,7167,3094,3290,6386,3102,3114,6214,2733,2942,5672,1424,1568,2997,436,650,1087,27104,26957,54059,546,510,1055,97,109,205,4,0,3,0,5,9,108,111,218,10219,9591,19811,15085,15727,30810,7102,6348,13447,18089,18839,36924,19626,19875,39503,346,325,671,2839,2615,5462,1180,1216,2395,953,934,1894,1158,1446,2607,11846,11632,23471,1882,1623,3499,2601,2275,4881,1180,1349,2526,1987,2632,4614,1013,1329,2342,25455,25400,50861,2196,2013,4212
