POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA3000,28,1733,768,370,1857,1.1,1306,1.7
POA3002,42,2383,1532,480,3733,0.9,2345,1.8
POA3003,31,2106,1058,388,2406,1.1,1788,1.9
POA3004,37,2000,1343,451,2727,1,2090,1.7
POA3006,31,1900,1171,411,2450,1,1927,1.8
POA3008,32,2000,1182,411,2461,1.1,1957,1.8
POA3011,34,2000,981,369,2474,1,1896,2.1
POA3012,35,2100,976,370,2513,0.9,1987,2.4
POA3013,37,2500,1246,462,3216,0.9,2485,2.5
POA3015,38,2500,1241,460,3214,0.9,2556,2.6
POA3016,45,2600,1089,450,3234,0.9,2382,2.5
POA3018,42,2200,945,390,2475,0.8,1861,2.3
POA3019,34,1859,622,312,1600,1,1451,2.7
POA3020,37,1733,608,340,1592,0.9,1428,2.7
POA3021,37,1500,494,325,1343,0.9,1238,2.8
POA3022,37,1700,698,340,1734,0.8,1452,2.4
POA3023,35,1869,719,381,2017,0.9,1905,3.2
POA3024,31,1800,842,350,2077,0.8,1995,3.1
POA3025,37,2167,753,400,2137,0.8,1695,2.6
POA3026,32,1976,848,397,2212,1,2242,3.5
POA3027,31,2167,1006,420,2592,0.8,2582,3.2
POA3028,38,1733,746,341,1947,0.8,1634,2.5
POA3029,31,1900,812,371,2018,0.9,1960,3.2
POA3030,34,2000,863,371,2242,0.8,2057,2.9
POA3031,35,2119,1106,361,2750,0.9,1947,2.1
POA3032,36,2167,1027,381,2643,0.9,2057,2.3
POA3033,43,2167,759,406,2257,0.8,1911,2.6
POA3034,45,2167,666,400,2039,0.8,1587,2.6
POA3036,46,2167,820,400,2474,0.8,2043,2.7
POA3037,36,1838,749,370,2176,0.9,2047,3.1
POA3038,44,1800,697,381,2141,0.8,1922,2.9
POA3039,38,2167,1113,400,2926,0.9,2111,2.2
POA3040,39,2383,1063,385,2974,0.9,2199,2.4
POA3041,40,2383,1005,391,2823,0.8,2191,2.6
POA3042,40,2113,862,410,2347,0.8,1853,2.4
POA3043,41,1900,700,375,1881,0.8,1505,2.5
