POA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA3000,1410,12132,17237,5715,2360,1578,892,306,62,41689,0,16,27,13,3,0,0,0,0,69,35,60,101,54,56,39,17,3,0,361,167,443,618,482,321,208,106,32,9,2384,8,40,39,18,20,28,10,0,0,170,0,12,17,11,4,4,3,0,0,48,3,8,17,8,27,4,3,0,0,72,0,19,19,3,8,11,8,0,0,60,0,6,0,0,0,0,0,0,0,10,4,13,6,6,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,215,602,814,582,439,305,144,33,8,3144,218,623,839,599,444,302,142,40,8,3216,1628,12762,18072,6319,2802,1879,1032,342,73,44905
POA3002,276,346,1097,743,528,614,581,301,119,4607,0,0,0,0,0,0,0,0,0,6,0,0,4,0,7,7,10,0,0,31,69,31,81,92,68,85,106,57,34,614,0,24,23,10,7,7,5,0,0,77,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,74,54,109,112,83,101,120,62,37,743,74,54,109,112,87,98,124,64,37,749,354,395,1202,854,614,719,706,362,157,5358
POA3003,579,1265,3129,1333,683,411,223,86,15,7719,0,7,0,0,0,0,0,0,0,8,0,0,3,0,3,0,0,0,0,9,11,39,56,36,15,10,5,0,0,181,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,66,41,22,19,5,5,0,210,11,50,67,41,22,19,10,5,0,215,593,1312,3195,1371,705,427,229,92,15,7934
POA3004,795,886,3248,2095,1172,1010,953,619,233,10999,0,5,0,0,4,0,0,4,4,17,0,22,16,4,9,13,7,4,0,71,13,145,150,106,86,115,103,45,17,778,0,121,53,18,6,8,9,0,0,211,0,12,15,11,3,11,7,0,0,60,0,33,16,4,3,7,0,0,0,65,0,0,3,3,9,0,0,0,0,15,0,4,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,20,335,263,146,116,151,121,44,17,1213,20,335,263,145,121,151,126,49,20,1227,814,1220,3511,2240,1288,1165,1071,663,247,12226
POA3006,1332,3178,9210,4091,1668,1235,799,339,60,21914,0,0,3,3,7,3,4,0,0,27,0,11,38,14,20,7,0,0,0,96,61,145,220,137,79,73,27,16,4,770,5,3,11,17,11,14,7,0,0,69,0,0,3,0,0,0,0,0,0,4,0,3,9,0,0,12,3,0,0,28,0,4,7,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,71,170,283,171,117,109,39,21,3,980,72,169,289,173,120,110,47,20,3,1008,1400,3344,9498,4264,1794,1343,843,357,69,22921
POA3008,1193,1750,5918,2826,1324,1124,649,185,42,15016,0,0,0,0,3,4,0,0,0,9,3,4,7,16,17,22,4,0,0,76,15,64,123,58,35,36,26,9,0,372,3,0,6,6,3,4,0,0,0,30,0,0,0,0,5,0,0,0,0,9,0,0,8,0,0,3,5,0,0,19,0,0,3,3,3,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,75,146,89,65,68,45,7,0,518,20,76,154,89,68,71,45,7,0,529,1219,1829,6067,2912,1392,1196,693,194,43,15547
POA3011,2640,2217,6019,4053,2439,1917,1192,693,380,21546,5,4,4,0,3,8,5,0,0,28,0,0,4,0,4,3,0,0,0,7,31,90,112,75,57,48,28,17,13,467,0,4,4,0,3,7,3,0,0,21,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,4,0,0,0,5,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,91,117,77,66,56,33,17,13,507,33,100,123,83,71,66,41,17,13,534,2674,2314,6135,4136,2507,1983,1229,709,392,22080
POA3012,4491,2546,5888,4841,3383,2377,1474,843,457,26306,5,0,0,4,3,0,9,7,5,24,0,0,0,0,4,0,0,0,0,6,31,63,105,57,49,31,25,12,4,379,0,0,5,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,68,107,56,51,36,29,16,4,397,32,68,108,60,56,34,33,20,3,426,4522,2615,5997,4898,3439,2413,1508,864,461,26727
POA3013,2949,1363,2565,2834,2326,1549,830,486,287,15186,0,0,0,0,4,0,0,0,0,7,0,0,3,0,0,0,3,0,0,7,26,41,35,33,30,10,28,5,0,208,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,41,28,33,18,37,5,5,233,28,41,40,28,37,18,37,5,5,239,2972,1402,2610,2861,2361,1565,866,495,291,15426
POA3015,3959,1603,2393,3410,2792,1975,1126,567,298,18119,0,0,0,0,4,0,3,9,10,31,0,0,0,0,0,0,0,0,0,8,17,29,42,33,25,29,27,14,11,227,0,4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,45,38,26,33,30,14,11,247,24,32,53,38,30,38,29,19,17,280,3983,1633,2444,3450,2822,2005,1164,583,316,18402
