POA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
POA3000,0,44,551,601,58,726,3411,4192,1086,1884,4661,7637,813,471,1415,2700,344,129,555,1029,257,90,338,689,214,33,146,392,82,7,60,146,9,0,13,25,2876,3381,11163,17417,3,59,674,737,92,937,3925,4957,1284,1764,4550,7592,695,317,1249,2260,278,73,620,969,251,37,376,665,188,12,189,397,43,0,81,124,3,0,20,28,2840,3196,11694,17731,5,102,1230,1339,154,1661,7340,9152,2375,3645,9214,15234,1508,785,2670,4957,618,198,1173,2001,512,128,710,1350,400,43,341,788,121,7,139,273,14,0,38,50,5714,6575,22853,35145
POA3002,0,0,33,33,0,12,95,106,46,189,268,504,110,83,150,350,97,39,81,210,156,43,80,274,174,18,58,244,108,6,26,137,18,0,9,18,707,390,796,1889,0,0,45,45,0,19,109,125,64,168,288,525,104,86,149,342,106,33,127,263,167,37,106,307,163,15,103,282,62,4,56,122,10,0,27,30,681,354,1019,2058,0,0,84,84,0,29,199,237,114,356,555,1036,214,174,306,688,208,65,208,480,321,76,186,586,339,31,158,526,170,13,83,263,22,0,31,56,1388,745,1813,3944
POA3003,0,4,98,99,3,72,395,469,248,456,765,1466,268,138,220,632,140,73,104,320,99,34,66,192,60,8,31,100,23,0,14,37,3,0,0,5,852,784,1682,3324,0,4,97,99,10,111,398,520,290,439,726,1463,262,93,231,586,139,44,122,311,87,20,95,195,45,4,50,103,17,0,27,43,0,0,10,10,839,723,1761,3326,0,8,195,197,11,186,794,987,543,897,1490,2928,527,238,448,1217,281,119,222,630,178,45,158,385,110,15,80,201,41,3,37,81,3,0,11,15,1697,1511,3443,6650
POA3004,0,0,81,81,0,52,254,306,233,494,642,1371,396,197,423,1021,203,86,237,529,190,60,176,429,246,45,107,399,183,16,62,261,29,0,13,44,1490,954,1998,4441,0,0,86,92,3,73,223,306,336,491,736,1563,365,130,405,897,192,67,269,526,212,52,221,488,225,25,215,460,127,11,107,248,13,0,35,47,1478,845,2299,4630,0,0,172,173,10,120,480,611,567,990,1376,2933,768,327,831,1917,391,151,510,1055,404,115,401,919,472,71,317,861,317,29,164,509,43,0,47,94,2971,1804,4301,9067
POA3006,0,8,179,184,14,236,997,1243,756,1213,2422,4392,823,410,884,2110,313,144,357,813,278,62,234,567,239,20,104,362,108,10,47,161,24,0,6,34,2548,2100,5226,9873,0,10,220,230,38,291,1031,1363,948,1185,2205,4334,678,239,832,1753,276,90,402,764,280,36,285,600,203,13,169,392,72,0,84,155,7,0,19,29,2498,1871,5252,9623,0,22,395,420,50,523,2028,2604,1706,2400,4626,8726,1501,645,1716,3866,583,234,759,1577,547,95,522,1170,441,37,278,755,179,14,129,318,33,0,30,64,5046,3974,10477,19493
POA3008,0,0,106,110,16,143,533,686,701,655,1363,2723,699,240,492,1425,294,106,240,638,280,61,189,525,207,25,93,320,54,6,27,85,13,0,5,22,2260,1234,3040,6537,0,12,98,114,47,188,484,709,884,651,1091,2630,560,180,412,1159,263,65,247,578,256,37,207,503,157,12,104,271,39,4,42,79,9,0,14,24,2209,1143,2705,6059,0,16,204,225,59,321,1016,1397,1592,1306,2456,5352,1257,420,910,2584,560,172,495,1220,533,91,393,1025,359,32,199,589,95,8,63,171,21,0,23,45,4474,2378,5751,12602
POA3011,0,5,267,275,9,86,642,738,465,806,1534,2801,847,440,686,1979,490,213,456,1163,385,98,405,886,248,35,235,517,131,5,91,228,47,4,45,90,2627,1681,4363,8670,0,11,245,258,40,125,534,700,630,873,1280,2782,832,369,637,1837,443,165,521,1134,348,71,475,894,204,18,293,516,100,0,197,297,15,0,103,119,2608,1641,4291,8534,0,16,518,534,50,209,1172,1433,1092,1676,2816,5590,1684,803,1330,3817,935,380,980,2296,730,171,875,1778,453,56,527,1032,230,11,285,527,61,3,146,213,5235,3323,8648,17200
POA3012,0,0,500,501,9,59,675,742,566,794,1527,2887,1216,463,609,2289,831,245,506,1582,565,126,427,1116,348,49,241,644,218,9,111,334,59,0,74,135,3814,1742,4667,10227,0,4,494,499,20,93,576,695,764,796,1122,2684,1226,450,653,2328,798,222,625,1645,500,91,547,1146,320,30,414,770,152,4,279,432,29,0,188,219,3811,1697,4898,10402,0,6,993,998,25,160,1254,1435,1331,1591,2646,5570,2443,910,1261,4614,1631,464,1128,3225,1062,217,974,2255,676,78,655,1410,372,12,384,770,92,3,263,353,7627,3441,9564,20632
POA3013,0,3,325,333,0,29,305,339,222,440,531,1190,761,368,217,1351,627,219,264,1104,394,108,218,716,236,36,114,381,121,6,63,195,54,0,43,100,2409,1210,2079,5699,0,0,321,321,4,36,294,330,303,497,488,1290,784,301,327,1414,638,185,330,1149,381,108,300,786,186,18,217,426,109,5,162,277,24,0,120,149,2426,1151,2571,6149,0,5,642,649,3,65,598,669,524,939,1018,2476,1549,669,541,2760,1258,403,601,2256,774,212,517,1500,419,52,338,807,229,14,231,473,79,3,169,246,4833,2360,4644,11844
POA3015,0,0,430,430,3,29,345,379,280,370,460,1114,1005,337,234,1575,776,235,284,1296,574,136,264,978,301,42,171,516,163,11,73,248,52,0,37,85,3144,1164,2300,6609,0,0,403,404,11,36,303,351,402,403,392,1197,1091,355,289,1738,742,217,443,1402,508,101,353,953,278,35,258,575,104,4,164,282,19,0,112,129,3158,1160,2716,7039,0,3,833,836,11,67,651,730,685,780,853,2312,2093,696,522,3312,1521,452,724,2695,1079,236,621,1929,579,78,432,1094,269,17,237,525,70,0,146,215,6309,2325,5011,13649
