POA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
POA3000,0,0,0,10,0,0,0,0,0,7,0,0,7,30,10,4,3,0,0,52,0,0,14,107,6,9,11,4,0,149,0,0,28,63,11,3,0,0,0,107,5,0,59,410,19,4,0,0,0,502,0,0,0,12,3,3,0,0,0,21,0,9,491,930,81,39,23,7,0,1592,0,0,0,0,0,9,3,0,0,9,0,0,12,39,0,0,0,0,0,53,0,0,74,53,0,0,0,0,0,128,0,0,150,107,0,0,0,0,0,257,0,0,7,14,5,3,0,0,0,23,0,0,85,248,37,34,19,8,0,425,0,0,0,6,3,4,3,0,0,11,0,0,27,58,5,3,0,0,0,92,0,0,0,7,0,0,0,0,0,7,0,4,66,317,21,9,0,0,0,423,0,0,3,18,3,9,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,12,4,0,0,45
POA3002,0,0,0,4,0,0,0,0,0,6,0,0,0,13,3,3,0,0,0,21,0,0,0,10,0,0,8,10,5,26,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,19,3,7,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,11,0,0,6,34,8,12,3,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,10
POA3003,0,0,0,7,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,11,0,0,8,28,0,3,5,0,0,45,0,0,4,8,0,0,0,0,0,10,0,4,3,85,3,0,0,0,0,91,0,0,0,0,6,0,0,0,0,4,0,0,21,81,7,7,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,15,9,0,0,0,0,0,28,0,0,0,8,0,0,0,0,0,13,0,0,6,55,10,7,4,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,4,0,0,9,52,5,0,0,0,0,71,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,9
POA3004,0,0,0,0,0,0,0,0,0,4,0,0,3,85,5,4,5,0,0,107,0,0,0,20,6,3,5,3,0,49,3,0,4,17,9,3,0,0,0,35,0,0,0,30,3,0,0,0,0,35,0,0,0,6,4,0,0,0,0,10,0,3,16,85,8,6,7,4,0,125,0,0,0,0,0,0,5,0,0,6,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,9,9,0,0,0,0,0,19,0,0,0,7,0,0,3,0,0,14,0,6,15,82,15,16,0,5,0,148,0,0,0,3,0,0,4,0,0,8,0,0,4,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,3,47,0,3,0,0,0,58,0,0,0,5,0,3,13,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,3,0,6,0,46
POA3006,0,0,0,9,0,0,0,0,0,9,0,0,5,59,7,3,0,0,0,75,0,0,6,91,3,10,10,3,0,125,0,0,11,36,12,13,0,0,0,83,0,5,12,168,9,8,0,0,0,198,0,0,0,10,0,0,0,0,0,12,0,4,65,269,21,20,15,4,0,400,0,0,0,4,0,4,0,0,0,6,0,0,4,25,3,4,0,0,0,31,0,0,11,9,0,0,0,0,0,20,0,0,20,22,0,0,0,0,0,40,0,0,0,10,5,0,3,6,0,19,0,3,29,192,45,30,13,5,0,321,0,0,0,6,0,5,0,0,0,13,0,0,3,40,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,6,0,3,9,109,12,4,0,0,0,148,0,0,0,10,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,6,4,0,0,45
POA3008,0,0,0,10,0,0,0,0,0,13,0,0,0,8,6,7,3,0,0,21,0,0,6,38,4,11,5,7,0,76,3,0,0,14,0,0,0,0,0,27,3,3,11,112,11,3,0,0,0,146,0,0,0,3,7,0,0,0,0,10,3,3,31,121,11,6,8,0,0,182,0,0,0,0,0,4,6,0,0,6,0,0,0,10,0,0,0,0,0,12,0,0,0,9,0,0,0,0,0,15,0,0,4,13,0,0,0,0,0,24,0,0,0,0,0,5,6,0,0,15,0,0,28,87,30,10,6,8,0,165,0,0,0,0,0,0,0,0,0,3,0,0,4,32,0,0,0,0,0,40,0,0,0,4,0,0,0,0,0,4,0,0,8,69,5,4,7,0,0,98,0,0,0,8,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,8,0,0,27
POA3011,0,0,0,3,0,4,0,0,0,8,0,0,0,31,13,0,4,0,0,49,0,0,3,24,0,4,9,11,18,72,0,0,0,14,10,3,0,0,0,26,0,4,0,15,3,0,0,0,0,23,0,0,0,0,0,0,4,0,0,5,0,7,12,79,17,6,6,3,0,127,0,0,0,0,0,0,7,0,0,12,0,0,3,11,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,4,0,4,62,87,3,0,0,0,0,156,0,0,0,0,0,0,7,0,0,14,0,4,15,166,39,29,8,0,0,255,0,0,3,6,4,17,19,10,7,69,0,0,10,37,0,0,0,0,0,44,0,0,3,6,7,0,0,0,0,17,0,4,7,61,13,8,6,5,0,105,0,0,0,11,4,4,4,0,0,23,0,0,0,0,0,4,0,0,0,4,0,0,5,14,0,5,3,6,0,31
POA3012,0,0,0,11,0,0,0,0,0,10,0,4,5,25,12,6,3,0,0,49,0,0,0,24,3,27,24,45,26,148,0,0,0,10,0,4,0,0,0,15,0,0,0,13,6,4,0,0,0,25,0,0,0,10,6,8,4,0,0,21,0,0,13,83,9,10,4,0,0,122,0,0,0,7,6,5,6,5,3,28,0,0,0,14,4,0,4,0,0,21,0,8,0,5,5,3,0,0,0,19,0,0,36,52,0,3,0,0,0,89,0,0,0,6,5,0,4,0,0,23,0,8,15,154,54,22,14,4,0,266,0,0,0,8,14,13,19,9,8,70,0,0,18,54,4,0,0,0,0,73,0,0,0,3,3,0,0,0,0,4,0,13,9,82,30,15,13,8,5,161,0,0,0,12,0,7,6,0,0,36,0,0,0,6,0,0,0,0,0,8,0,0,0,14,11,15,6,4,0,52
POA3013,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,3,0,0,0,44,0,0,0,11,0,11,14,21,16,79,0,0,0,7,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,3,5,0,16,0,0,6,20,6,0,0,0,0,32,0,0,0,0,0,3,5,5,0,9,0,0,0,0,0,6,0,0,0,9,0,0,0,5,0,0,0,0,0,5,0,0,3,17,0,0,0,0,0,19,0,0,0,0,0,5,0,0,0,11,0,8,6,96,40,17,10,0,0,175,0,0,0,4,8,12,13,22,4,67,0,0,0,6,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,20,3,4,0,0,0,33,0,0,0,3,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,4,8,0,0,35
POA3015,0,0,0,0,0,0,0,0,0,0,0,0,4,32,9,11,3,4,0,60,0,0,0,9,7,13,9,18,18,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,9,12,12,22,12,8,3,83,0,0,3,27,9,0,0,0,0,46,0,0,0,0,0,10,6,0,0,14,0,0,0,4,0,0,3,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,5,10,0,0,0,0,0,14,0,0,0,6,3,0,4,3,0,21,0,18,12,108,46,43,9,0,0,231,0,0,0,14,10,14,16,19,6,69,0,0,0,6,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,0,6,15,5,5,0,0,0,33,0,0,0,3,6,0,3,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,20,7,13,10,4,0,52
