POA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
POA3000,0,6,55,141,15,3,4,0,0,227,0,0,15,36,8,5,0,0,0,64,0,0,39,82,13,7,0,0,0,145,0,4,38,210,9,10,3,0,0,274,3,0,71,355,9,6,0,3,0,446,0,0,5,51,8,3,0,0,0,69,0,3,32,100,18,17,3,0,0,180,4,6,200,180,24,7,4,0,0,431,0,0,0,11,0,0,0,0,0,14,0,0,8,4,3,0,0,0,0,19,3,17,191,688,55,25,9,10,0,992,30,35,489,1136,177,110,47,23,4,2048,347,388,5778,12123,1333,867,482,183,40,21548,3,7,0,4,0,0,0,0,0,16,268,176,1204,1584,343,297,183,53,13,4120,0,0,16,21,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,5,0,0,14,77,3,0,0,0,0,97,0,0,27,21,0,0,0,0,0,49,0,0,6,27,5,3,5,0,0,49
POA3002,0,4,0,6,0,3,0,0,0,14,0,0,0,7,0,0,3,0,0,16,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,14,4,0,0,0,0,25,0,0,0,7,4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,38,6,6,5,0,5,70,0,5,6,48,18,17,19,11,0,128,59,87,166,961,255,308,299,172,39,2353,0,0,0,0,0,0,0,0,0,0,47,67,156,592,191,230,236,112,62,1698,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13
POA3003,0,0,4,27,4,0,0,0,0,36,0,0,0,11,0,0,0,0,0,13,0,0,8,17,0,0,0,0,0,25,0,0,0,34,0,0,0,0,0,42,0,0,0,23,0,0,0,0,0,28,0,0,0,14,0,0,0,0,0,16,0,0,9,16,6,0,3,0,0,44,0,0,12,31,7,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,6,6,31,215,7,10,0,6,0,281,3,3,26,123,11,12,14,0,0,198,118,167,633,2418,372,223,117,45,5,4093,0,0,0,0,0,0,0,0,0,0,111,122,288,661,161,108,53,19,4,1520,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,33,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,0,0,0,14
POA3004,0,0,0,14,3,0,0,0,0,26,0,0,3,30,6,6,8,0,0,57,0,0,0,24,0,0,5,4,0,42,0,0,0,11,5,0,0,0,0,18,0,0,7,3,3,0,0,0,0,14,0,0,0,11,3,0,0,0,0,12,0,3,3,17,8,3,7,8,0,55,0,0,0,9,3,0,3,0,0,21,0,0,0,5,0,3,0,0,0,7,0,0,0,4,0,0,0,0,0,6,3,7,21,258,30,25,19,15,4,386,11,9,43,233,61,49,47,50,38,538,168,224,463,2726,630,507,489,342,109,5655,0,0,0,0,0,0,0,0,0,0,162,136,231,864,279,285,326,192,48,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,56,0,0,0,0,0,67,0,0,5,7,0,0,0,0,0,9,0,0,0,16,6,0,0,0,0,18
POA3006,0,6,17,94,7,3,3,0,0,139,0,0,10,39,12,5,4,0,0,67,0,0,4,78,10,3,4,0,0,101,0,0,7,45,8,0,0,0,0,57,0,0,6,52,3,0,0,0,0,73,0,0,6,32,5,0,0,0,0,43,10,0,8,53,17,7,8,0,0,104,0,0,21,54,11,6,3,0,0,99,0,0,0,3,0,0,0,0,0,12,0,0,3,14,0,0,3,0,0,24,5,21,119,781,51,29,17,16,0,1035,22,24,56,395,51,41,30,9,4,638,365,333,1543,7066,907,646,420,184,34,11499,0,0,0,21,0,0,0,0,0,20,280,181,638,1434,307,288,182,90,14,3407,0,0,4,18,0,0,0,0,0,21,0,0,0,15,0,0,0,0,0,15,0,0,12,107,0,0,0,0,0,122,0,0,0,5,0,0,0,0,0,6,0,0,5,28,4,5,0,0,0,40
POA3008,0,3,12,42,4,4,3,0,0,69,0,0,5,22,6,3,3,0,0,37,0,0,4,31,7,4,5,0,0,50,0,8,3,44,5,0,0,0,0,58,0,5,7,38,6,0,0,0,0,61,0,0,0,24,6,4,0,0,0,36,0,11,6,33,13,8,0,0,0,74,0,5,19,34,13,9,3,0,0,80,0,0,0,5,0,3,0,0,0,8,0,0,0,8,0,0,0,0,0,14,5,17,55,377,37,18,12,7,0,530,21,18,72,432,53,46,39,7,0,693,359,266,890,4679,733,604,375,107,22,8037,0,0,0,4,0,0,0,0,0,9,242,114,268,665,254,261,155,44,10,2007,0,0,3,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,8,59,0,0,0,0,0,78,0,0,0,6,0,0,0,0,0,6,0,4,3,13,0,0,0,0,0,28
POA3011,0,4,5,26,9,3,0,0,0,39,0,0,0,30,3,4,0,0,0,38,0,0,4,33,3,0,0,0,0,48,0,0,0,8,4,0,0,0,0,15,0,6,4,15,4,0,0,0,0,31,0,0,0,9,4,4,5,0,0,21,0,0,0,41,4,0,5,0,0,55,0,13,50,201,102,164,123,37,26,730,0,0,0,7,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,16,0,16,40,338,83,54,48,26,11,615,17,29,79,349,82,77,80,43,21,781,592,819,1188,5318,1304,1013,666,319,150,11361,0,0,0,4,0,0,0,0,0,4,521,639,727,2739,669,431,177,81,46,6032,0,6,6,43,7,0,0,0,0,60,0,0,0,3,0,6,10,0,0,17,0,0,0,18,0,0,0,0,0,20,0,0,5,5,4,5,7,0,0,20,0,0,0,27,8,4,0,0,0,39
POA3012,0,0,0,18,8,3,7,0,0,35,0,4,3,23,7,0,0,0,0,37,0,0,7,28,7,6,4,0,0,54,0,0,0,13,0,0,0,0,0,21,0,0,13,16,3,0,0,0,0,35,0,0,0,8,3,10,0,4,0,30,0,5,3,22,10,3,0,4,0,51,0,13,57,209,198,228,143,46,22,917,0,0,0,6,0,0,0,0,0,9,0,0,0,13,0,3,0,0,0,15,3,18,46,341,134,89,37,32,7,705,27,75,64,327,101,71,37,24,15,743,870,1545,1336,5638,1718,1228,697,379,179,13593,0,0,0,3,0,0,0,0,0,4,802,1168,949,2984,918,563,271,112,111,7882,0,0,4,39,5,3,0,0,0,56,0,0,0,4,7,9,4,6,0,32,0,0,3,21,3,0,0,0,0,25,0,0,0,3,0,4,0,0,0,12,0,0,0,18,6,3,0,0,0,23
POA3013,0,0,0,10,0,0,0,0,0,13,0,0,0,18,15,4,0,0,0,40,0,0,3,10,0,3,0,0,0,16,0,0,0,4,0,0,0,0,0,4,0,0,4,6,0,0,0,0,0,10,0,0,0,4,4,3,0,0,0,13,3,4,0,20,11,4,0,0,0,42,0,0,0,34,28,29,30,16,0,137,0,0,0,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,14,108,38,30,23,14,3,237,15,34,29,88,41,39,17,11,9,265,550,981,709,2686,1168,773,416,214,109,7603,0,0,0,0,0,0,0,0,0,0,480,904,618,1940,861,560,200,81,85,5726,0,0,0,11,0,0,0,0,0,10,0,0,0,5,0,6,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,14,4,0,0,0,0,25
POA3015,0,0,0,7,4,6,3,0,0,19,0,4,4,28,9,9,0,0,0,50,0,0,0,8,4,0,0,0,0,22,0,0,0,3,0,0,0,0,0,9,0,6,0,7,0,0,0,0,0,7,0,3,0,5,0,0,0,0,0,9,6,4,3,31,6,6,0,0,0,62,0,0,0,14,6,4,12,5,0,38,0,0,0,5,6,0,0,0,0,9,0,0,0,5,3,0,0,0,0,9,0,7,6,81,36,37,29,23,7,232,18,25,32,110,53,29,34,18,6,324,779,1276,864,2856,1377,1035,559,275,120,9144,0,0,0,0,0,0,0,0,0,0,649,1187,701,2060,1073,698,341,112,86,6899,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,6,0,5,0,19,0,0,0,13,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,19,6,3,0,0,0,31
POA3016,0,9,0,5,0,5,0,5,0,19,0,0,0,17,14,5,5,0,0,46,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,6,0,0,0,8,4,9,6,23,7,7,4,0,0,56,0,3,0,12,17,6,6,0,0,49,0,0,3,0,0,6,0,0,0,9,0,0,0,3,3,0,0,0,0,9,3,7,8,65,42,29,38,22,10,231,9,21,27,61,36,38,38,15,3,246,348,1130,1046,1497,1238,1238,892,384,110,7891,0,0,0,0,0,0,0,0,0,0,284,931,736,1115,1028,916,557,241,109,5922,0,0,0,7,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,12,0,0,0,11,3,0,0,0,0,17,0,0,0,4,0,4,0,0,0,9,4,0,0,7,6,3,4,0,0,24
POA3018,0,0,0,3,6,0,0,0,0,8,0,0,0,18,16,6,3,0,0,40,0,0,0,0,3,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,9,0,0,4,14,6,5,3,3,0,33,0,3,5,15,14,12,3,9,0,65,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,6,51,35,35,22,25,10,199,14,38,22,96,37,32,21,22,6,289,409,799,522,1793,987,794,622,408,145,6470,0,0,0,4,0,0,0,0,0,4,346,709,511,1230,686,517,369,247,138,4749,0,0,0,9,0,0,0,0,0,7,0,0,0,5,3,0,0,0,0,6,0,0,5,25,0,0,0,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,6,15,0,0,0,0,0,16
POA3019,0,0,0,6,3,0,3,0,0,13,0,0,0,3,0,0,0,0,0,5,0,4,4,13,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,12,0,0,0,4,4,3,0,6,0,18,3,0,0,0,0,0,0,0,0,9,4,34,76,237,203,225,139,36,14,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,29,122,48,33,12,13,5,277,15,22,43,123,38,39,27,7,0,317,277,544,647,1908,536,487,362,128,43,4927,0,0,0,0,0,0,0,0,0,3,219,335,374,537,105,92,85,34,27,1810,0,0,0,17,6,0,0,0,0,22,0,0,0,3,0,9,9,0,0,18,0,0,0,9,0,0,0,0,0,10,0,0,0,3,3,3,5,0,0,14,0,0,0,0,0,0,0,0,0,0
POA3020,0,0,0,14,0,4,0,0,0,22,0,0,0,10,3,0,0,0,0,18,0,10,24,147,24,14,0,0,0,219,0,0,0,16,0,6,0,0,0,27,0,0,10,30,7,0,0,0,0,51,0,0,0,39,19,30,10,7,4,109,0,4,0,4,0,3,0,0,0,24,7,85,229,1033,648,825,406,99,35,3356,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,8,3,56,93,472,220,164,168,96,48,1327,71,144,191,510,180,138,97,95,23,1460,1312,2424,2749,7718,2664,2430,1781,1093,403,22570,0,0,14,29,4,0,0,0,0,49,1131,1809,1572,2405,836,626,411,249,136,9158,0,4,4,50,7,0,0,0,0,67,0,0,0,11,3,6,7,12,4,43,0,0,0,3,0,0,0,0,0,12,0,3,0,11,5,8,7,0,0,39,0,0,0,3,0,0,0,0,0,7
POA3021,0,0,0,0,0,4,4,4,0,12,0,3,0,7,3,0,0,0,0,18,0,4,25,115,25,36,17,8,0,234,0,0,0,5,0,0,4,0,0,10,0,0,10,29,0,0,0,0,0,50,0,0,3,17,19,20,16,11,3,82,0,7,10,16,0,0,0,0,0,33,24,157,396,1506,1090,1078,487,138,49,4930,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,7,53,140,406,240,275,275,177,53,1628,137,257,286,753,229,219,192,181,95,2345,1624,3232,3617,8378,3094,3102,2733,1424,436,27643,0,3,8,17,5,0,4,0,0,34,1325,2169,1885,2159,695,637,536,153,33,9591,0,0,8,20,8,0,0,0,0,37,0,0,6,58,48,80,55,26,4,285,0,0,0,10,0,0,0,0,0,13,0,0,0,3,15,10,5,0,0,42,0,0,3,9,0,0,0,0,0,12
POA3022,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,7,0,3,8,40,33,21,14,3,3,130,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,8,0,8,4,40,11,10,16,10,4,113,11,13,18,71,25,13,8,8,0,165,96,160,151,601,226,150,113,76,21,1600,0,0,0,3,0,0,0,0,0,3,112,116,81,226,82,40,45,23,14,733,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3023,0,3,9,18,5,12,9,0,0,57,0,0,11,17,8,9,0,0,0,44,0,13,43,148,82,52,25,7,0,377,0,0,3,10,4,0,0,0,0,23,0,7,5,35,4,0,0,3,0,61,0,4,4,37,38,32,11,13,0,134,4,16,11,23,14,3,0,0,0,78,3,50,124,838,605,498,194,76,15,2403,0,0,0,5,0,0,8,0,0,6,0,0,8,6,10,3,0,0,0,29,16,74,208,726,445,335,282,135,17,2235,85,195,203,478,201,133,108,47,10,1462,2083,5271,4810,10663,4771,3147,2121,985,230,34082,0,12,25,53,18,13,6,0,0,120,1768,4068,2891,3904,1726,807,531,186,77,15969,0,5,8,44,4,10,3,0,0,75,0,0,5,98,58,57,31,9,0,256,0,0,0,9,5,4,0,0,0,17,0,0,0,23,14,8,5,0,0,51,0,0,0,11,5,0,0,0,0,15
POA3024,0,13,13,20,10,6,0,0,0,64,0,9,15,20,9,8,0,0,0,60,0,12,13,114,18,9,0,3,0,178,0,0,0,10,0,0,0,0,0,8,0,56,112,69,3,0,3,0,0,246,0,0,0,4,4,0,0,0,0,11,4,10,10,13,8,5,0,0,0,46,0,4,3,21,11,8,0,0,0,43,0,0,0,4,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,20,16,68,126,339,137,86,36,24,3,838,64,160,121,299,80,49,24,12,4,816,1724,2980,2124,6275,1698,1100,694,244,59,16901,0,0,0,5,0,0,0,0,0,12,1434,2057,1150,2186,855,585,346,118,40,8774,0,11,8,113,14,4,3,0,0,144,0,0,0,13,0,0,3,0,0,21,0,3,4,6,3,0,0,0,0,20,0,0,0,9,0,0,0,0,0,9,0,0,3,5,4,0,0,0,0,12
