POA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
POA3000,0,0,0,45,3,0,0,0,0,45,6,29,1769,2116,213,130,57,19,3,4341,0,0,0,9,4,4,0,3,0,18,0,0,4,7,0,0,3,0,0,20,0,0,41,80,20,27,20,4,3,196,0,0,8,11,5,0,0,0,0,29,0,0,8,38,5,3,0,0,0,53,0,0,6,25,3,5,4,7,0,47,0,0,3,8,3,6,8,0,0,24,0,3,134,221,21,28,9,4,0,417,26,49,376,995,21,14,6,0,0,1487,0,4,619,358,17,17,11,0,0,1029,4,4,3,59,3,4,0,0,0,77,0,0,0,7,0,0,0,0,0,6,0,0,0,20,5,4,0,0,0,35,0,0,15,53,4,0,4,3,0,78,0,0,49,189,17,7,6,0,0,264,0,0,101,442,29,10,0,0,0,593,0,0,0,3,5,0,0,0,0,6,0,9,528,825,65,54,29,6,3,1519
POA3002,0,0,0,4,0,0,0,0,0,4,0,0,7,33,11,6,0,0,0,57,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,32,13,19,20,10,5,96,0,0,0,4,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,10,0,0,0,3,0,0,0,5,0,13,0,0,0,0,0,3,3,0,0,10,0,0,0,3,3,0,0,0,0,15,0,0,0,3,0,3,6,0,0,10,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,0,12,0,4,0,0,0,21,0,0,0,3,0,5,7,3,4,18,0,0,0,7,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,8,4,0,0,35
POA3003,0,0,0,12,0,0,0,0,0,16,0,3,122,299,45,22,7,10,0,509,0,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,0,10,31,10,5,7,4,0,68,0,0,0,9,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,14,0,0,0,8,0,4,0,0,0,14,0,3,8,41,9,8,0,0,0,60,7,12,41,176,4,3,0,0,0,246,0,0,17,23,0,0,0,0,0,38,0,0,0,16,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,13,0,0,3,4,0,24,0,0,8,30,4,3,0,0,0,48,0,0,12,76,4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,11,102,5,4,7,0,0,141
POA3004,0,0,0,16,0,0,0,0,0,16,3,21,57,261,61,49,17,10,0,471,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,3,0,3,0,17,0,3,12,79,16,38,27,12,4,189,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,3,0,0,31,0,0,3,14,4,0,11,3,3,39,0,0,0,0,3,0,3,0,6,8,0,0,9,32,7,3,9,0,0,60,4,7,11,146,10,9,4,5,0,199,0,0,9,40,11,4,5,4,0,75,0,0,4,46,6,0,4,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,4,99,0,0,0,0,0,111,0,0,0,21,3,3,3,7,0,39,0,4,0,22,7,4,0,0,4,49,0,0,3,37,7,0,0,0,0,50,0,0,0,3,0,0,0,0,0,9,0,3,15,104,14,16,13,4,0,164
POA3006,0,0,0,36,5,0,0,0,0,47,0,12,240,774,103,83,35,10,4,1250,0,0,0,8,0,3,0,0,0,13,0,0,0,10,0,0,0,0,0,11,0,6,27,144,28,29,26,12,3,275,0,0,0,14,0,0,0,0,0,20,0,0,9,37,4,0,0,3,0,56,0,0,5,26,4,0,0,0,0,45,0,0,3,8,0,3,8,0,0,25,0,4,32,92,9,10,15,0,0,167,13,41,148,700,22,24,9,0,0,954,0,6,84,216,25,11,9,3,0,345,3,4,9,104,10,5,3,0,0,136,0,0,0,9,4,0,0,0,0,17,0,0,7,49,3,0,0,0,0,64,0,0,4,43,0,13,10,0,4,74,0,0,17,91,26,6,3,0,0,141,0,0,16,219,17,6,0,0,0,263,0,0,3,0,3,0,0,0,0,8,0,0,65,280,24,25,24,4,0,427
POA3008,0,0,0,12,3,3,0,0,0,20,0,7,259,678,77,88,13,7,4,1136,0,0,0,3,0,6,0,0,0,6,0,0,0,5,0,3,3,0,0,14,0,0,8,34,16,20,20,9,0,119,0,0,0,13,4,0,0,0,0,17,0,3,0,19,3,0,0,0,0,29,0,0,0,19,3,3,5,0,0,31,0,0,0,4,5,0,6,0,0,16,0,3,18,80,14,10,3,0,0,125,44,44,39,799,18,17,0,4,0,961,0,0,13,57,3,0,8,0,0,88,0,0,6,62,4,0,0,0,0,72,0,0,0,3,0,0,0,0,0,8,0,0,0,8,0,6,5,0,0,15,0,0,0,25,3,0,10,5,0,47,0,4,3,60,10,0,0,0,0,81,0,0,15,136,10,3,0,0,0,167,0,0,0,5,0,0,0,0,0,3,0,5,37,137,12,9,14,0,0,206
POA3011,0,0,0,7,3,0,4,0,0,15,0,0,14,95,33,36,26,14,14,229,0,0,0,6,5,12,9,10,0,39,0,0,0,3,0,4,0,6,0,11,0,9,9,119,40,33,14,5,5,241,0,0,3,9,3,0,0,0,0,18,0,0,0,8,0,0,0,0,0,14,0,0,6,13,10,4,0,10,0,49,0,0,0,0,7,7,20,44,18,97,0,0,3,35,3,8,0,0,0,56,0,17,45,208,8,4,3,3,3,310,0,3,7,44,4,4,3,4,0,70,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,5,0,0,0,12,0,0,0,18,9,4,0,0,0,33,0,0,0,14,0,5,13,23,28,82,0,0,4,33,16,0,0,0,0,51,0,0,5,25,4,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,14,85,21,10,7,0,0,140
POA3012,0,0,0,14,4,3,5,0,0,31,0,3,13,105,31,39,25,10,0,233,0,0,0,3,8,8,25,18,6,65,0,3,4,7,0,4,8,3,0,21,3,7,12,122,37,26,20,12,8,250,0,0,0,12,5,0,0,0,0,20,0,0,0,10,5,3,0,0,0,19,0,0,0,18,6,4,17,6,7,55,0,0,3,6,4,14,28,48,22,120,0,0,3,43,6,4,0,0,0,54,0,21,28,233,16,6,7,7,4,322,0,0,6,57,5,5,0,0,0,74,0,0,0,13,3,0,0,0,0,22,0,0,0,3,0,0,0,0,0,9,0,7,3,19,4,3,3,3,0,38,0,0,0,17,0,16,40,56,52,180,0,0,6,23,7,0,0,0,0,35,0,0,0,24,0,0,0,0,0,27,0,0,0,4,8,10,4,4,0,23,3,7,8,96,9,8,4,0,0,135
POA3013,0,0,0,6,0,5,0,3,0,13,0,0,0,29,10,9,3,0,0,52,0,0,0,9,0,4,7,5,3,24,0,0,0,0,0,3,0,0,0,9,0,8,10,94,62,39,22,11,4,251,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,12,0,0,0,18,9,8,4,0,0,32,0,0,3,8,7,15,36,72,27,169,0,0,0,16,5,0,0,0,0,15,0,3,0,31,9,3,4,0,0,46,0,0,0,12,3,0,0,0,0,19,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,6,4,0,0,45,0,0,0,10,7,8,13,41,17,90,0,0,0,12,6,0,0,0,0,24,0,0,0,8,0,0,0,0,0,10,0,0,0,3,5,6,6,6,0,17,0,0,4,24,8,10,0,0,0,41
POA3015,0,0,0,7,0,0,0,0,0,10,0,0,3,38,11,11,10,3,0,75,0,0,0,0,3,0,5,8,0,22,0,0,0,0,0,0,0,0,0,9,0,19,10,106,52,64,33,19,4,303,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,10,0,0,6,17,9,5,0,7,3,48,0,0,0,0,4,14,29,36,22,112,0,0,0,10,5,0,0,0,0,17,0,6,4,72,5,7,9,7,0,119,0,0,4,16,4,0,0,0,0,25,0,0,0,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,4,0,5,4,30,16,6,0,3,0,66,0,0,0,11,9,9,19,25,28,101,0,0,0,5,5,4,0,0,0,21,0,0,0,5,0,0,0,0,0,8,0,0,5,16,21,22,21,8,5,86,0,5,0,48,11,4,3,0,0,75
