POA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
POA3000,0,0,16,52,3,10,15,11,0,107,0,0,4,10,9,6,10,4,0,42,0,12,231,420,37,37,19,7,0,768,62,101,743,2429,56,16,16,0,0,3413,3,8,1076,710,40,22,28,0,0,1878,4,4,12,131,18,8,5,4,0,175,0,0,0,17,0,0,0,0,0,17,0,0,10,57,11,6,7,3,0,87,0,0,24,160,11,12,14,9,6,234,0,0,72,255,23,5,3,0,0,373,5,10,165,849,47,18,3,0,0,1095,0,0,0,12,4,4,0,0,0,27,0,18,1020,1755,151,91,51,16,9,3111,0,0,0,0,0,9,0,0,0,8,0,0,36,62,4,0,0,0,0,107,0,0,125,123,3,3,0,0,0,261,0,4,270,183,0,0,0,0,0,454,0,0,7,23,4,3,0,5,0,42,0,8,180,399,69,51,25,6,4,742,0,0,0,3,5,7,3,0,0,15
POA3002,0,0,0,4,0,0,5,4,0,24,0,0,0,3,0,6,7,3,3,26,0,0,3,19,8,0,4,0,0,34,0,0,5,17,3,7,3,0,0,32,0,0,0,9,4,0,0,0,0,11,0,0,0,14,4,3,0,0,0,21,0,0,3,5,0,0,0,0,0,4,0,0,0,24,3,6,3,0,0,40,0,0,0,7,3,3,14,7,5,45,0,0,0,7,3,0,0,0,0,15,0,0,0,16,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,5,0,0,0,37,7,13,7,0,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,0,17,0,3,10,76,15,22,13,3,4,144,0,0,0,0,0,0,0,0,0,4
POA3003,0,0,3,20,0,0,4,0,0,31,0,0,0,8,0,6,0,0,0,12,0,3,22,73,13,10,3,0,0,118,18,23,66,417,15,4,0,0,0,555,0,0,33,40,0,0,0,0,0,75,0,0,3,34,0,0,4,0,0,39,0,0,0,7,0,0,0,0,0,4,3,0,0,15,4,0,0,0,0,26,0,0,11,38,0,3,9,10,4,68,0,0,12,39,4,3,3,0,0,61,0,4,14,160,11,0,0,0,0,190,0,0,0,0,6,0,0,0,0,4,0,0,35,181,21,5,8,0,0,254,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,8,0,0,20,18,0,0,0,0,0,47,0,0,0,10,3,0,0,0,0,17,0,0,23,91,19,11,7,0,0,159,0,0,0,0,0,0,0,0,0,0
POA3004,0,0,9,29,6,0,15,15,5,83,0,0,0,6,3,3,6,3,6,19,4,7,17,49,9,6,9,3,0,114,10,26,22,319,28,17,14,9,0,449,0,0,19,81,15,3,4,4,0,128,0,3,3,83,16,8,9,3,0,122,0,0,0,0,0,0,0,0,0,8,0,0,9,187,10,6,3,0,0,214,0,0,0,46,7,4,11,9,5,89,4,4,7,39,14,7,0,0,4,85,0,0,4,68,6,4,0,0,0,86,0,0,0,4,5,0,0,0,0,12,0,4,32,190,21,19,23,3,0,292,0,0,0,0,0,0,7,4,0,13,0,0,0,12,0,4,0,0,0,23,0,0,0,0,0,4,3,0,0,6,0,0,9,11,0,0,0,0,0,22,0,0,0,13,0,4,3,4,4,20,0,6,23,149,46,39,20,9,4,292,0,0,0,7,0,0,3,0,0,19
POA3006,6,0,5,57,3,8,14,4,0,96,0,0,3,15,5,6,6,0,0,42,0,13,59,173,21,23,22,3,0,313,34,71,280,1635,58,36,20,0,0,2127,5,8,150,375,28,14,11,4,0,601,3,4,17,214,25,0,9,5,0,273,0,0,0,15,0,4,0,0,0,26,0,0,4,109,5,3,6,0,0,133,0,0,7,140,4,21,22,7,4,203,0,0,27,130,36,19,4,0,0,219,0,7,22,388,24,9,0,0,0,461,0,0,4,12,9,0,0,0,0,23,0,3,129,555,50,45,37,11,0,826,0,0,0,4,0,4,4,3,0,13,0,0,15,42,3,4,0,0,0,63,0,0,17,18,4,0,3,0,0,37,0,0,31,47,3,0,0,0,0,84,0,0,5,19,0,0,9,6,0,34,0,9,82,359,80,50,21,0,0,610,0,0,4,16,0,5,3,0,0,20
POA3008,0,0,5,29,6,7,7,4,0,67,0,0,0,16,8,0,6,0,0,36,0,10,23,143,25,14,9,4,0,224,99,107,96,1859,45,27,12,3,0,2243,0,0,35,93,5,3,13,0,0,157,0,0,5,124,11,3,0,0,0,148,0,0,0,10,0,0,0,0,0,15,0,0,3,18,11,4,4,0,0,39,0,0,6,63,8,19,18,12,4,120,6,0,0,72,13,9,3,0,0,104,3,4,31,246,25,3,4,0,0,311,0,0,0,5,8,4,0,0,0,14,3,4,68,259,23,20,18,0,0,392,0,0,0,0,0,4,4,0,0,9,0,0,0,27,0,0,0,0,0,27,0,0,8,20,0,5,0,0,0,31,0,0,9,25,3,0,0,0,0,36,0,0,0,4,3,3,6,3,0,17,5,3,40,168,55,32,10,6,0,321,0,0,0,5,3,4,0,0,0,10
POA3011,0,0,0,31,10,9,7,13,0,82,0,0,0,0,8,23,31,79,34,177,0,3,6,65,17,10,5,0,0,106,8,45,105,613,38,14,5,5,3,842,0,3,16,87,11,3,4,4,0,131,0,0,0,23,3,6,0,0,0,36,0,0,0,5,0,5,0,0,0,17,0,3,3,46,18,7,3,4,0,80,0,0,3,34,5,6,19,36,51,151,0,0,0,42,25,4,0,0,0,76,0,4,3,41,3,3,0,0,0,53,0,0,0,0,0,0,4,0,0,7,0,7,17,162,39,23,11,4,0,260,0,0,0,0,0,5,7,9,9,32,0,0,6,22,0,3,0,0,4,33,0,0,0,8,0,0,0,0,0,13,3,4,109,163,3,0,0,0,0,279,0,0,6,8,0,5,5,0,0,22,0,10,35,312,64,50,15,3,0,501,0,0,9,13,17,29,40,29,15,145
POA3012,0,0,5,30,10,10,25,17,7,102,0,0,0,9,6,29,47,87,35,213,0,0,0,82,10,6,4,0,0,106,8,43,117,760,42,19,19,5,4,1023,0,3,11,88,11,3,5,0,0,121,0,0,0,38,3,0,0,0,0,51,0,0,0,7,0,0,0,0,0,16,0,5,8,45,14,8,6,4,0,91,0,0,0,42,8,44,68,97,80,333,0,4,6,23,14,0,0,0,0,47,0,0,0,37,11,0,0,0,0,49,0,0,0,11,12,12,6,5,0,49,3,7,21,177,20,19,4,0,0,259,0,0,0,6,4,6,16,15,13,56,0,0,0,19,4,4,4,0,0,35,0,8,0,14,9,3,0,0,0,27,0,0,46,90,3,0,0,0,0,149,0,0,0,13,10,4,8,0,0,40,0,12,27,299,106,46,35,5,5,526,0,0,0,18,30,29,46,25,10,150
POA3013,0,4,0,26,8,9,7,0,4,54,0,0,4,9,13,30,55,115,53,285,0,4,0,21,4,0,0,0,0,29,0,3,11,77,10,3,4,0,3,124,0,0,0,23,3,0,3,0,0,30,0,0,0,3,0,4,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,54,20,6,4,0,0,92,0,0,0,25,7,16,27,64,31,170,0,0,0,20,7,0,0,0,0,27,0,0,0,12,3,0,0,0,0,12,0,0,0,0,10,5,9,7,0,38,0,3,7,44,16,8,0,0,0,74,0,0,0,0,0,3,12,8,0,22,0,0,0,7,0,3,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,9,24,0,0,0,0,0,31,0,0,0,12,3,5,4,0,0,25,0,14,16,201,75,37,14,0,0,359,0,0,0,11,21,28,44,38,14,147
POA3015,0,3,7,27,13,9,7,13,5,93,0,0,3,3,10,27,42,71,34,189,0,0,6,11,8,3,6,0,0,30,0,15,23,176,13,8,18,7,0,257,0,3,4,23,3,0,0,0,0,37,0,0,0,22,5,0,0,0,0,28,0,0,0,4,0,0,0,0,0,4,0,3,9,61,27,14,4,4,4,126,0,0,5,22,16,27,30,45,41,180,0,0,0,10,5,4,0,0,0,23,0,0,0,7,0,0,0,0,0,10,0,5,12,24,40,44,28,19,8,168,0,8,3,82,16,9,6,0,0,122,0,0,0,3,0,10,15,5,5,39,0,0,0,14,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,24,0,0,0,6,6,11,7,3,0,41,4,20,13,223,113,70,15,0,0,454,0,0,0,20,18,23,39,28,12,135
