POA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,0,0,33,89,5,3,0,0,0,122,0,0,0,8,4,0,0,0,0,16,5,9,166,710,52,30,10,3,0,985,0,0,6,32,4,9,0,5,5,59,0,0,0,0,0,0,0,0,0,0,0,0,8,25,5,15,14,0,0,70,4,5,135,293,35,14,9,0,0,486,0,5,36,52,17,7,0,0,0,125,0,0,73,168,19,9,7,0,0,286,0,4,98,521,21,22,9,0,0,680,3,6,176,1114,33,7,4,3,0,1342,0,0,5,70,8,4,0,0,0,87,4,7,73,176,30,23,11,7,0,321,4,21,548,441,49,15,16,0,0,1093,0,0,0,15,0,4,0,0,0,22,0,0,20,9,5,0,0,0,0,31,9,31,378,1382,103,53,21,13,4,1985,56,90,1008,2173,290,200,89,33,10,3951,697,767,12552,23575,2466,1688,956,323,73,43084
POA3002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,6,19,8,4,0,0,0,34,0,0,0,4,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,7,4,0,28,0,4,0,11,5,3,0,0,0,25,0,0,3,14,3,9,3,0,0,32,0,0,0,10,3,3,0,0,0,19,0,0,0,9,4,0,0,0,0,11,0,0,0,9,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,6,0,38,9,5,3,0,0,67,0,0,0,6,3,5,0,0,0,27,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,3,79,14,18,20,9,3,154,3,8,18,100,43,26,46,16,5,262,110,176,368,1928,552,663,651,324,119,4896
POA3003,0,0,3,15,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,21,100,9,5,5,0,0,139,0,0,0,10,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,7,6,3,0,0,0,15,0,3,9,60,3,0,0,0,0,78,0,0,0,16,0,0,0,0,0,15,0,0,17,30,6,0,0,0,0,56,0,0,10,79,0,0,0,0,0,93,0,0,3,70,5,3,0,0,0,85,0,0,0,24,3,0,3,0,0,26,0,4,11,34,15,5,3,0,0,77,0,4,30,67,19,10,4,0,0,141,0,0,0,4,0,0,0,0,0,4,0,0,4,13,0,0,0,0,0,19,3,10,75,434,20,15,12,0,0,570,11,7,66,221,28,22,29,3,0,397,250,336,1325,4626,697,435,245,91,15,8025
POA3004,0,0,4,16,0,0,0,0,0,26,0,0,0,0,5,4,0,0,0,6,3,3,10,122,11,13,3,0,0,161,0,0,0,19,3,3,15,4,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,10,4,8,3,80,0,0,9,40,9,7,6,0,0,76,0,0,3,61,11,19,16,0,0,105,0,0,0,47,7,4,3,0,0,69,0,0,0,43,0,0,4,0,0,54,0,4,5,42,12,0,4,0,0,65,0,0,0,13,3,3,0,0,0,20,0,3,9,43,7,15,14,11,0,115,0,0,4,33,9,3,8,0,0,56,0,0,0,11,0,3,0,0,0,10,0,0,0,8,0,0,0,0,0,10,10,16,35,529,57,44,41,34,14,781,15,27,78,467,105,92,84,89,84,1055,362,448,920,5518,1224,1071,1042,659,242,11482
POA3006,0,0,8,54,0,0,0,0,0,72,0,0,0,0,3,0,0,0,0,4,0,5,42,271,26,23,3,0,0,380,0,0,0,27,3,9,3,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,3,37,10,16,8,4,0,79,0,16,35,178,20,15,3,0,0,271,0,0,20,76,17,3,6,4,0,125,0,0,17,133,13,9,3,3,0,187,0,3,9,119,8,7,7,0,0,160,0,0,23,183,16,7,0,0,0,236,0,0,8,52,10,3,4,0,0,72,15,8,13,93,22,12,16,4,0,185,0,10,70,151,24,19,12,0,0,283,0,0,0,8,0,0,5,0,0,15,0,0,3,25,0,3,5,0,0,41,4,41,242,1553,111,56,42,26,7,2080,44,48,142,744,105,81,57,20,4,1251,702,657,3321,13661,1748,1322,868,358,65,22699
POA3008,0,0,4,49,0,0,0,0,0,56,0,0,0,5,0,0,0,0,0,9,0,4,16,181,17,15,16,3,0,257,0,0,3,20,4,5,3,0,0,40,0,0,0,3,0,0,0,0,0,3,0,0,0,9,4,3,11,0,0,37,0,3,21,72,16,8,3,0,0,132,0,0,6,44,9,12,3,0,0,75,0,0,13,46,9,4,4,3,0,85,0,8,3,99,7,4,0,0,0,124,0,7,24,151,14,0,0,0,0,189,0,0,0,34,5,9,3,0,0,61,6,24,5,57,19,10,3,3,0,122,0,4,46,96,30,12,7,0,0,193,0,0,0,3,0,3,0,0,0,13,0,0,3,11,5,0,0,0,0,17,19,28,123,734,77,42,32,9,0,1061,44,42,144,814,113,108,66,25,0,1362,695,513,1813,8929,1397,1204,695,207,42,15495
POA3011,0,0,12,53,0,4,0,0,0,70,0,0,3,11,10,3,0,0,0,31,4,5,22,176,34,25,21,4,0,291,0,0,0,19,4,11,8,7,6,48,0,0,0,3,0,3,0,3,0,14,0,0,5,33,8,14,5,7,0,65,0,7,8,59,13,6,8,0,0,97,0,0,7,45,9,4,0,0,0,65,0,3,12,62,3,3,0,0,4,84,3,0,3,36,0,3,4,0,0,52,0,5,7,62,9,7,0,0,0,90,0,0,0,13,5,9,3,3,0,33,3,6,4,89,12,6,6,0,0,126,6,23,118,487,251,363,251,98,47,1655,0,0,0,12,4,0,0,0,0,16,0,0,0,23,0,0,0,0,0,26,0,31,91,636,141,101,88,50,23,1159,33,68,140,634,149,122,107,90,73,1423,1156,1575,2305,10389,2538,1993,1240,703,390,22278
POA3012,0,3,19,65,6,0,0,0,0,92,0,0,0,6,4,0,0,0,0,19,0,18,29,210,69,51,35,30,7,438,0,0,0,33,10,17,11,9,13,89,0,0,0,7,0,0,5,0,0,12,0,0,0,38,17,17,6,7,4,89,0,0,0,51,9,3,11,4,0,78,0,4,3,36,9,3,0,0,0,58,0,0,8,43,21,12,5,3,0,101,0,0,5,27,4,0,0,5,0,37,0,3,15,56,19,9,0,0,0,109,0,0,0,17,14,22,4,4,0,69,0,5,13,57,19,3,0,4,0,109,4,28,132,536,487,488,309,96,50,2122,0,0,0,10,3,0,0,0,0,17,0,3,0,25,0,5,0,0,0,27,10,37,88,659,233,154,89,75,22,1353,49,126,138,587,159,123,73,62,26,1347,1716,2864,2626,11022,3452,2469,1525,873,479,27023
POA3013,0,0,0,11,0,0,0,0,0,14,0,0,0,3,4,0,0,0,0,9,0,0,0,56,11,13,8,3,0,96,0,0,0,7,5,3,11,6,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,10,11,0,0,78,0,0,0,26,9,6,0,0,0,35,0,3,4,44,20,3,0,0,0,73,0,0,3,14,0,9,0,0,0,26,0,0,0,14,0,0,0,0,0,16,0,0,5,31,3,3,0,0,0,44,0,0,0,12,4,3,0,0,0,18,3,8,4,43,24,5,6,0,0,94,0,0,4,81,72,72,74,29,5,332,0,0,0,3,5,0,0,0,0,17,0,0,0,3,0,0,0,0,0,9,0,15,23,236,76,59,44,33,15,497,34,51,47,188,78,64,29,20,17,529,1050,1946,1416,5559,2386,1611,870,511,300,15636
POA3015,0,0,0,15,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,6,0,8,4,48,15,19,8,0,0,96,0,0,0,16,8,4,7,0,10,51,0,0,0,0,0,0,0,0,0,0,0,3,4,37,19,21,13,3,0,103,0,3,0,17,7,3,3,0,0,34,3,3,5,55,21,11,0,4,0,101,0,0,0,25,12,5,3,0,0,43,0,0,0,9,0,0,0,0,0,12,0,6,4,26,8,4,3,0,0,43,0,3,0,8,0,0,0,0,0,17,5,13,4,60,21,12,10,4,0,132,0,3,5,51,28,8,17,6,0,118,0,0,0,7,5,3,0,0,0,20,0,0,0,11,0,0,0,0,0,13,0,17,22,200,74,68,56,58,24,517,34,46,55,215,107,59,56,25,17,609,1459,2561,1672,5955,2860,2053,1180,589,320,18634
