POA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
POA3000,3,17,18,25,14,38,3,175,0,0,0,0,0,5,3,3,0,0,3,0,0,4,0,17,0,0,0,5,7,5,11,10,0,10,12,11,8,3,0,87,0,14,13,5,7,0,23,43,9,18,30,43,18,7,12,234,0,0,0,0,9,22,76,51,26,28,51,56,35,5,12,373,0,0,0,3,7,38,305,270,83,85,106,125,40,3,18,1095,0,0,0,3,0,4,11,0,0,4,0,0,0,3,0,27,0,5,8,30,91,94,508,646,361,401,421,364,126,14,37,3111,0,0,0,0,0,4,20,26,18,46,137,136,48,0,4,454,3,0,0,3,0,0,3,8,3,3,9,4,0,3,0,42,0,0,14,32,46,93,131,136,28,42,43,66,40,61,14,742,0,0,0,7,3,7,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,3,17,28,10,10,20,15,9,0,3,122
POA3002,0,0,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,0,10,0,6,9,7,0,3,3,0,0,0,40,5,19,4,0,0,4,0,0,0,0,3,4,0,0,4,45,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,15,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,16,8,17,7,0,0,0,0,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,3,8,10,21,20,25,21,4,4,5,18,10,5,4,144,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA3003,5,9,7,4,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,26,0,11,3,3,0,0,4,16,0,6,5,7,4,0,4,68,0,0,0,0,0,5,15,9,3,4,8,3,4,0,4,61,0,0,0,0,0,9,48,57,15,17,22,17,10,0,5,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,22,14,72,49,27,24,18,10,9,3,0,254,0,0,0,0,0,6,5,3,0,8,14,9,3,0,0,47,0,5,0,0,0,0,5,0,0,4,0,0,0,0,0,17,0,0,3,0,11,29,36,31,12,5,6,11,7,4,4,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,6,5,0,0,20
POA3004,5,3,14,15,6,4,0,122,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,12,23,11,19,26,75,34,0,0,214,0,15,11,8,0,0,3,22,5,0,0,9,4,0,4,89,0,0,0,0,10,9,17,3,4,5,14,8,5,7,0,85,0,0,0,0,0,9,25,19,5,9,4,7,6,0,5,86,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,12,0,0,7,11,28,25,86,67,9,10,18,16,11,3,0,292,0,0,0,0,0,0,5,6,0,0,3,9,0,0,0,22,0,5,0,0,0,0,0,0,6,0,0,5,0,0,0,20,0,0,8,19,30,39,61,52,12,25,7,16,9,11,6,292,0,0,0,0,0,0,3,3,4,0,5,0,0,0,0,19,0,0,0,0,0,3,3,4,5,0,0,4,0,0,0,26
POA3006,12,20,22,30,28,4,6,273,0,0,0,0,0,9,7,10,0,0,0,5,0,0,0,26,0,0,0,6,4,3,21,22,3,4,19,33,16,0,0,133,3,15,21,0,0,6,15,63,14,16,9,17,4,0,7,203,0,0,0,3,5,14,41,28,15,18,25,38,17,11,8,219,0,0,0,0,10,19,173,96,40,29,30,33,17,0,3,461,0,0,3,3,4,0,5,0,0,0,0,0,0,0,0,23,0,0,13,26,64,56,240,185,63,53,45,47,17,0,11,826,0,0,0,0,0,7,8,12,5,14,10,23,0,0,5,84,0,9,0,0,0,0,5,0,4,6,0,9,4,0,0,34,0,0,8,25,32,69,118,109,37,47,33,64,23,32,10,610,0,0,0,0,5,0,6,0,0,3,0,0,0,0,0,20,0,0,0,0,0,5,11,19,5,17,9,3,4,3,0,72
POA3008,13,7,8,20,3,9,0,148,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,15,0,0,0,5,0,7,4,11,0,4,0,7,0,0,0,39,0,16,22,6,4,4,6,31,3,7,9,9,0,0,4,120,0,0,0,0,4,4,22,16,3,9,8,18,9,3,8,104,0,0,0,0,4,21,98,63,28,26,22,28,8,4,5,311,0,0,3,0,3,5,4,0,0,0,0,0,0,0,0,14,0,0,4,15,25,21,110,88,33,35,36,10,11,0,3,392,0,0,0,0,0,0,3,0,3,9,8,5,4,0,0,36,0,4,3,0,0,4,4,3,0,0,0,0,0,0,0,17,0,0,5,16,25,33,58,62,18,22,14,32,11,25,6,321,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,3,13,3,5,4,8,6,3,0,56
POA3011,0,3,3,0,0,0,0,36,0,0,0,0,0,5,10,3,0,0,0,0,0,0,0,17,0,0,3,6,12,9,23,17,0,8,0,0,0,0,0,80,3,54,25,10,0,0,3,19,3,0,6,0,0,0,10,151,0,0,0,0,4,14,29,10,0,3,3,7,0,0,4,76,0,0,0,0,4,5,25,8,0,7,0,3,3,0,0,53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,5,13,35,31,59,44,19,25,12,12,0,0,0,260,0,0,0,0,0,0,36,33,16,29,76,65,11,4,3,279,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,12,22,56,57,151,111,17,13,17,10,4,6,14,501,0,0,53,48,25,7,0,0,0,0,0,0,0,0,4,145,0,0,0,0,4,4,5,30,3,5,3,5,0,3,4,70
POA3012,0,0,3,6,0,0,0,51,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,16,0,6,5,10,10,3,33,16,4,0,3,0,0,0,0,91,6,117,130,15,5,4,10,15,9,3,0,3,0,0,13,333,0,0,0,0,4,3,11,11,0,3,0,6,0,0,0,47,0,0,0,0,3,7,14,12,0,0,3,0,0,0,0,49,0,0,3,20,9,3,7,0,0,0,0,0,0,0,0,49,0,0,0,7,35,38,71,38,12,16,13,13,3,0,3,259,0,0,0,0,0,6,22,31,9,14,33,31,3,0,4,149,0,11,0,3,6,3,12,7,0,4,0,0,0,0,0,40,0,0,14,25,54,71,179,97,12,10,19,11,9,3,9,526,0,0,47,54,13,11,6,0,0,0,3,0,0,0,4,150,0,0,0,0,0,0,16,32,4,12,16,9,0,0,5,92
POA3013,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,8,11,31,20,3,4,4,5,3,0,0,92,6,60,62,6,0,0,10,8,0,0,3,0,0,0,7,170,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,8,14,3,4,5,3,0,0,0,0,0,0,0,38,0,0,6,5,16,4,12,12,9,5,3,0,0,0,5,74,0,0,0,0,0,0,3,10,0,0,0,5,6,0,0,31,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,25,0,0,6,27,31,57,114,74,8,6,14,11,3,4,0,359,0,3,58,63,16,6,0,7,0,0,0,0,0,0,0,147,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,14
POA3015,0,0,0,0,0,4,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,7,0,7,14,31,39,0,0,5,4,0,3,6,126,7,51,66,9,8,4,14,4,0,6,3,0,0,0,17,180,0,0,0,0,3,5,8,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,5,6,3,0,0,0,0,0,3,10,0,4,31,36,41,14,12,7,0,3,0,7,4,0,3,168,0,0,0,13,11,16,50,13,7,4,5,4,0,0,3,122,0,0,0,0,0,0,0,4,0,7,10,9,0,0,0,24,0,10,6,3,0,4,11,0,0,0,0,0,0,0,0,41,3,3,0,32,56,76,147,85,10,7,24,9,6,5,4,454,0,0,33,58,23,5,8,0,0,0,0,6,0,0,7,135,0,0,0,0,0,3,4,3,0,3,0,0,0,0,0,21
