POA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
POA3000,2402,1046,1298,1634,2128,708,144,111,11088,0,0,4,0,0,0,0,0,0,6,14,814,1387,2843,1194,1472,1876,2496,851,193,154,13274,311,180,165,37,38,32,41,24,12,14,859,612,522,552,174,198,181,231,81,53,24,2628,17,50,120,44,58,70,57,14,3,11,444,0,0,3,0,0,0,0,0,0,0,8,631,575,670,218,260,253,292,93,54,38,3073,0,0,0,0,0,0,0,0,0,3,8,943,753,835,253,296,283,332,121,70,49,3938,258,69,50,5,7,5,7,0,3,8,417,240,113,82,25,27,30,32,21,10,8,587,22,49,48,21,38,47,37,16,5,17,291,4,0,0,0,0,0,0,0,0,0,0,268,157,132,46,64,76,69,34,18,21,878,3,0,0,0,0,0,0,0,0,0,4,529,223,185,52,70,78,77,33,19,34,1300,228,25,14,0,3,9,4,8,0,8,292,200,34,22,8
POA3002,33,7,14,14,22,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,77,40,70,21,28,36,58,11,10,4,354,68,31,30,4,0,3,4,8,0,3,154,49,23,23,6,4,7,6,0,5,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,23,23,4,4,7,6,0,5,0,125,0,0,0,0,0,0,0,0,0,0,0,117,58,59,6,5,14,16,10,5,8,287,73,9,17,0,6,0,0,0,0,3,114,26,7,6,3,3,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,7,7,3,5,3,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,103,18,23,4,8,4,0,4,0,0,163,120,7,4,0,3,0,0,0,0,0,144,44,0,0,0
POA3003,385,149,184,209,285,98,15,16,1579,0,0,0,0,0,0,0,0,0,13,13,181,214,471,186,220,256,334,121,24,28,2043,92,41,56,4,9,6,9,8,6,0,227,105,106,130,49,35,29,36,20,5,5,523,4,13,17,7,6,9,9,0,0,5,66,0,0,0,0,0,0,0,0,0,0,0,109,120,152,51,38,40,45,18,5,5,584,0,0,0,0,0,0,0,0,0,4,4,197,160,208,56,51,49,54,28,6,16,818,91,20,10,0,0,0,5,0,0,0,130,57,20,13,5,0,0,11,0,0,5,108,11,4,11,4,0,8,4,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,68,25,22,5,0,9,15,7,0,3,156,0,0,0,0,0,0,0,0,0,7,7,160,38,34,7,3,9,20,7,0,10,293,57,4,0,0,0,0,3,0,3,0,77,40,3,6,0
POA3004,288,121,136,153,185,76,13,3,1244,0,0,0,0,0,0,0,0,0,0,0,191,235,391,173,215,244,340,128,31,18,1959,124,91,93,14,15,17,21,5,8,5,393,184,171,189,67,51,79,64,26,9,7,842,5,0,14,3,3,4,8,5,0,0,46,0,0,0,0,0,0,0,0,0,0,6,184,174,197,71,62,79,72,30,9,7,885,0,0,0,0,0,0,0,0,0,0,0,311,263,288,79,76,100,90,34,15,14,1275,132,30,26,4,9,5,3,6,5,4,223,108,41,38,4,9,13,10,0,5,0,232,3,12,14,8,4,3,10,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,115,46,54,12,15,15,14,5,9,0,282,0,0,0,0,0,0,0,0,0,0,0,246,81,73,12,19,23,24,8,13,5,508,185,18,20,0,0,3,0,4,0,0,235,93,26,13,3
POA3006,1110,440,544,725,885,312,54,54,5015,0,0,0,0,0,0,0,0,0,8,10,493,786,1434,561,718,918,1158,389,73,82,6616,285,180,191,37,37,24,33,15,4,6,802,478,416,375,115,108,144,141,69,21,15,1882,10,19,25,16,8,16,27,10,4,0,122,0,4,0,0,0,0,0,0,0,0,4,491,438,400,124,114,161,162,74,22,20,2005,0,0,0,0,0,0,0,0,0,0,4,780,616,591,161,151,180,190,90,29,23,2813,223,71,43,11,9,10,5,7,0,3,382,175,92,59,24,16,10,26,19,7,9,433,13,26,7,7,0,7,6,9,5,5,92,0,0,0,0,0,0,0,0,0,0,0,186,119,73,27,12,17,32,26,11,13,526,0,0,0,0,0,0,0,0,0,0,0,413,194,110,39,23,23,36,31,13,16,904,209,19,23,8,7,10,0,3,6,0,279,168,39,22,3
POA3008,819,373,451,529,659,210,53,46,3714,0,0,0,0,0,0,0,0,0,3,0,295,478,963,428,533,607,768,248,65,49,4437,139,83,101,26,21,21,24,8,3,0,428,253,261,343,105,138,138,148,42,34,11,1472,0,5,24,6,6,7,17,7,3,5,85,0,0,0,0,0,0,0,0,0,0,0,249,268,363,116,146,149,170,46,38,16,1560,0,0,0,0,0,0,0,0,0,0,0,393,353,463,134,164,167,193,58,47,16,1986,137,41,37,4,6,0,9,4,0,0,246,146,61,55,13,8,7,11,10,11,0,331,9,13,29,13,4,4,14,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,159,75,83,28,15,19,23,12,16,3,428,0,0,0,0,0,0,0,0,0,0,0,300,114,116,30,19,19,32,20,13,3,670,141,22,10,0,3,0,9,4,3,3,199,146,15,18,0
POA3011,441,146,188,227,231,67,13,28,1712,0,0,0,0,0,0,0,0,0,3,6,349,321,638,202,231,288,289,84,19,46,2465,312,147,139,13,13,14,9,3,0,18,660,320,259,165,40,34,50,70,9,3,13,963,17,16,32,4,11,9,20,3,0,0,125,0,0,0,0,0,0,0,0,0,0,3,339,280,199,49,45,57,84,15,3,16,1092,0,0,0,0,0,0,0,0,0,0,4,650,427,337,59,58,73,94,14,0,32,1759,264,47,27,4,0,7,0,0,0,8,358,321,67,38,9,7,8,6,3,0,19,477,66,26,24,4,13,10,10,8,0,4,168,4,0,0,0,0,0,0,0,0,0,0,388,93,63,15,13,20,19,6,0,18,651,0,0,0,0,0,0,0,0,0,0,0,654,147,82,20,21,23,18,12,4,25,1008,241,6,4,0,0,0,4,0,0,4,265,358,19,10,0
POA3012,455,162,183,257,235,43,8,19,1755,0,0,0,0,0,4,0,0,0,10,14,336,306,627,202,238,295,274,46,11,36,2387,369,203,121,15,11,3,8,0,0,8,745,486,332,208,48,44,33,44,11,6,18,1227,19,19,30,6,8,14,18,0,0,5,114,0,0,0,0,0,0,0,0,0,0,4,506,352,238,50,53,46,60,13,6,24,1342,0,0,0,0,0,0,0,0,0,0,7,879,559,360,64,68,47,66,13,10,31,2098,367,53,34,5,4,4,4,0,0,10,478,578,95,54,7,7,5,11,0,0,7,760,144,22,31,4,5,7,3,3,0,5,230,3,0,0,0,0,0,0,0,0,0,3,728,114,84,13,13,11,14,3,3,17,996,0,0,0,0,0,0,0,0,0,0,0,1098,162,118,15,18,13,17,3,3,18,1470,275,17,6,0,0,0,0,0,0,7,305,509,15,17,0
POA3013,81,24,34,33,30,11,0,6,319,0,0,0,0,0,0,0,0,0,0,0,147,89,179,50,62,67,55,21,4,8,681,209,168,113,13,6,11,9,9,0,3,539,136,104,59,18,3,10,6,0,0,0,340,4,6,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,141,107,66,19,3,10,9,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,347,272,181,29,8,18,17,10,0,6,900,307,69,41,3,3,0,0,0,0,0,425,154,22,12,0,0,0,0,0,0,3,193,17,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,170,21,16,6,0,0,0,0,0,3,219,0,0,0,0,0,0,0,0,0,0,0,478,85,50,10,3,5,3,0,0,7,642,216,4,4,0,0,0,0,0,0,0,233,183,7,3,0
POA3015,81,17,47,31,41,11,4,9,325,0,0,0,0,0,0,0,0,0,0,0,111,82,184,42,57,63,63,15,9,11,641,256,176,133,13,15,15,13,6,3,8,632,159,120,91,22,20,21,14,0,0,0,459,5,0,5,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,161,124,99,23,20,24,12,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,418,298,235,40,30,41,24,9,3,10,1111,332,79,23,0,3,3,0,0,0,11,458,160,38,22,5,3,0,4,0,0,0,234,10,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,170,40,24,5,3,0,8,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,500,123,47,6,7,3,8,4,0,11,704,315,27,12,0,0,5,0,0,0,10,365,167,13,10,4
POA3016,40,10,6,12,22,8,0,4,147,0,0,0,0,0,0,0,0,0,0,0,71,52,68,22,18,24,22,9,0,4,284,153,103,68,16,4,5,8,0,0,0,352,99,67,66,4,11,5,4,8,5,7,275,0,4,6,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,100,69,69,9,10,5,3,8,5,7,287,0,0,0,0,0,0,0,0,0,0,0,243,170,139,24,20,8,10,8,9,11,639,324,69,42,3,8,5,3,0,0,5,472,136,47,28,0,7,0,0,0,0,0,219,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,137,45,31,0,7,0,3,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,462,121,78,6,14,9,6,6,0,3,701,434,34,7,0,0,0,0,0,0,4,489,126,4,7,0
