POA_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
POA3000,7,0,9,18,3,6,313,38,32,50,10,12,9,31,13,3,10,215,0,0,0,0,0,0,0,0,0,0,0,240,66,67,20,19,10,43,38,11,16,528,0,0,0,0,0,0,0,0,0,0,0,467,86,86,18,22,16,52,42,11,20,822,155,4,7,0,5,0,3,0,0,0,174,116,11,7,0,0,0,0,6,0,6,154,33,14,18,7,9,10,17,10,4,11,131,0,0,0,0,0,0,0,0,0,0,0,147,31,28,9,9,12,16,19,4,19,281,0,0,0,0,0,0,0,0,0,0,0,305,34,31,8,8,15,19,19,4,20,457,62,4,6,0,0,0,0,0,0,0,70,44,0,0,0,0,0,0,0,0,0,52,16,3,3,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,57,5,3,0,6,0,0,0,0,0,80,0,0,0,0,0,0
POA3002,0,0,0,3,0,0,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,168,8,6,0,3,0,0,3,0,7,192,101,0,3,0,0,0,0,0,0,0,108,36,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,140,0,3,0,0,0,0,0,0,3,149,42,0,0,0,0,0,0,0,0,0,49,17,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
POA3003,0,0,3,0,0,0,59,16,7,0,0,0,3,6,3,0,4,42,0,0,0,0,0,0,0,0,0,0,0,60,11,4,0,4,5,3,3,0,4,95,0,0,0,0,0,0,0,0,0,0,0,120,16,6,4,7,7,8,7,3,5,177,39,0,0,0,0,0,3,0,0,0,43,24,0,0,0,0,0,0,0,0,0,27,17,4,0,0,0,7,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,0,7,4,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,83,6,0,0,0,7,5,4,0,0,100,12,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,0,0,27,0,0,0,0,0,0
POA3004,0,12,7,0,0,0,154,4,11,3,0,0,6,7,9,0,0,37,0,0,0,0,0,0,0,0,0,0,0,98,34,10,4,3,10,13,9,0,4,189,0,0,0,0,0,0,0,0,0,0,0,287,54,29,6,6,13,13,9,0,8,423,211,0,8,0,0,0,3,4,0,3,225,78,10,4,3,0,0,0,0,0,0,95,7,7,5,4,0,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,87,17,9,3,0,0,9,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,294,21,11,3,3,0,8,4,0,3,353,119,0,0,0,0,0,0,0,0,4,125,43,0,0,0,0,0,0,0,0,0,49,4,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,52,6,8,0,0,0,0,5,0,0,60,0,0,0,0,0,0
POA3006,12,3,8,11,6,5,271,21,15,19,3,3,3,15,13,3,8,105,0,0,0,0,0,0,0,0,0,0,0,189,57,37,6,13,10,26,24,6,6,379,0,0,0,0,0,0,0,0,0,0,0,397,76,56,12,24,15,28,28,5,6,666,198,10,11,0,0,3,0,0,0,3,215,107,8,12,0,0,3,8,0,0,0,146,30,18,18,0,4,5,7,5,0,0,84,0,0,0,0,0,0,0,0,0,0,0,138,25,34,0,4,8,13,5,0,0,229,0,0,0,0,0,0,0,0,0,0,0,328,29,42,0,7,10,19,5,0,3,451,56,4,7,0,0,0,0,0,0,0,69,56,0,0,0,0,0,0,0,0,0,59,6,5,8,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,63,6,8,4,0,0,0,0,0,0,81,0,0,0,0,0,0
POA3008,0,0,10,8,3,0,206,19,21,14,12,12,5,11,8,3,0,102,0,0,0,0,0,0,0,0,0,0,0,166,33,29,18,12,4,23,11,3,6,307,0,0,0,0,0,0,0,0,0,0,0,306,54,39,18,13,8,33,11,11,5,504,139,8,3,0,0,0,0,0,0,3,155,76,4,4,0,0,0,0,0,0,0,86,19,8,6,0,6,5,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,91,18,10,4,4,5,3,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,227,22,15,4,4,8,3,6,0,3,295,45,0,0,0,0,0,0,0,0,0,48,20,0,0,0,0,0,0,0,0,0,21,7,3,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,31,3,0,3,0,0,0,0,0,0,37,0,0,0,0,0,0
POA3011,3,0,0,0,0,9,396,220,26,16,4,4,9,13,4,0,7,303,3,0,0,0,0,0,0,0,0,0,9,584,45,22,9,10,3,12,3,0,18,712,5,0,0,0,0,0,0,0,0,3,4,828,51,33,9,12,9,12,3,0,22,976,119,4,0,0,0,0,4,0,0,10,141,256,8,3,0,0,0,0,0,0,7,276,233,22,5,6,3,3,3,0,0,8,290,3,0,0,0,0,0,0,0,0,0,0,493,32,10,7,3,3,3,0,0,14,570,0,0,0,0,0,0,0,0,0,0,4,617,35,11,7,0,3,3,0,0,27,716,46,0,0,0,0,0,0,0,0,8,50,140,0,0,0,0,0,0,0,0,12,154,207,9,4,0,0,0,0,0,0,12,236,0,0,0,0,0,0,0,0,0,0,0,345,10,4,3,0,0,0,0,0,24,387,3,0,0,0,0,0
POA3012,5,0,3,3,0,11,565,282,22,28,6,3,5,7,6,0,16,380,3,0,0,0,0,0,0,0,0,0,4,793,43,42,4,9,5,7,7,0,32,942,0,0,0,0,0,0,0,0,0,0,0,1070,58,48,10,9,5,7,8,0,39,1252,189,3,4,0,0,0,0,0,0,0,205,348,4,8,0,0,0,0,0,0,12,367,296,19,21,0,0,4,0,0,0,7,355,0,0,0,0,0,0,0,0,0,0,3,650,26,25,0,0,4,0,0,0,17,726,0,0,0,0,0,0,0,0,0,0,4,840,36,30,0,0,3,6,0,0,21,935,74,4,0,0,0,0,0,0,0,6,81,222,4,3,0,0,0,0,0,0,13,233,259,5,5,0,0,0,8,0,0,4,276,0,0,0,0,0,0,0,0,0,0,4,482,5,7,0,0,0,8,0,0,11,512,0,0,0,0,0,0
POA3013,0,0,0,0,0,4,197,43,0,4,0,0,3,4,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,226,7,4,0,0,3,6,0,0,4,246,0,0,0,0,0,0,0,0,0,0,0,445,8,13,0,3,3,7,0,0,4,480,128,0,0,0,0,0,0,0,0,0,139,145,0,0,0,0,0,0,0,0,4,142,112,0,0,0,0,0,0,5,0,0,124,0,0,0,0,0,0,0,0,0,0,0,258,3,0,0,0,0,0,5,0,5,265,0,0,0,0,0,0,0,0,0,0,0,383,4,3,0,0,0,0,5,0,11,404,37,0,0,0,0,0,0,0,0,0,43,135,0,0,0,0,0,0,0,0,5,134,169,0,0,0,0,0,0,0,0,3,170,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,4,305,0,0,0,0,0,0
POA3015,0,0,0,0,0,0,192,21,0,0,5,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,190,17,12,0,0,0,0,0,0,6,225,0,0,0,0,0,0,0,0,0,0,0,506,42,27,0,0,8,0,0,0,11,597,187,4,3,0,0,0,0,0,0,0,192,160,0,0,0,0,0,0,3,3,4,178,65,9,6,0,0,4,5,5,0,3,87,0,0,0,0,0,0,0,0,0,0,0,234,4,3,0,0,4,5,7,3,7,263,0,0,0,0,0,0,0,0,0,5,5,417,10,10,0,4,4,5,7,3,13,460,70,0,0,0,0,0,0,0,0,4,76,133,0,0,0,0,0,0,0,0,3,139,115,0,0,0,0,0,0,0,0,10,128,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,17,267,0,0,0,0,0,0
