POA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
POA3000,0,0,0,0,0,123,10,5,5,6,0,0,3,0,0,152,11,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,33,1485,690,817,265,323,460,657,299,105,94,5203,1855,2087,4051,1981,2526,3001,3834,1601,270,229,21437,204,199,415,245,381,527,620,198,59,79,2930,8,5,3,3,0,3,11,3,3,6,44,2069,2289,4476,2225,2907,3533,4464,1800,332,310,24411,8,0,3,3,3,4,3,0,0,20,45,3562,2980,5296,2498,3235,3993,5123,2101,442,429,29660
POA3002,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,70,12,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,35,488,81,105,30,22,27,46,23,7,14,848,204,60,76,15,23,34,40,9,5,12,471,10,5,0,3,0,0,4,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,213,60,71,18,24,38,47,9,5,13,501,0,0,0,0,0,0,0,0,0,0,6,700,145,183,49,48,63,91,31,11,30,1348
POA3003,0,0,0,0,0,30,0,0,0,0,0,0,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,412,155,182,58,57,72,96,40,14,15,1097,340,310,633,277,281,310,400,176,26,30,2784,67,38,58,23,25,49,70,35,0,12,371,0,0,0,0,0,0,0,0,0,4,13,406,350,696,303,304,356,465,213,29,43,3160,0,0,0,0,0,0,0,0,0,32,34,818,506,878,358,362,426,558,253,46,89,4294
POA3004,0,0,0,0,0,169,0,3,5,0,0,0,5,0,4,183,44,0,0,0,0,0,0,0,0,0,41,19,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4,66,0,0,0,0,0,0,0,0,6,72,951,226,268,77,108,137,212,81,25,28,2118,620,453,617,246,256,308,313,127,40,25,2998,31,30,44,15,15,14,43,29,14,3,238,4,0,0,0,0,0,0,0,0,0,9,652,485,661,263,271,323,358,155,49,28,3240,5,0,0,0,0,0,0,0,0,3,4,1604,710,932,338,382,457,569,234,79,58,5366
POA3006,0,0,0,0,0,120,4,12,4,0,0,0,0,0,0,146,18,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,32,1286,521,644,205,274,281,395,132,50,54,3842,1293,1288,1810,756,869,1061,1395,538,105,106,9221,96,92,112,49,50,85,157,101,31,20,790,0,4,4,0,0,4,0,0,3,0,17,1384,1380,1925,802,919,1152,1557,641,133,126,10020,5,0,0,0,0,0,0,0,0,9,19,2677,1898,2569,1010,1198,1427,1952,775,187,186,13883
POA3008,0,0,0,0,0,75,3,3,3,0,0,0,0,0,0,84,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,767,268,329,104,142,122,188,70,33,11,2024,845,792,1412,593,758,840,1013,323,131,73,6779,74,65,123,68,65,71,128,64,30,22,706,0,0,0,0,0,4,5,0,0,0,13,919,859,1534,658,817,918,1148,390,164,91,7499,0,0,0,0,0,0,0,0,0,6,7,1680,1121,1860,764,962,1039,1333,465,199,109,9536
POA3011,0,0,0,0,3,390,10,4,3,0,0,0,0,0,32,442,18,0,0,0,0,0,0,0,0,3,27,41,0,0,0,0,0,0,0,0,5,50,140,0,0,0,0,0,0,0,0,13,154,0,0,0,0,0,0,0,0,0,0,7,189,0,0,0,0,0,0,0,0,23,208,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,29,240,1238,363,410,78,77,102,101,31,15,70,2475,1618,594,712,252,287,393,434,114,18,104,4532,896,113,123,31,46,55,81,40,10,53,1447,13,3,3,3,0,3,0,0,0,3,30,2520,710,841,290,330,448,512,157,26,157,6001,10,0,0,0,0,0,0,0,0,9,30,3769,1072,1248,371,414,550,616,187,45,236,8512
POA3012,0,0,0,0,0,558,8,7,0,0,0,8,0,0,16,595,31,0,0,0,0,0,0,0,0,0,34,87,0,0,0,0,0,0,0,0,4,90,140,0,0,0,0,0,0,0,0,8,152,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,4,247,3,0,0,0,0,0,0,0,0,4,8,274,0,0,0,0,0,0,0,0,6,283,1520,399,394,73,90,66,69,14,10,56,2695,2432,728,844,258,263,391,386,96,23,94,5502,1155,109,143,27,49,55,71,21,12,45,1677,10,0,0,0,0,0,5,0,0,8,28,3592,830,984,289,312,441,460,118,30,142,7205,10,3,7,0,0,4,0,0,0,16,32,5120,1234,1388,360,407,511,530,127,37,215,9930
POA3013,0,0,0,0,0,343,0,0,0,0,0,0,0,0,8,347,17,0,0,0,0,0,0,0,0,0,18,53,0,0,0,0,0,0,0,0,0,60,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,3,153,1038,312,302,48,50,54,49,20,11,19,1903,862,182,170,54,47,54,61,21,0,23,1467,424,8,16,0,6,4,8,9,0,3,475,0,0,0,0,0,0,0,0,0,0,3,1283,193,183,57,48,65,66,26,0,29,1947,0,0,0,0,0,0,0,0,0,0,4,2325,501,484,102,97,117,115,50,12,51,3851
POA3015,0,0,0,0,0,315,3,6,0,0,0,0,0,0,16,343,26,0,0,0,0,0,0,0,0,12,36,57,0,0,0,0,0,0,0,0,11,68,47,0,0,0,0,0,0,0,0,21,64,4,0,0,0,0,0,0,0,0,0,4,109,0,0,0,0,0,0,0,0,30,137,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,37,171,1288,370,326,45,35,60,48,22,19,43,2259,883,223,227,58,98,90,77,29,4,40,1736,261,16,20,6,4,11,6,6,0,36,364,8,0,0,0,0,0,0,0,0,3,8,1151,234,246,65,104,100,88,31,3,75,2110,0,0,0,0,0,0,0,0,0,4,5,2438,604,576,117,139,163,137,56,22,128,4377
POA3016,0,0,0,0,0,296,3,0,0,0,0,0,0,0,8,312,43,3,0,0,0,0,0,0,0,0,46,45,0,0,0,0,0,0,0,0,3,45,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,108,3,0,0,0,0,0,0,0,3,114,1522,317,239,47,40,25,29,8,11,25,2259,706,161,182,33,31,27,35,26,10,18,1230,121,14,5,6,6,4,8,8,0,11,171,0,0,0,0,0,0,0,0,0,0,0,828,178,188,35,33,30,43,29,10,24,1402,4,0,0,0,0,0,0,0,0,0,3,2353,493,430,86,76,56,72,39,16,51,3665
POA3018,0,0,0,0,0,406,7,0,0,0,0,4,0,0,5,425,75,0,0,0,0,0,0,0,0,0,77,69,0,0,0,0,0,0,0,0,0,69,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,178,1321,247,257,36,54,41,60,9,5,17,2055,814,207,220,49,77,49,75,16,11,12,1532,136,21,10,8,0,4,6,6,0,5,195,0,0,0,0,0,0,0,0,0,0,0,946,228,232,53,76,58,83,16,11,21,1725,3,0,0,0,0,0,0,0,0,0,0,2267,474,489,92,136,100,145,26,12,42,3784
POA3019,0,0,0,0,0,185,8,0,0,0,0,0,0,0,5,207,11,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,0,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,4,56,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,4,62,327,96,78,28,23,36,32,4,4,15,647,1325,439,486,135,175,208,237,53,10,70,3150,919,148,168,39,43,48,64,30,8,37,1497,3,3,0,0,0,3,0,0,0,3,16,2251,595,658,172,221,251,298,86,13,113,4666,5,0,0,3,0,0,0,0,0,6,17,2588,694,738,209,246,287,333,94,21,132,5330
POA3020,0,0,0,3,6,1698,18,17,0,4,0,3,4,0,77,1822,71,0,0,0,0,0,0,0,0,3,75,290,0,0,0,0,0,0,0,0,22,307,349,7,0,0,0,0,0,0,0,25,389,5,0,0,0,0,0,0,0,0,3,13,647,6,0,0,0,0,0,0,0,54,709,3,0,0,0,0,0,0,0,0,0,3,719,6,0,0,0,0,0,0,0,57,790,1838,324,311,83,68,76,74,24,6,100,2904,6393,1816,2077,479,584,739,766,230,37,339,13460,3529,621,848,156,168,190,206,111,41,248,6118,31,6,12,0,0,4,3,0,0,12,72,9954,2445,2935,637,753,937,973,338,84,602,19660,8,4,10,0,5,4,0,0,0,39,70,11800,2774,3255,716,823,1011,1048,364,92,745,22629
POA3021,0,0,0,3,3,2183,36,27,3,0,0,9,0,0,108,2375,69,0,0,0,0,0,0,0,0,10,79,266,0,0,0,0,0,0,0,0,23,284,346,3,3,0,0,0,0,0,0,42,394,4,0,0,0,0,0,0,0,0,0,4,615,3,3,0,0,4,0,0,0,64,688,4,0,0,0,0,0,0,0,0,0,4,689,8,3,0,0,4,0,0,0,71,771,2244,343,298,71,70,80,79,38,6,117,3333,8533,2530,2587,701,737,872,1067,263,39,443,17768,5157,1187,1292,286,273,271,403,196,55,402,9524,38,16,0,5,0,0,9,3,3,15,92,13728,3727,3886,992,1014,1145,1480,464,91,863,27386,21,3,5,0,0,7,0,0,3,45,89,15995,4068,4188,1059,1090,1225,1553,495,102,1019,30810
POA3022,0,0,0,0,0,101,0,0,0,0,0,0,0,0,4,103,12,0,0,0,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0,0,4,34,41,0,0,0,0,0,0,0,0,7,44,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,10,77,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,9,89,170,28,36,0,3,0,7,3,0,10,258,343,116,151,45,30,36,41,11,6,24,807,169,22,50,7,4,11,11,3,0,15,295,9,0,0,0,0,0,0,0,0,7,11,523,141,199,52,29,46,53,17,7,43,1109,0,0,0,0,0,0,0,0,0,5,3,687,171,240,58,33,49,55,17,7,53,1371
POA3023,0,0,0,25,32,1303,52,40,13,11,6,23,8,0,54,1513,72,0,0,0,0,0,0,0,0,0,76,93,0,4,0,0,0,0,0,0,4,97,169,13,0,0,0,4,0,0,0,4,192,7,0,0,0,0,0,0,0,0,0,7,266,13,5,0,0,4,0,0,0,9,294,3,0,0,0,0,0,0,0,0,32,33,344,13,5,0,0,4,0,0,0,40,408,3222,703,551,91,86,78,82,32,29,95,4982,9910,3643,2769,783,673,648,778,199,61,276,19734,2789,663,703,195,137,153,317,128,46,156,5291,30,13,8,0,0,5,6,3,0,14,77,12727,4325,3474,980,808,805,1102,332,110,443,25100,15,7,12,0,3,0,0,5,0,625,669,15973,5035,4037,1069,902,885,1185,368,135,1168,30747
