POA_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA3000,0,0,14,6,24,0,0,27,0,36,0,0,4,0,12,0,12,0,0,0,0,0,0,0,6,24,13,0,32,0,43,0,0,0,0,0,0,0,21,24,13,0,32,0,54,13,0,0,0,0,0,13,3,17,5,0,23,0,24,0,7,8,0,9,0,9,0,0,0,0,0,0,0,3,20,11,0,35,0,37,0,0,0,0,0,0,0,9,20,11,0,35,0,46,3,0,0,0,0,0,3,0,14,0,0,17,0,17,0,0,4,0,5,0,5,0,0,0,0,0,0,0,0,21,3,0,27,0,27,0,0,0,0,0,0,0,3,21,3,0,27,0,26,207,21,0,0,21,0,227,99,651,33,5,693,3,798,3,55,45,0,95,0,101,0,0,0,0,0,0,0,101,713,75,5,790,0,892,0,0,0,0,0,0,0,311,729,75,5,806,0,1120
POA3002,0,0,25,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,33,29,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,31,18,0,0,0,0,0,18,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,16,216,4,0,0,4,0,221,13,45,0,0,45,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,45,0,0,45,0,60,0,0,0,0,0,0,0,234,50,0,0,50,0,285
POA3003,0,0,33,3,10,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,0,16,0,22,0,0,0,0,0,0,0,31,12,4,0,16,0,49,10,0,0,0,0,0,10,6,12,0,0,11,0,16,0,3,3,0,7,0,7,0,0,0,0,0,0,0,6,12,0,0,17,0,20,0,0,0,0,0,0,0,12,16,0,0,19,0,34,6,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,6,0,6,0,0,0,0,0,0,0,7,4,0,0,6,0,11,240,20,0,0,20,0,261,41,216,14,0,227,0,269,0,23,21,0,48,0,47,0,0,0,0,0,0,0,42,238,29,0,271,0,316,0,0,0,0,0,0,0,290,257,29,0,286,0,580
POA3004,0,0,20,3,12,0,0,17,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,16,0,0,19,0,20,0,0,0,0,0,0,0,24,20,0,0,20,0,40,13,0,0,0,0,0,13,4,7,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,11,0,10,0,0,0,0,0,0,0,11,7,0,0,11,0,22,8,0,0,0,0,0,8,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,8,5,0,0,5,0,13,255,17,0,4,14,0,269,68,310,14,0,327,0,398,0,18,9,0,31,0,33,0,0,0,0,0,0,0,71,332,23,0,358,0,430,0,0,0,0,0,0,0,323,345,23,4,375,0,698
POA3006,0,0,16,0,22,0,0,23,0,25,0,4,0,0,5,0,5,0,0,0,0,0,0,0,0,26,6,0,27,0,27,0,0,0,0,0,0,0,18,23,6,0,30,0,46,3,4,0,0,4,0,9,3,17,3,0,24,0,26,0,4,5,0,6,0,9,0,0,0,0,0,0,0,3,20,6,0,29,0,35,0,0,0,0,0,0,0,12,23,6,0,27,0,41,11,0,0,0,0,0,11,3,3,0,0,8,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,9,0,14,0,18,0,0,0,0,0,0,0,14,4,9,0,14,0,22,305,19,5,0,22,0,327,81,608,23,0,632,0,712,3,40,19,0,55,0,64,0,0,0,0,0,0,0,89,647,44,0,685,0,776,0,5,0,0,5,0,3,397,665,48,0,713,0,1108
POA3008,0,0,14,0,18,0,0,17,0,17,0,0,3,0,9,0,9,0,0,0,0,0,0,0,0,21,8,0,25,0,25,0,0,0,0,0,0,0,18,21,8,0,25,0,42,18,0,0,0,0,0,18,0,12,0,0,14,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,0,0,16,0,16,0,0,0,0,0,0,0,22,13,0,0,16,0,33,7,0,0,0,0,0,7,0,8,0,0,8,0,10,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,7,0,0,13,0,12,0,0,0,0,0,0,0,6,7,0,0,13,0,16,221,17,0,0,17,0,238,61,688,15,0,703,0,764,0,42,25,0,69,0,72,0,0,0,0,0,0,0,60,734,40,0,770,0,834,0,0,0,0,0,0,0,285,756,40,0,793,0,1081
POA3011,5,0,107,8,44,8,0,44,0,55,0,10,9,0,16,0,16,0,0,0,0,0,0,0,8,54,7,0,64,0,67,0,0,0,0,0,0,0,106,53,7,0,65,0,177,44,3,0,0,3,0,49,0,35,3,0,38,0,41,0,9,9,0,18,0,18,0,0,0,0,0,0,0,0,42,11,0,54,0,54,0,0,0,0,0,0,0,50,44,11,0,54,0,105,32,0,0,0,0,0,32,3,18,4,0,18,0,23,0,6,15,0,21,0,21,0,0,0,0,0,0,0,3,28,13,0,42,0,43,0,0,0,0,0,0,0,31,28,13,0,42,0,71,1423,80,0,0,79,0,1503,148,617,30,0,647,0,795,9,105,54,0,158,0,162,0,0,0,0,0,0,0,158,721,82,0,801,0,959,0,4,0,0,4,0,4,1584,799,80,0,885,3,2469
POA3012,11,0,224,26,111,14,0,122,0,146,0,17,15,0,32,0,32,0,0,0,0,0,0,0,26,124,25,0,151,0,176,0,0,0,0,0,0,0,234,142,25,0,164,0,397,85,5,0,0,5,0,98,0,82,7,0,88,0,92,0,18,24,0,45,0,45,0,0,0,0,0,0,0,0,106,31,0,138,0,136,0,0,0,0,0,0,0,91,115,31,0,146,0,232,35,4,0,0,4,0,38,3,30,7,0,40,0,38,0,9,8,0,19,0,17,0,0,0,0,0,0,0,3,34,14,0,54,0,55,0,0,0,0,0,0,0,37,36,20,0,54,0,95,2480,175,0,0,175,3,2661,269,1157,49,0,1214,0,1482,6,128,95,7,234,0,241,0,0,0,0,0,0,0,278,1286,146,9,1442,0,1716,7,4,0,7,10,0,11,2767,1467,147,10,1622,4,4390
POA3013,10,0,271,12,35,0,0,39,0,50,0,0,4,0,9,0,9,0,0,0,0,0,0,0,12,34,3,0,42,0,52,0,0,0,0,0,0,0,278,44,3,0,51,0,327,125,4,0,0,4,0,131,8,21,3,0,22,0,34,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,22,7,0,25,0,32,0,0,0,0,0,0,0,134,27,7,0,31,0,165,53,6,0,0,6,0,56,3,14,4,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,0,19,0,24,0,0,0,0,0,0,0,54,21,4,0,26,0,75,2386,120,0,0,118,0,2509,186,338,23,0,365,0,548,0,18,4,0,24,0,27,0,0,0,0,0,0,0,187,358,29,0,387,0,572,0,0,0,0,0,0,0,2577,480,28,0,507,0,3084
POA3015,10,0,309,11,44,5,0,46,0,63,0,4,0,0,4,0,4,0,0,0,0,0,0,0,11,46,5,0,50,0,62,0,0,0,0,0,0,0,316,50,3,0,58,0,375,143,5,0,0,6,0,150,8,40,0,0,40,0,51,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,40,0,0,41,0,53,0,0,0,0,0,0,0,153,49,3,0,50,0,203,66,0,0,0,0,0,70,0,22,0,0,22,0,27,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,27,0,0,27,0,31,0,0,0,0,0,0,0,72,27,0,0,26,0,98,3080,124,8,5,131,0,3209,246,575,23,0,597,0,843,8,23,4,0,28,0,31,0,0,0,0,0,0,0,252,599,28,0,631,0,877,0,5,0,0,5,0,10,3331,724,36,5,763,6,4096
