POA_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
POA3000,7433,..,..,..,..,7433,..,10,0,10,0,10,..,150,8,156,0,159,..,0,0,0,0,0,..,744,124,871,3,874,..,3602,864,4467,10,4474,..,112,34,147,0,147,..,4462,1020,5480,12,5491,..,14,0,15,4,20,..,115,0,115,0,115,..,39,0,39,0,39,..,58,3,57,0,60,..,87,0,83,0,83,..,61,3,65,0,65,..,640,7,654,4,654,..,229,3,228,0,231,..,113,4,108,0,108,..,86,5,88,0,88,..,98,0,98,0,98,..,168,0,171,0,171,..,1478,21,1506,5,1508,..,133,3,141,0,141,..,111,13,127,0,129,..,49,0,46,0,46,..,360,109,469,5,468,..,9,4,17,0,17,..,109,3,115,0,114,..,88,11,97,0,97,..,25,0,25,0,25,..,72,3,74,0,74,..,34,5,33,0,33,..,5,0,5,0,5,..,19,0,19,0,19,..,160
POA3002,1905,..,..,..,..,1905,..,6,0,6,0,6,..,9,0,10,0,10,..,3,0,3,0,3,..,35,0,30,0,30,..,40,8,48,0,48,..,3,0,3,0,3,..,78,3,82,0,82,..,4,0,4,0,4,..,11,0,11,0,11,..,16,0,18,0,18,..,23,0,23,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,16,..,33,0,35,0,33,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6
POA3003,2026,..,..,..,..,2026,..,0,0,0,0,0,..,37,3,39,0,39,..,3,0,3,0,3,..,103,19,126,0,126,..,370,94,466,5,473,..,14,0,17,0,17,..,487,121,603,5,611,..,3,0,3,0,3,..,25,0,25,0,25,..,14,0,14,0,14,..,21,0,21,0,21,..,18,0,20,0,20,..,5,0,5,0,5,..,101,0,102,0,103,..,24,0,28,0,28,..,20,0,20,0,22,..,19,0,19,0,19,..,13,0,17,0,17,..,18,0,18,0,18,..,214,3,221,3,221,..,51,3,56,0,56,..,28,0,30,0,30,..,3,0,3,0,3,..,59,24,89,0,86,..,9,0,9,0,9,..,15,0,15,0,21,..,17,0,22,0,22,..,4,0,4,0,4,..,20,0,25,0,25,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,20
POA3004,3347,..,..,..,..,3347,..,9,0,9,0,9,..,34,0,34,0,34,..,0,0,0,0,0,..,93,6,101,0,100,..,329,52,384,0,389,..,9,0,9,0,9,..,434,63,494,6,493,..,10,0,11,0,11,..,55,0,55,0,55,..,35,0,36,0,39,..,51,0,51,0,51,..,11,0,11,0,11,..,27,0,27,0,24,..,80,0,83,0,83,..,17,0,17,0,17,..,14,0,13,0,13,..,20,0,20,0,21,..,13,0,13,0,13,..,16,0,16,0,16,..,194,6,197,4,197,..,53,0,54,0,54,..,29,6,38,0,38,..,3,0,3,0,3,..,31,7,33,0,33,..,9,9,11,0,11,..,10,0,10,0,10,..,50,3,53,0,52,..,12,0,12,0,12,..,74,0,77,0,77,..,32,0,37,0,37,..,0,0,0,0,0,..,10,0,10,0,10,..,26
POA3006,5622,..,..,..,..,5622,..,8,0,8,0,8,..,138,10,149,0,149,..,0,0,0,0,0,..,299,28,327,0,328,..,946,132,1080,7,1091,..,36,3,40,0,40,..,1282,165,1447,11,1456,..,14,0,15,0,17,..,74,3,79,0,79,..,41,0,38,0,41,..,43,0,43,0,43,..,57,0,57,0,57,..,73,0,73,0,73,..,470,12,476,4,481,..,42,0,42,0,42,..,52,3,60,0,60,..,56,0,60,0,60,..,51,0,57,0,57,..,110,5,113,0,111,..,905,23,928,8,931,..,133,0,133,0,133,..,78,19,91,0,91,..,9,0,7,0,7,..,170,36,208,3,215,..,13,0,13,0,13,..,66,0,66,0,67,..,126,4,129,0,129,..,8,0,13,0,13,..,89,0,90,0,90,..,36,10,41,0,48,..,0,0,0,0,0,..,23,0,24,0,24,..,60
POA3008,3251,..,..,..,..,3251,..,9,0,9,0,9,..,158,16,172,0,172,..,3,0,3,0,3,..,210,31,234,3,237,..,870,153,1024,10,1029,..,28,11,39,0,39,..,1104,192,1296,10,1306,..,10,0,6,0,6,..,35,5,36,0,39,..,28,0,30,0,30,..,41,0,41,0,41,..,71,0,69,0,72,..,26,0,27,0,27,..,383,12,393,0,392,..,18,0,18,0,18,..,41,0,41,0,45,..,26,0,26,0,26,..,43,0,43,0,43,..,116,0,117,6,123,..,726,17,745,9,750,..,74,0,84,0,84,..,36,9,40,0,40,..,5,0,5,0,5,..,116,26,137,0,137,..,12,0,13,0,13,..,75,3,79,0,78,..,68,3,73,0,73,..,15,0,15,0,15,..,61,9,67,0,67,..,26,3,31,0,31,..,5,0,5,0,5,..,21,0,21,0,21,..,37
POA3011,6686,..,..,..,..,6686,..,3,0,3,0,3,..,58,9,64,0,65,..,7,0,7,0,7,..,161,58,220,0,218,..,158,88,248,5,250,..,31,9,44,0,44,..,349,160,507,4,511,..,36,3,40,0,47,..,38,0,38,3,40,..,39,0,39,0,38,..,117,34,151,0,156,..,104,7,110,0,110,..,81,5,89,0,89,..,94,9,104,0,104,..,143,0,148,0,148,..,39,0,43,0,37,..,25,0,25,0,24,..,87,6,98,0,95,..,9,0,9,0,9,..,582,28,610,0,618,..,97,20,115,0,116,..,41,4,48,0,48,..,8,0,8,0,8,..,11,6,19,0,19,..,71,24,99,5,99,..,12,0,11,0,11,..,18,5,19,0,19,..,22,0,20,0,20,..,19,5,25,0,25,..,13,0,7,0,7,..,7,0,7,0,7,..,26,20,44,0,44,..,27
POA3012,7887,..,..,..,..,7887,..,8,0,8,0,8,..,151,10,161,4,162,..,9,3,14,0,14,..,197,85,277,5,281,..,179,86,265,0,264,..,19,7,26,5,30,..,394,174,566,8,580,..,63,17,83,0,83,..,55,3,61,0,61,..,23,0,21,0,27,..,149,46,192,0,192,..,79,8,83,0,83,..,35,3,37,0,37,..,90,0,90,0,90,..,89,0,86,0,86,..,45,0,46,0,46,..,19,0,19,0,19,..,145,14,155,0,155,..,23,0,27,0,27,..,514,32,547,0,547,..,179,32,208,0,210,..,17,6,21,0,25,..,7,0,7,0,7,..,18,3,22,0,22,..,81,18,97,0,97,..,20,0,20,0,20,..,13,8,20,0,20,..,31,3,27,0,27,..,45,4,52,0,52,..,5,0,5,0,8,..,9,0,9,0,9,..,41,12,57,0,52,..,35
POA3013,5869,..,..,..,..,5869,..,4,0,4,0,4,..,32,5,34,0,34,..,0,0,0,0,0,..,43,16,61,0,61,..,43,14,50,0,50,..,10,3,9,0,9,..,91,33,126,0,126,..,29,0,34,0,34,..,15,0,23,0,23,..,29,0,29,0,29,..,227,65,290,0,289,..,14,0,14,0,11,..,3,0,3,0,3,..,21,0,21,0,21,..,21,0,21,0,21,..,9,0,14,0,14,..,7,0,7,0,7,..,6,0,6,0,6,..,6,0,6,0,6,..,87,4,93,0,93,..,102,14,112,0,114,..,16,0,18,0,23,..,0,0,0,0,0,..,3,0,3,0,5,..,70,26,97,0,97,..,3,0,3,0,3,..,0,0,5,0,5,..,17,0,20,0,20,..,12,0,12,0,12,..,7,0,7,0,7,..,0,0,0,0,0,..,23,5,23,0,23,..,0
POA3015,7242,..,..,..,..,7242,..,15,0,15,0,15,..,173,32,209,3,210,..,0,0,0,0,0,..,37,11,48,0,48,..,47,18,65,5,60,..,10,0,11,0,11,..,92,23,113,5,114,..,47,8,50,0,50,..,36,0,34,0,36,..,23,0,23,0,23,..,168,35,203,0,203,..,10,0,12,0,12,..,6,0,3,0,3,..,56,3,54,0,54,..,12,0,9,0,9,..,19,0,21,0,21,..,7,0,7,0,7,..,11,0,11,0,11,..,4,0,4,0,4,..,122,7,132,0,128,..,105,15,125,3,126,..,13,3,21,0,21,..,6,0,6,0,6,..,10,0,10,0,10,..,84,17,102,0,102,..,5,0,5,0,5,..,13,0,14,0,14,..,22,6,23,0,23,..,10,0,10,0,10,..,4,4,8,0,8,..,5,0,5,0,5,..,34,13,43,0,43,..,10
