POA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
POA3000,0,153,..,1182,22,1202,6,1212,..,102,6,107,0,107,..,207,45,247,3,252,..,42,0,44,0,44,..,432,118,545,0,545,..,7,0,7,0,7,..,92,3,94,0,94,..,65,11,75,0,75,..,20,0,23,0,23,..,76,4,77,0,77,..,54,0,62,0,62,..,4,0,4,0,6,..,19,0,19,0,19,..,216,0,218,0,220,..,865,17,882,0,883,..,208,0,209,0,209,..,150,3,153,0,160,..,1438,25,1462,4,1467,..,455,45,492,0,494,..,158,6,159,3,164,..,633,185,819,4,823,..,24,0,27,0,25,..,647,49,692,0,692,..,566,59,624,10,632,..,12318,1630,13948,54,13999,..,65,18,83,1864,1946,5590,12383,1646,14026,1918,21539,13028,..,..,..,..,13028,..,19,0,19,0,19,..,274,20,286,0,291,..,0,0,0,0,0,..,1691,243,1936,5,1939,..,8319,1752,10075,23,10095
POA3002,0,0,..,13,0,15,0,15,..,38,0,38,0,38,..,12,0,12,0,12,..,3,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,9,0,9,0,9,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,14,0,19,0,19,..,19,0,23,0,23,..,4,0,4,0,4,..,5,0,3,0,3,..,3,0,3,0,3,..,17,5,17,0,17,..,32,0,31,0,31,..,357,26,378,0,382,..,0,0,0,135,134,2026,357,26,381,135,2545,3933,..,..,..,..,3933,..,9,0,9,0,9,..,12,3,19,0,19,..,3,0,3,0,3,..,60,0,57,0,57,..,100,10,109,0,109
POA3003,0,17,..,182,7,188,0,188,..,32,0,30,0,30,..,40,3,44,0,44,..,0,0,0,0,0,..,71,25,99,3,96,..,8,0,8,0,8,..,22,0,22,0,22,..,15,0,14,0,14,..,6,0,6,0,6,..,27,0,27,0,27,..,22,0,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,20,0,20,0,20,..,39,3,43,0,39,..,31,0,28,0,28,..,12,0,12,0,12,..,99,0,104,0,106,..,143,21,161,0,161,..,23,0,23,0,25,..,45,7,56,4,55,..,12,0,15,0,15,..,88,11,97,0,97,..,96,12,105,3,106,..,1692,214,1909,18,1919,..,10,3,10,189,204,1806,1703,222,1921,203,3926,3826,..,..,..,..,3826,..,0,0,0,0,0,..,78,3,79,0,79,..,6,0,6,0,6,..,226,43,269,0,269,..,903,184,1078,9,1089
POA3004,0,17,..,169,5,172,0,171,..,56,4,53,0,53,..,37,4,44,0,44,..,6,0,10,0,10,..,42,7,50,0,50,..,4,0,7,0,7,..,9,0,9,0,9,..,53,9,58,0,58,..,15,0,15,0,15,..,73,0,73,0,73,..,35,4,39,0,39,..,0,0,0,0,0,..,5,0,5,0,5,..,35,0,35,0,35,..,63,3,63,0,63,..,31,0,31,0,31,..,17,0,15,0,15,..,134,3,137,0,137,..,190,11,198,0,204,..,26,0,23,0,23,..,36,4,35,0,35,..,11,0,11,0,11,..,33,0,37,0,37,..,128,18,146,4,151,..,1842,177,2021,12,2035,..,9,0,9,507,520,3270,1853,179,2031,520,5827,6620,..,..,..,..,6620,..,14,0,14,0,14,..,63,3,65,0,65,..,0,0,0,0,0,..,197,13,211,0,211,..,809,153,962,7,962
POA3006,0,91,..,765,15,783,3,790,..,94,4,97,3,95,..,89,23,115,3,119,..,9,0,9,0,9,..,207,42,246,3,251,..,14,0,16,0,16,..,50,0,55,0,55,..,114,12,127,0,127,..,18,0,17,0,17,..,99,12,108,0,108,..,74,3,79,0,79,..,0,0,0,0,0,..,26,5,27,0,27,..,71,0,71,0,71,..,255,9,270,0,272,..,74,0,74,0,74,..,60,0,60,0,60,..,461,9,473,3,476,..,542,62,607,0,610,..,79,6,79,0,80,..,105,27,130,0,130,..,34,6,35,0,41,..,182,15,199,0,199,..,314,25,336,3,341,..,5312,530,5846,39,5882,..,37,9,41,596,639,4671,5351,538,5888,636,11197,10294,..,..,..,..,10294,..,25,0,25,0,25,..,241,20,263,4,268,..,3,0,3,0,3,..,633,58,694,5,702,..,2265,339,2607,15,2627
POA3008,0,114,..,594,28,626,9,634,..,57,7,66,0,66,..,51,17,74,0,73,..,10,0,10,0,10,..,119,36,154,0,154,..,11,0,10,0,10,..,54,3,53,0,53,..,65,0,64,0,64,..,19,0,21,0,21,..,77,4,80,0,82,..,46,8,57,0,57,..,7,0,7,0,7,..,13,0,21,0,21,..,63,0,63,0,63,..,60,4,66,3,66,..,52,0,52,0,54,..,22,0,22,0,22,..,194,4,197,3,203,..,177,24,202,0,202,..,107,16,120,0,120,..,89,16,113,0,113,..,35,6,37,0,37,..,114,13,126,0,128,..,297,24,322,11,334,..,3687,476,4162,38,4200,..,36,10,42,659,702,2553,3720,487,4209,696,7458,5807,..,..,..,..,5807,..,20,0,20,0,20,..,276,28,310,4,308,..,3,0,3,0,3,..,449,49,501,4,504,..,1923,375,2298,11,2315
POA3011,0,12,..,408,46,453,4,455,..,95,26,127,0,127,..,61,6,70,0,70,..,10,4,13,0,13,..,21,0,20,0,23,..,66,30,99,3,102,..,9,0,9,0,9,..,7,3,14,0,14,..,17,3,28,0,28,..,18,0,21,0,21,..,13,0,13,0,13,..,9,0,9,0,9,..,30,19,45,0,45,..,48,3,45,0,45,..,42,6,49,0,50,..,74,0,76,0,78,..,25,0,25,0,27,..,189,10,193,3,197,..,147,33,183,4,185,..,17,0,17,0,17,..,44,4,46,0,46,..,29,8,31,0,31,..,693,399,1091,10,1095,..,395,75,466,0,475,..,2964,917,3886,41,3919,..,52,7,60,608,667,6323,3018,928,3944,646,10913,13012,..,..,..,..,13012,..,7,0,7,0,7,..,102,15,118,0,121,..,9,0,9,0,9,..,334,144,476,3,480,..,362,171,533,6,537
POA3012,0,27,..,354,31,389,9,398,..,201,61,267,0,268,..,36,4,36,0,36,..,5,0,5,0,5,..,22,4,23,0,26,..,86,31,108,0,108,..,8,0,7,0,7,..,21,4,25,0,25,..,46,14,55,0,55,..,42,5,49,0,49,..,8,0,10,0,12,..,9,0,9,0,9,..,54,19,75,0,75,..,76,3,77,0,77,..,44,3,48,0,51,..,135,6,137,0,141,..,25,0,25,0,25,..,281,12,292,4,293,..,200,28,229,0,229,..,18,3,23,0,23,..,44,10,60,0,60,..,43,18,67,0,65,..,1033,508,1536,16,1555,..,462,71,537,13,549,..,3846,1136,4985,50,5030,..,59,10,69,593,664,7729,3907,1150,5052,642,13423,15616,..,..,..,..,15616,..,10,0,10,0,10,..,265,27,292,3,300,..,20,3,20,0,20,..,426,197,628,6,636,..,374,180,550,5,557
POA3013,0,9,..,51,3,53,0,53,..,104,32,131,0,137,..,24,0,23,5,25,..,0,0,0,0,0,..,8,4,9,0,9,..,65,32,95,0,95,..,0,0,0,0,0,..,3,0,3,0,3,..,26,3,31,0,31,..,15,0,15,0,15,..,13,0,10,0,10,..,0,0,0,0,0,..,31,10,44,0,44,..,4,0,4,0,4,..,12,0,12,0,12,..,21,0,21,0,21,..,0,0,0,0,0,..,42,0,42,0,42,..,79,16,93,3,96,..,10,4,10,0,10,..,25,0,29,0,27,..,9,0,9,0,9,..,188,73,256,0,261,..,134,18,152,0,153,..,1342,340,1684,13,1697,..,31,5,34,243,276,6062,1372,340,1717,255,8038,11933,..,..,..,..,11933,..,9,0,9,0,9,..,60,10,77,0,77,..,0,0,0,0,0,..,108,35,140,4,144,..,107,25,129,0,129
POA3015,0,0,..,108,10,114,0,112,..,131,21,150,0,156,..,20,5,22,0,22,..,5,0,5,0,5,..,3,0,3,0,3,..,80,21,100,0,100,..,3,0,3,0,3,..,16,3,19,0,19,..,33,3,42,0,40,..,26,0,24,0,24,..,12,0,8,0,8,..,5,0,5,0,5,..,47,10,59,0,59,..,9,0,13,0,13,..,22,0,19,0,19,..,25,0,25,0,25,..,12,0,12,0,12,..,61,3,69,0,69,..,95,9,101,0,100,..,16,0,16,0,16,..,22,6,29,0,29,..,9,0,8,0,8,..,76,26,100,3,103,..,171,31,204,6,206,..,1602,265,1871,20,1885,..,22,3,25,273,303,7304,1629,271,1895,295,9492,14546,..,..,..,..,14546,..,30,0,30,0,27,..,351,60,410,6,415,..,3,0,3,0,3,..,92,21,110,0,110,..,134,29,166,0,169
