POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA3000,16,359,7,365,..,941,277,1218,4,1218,..,70,12,77,0,82,..,1080,77,1156,0,1158,..,1193,115,1303,19,1327,..,22820,3095,25916,98,26009,..,133,33,161,3886,4045,13028,22953,3125,26076,3986,43084
POA3002,0,3,0,3,..,4,0,10,0,10,..,6,0,6,0,6,..,23,0,28,0,28,..,54,0,55,0,55,..,647,32,683,0,689,..,13,0,14,258,279,3933,660,35,699,268,4896
POA3003,0,56,0,61,..,63,7,73,3,80,..,25,6,27,0,27,..,158,14,172,0,169,..,191,15,207,5,214,..,3177,407,3585,30,3610,..,24,9,35,549,581,3826,3203,411,3617,579,8025
POA3004,0,47,0,52,..,47,4,50,0,46,..,32,0,32,0,32,..,59,3,59,0,60,..,250,26,270,9,278,..,3478,297,3780,26,3809,..,33,6,34,1029,1058,6620,3512,303,3809,1054,11482
POA3006,8,178,0,184,..,156,35,195,0,195,..,73,3,77,0,78,..,300,27,321,0,322,..,629,54,682,18,700,..,10064,919,10978,85,11068,..,89,16,110,1234,1338,10294,10158,932,11086,1319,22699
POA3008,25,285,7,287,..,136,31,175,0,175,..,70,5,78,0,76,..,191,20,207,5,214,..,683,57,743,24,764,..,7351,835,8184,72,8256,..,69,19,85,1347,1431,5807,7424,853,8271,1419,15495
POA3011,4,46,0,44,..,63,10,75,0,75,..,51,12,60,0,60,..,1392,647,2040,17,2054,..,898,147,1041,13,1058,..,6106,1594,7701,80,7779,..,101,17,122,1359,1479,13012,6210,1617,7822,1439,22278
POA3012,4,69,0,69,..,72,20,93,0,93,..,95,36,130,0,131,..,2013,801,2819,30,2846,..,1189,150,1342,25,1365,..,7889,1941,9827,108,9931,..,116,25,140,1328,1472,15616,8006,1966,9972,1435,27023
POA3013,6,23,0,23,..,38,0,36,0,38,..,30,0,30,0,30,..,346,111,457,0,460,..,250,32,281,8,286,..,2553,552,3102,27,3129,..,59,11,71,505,574,11933,2614,564,3174,528,15636
POA3015,0,28,0,28,..,37,10,50,0,47,..,19,0,22,0,27,..,120,37,154,3,158,..,317,44,360,10,368,..,2936,468,3409,35,3449,..,59,11,69,579,644,14546,2995,480,3477,614,18634
