POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3000,0,23,86,47,27,24,31,19,13,276,3,41,153,57,35,12,6,8,4,320,164,901,1696,646,314,221,102,45,8,4095,1518,10806,17637,5897,2461,1679,954,318,73,41357
POA3002,0,0,8,0,0,0,6,11,16,49,0,0,4,0,3,0,0,0,0,9,6,16,52,52,40,31,55,20,12,295,44,275,1144,784,552,663,651,324,119,4551
POA3003,0,0,4,3,6,12,14,10,8,66,0,0,22,3,0,0,3,5,0,38,9,67,185,84,41,30,31,4,0,454,114,1095,3247,1377,699,433,245,91,15,7315
POA3004,0,0,7,3,6,7,7,12,9,51,0,0,10,3,4,7,4,5,0,40,18,62,331,173,115,94,93,103,87,1073,97,714,3363,2155,1222,1070,1037,659,242,10552
POA3006,3,0,22,14,9,11,24,13,9,106,0,5,45,24,9,8,7,0,5,110,19,139,535,261,117,86,62,36,9,1263,322,2858,9432,4225,1748,1322,868,358,65,21194
POA3008,0,0,8,10,9,18,13,10,7,75,0,11,54,14,14,17,3,3,0,116,14,131,586,266,116,113,75,28,0,1327,143,1567,6027,2891,1397,1200,695,206,42,14175
POA3011,4,0,37,41,38,105,164,202,107,705,0,3,12,38,54,81,71,50,50,367,34,117,449,250,162,160,141,140,130,1587,314,1677,6190,4188,2537,1991,1235,703,390,19213
POA3012,7,3,28,37,77,155,233,268,164,971,0,7,17,36,49,98,75,74,52,406,55,97,422,266,181,142,118,113,122,1517,401,1560,6059,4959,3444,2464,1520,873,476,21750
POA3013,0,6,4,14,22,32,102,191,138,508,0,0,6,3,7,25,33,47,31,152,27,28,109,96,77,71,44,29,25,505,238,727,2654,2903,2385,1610,870,511,300,12191
POA3015,0,0,9,6,8,42,101,160,93,416,0,0,9,16,3,13,31,43,23,144,25,35,106,126,115,63,79,63,95,703,300,791,2472,3486,2858,2052,1174,589,320,14042
POA3016,0,0,4,7,18,29,94,115,85,354,0,0,0,8,4,6,25,18,12,81,43,26,65,64,83,65,94,54,27,516,341,850,1294,1921,2658,2516,1796,821,303,12503
POA3018,0,0,0,17,26,43,143,182,129,553,0,0,6,7,11,8,23,22,13,86,14,29,87,124,86,63,72,67,45,579,195,527,1566,2231,2007,1602,1370,887,397,10789
POA3019,12,8,35,42,74,112,136,79,45,529,0,6,32,36,59,82,91,49,26,369,29,69,164,107,63,77,79,26,16,638,216,721,2222,1410,1098,983,787,290,118,7842
POA3020,14,38,159,242,321,485,784,924,453,3420,7,21,192,192,234,318,284,240,159,1641,145,231,625,499,385,300,309,273,131,2910,918,3075,8074,6347,5340,4752,3760,2438,1059,35762
POA3021,16,41,164,377,539,705,1284,1044,337,4511,10,31,215,263,410,482,454,309,166,2340,249,337,912,684,509,504,454,432,330,4401,1241,3974,9218,7144,6361,6205,5669,2993,1091,43888
POA3022,0,0,10,3,21,23,38,49,34,176,0,0,8,10,19,16,16,18,40,132,8,28,75,50,39,34,30,16,8,284,54,156,601,549,397,276,257,150,107,2548
POA3023,22,30,151,281,334,517,845,592,192,2967,3,19,129,151,233,311,294,154,68,1352,217,304,830,650,492,348,297,209,104,3448,1748,4372,9557,11267,9544,6330,4476,1961,575,49830
POA3024,9,28,90,81,90,128,153,122,55,762,3,22,54,91,116,93,48,23,7,457,99,143,341,359,173,103,85,36,15,1342,797,2079,6229,6708,3399,2291,1424,515,146,23592
POA3025,0,6,16,42,49,93,214,398,237,1043,0,3,8,20,29,31,76,135,108,412,33,35,166,117,88,55,62,101,60,707,222,601,2044,2075,1508,1037,958,1000,556,9995
POA3026,0,0,10,33,45,66,47,32,7,242,6,0,20,25,31,39,33,16,4,172,21,33,99,90,50,51,20,11,5,369,174,487,1177,1811,1135,678,325,117,16,5928
POA3027,0,0,8,12,11,20,17,16,0,90,0,3,11,12,10,12,11,0,4,61,23,47,162,107,42,28,17,4,0,429,153,691,1963,2199,969,536,300,52,12,6869
POA3028,17,19,47,55,96,194,434,354,176,1387,0,12,35,37,70,68,86,87,43,439,68,116,308,247,202,172,173,111,84,1476,578,1653,4467,4231,3634,3674,2620,1196,490,22545
POA3029,40,72,232,310,339,506,640,536,164,2843,6,43,199,204,237,271,195,111,45,1315,438,653,1927,1572,717,487,394,212,66,6458,2651,8464,24724,25551,12291,9070,5883,2403,541,91572
POA3030,50,57,177,230,281,415,714,634,319,2875,11,32,177,222,241,192,166,122,67,1232,331,405,1150,1145,670,496,448,374,247,5266,2500,6797,18337,22749,14660,9983,6759,3075,1149,85999
POA3031,3,6,25,31,39,91,110,105,66,483,0,6,28,29,50,58,56,59,26,315,38,63,224,183,135,95,93,51,40,928,257,1255,4271,3271,2192,1619,1181,511,241,14802
POA3032,6,12,31,43,55,115,193,247,131,822,0,4,42,20,35,70,60,72,63,364,41,99,344,229,182,140,121,64,28,1255,471,2186,6048,4967,4028,3220,2207,971,354,24450
POA3033,3,0,7,12,21,41,206,456,232,979,0,0,12,0,12,12,45,72,55,205,16,30,77,65,87,54,85,117,36,574,281,734,1642,1950,2138,1647,1474,1451,514,11833
POA3034,0,3,3,12,28,78,267,473,269,1131,0,0,0,10,20,21,61,100,49,271,10,19,64,59,49,58,91,130,120,605,206,597,1372,1656,1506,1370,1425,1280,604,10020
POA3036,0,0,3,3,6,27,52,98,67,255,0,0,0,3,0,0,8,19,6,38,11,0,27,19,32,24,32,23,23,194,143,335,560,643,817,843,746,476,224,4776
POA3037,14,17,63,93,195,397,695,516,199,2190,0,3,39,69,111,201,156,122,69,775,121,119,326,345,263,230,186,119,49,1757,1495,3693,6615,7486,7919,5805,3507,1584,569,38666
