POA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
POA3000,398,1143,159,6,209,157,42,57,1726,46,898,5799,214,9475,30,103,5,3,18,11,5,10,100,9,63,534,23,824,34,61,24,0,15,10,3,6,70,0,49,452,19,666,11,29,0,0,9,3,0,0,34,3,34,365,9,476,26,28,17,5,24,20,9,7,51,5,44,516,11,677,6,24,4,4,10,3,3,0,42,0,46,538,8,656,51,301,40,3,98,44,13,10,297,12,282,8281,98,9347,54,167,33,10,90,27,10,9,230,9,232,9684,95,10522,24,77,5,0,48,15,15,3,66,0,86,4052,76,4425,26,62,13,4,14,6,0,0,89,0,74,1364,31,1637,9,20,3,0,12,8,0,0,35,0,16,313,11,404,258,872,144,24,324,146,61,42,1015,44,929,26099,377,29634,0,8,8,0,0,0,0,0,3,3,4,132,3828,3972,663,2018,312,35,529,310,106,104,2743,89,1834,32028,4416,43084,320,1479,153,7
POA3002,286,297,158,37,78,145,29,30,356,33,303,1974,85,3291,11,17,4,0,3,6,7,0,27,3,18,100,3,174,25,17,15,0,8,13,0,9,27,0,22,162,9,266,10,6,0,4,3,3,0,4,8,0,7,80,4,119,15,4,3,8,3,4,0,5,13,0,19,89,0,148,0,0,0,4,0,0,0,0,5,0,4,35,5,46,5,8,0,0,6,4,3,0,12,0,14,129,6,180,11,3,0,0,3,5,0,0,5,0,5,141,0,171,4,8,6,0,6,4,0,0,0,0,3,39,0,59,3,6,0,0,0,0,0,0,9,0,15,119,0,142,3,0,0,0,0,0,0,0,0,0,4,41,0,56,86,71,39,15,30,32,10,10,97,5,110,943,27,1344,3,3,0,0,0,5,0,0,4,0,0,4,256,270,377,376,192,52,115,177,41,43,458,40,422,2921,369,4896,155,274,87,0
POA3003,111,356,58,6,57,56,19,15,467,16,273,2059,215,3337,7,27,0,0,0,0,0,0,31,0,15,105,3,172,14,18,4,0,0,3,4,0,24,0,16,155,6,224,7,9,6,0,0,4,0,3,0,0,7,105,0,130,15,9,4,4,9,7,5,0,12,0,20,119,12,189,6,8,0,0,5,0,4,0,10,0,10,123,11,164,17,48,0,0,10,7,0,0,39,0,49,634,12,790,7,17,9,0,9,10,6,0,29,0,43,1217,21,1346,0,6,0,0,14,0,0,0,18,0,34,605,17,688,0,21,0,0,9,4,0,0,33,0,15,416,7,492,0,3,0,0,0,0,0,0,10,0,0,68,3,92,70,163,39,4,60,43,16,12,207,0,218,3539,93,4281,0,0,0,0,4,0,4,0,3,0,0,17,373,404,177,526,91,7,125,105,36,28,679,18,489,5618,686,8025,101,411,61,0
POA3004,378,499,206,25,154,211,29,60,590,33,491,3095,137,5064,17,44,5,0,9,7,0,0,38,0,33,203,7,313,41,44,23,9,27,16,4,6,41,7,58,361,11,565,15,24,14,3,5,11,0,3,8,5,24,347,14,441,32,20,7,4,21,22,3,0,30,4,24,276,15,414,8,5,6,0,13,7,3,5,12,0,16,199,10,263,18,46,3,0,14,8,5,0,36,0,38,650,13,807,13,19,11,0,20,11,0,0,21,3,50,967,17,1108,10,15,8,0,20,10,4,4,5,0,33,511,9,592,12,33,8,0,5,5,0,0,31,0,43,536,14,663,9,19,3,0,4,0,0,3,16,0,15,122,7,176,176,273,105,15,122,103,22,31,241,26,329,4172,103,5354,12,6,4,6,4,3,0,3,0,0,4,35,1011,1066,559,775,317,41,281,323,45,93,838,54,830,7300,1247,11482,233,538,124,5
POA3006,309,784,169,11,169,154,34,55,1024,23,646,4906,163,7566,28,77,16,0,9,10,8,4,61,4,48,449,12,664,63,63,26,0,26,24,0,10,64,0,63,531,18,795,16,29,7,0,11,7,3,0,29,0,21,361,8,462,32,23,15,0,16,20,11,6,30,4,36,581,20,735,15,30,5,0,10,11,3,0,28,0,32,565,13,691,22,141,16,5,31,31,5,5,92,4,120,2236,50,2683,18,54,25,8,43,20,3,7,69,4,106,2886,38,3224,18,64,6,0,57,19,3,4,61,6,84,2298,40,2599,14,46,8,0,11,3,5,0,70,3,67,1468,25,1686,11,27,0,4,0,3,0,0,12,0,13,254,5,320,226,549,123,17,221,141,33,36,523,30,586,11634,240,13866,4,4,0,0,4,5,0,0,0,0,4,49,1203,1262,536,1338,291,27,389,297,71,94,1548,54,1235,16592,1602,22699,283,1072,128,3
POA3008,243,406,122,5,118,131,30,40,469,36,425,3041,112,4607,11,40,10,0,10,8,0,0,30,0,35,233,13,362,21,24,17,0,11,12,4,0,35,0,39,233,4,360,4,7,5,0,7,8,0,0,5,0,9,190,4,236,18,20,12,0,13,14,0,3,24,3,30,341,4,439,9,23,8,0,11,6,3,3,25,0,29,458,11,550,20,45,11,0,34,14,7,5,40,5,52,1192,11,1391,16,35,22,0,36,15,6,5,57,4,83,2507,30,2784,9,45,11,0,46,7,8,4,21,3,53,2292,19,2484,8,34,7,0,6,10,4,4,34,0,37,615,15,742,9,9,4,0,4,5,0,0,9,0,11,126,3,162,126,273,94,7,186,98,26,30,285,19,370,8181,119,9514,0,0,0,0,0,0,0,0,0,0,4,50,1320,1378,373,677,219,11,303,234,56,69,752,52,807,11280,1550,15495,179,515,99,0
POA3011,571,1423,202,53,274,214,65,126,2079,59,1221,7577,350,12342,39,94,8,4,24,15,3,10,105,0,64,318,23,590,50,78,16,10,20,17,6,10,95,5,70,361,21,645,21,10,6,7,12,10,4,9,24,0,22,174,4,258,181,49,54,56,138,98,36,17,121,29,151,350,21,880,14,20,0,4,19,9,7,7,29,0,21,147,4,242,146,161,36,31,191,86,34,19,149,23,258,1782,75,2641,33,31,13,7,30,12,4,7,24,6,63,549,18,731,22,37,3,4,45,11,3,0,56,0,33,1295,35,1500,24,28,10,0,8,3,0,8,55,0,51,460,14,607,15,21,3,0,21,9,0,0,39,0,26,298,19,413,540,525,153,119,508,272,98,83,701,78,760,5736,230,8497,44,12,4,25,7,0,0,4,20,5,15,69,1292,1437,1147,1957,362,200,791,487,157,208,2792,136,1996,13379,1875,22278,388,1287,147,4
POA3012,726,1763,269,76,432,274,105,146,2010,66,1319,10162,550,15739,42,88,17,0,24,14,7,8,65,0,44,372,20,612,61,72,22,7,30,26,7,24,70,6,62,421,18,698,26,25,14,4,15,19,3,11,26,8,32,208,18,340,255,79,68,74,214,132,29,46,137,49,187,557,47,1306,26,23,7,9,39,14,8,3,36,4,37,254,20,379,180,187,64,28,245,75,32,21,131,26,288,2246,106,3232,17,27,10,0,30,15,4,4,18,8,42,542,14,677,17,29,17,3,46,15,7,7,28,7,46,1370,32,1541,38,36,14,3,33,13,6,5,58,0,43,461,9,647,22,27,6,0,32,14,0,0,28,0,29,349,22,481,678,598,229,122,705,336,107,120,586,103,809,6775,306,9915,18,10,5,5,13,10,0,4,14,0,12,59,1259,1368,1420,2363,504,208,1145,615,218,269,2606,171,2140,16992,2105,27023,469,1456,201,4
POA3013,529,1157,226,27,260,224,70,81,1298,67,899,7454,342,11258,19,52,9,0,11,7,3,3,34,4,34,255,4,392,47,62,16,0,26,16,6,10,62,5,48,438,25,682,14,15,7,0,3,5,4,0,10,0,11,185,9,245,191,47,54,33,142,87,22,27,87,29,123,410,21,909,11,3,8,0,9,8,0,0,12,0,15,69,4,121,41,52,7,5,50,14,4,7,42,8,62,420,15,650,0,6,4,0,0,4,0,0,6,0,6,142,0,169,7,8,4,0,9,3,0,3,11,0,8,180,3,225,14,28,8,0,13,4,0,0,26,3,26,214,9,312,6,8,4,0,8,0,5,0,19,0,10,93,6,139,345,288,122,43,265,146,40,51,310,52,351,2401,91,3846,17,5,4,0,3,3,3,5,3,0,7,32,483,534,887,1450,353,66,528,371,110,131,1608,115,1254,9882,909,15636,344,951,160,3
POA3015,709,1273,259,53,288,291,81,118,1284,77,1033,9212,441,13653,26,44,8,0,13,5,0,3,35,7,34,341,10,484,50,68,22,8,31,32,11,10,82,14,68,497,24,802,33,10,10,3,17,10,3,0,15,5,17,236,6,327,171,40,45,47,128,84,25,13,81,29,91,399,31,865,44,14,9,5,53,21,4,0,20,7,37,186,5,325,12,27,11,0,23,15,7,0,13,0,33,376,5,485,3,7,5,0,13,0,0,0,6,0,12,146,0,194,13,13,7,0,15,10,3,0,7,4,19,292,9,370,16,29,0,0,6,9,6,3,35,0,26,238,9,340,12,13,0,0,7,0,0,0,11,0,17,131,8,184,363,268,120,64,308,183,50,38,313,63,361,2838,109,4369,20,5,4,5,9,7,0,3,18,3,10,27,545,614,1086,1543,382,121,602,478,127,162,1607,143,1401,12077,1097,18634,417,964,166,7
