POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA3000,35,11,73,8182,9168,2181,1065,16795,4232,41625
POA3002,73,4,119,1299,1591,476,210,754,277,4609
POA3003,8,0,15,1781,2173,583,280,2013,603,7440
POA3004,95,87,242,2471,3116,888,468,2660,1073,10672
POA3006,33,5,65,4951,6181,1481,714,6673,1347,21338
POA3008,14,3,42,2705,3756,1063,571,4827,1373,14283
POA3011,231,75,390,4202,6030,1910,965,4969,1478,19546
POA3012,207,99,479,4522,6511,2439,1451,5987,1531,22444
POA3013,156,18,300,2982,4429,1595,882,2245,513,12644
POA3015,175,40,320,3169,5085,1979,1090,2657,634,14620
POA3016,116,30,303,2954,4389,1841,1027,2501,501,13216
POA3018,183,33,398,2279,3384,1509,859,2584,547,11172
POA3019,62,15,116,1327,1668,587,489,3418,685,8171
POA3020,585,86,1058,6018,7382,3196,2686,14917,2919,37114
POA3021,510,270,1087,6792,7688,3453,3292,20009,4524,45758
POA3022,71,12,107,431,578,208,171,910,319,2625
POA3023,318,87,575,9160,10791,4699,4094,18877,5244,52875
POA3024,103,10,149,4268,6036,2744,2351,7930,1498,24825
POA3025,334,41,561,1905,2545,1059,835,3322,675,10339
POA3026,13,3,16,1064,1296,606,539,2426,394,6330
POA3027,9,0,12,1266,1669,765,594,2381,478,7150
POA3028,309,38,496,4239,5710,2450,1953,7571,1446,23368
POA3029,287,59,541,14896,20667,9805,8862,33732,7940,95904
POA3030,668,180,1147,16534,22744,10247,8121,27217,5472,90342
POA3031,159,15,241,3577,5171,1528,735,3310,884,15209
POA3032,145,43,354,5527,7803,2722,1622,6269,1350,25290
POA3033,311,19,514,2481,3248,1515,1099,3563,532,12435
POA3034,379,30,607,1919,2438,1200,934,3456,457,10411
POA3036,108,19,224,1030,1311,650,509,1323,195,5023
POA3037,425,27,569,7871,9299,4013,3535,14451,1941,41108
POA3038,264,17,449,4416,5315,2598,2089,7430,975,22827
POA3039,252,16,415,3379,4413,1670,897,3074,538,13976
POA3040,327,56,655,5392,6684,2778,1646,5201,940,22629
POA3041,157,20,304,2383,3103,1428,890,2616,370,10781
POA3042,218,47,501,2859,3941,1601,1209,3671,598,13866
POA3043,190,46,381,2771,3626,1596,1276,4875,775,14920
POA3044,544,79,987,4923,6915,2869,1879,5937,1078,23595
POA3045,0,0,0,0,3,0,0,3,44,55
POA3046,587,183,1211,5370,7357,2876,2374,10124,2203,30306
POA3047,173,31,327,2230,2463,1063,1268,7800,2042,16866
POA3048,154,15,213,1985,2182,945,1048,6915,1196,14261
POA3049,99,14,159,1541,1950,839,667,2717,438,8156
POA3051,54,17,126,3147,4162,1080,520,3099,1204,13220
POA3052,114,10,155,2175,1664,429,218,1891,436,6810
POA3053,148,17,217,3577,4063,956,474,5095,1012,15177
POA3054,51,12,141,2096,2729,772,394,1022,279,7293
POA3055,148,38,289,3117,4317,1412,709,2763,554,12865
POA3056,236,33,440,6018,8194,2327,992,3987,841,22359
POA3057,75,12,173,3306,4647,1125,501,1918,518,12011
POA3058,505,108,963,6488,9233,3457,2072,6757,1367,29370
POA3059,80,5,120,3011,3821,1625,1566,6064,666,16750
POA3060,275,40,534,1773,2345,1059,1022,4198,846,11247
POA3061,72,12,113,546,629,251,300,1934,330,3988
POA3062,0,0,0,0,0,0,0,3,0,6
POA3063,6,3,7,105,111,49,64,105,38,475
POA3064,331,95,539,12913,16362,7370,7359,35494,5376,84878
POA3065,69,17,135,2487,3129,851,329,1761,804,9362
POA3066,41,0,67,2236,2967,608,288,1602,574,8284
POA3067,64,3,97,2175,3032,719,294,1648,495,8362
POA3068,201,23,385,4471,6243,2015,852,2473,720,16765
POA3070,274,39,528,5374,7924,2732,1245,3374,841,21495
POA3071,194,129,495,3855,5575,1891,1044,3050,780,16200
POA3072,339,83,740,6333,8882,3217,1911,7019,1372,28727
POA3073,809,311,1753,8088,11367,4340,3275,13065,3006,43146
POA3074,289,35,543,2717,3231,1513,1401,7233,986,17085
POA3075,345,34,630,2982,3594,1702,1550,7870,1261,18957
POA3076,204,292,567,4358,5604,2453,2142,9831,2126,26518
POA3078,113,10,215,2488,3714,1344,619,1742,448,10361
POA3079,260,32,464,3418,4714,1955,1054,2806,502,14453
POA3081,131,19,245,2334,3230,1178,737,3373,803,11649
POA3082,285,23,417,4720,5763,2522,2114,8085,1072,24271
POA3083,415,77,812,5400,6546,2758,2084,8751,1507,27049
POA3084,462,81,952,4786,6983,3212,1901,4437,790,22108
POA3085,253,20,453,2466,3578,1514,928,2623,352,11466
POA3087,79,9,201,1544,2293,986,687,1692,255,7464
POA3088,359,77,670,4729,6917,3146,1954,4696,699,22134
