POA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA3000,0,7,0,7,683,81,773,10,9,0,21,4506,482,5009,203,54,0,254,7722,902,8888,421,26,0,443,2433,363,3240,162,13,0,174,967,194,1333,38,32,0,68,684,116,867,12,41,0,55,386,48,482,0,8,0,8,152,23,183,0,0,0,0,30,3,40,845,189,5,1034,17571,2208,20810,5,20,0,18,844,90,950,15,44,0,61,5285,480,5819,330,85,0,409,7521,848,8779,452,43,0,491,1889,282,2670,130,16,0,150,864,114,1133,29,55,0,82,651,92,822,6,70,0,81,347,46,473,0,9,0,9,113,9,136,0,0,0,0,30,8,36,964,340,9,1305,17548,1961,20817,5,23,0,25,1531,173,1726,26,55,0,80,9791,956,10827,534,135,0,666,15247,1749,17665,871,63,6,934,4324,646,5909,293,33,0,331,1835,305,2466,68,83,0,149,1334,204,1688,15,115,0,135,732,96,956,0,19,0,15,266,32,323,0,0,0,0
POA3002,0,0,0,0,36,6,40,0,0,0,4,116,4,130,17,4,0,19,513,29,565,86,4,0,89,277,23,397,49,0,3,52,178,24,255,21,17,0,36,263,16,308,3,40,0,44,232,25,299,0,18,0,18,145,12,172,0,0,0,0,34,0,39,179,82,3,268,1802,137,2210,0,0,0,0,52,4,56,0,7,0,7,131,8,153,26,10,0,48,513,25,577,91,17,0,109,249,33,386,62,8,0,77,202,22,297,9,52,0,65,274,12,351,5,75,0,83,250,24,349,0,16,0,16,128,7,150,0,0,0,0,81,3,84,193,194,4,392,1878,135,2401,0,4,0,4,80,8,92,0,7,0,12,246,18,275,46,18,0,65,1023,53,1144,176,23,0,201,527,61,786,115,8,6,130,380,42,552,35,65,0,98,534,29,663,7,115,0,121,479,45,651,0,33,0,33,271,12,324,0,0,0,0
POA3003,0,0,0,0,98,8,117,0,0,0,3,476,46,523,71,11,0,80,1414,161,1655,177,10,3,190,462,101,761,96,7,0,100,222,47,372,8,10,0,17,185,19,223,4,11,0,18,93,10,117,0,4,0,4,38,3,45,0,0,0,0,5,0,5,355,54,3,411,2999,397,3812,0,5,0,5,105,6,117,0,7,4,10,533,39,583,95,21,0,116,1378,94,1588,203,9,0,211,381,22,617,102,12,0,112,195,19,329,7,17,0,23,180,9,209,0,28,0,28,82,15,125,0,4,0,5,45,0,47,0,0,0,0,11,0,12,403,97,10,510,2909,202,3626,0,3,0,3,208,14,227,3,8,4,11,1006,82,1098,159,32,0,195,2791,258,3248,378,21,4,403,848,126,1377,194,14,0,208,428,66,697,21,25,0,42,369,25,435,4,38,0,44,176,28,245,0,6,0,8,80,7,91,0,0,0,0
POA3004,0,0,0,0,88,14,101,0,6,0,6,322,28,359,65,11,0,76,1333,168,1574,245,13,0,258,806,85,1152,123,3,0,133,427,64,630,35,17,0,55,406,50,507,9,60,0,66,374,45,489,0,17,0,21,273,51,342,0,0,0,0,63,38,109,480,129,0,611,4105,549,5262,0,4,0,4,92,6,105,0,9,0,7,319,27,358,123,17,0,144,1468,177,1789,298,17,3,313,612,77,1004,111,12,0,128,420,52,596,22,47,0,77,436,48,562,7,120,0,127,387,42,551,0,17,0,14,259,38,316,0,4,0,4,83,50,136,562,238,6,814,4084,514,5408,0,3,0,3,186,24,205,0,11,0,9,643,59,711,188,33,0,219,2802,342,3363,542,27,4,571,1416,166,2155,237,14,3,258,850,118,1224,59,69,3,129,843,98,1071,20,174,0,196,760,88,1042,3,32,0,35,533,93,659,0,4,0,4
POA3006,0,0,0,0,188,8,202,0,12,0,13,1269,62,1341,170,28,0,201,4238,307,4744,459,17,7,482,1682,157,2322,149,11,0,166,685,61,907,34,16,0,52,550,43,646,5,54,0,61,333,32,420,0,11,0,11,162,13,184,0,0,0,0,30,4,34,828,151,8,984,9136,684,10802,0,5,0,3,238,11,257,8,26,0,31,1395,89,1517,298,68,0,368,4052,271,4696,429,51,12,487,1298,116,1905,128,19,0,149,633,54,841,23,76,0,95,538,36,675,8,83,0,92,329,29,451,0,15,0,19,142,13,176,0,0,0,0,26,0,26,895,345,8,1252,8656,630,10538,0,4,0,3,428,19,458,15,30,0,43,2665,154,2861,468,99,0,567,8293,575,9434,890,69,8,968,2986,275,4225,275,30,7,315,1323,117,1748,57,94,3,153,1087,84,1322,16,141,0,155,659,58,868,0,28,0,31,304,27,358,0,0,0,0
POA3008,0,3,0,0,105,10,118,6,0,0,4,690,75,770,180,16,0,194,2566,311,3083,389,8,5,404,1035,158,1601,112,8,0,122,555,59,733,34,18,0,53,501,46,604,10,41,0,52,284,40,375,0,7,0,7,92,7,107,0,0,0,0,15,0,22,728,101,6,842,5865,705,7413,0,0,0,0,114,6,124,15,11,0,26,707,66,796,324,27,3,360,2306,289,2952,377,15,4,394,781,111,1290,69,20,0,93,508,57,664,18,67,5,89,443,68,600,4,56,0,62,235,30,322,0,8,0,8,80,11,104,0,0,0,0,21,5,26,812,207,15,1030,5195,650,6874,0,0,0,4,227,16,248,18,10,0,27,1404,141,1564,501,45,6,554,4873,607,6036,769,25,10,807,1817,268,2891,183,28,3,213,1065,112,1397,48,90,8,137,945,117,1204,12,99,0,114,513,62,695,0,10,0,10,172,21,207,0,0,0,0
POA3011,0,9,0,11,287,23,324,0,7,0,10,777,74,866,201,42,3,243,2609,253,3107,722,24,7,753,1305,155,2209,391,22,5,419,802,85,1304,87,28,0,113,808,90,1013,12,48,0,59,531,77,666,5,10,0,9,265,39,319,0,0,0,0,130,12,150,1414,190,13,1623,7516,806,9949,0,7,0,10,269,21,304,10,25,0,38,731,54,817,341,90,0,430,2433,220,3089,849,45,24,922,965,93,1978,349,44,10,399,757,79,1235,21,74,0,93,825,57,977,3,89,0,98,443,32,570,0,14,0,17,314,49,387,0,0,0,0,178,57,239,1581,400,36,2012,6916,664,9593,3,17,0,22,557,45,624,9,38,0,44,1507,131,1681,548,132,3,679,5039,477,6195,1569,74,22,1671,2270,246,4188,736,63,13,819,1559,163,2538,113,100,0,215,1636,145,1993,19,135,0,157,976,102,1240,6,22,0,27,580,96,703,0,0,0,0
POA3012,0,12,0,16,487,33,535,0,12,0,15,728,57,805,322,36,9,360,2533,260,3156,1095,28,15,1135,1183,160,2480,657,14,13,688,927,103,1718,110,50,0,159,983,80,1228,4,57,0,64,594,38,697,4,11,0,17,327,42,379,0,0,0,4,147,28,179,2199,227,34,2458,7917,810,11184,0,29,0,31,468,25,529,15,40,0,56,643,59,760,496,83,10,596,2130,184,2908,1304,62,43,1400,953,129,2479,654,45,13,711,944,76,1729,49,121,0,166,1008,58,1241,10,111,3,119,661,48,826,7,25,0,28,416,46,488,0,0,0,3,225,70,300,2537,509,74,3118,7452,691,11256,0,42,5,47,963,59,1068,18,50,0,70,1375,118,1562,816,123,15,955,4663,444,6061,2399,86,51,2539,2138,285,4963,1319,57,26,1402,1871,177,3452,154,171,0,331,1995,144,2469,8,167,4,181,1253,84,1525,7,38,0,47,739,90,873,3,0,0,4
POA3013,0,5,0,8,331,14,345,0,5,0,5,340,13,365,140,17,0,162,1057,56,1274,729,12,14,758,608,44,1412,495,10,6,520,610,42,1168,73,36,0,109,631,33,773,14,33,0,44,356,18,416,0,7,0,10,194,11,214,0,4,0,4,99,9,109,1455,134,21,1617,4220,239,6077,3,3,0,10,317,10,334,0,13,0,11,339,15,367,233,32,3,265,1056,59,1380,861,30,23,915,529,44,1492,525,24,14,561,625,40,1219,42,84,0,129,685,23,836,0,73,0,73,364,11,450,0,14,0,16,267,20,297,0,0,0,3,174,10,184,1662,272,41,1973,4353,238,6569,4,16,0,15,640,26,682,0,18,0,19,679,33,727,373,50,5,426,2112,116,2654,1589,41,38,1671,1141,91,2901,1022,34,19,1078,1230,82,2386,120,118,0,236,1311,61,1611,14,108,0,120,718,26,870,3,19,0,23,461,22,511,0,3,0,6
POA3015,0,23,0,23,414,17,450,4,8,0,7,377,28,411,211,13,0,228,911,52,1188,980,19,13,1007,586,73,1670,641,16,10,661,661,55,1377,123,37,0,162,843,32,1035,11,66,0,79,447,36,559,4,15,0,18,237,25,275,0,4,0,4,106,10,120,1963,201,21,2192,4573,326,7091,0,22,0,23,381,18,426,3,12,0,19,351,15,378,335,39,3,377,850,63,1284,1176,39,27,1242,516,53,1814,654,35,17,700,722,56,1482,43,120,0,164,824,29,1018,5,138,3,153,445,24,619,0,23,0,20,262,21,309,0,3,0,3,166,31,198,2223,435,51,2704,4517,304,7524,0,46,0,47,797,33,877,7,14,0,21,730,38,793,546,55,4,606,1756,116,2472,2159,57,35,2252,1101,126,3486,1289,54,21,1366,1387,113,2860,162,158,0,325,1663,60,2053,15,209,6,231,885,61,1180,5,36,6,42,502,47,589,0,9,0,9
