POA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA3000,843,5,0,0,0,0,0,100,950,5216,22,7,0,0,0,3,571,5819,4745,116,16,3,0,0,4,599,5479,2546,258,74,12,5,0,0,398,3302,1141,255,127,23,3,0,0,211,1755,556,125,90,20,4,0,3,105,907,279,131,84,25,10,3,0,74,607,181,123,116,35,16,0,0,57,529,142,106,118,35,18,0,0,51,473,99,74,83,37,10,0,0,42,351,49,62,78,41,10,6,0,32,281,33,34,59,32,13,4,0,14,194,17,9,22,15,3,3,0,12,88,5,0,17,7,6,0,0,9,47,0,8,8,14,3,0,5,8,36,15856,1329,895,304,100,27,20,2288,20817
POA3002,47,0,0,0,0,0,0,5,56,137,0,0,0,0,0,0,13,153,275,0,0,0,0,0,0,16,292,238,26,3,3,0,0,0,20,284,154,32,18,4,3,0,0,24,238,99,15,14,4,0,0,0,15,149,80,20,18,4,3,0,0,4,138,78,20,31,15,3,0,0,16,159,68,22,50,19,4,6,3,10,174,46,20,58,28,13,0,0,12,177,46,21,53,42,11,3,3,12,190,30,22,41,37,9,3,0,21,159,15,7,33,28,6,0,0,4,101,14,3,20,9,5,0,0,0,48,19,11,21,15,7,8,0,10,84,1342,217,364,205,61,21,11,182,2401
POA3003,100,0,0,0,0,0,0,12,117,517,0,0,0,0,0,0,59,583,800,18,8,0,0,0,0,61,891,550,69,16,0,0,0,0,60,700,233,80,43,5,0,0,0,20,388,115,46,55,4,7,0,0,8,229,59,39,45,14,8,0,0,10,179,61,29,32,18,0,0,0,12,150,30,31,38,8,6,0,0,4,112,23,22,30,14,0,0,0,3,96,9,12,27,11,3,0,0,6,70,9,0,26,6,0,4,0,9,53,3,3,8,10,0,0,0,0,25,0,0,8,5,3,0,3,0,23,0,0,0,3,6,0,0,0,12,2514,364,328,99,34,10,9,273,3626
POA3004,95,0,0,0,0,0,0,8,105,317,0,0,0,0,0,0,44,358,810,20,0,0,0,0,0,94,920,641,95,29,3,0,0,0,97,865,378,114,74,7,0,0,0,45,615,194,86,59,10,0,0,0,37,386,151,67,63,11,0,0,0,26,314,118,49,67,22,0,0,0,23,279,97,54,71,27,3,0,0,35,289,64,53,86,33,12,0,0,15,267,68,34,92,40,9,3,0,24,275,38,39,108,58,9,5,3,21,277,37,22,80,37,17,0,0,20,213,11,8,28,23,12,0,0,19,104,14,14,24,22,10,0,0,46,136,3028,656,778,299,77,10,7,558,5408
POA3006,228,0,0,0,0,0,0,27,257,1401,13,0,0,0,0,0,107,1517,2307,58,13,0,0,0,0,190,2570,1715,218,52,10,3,0,0,130,2122,866,195,104,9,0,0,0,88,1262,357,123,86,20,5,0,0,45,640,241,100,70,23,7,5,0,41,479,126,87,78,32,9,0,0,24,363,92,77,91,47,14,0,0,22,346,77,67,109,40,13,0,0,18,324,39,38,95,47,10,0,0,15,250,26,24,94,35,7,5,0,12,206,11,12,38,17,13,6,0,3,106,6,6,20,22,3,4,0,12,73,0,0,6,14,6,3,0,0,26,7498,1019,865,306,91,24,6,734,10538
POA3008,116,0,0,0,0,0,0,10,124,692,15,0,0,0,0,0,92,796,1213,80,18,0,0,0,0,168,1477,1015,230,64,7,0,0,0,162,1479,462,195,94,14,3,0,0,82,851,230,95,57,9,0,0,0,40,441,152,78,56,18,0,0,0,35,339,106,62,94,33,4,0,0,31,325,73,74,100,37,9,7,0,44,348,34,62,83,45,4,4,0,23,256,22,38,64,36,10,0,0,18,189,18,28,45,30,3,5,0,6,133,4,11,25,12,11,0,0,8,64,0,3,8,6,3,0,0,12,39,0,4,8,6,3,3,0,0,26,4147,967,706,247,54,20,5,728,6874
POA3011,264,0,0,0,0,0,0,36,304,726,4,3,0,0,0,0,78,817,1219,68,16,4,0,0,0,146,1452,1169,201,96,12,3,0,6,144,1636,590,247,212,42,8,0,0,76,1170,310,155,229,64,10,0,0,32,811,256,127,173,45,11,7,3,39,666,209,104,144,50,12,3,7,41,569,164,80,131,60,21,7,0,34,503,126,88,127,76,18,9,3,25,477,62,52,88,63,18,6,11,18,314,35,35,73,53,25,7,0,25,258,19,18,53,42,8,6,12,24,189,11,21,50,36,18,4,11,39,194,19,18,47,38,18,11,14,73,239,5185,1226,1450,577,188,61,68,839,9593
POA3012,472,0,0,0,0,0,0,55,529,666,19,0,0,0,0,0,81,760,1140,111,28,10,5,0,0,109,1402,951,281,127,30,6,0,0,103,1502,521,315,387,72,18,8,3,90,1407,302,187,392,110,20,8,4,51,1076,236,156,377,112,23,10,7,34,956,195,136,276,90,28,9,7,33,778,163,88,230,88,36,12,9,32,655,120,95,188,99,30,15,3,35,584,93,79,155,74,24,9,7,36,478,38,33,114,81,34,14,13,21,346,20,24,81,61,26,13,12,30,261,17,19,58,50,23,21,19,15,226,17,18,74,71,40,16,30,30,300,4957,1551,2479,949,316,136,115,758,11256
POA3013,310,0,0,0,0,0,0,24,334,329,0,0,0,0,0,0,32,367,519,25,7,4,0,0,0,44,605,512,138,66,9,0,0,0,44,781,277,166,236,46,12,0,6,33,769,203,106,303,72,16,0,4,22,722,183,114,280,90,10,3,0,23,697,144,68,193,69,15,4,0,26,520,141,62,155,71,12,4,6,18,466,97,58,104,64,17,10,0,11,370,48,46,82,38,17,5,7,7,246,32,34,65,42,19,5,8,10,207,15,5,55,38,14,3,0,6,141,8,15,62,38,17,9,3,4,161,19,15,71,39,18,3,8,14,184,2841,857,1688,599,161,46,42,333,6569
POA3015,391,0,0,0,0,0,0,34,426,352,3,0,0,0,0,0,24,378,438,39,16,0,0,0,0,38,526,401,192,106,17,5,3,0,35,756,275,213,312,66,11,0,3,41,930,191,141,379,119,17,0,0,28,883,189,125,317,99,38,7,3,24,806,171,105,251,82,17,6,3,36,680,134,69,180,87,21,6,3,13,512,115,82,176,72,30,5,12,15,501,66,46,144,61,21,0,4,13,356,33,35,90,57,19,7,8,10,258,21,19,59,31,21,5,4,12,173,13,16,44,29,23,5,4,7,138,5,16,47,33,24,11,9,52,198,2790,1111,2118,761,244,59,59,386,7524
