POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3000,5243,10475,0,4,24,99,5,21,770,2518,804,2653,15,75,80,247,95,281,189,607,993,3256,0,5,28,90,7,18,181,408,216,515,17,51,168,350,172,364,362,767,580,1286,767,1591,7582,16605
POA3002,858,1694,0,9,21,91,0,0,123,440,149,537,11,45,38,102,39,120,86,270,232,806,0,0,3,7,0,0,42,89,45,97,0,15,6,16,24,52,40,82,84,176,32,62,1199,2734
POA3003,1189,2376,0,5,36,171,0,8,316,1063,352,1245,10,51,33,107,33,97,77,255,433,1496,0,0,13,40,0,0,45,99,55,136,4,0,39,90,56,114,95,212,155,347,72,149,1848,4371
POA3004,1844,3657,0,9,18,68,0,5,434,1482,455,1556,9,36,48,156,65,189,125,382,572,1942,0,0,18,60,0,0,106,215,125,276,7,23,59,112,87,177,152,317,276,594,90,176,2785,6365
POA3006,3615,7190,0,14,28,123,4,27,748,2471,785,2634,15,57,69,209,92,269,177,534,962,3177,0,3,15,47,6,15,183,397,205,456,15,49,101,215,164,335,280,601,479,1054,251,517,5311,11929
POA3008,2535,5036,0,3,24,109,3,5,749,2481,780,2601,10,55,58,179,86,261,159,495,939,3101,0,0,11,29,0,5,109,216,120,251,14,32,60,139,91,188,170,357,286,613,139,280,3899,9024
POA3011,2518,5046,10,58,103,467,5,31,1280,4599,1397,5151,47,205,130,435,222,709,401,1346,1800,6502,6,19,25,68,9,34,286,668,321,785,22,77,87,197,334,726,444,999,763,1790,217,460,5297,13803
POA3012,2588,5226,17,103,225,1021,32,159,1992,7376,2262,8660,110,498,245,826,381,1254,737,2580,3002,11243,6,43,69,229,19,83,366,884,460,1235,44,139,136,315,448,992,621,1445,1083,2679,195,413,6868,19558
POA3013,1617,3234,10,36,172,742,12,49,1346,5038,1527,5869,83,376,190,654,218,709,490,1731,2016,7599,4,9,41,119,19,60,168,397,221,581,26,77,55,112,226,504,301,693,522,1272,87,178,4245,12283
POA3015,1716,3425,22,129,206,931,22,100,1785,6749,2038,7912,101,422,206,720,302,969,608,2109,2649,10022,4,20,61,201,17,61,221,529,304,812,37,110,81,181,256,551,371,842,680,1656,89,187,5133,15291
POA3016,1621,3229,24,134,271,1175,21,80,1079,4155,1389,5544,145,589,320,1146,345,1097,799,2827,2188,8373,8,38,42,126,11,25,196,469,261,655,28,94,84,188,188,405,305,681,566,1336,57,118,4430,13055
POA3018,1578,3141,16,85,132,595,17,78,988,3731,1152,4490,65,277,141,495,247,794,457,1565,1613,6054,0,7,33,107,11,30,197,465,245,611,24,79,65,153,229,492,324,723,567,1330,63,130,3814,10658
POA3019,735,1508,12,91,93,445,18,101,518,1974,642,2613,55,241,83,304,179,599,316,1142,960,3755,10,51,49,200,26,122,165,441,251,814,31,102,61,153,244,575,339,827,589,1643,95,215,2380,7121
POA3020,3499,7174,77,485,399,1941,117,587,2479,9670,3072,12683,283,1261,340,1246,1122,3810,1746,6316,4822,19006,54,284,156,589,69,276,723,1975,998,3124,135,485,228,548,1121,2598,1487,3625,2482,6750,335,744,11142,33672
POA3021,4209,8705,122,789,537,2693,162,825,2846,11293,3672,15593,333,1489,451,1597,1483,4999,2276,8090,5942,23679,65,333,244,906,120,484,989,2754,1415,4483,196,680,343,852,1474,3431,2016,4962,3430,9442,425,936,14007,42761
POA3022,248,499,4,20,20,96,4,27,196,732,223,874,14,57,15,67,48,158,80,282,307,1151,0,6,8,35,3,18,63,179,77,236,8,19,14,37,65,157,90,216,168,457,28,63,748,2174
POA3023,4134,8496,199,1218,1154,5493,223,1065,4946,19604,6521,27378,630,2790,866,3177,1721,5828,3215,11796,9738,39176,70,350,261,977,89,347,929,2635,1351,4302,194,668,338,824,1044,2467,1572,3966,2926,8269,284,621,17074,56559
POA3024,2239,4529,100,644,422,2029,103,509,3593,13588,4220,16765,190,846,255,882,486,1613,927,3339,5153,20102,46,221,132,504,66,279,686,1965,932,2968,71,240,142,338,448,1019,661,1595,1591,4563,123,257,9101,29460
POA3025,1170,2357,30,184,110,581,42,216,952,3669,1136,4660,65,291,82,288,246,803,388,1381,1527,6039,11,42,39,161,14,48,184,487,249,732,21,83,58,132,284,647,370,860,617,1591,77,173,3385,10158
POA3026,419,853,29,198,185,894,34,158,856,3447,1103,4704,52,247,112,395,157,536,319,1175,1422,5878,8,45,29,116,9,34,140,390,181,588,26,92,30,65,99,252,151,412,336,1004,20,57,2196,7795
POA3027,664,1371,21,129,111,528,12,64,1084,4072,1225,4793,34,160,96,341,129,417,261,916,1484,5712,7,45,22,81,0,14,92,236,124,369,20,82,29,76,80,177,129,334,258,696,45,107,2458,7889
POA3028,2611,5288,43,273,260,1196,63,299,1857,7002,2230,8775,169,716,273,963,791,2612,1235,4301,3458,13066,12,58,76,253,34,133,465,1195,587,1640,63,209,133,317,670,1497,864,2026,1449,3661,152,323,7677,22341
POA3029,8161,16751,356,2274,1740,8622,316,1586,13646,53057,16059,65537,676,3004,1173,4126,2015,6770,3868,13910,19923,79440,104,610,361,1479,123,515,1714,4936,2305,7538,228,824,387,914,1326,3048,1942,4781,4242,12322,583,1296,32901,109813
POA3030,8728,17701,260,1517,1673,7757,310,1492,11545,44079,13789,54844,733,3183,1256,4343,2055,6786,4044,14309,17828,69147,78,427,354,1319,155,611,1923,5305,2514,7661,242,835,498,1146,1563,3545,2299,5535,4815,13191,491,1087,31863,101127
POA3031,1959,3909,13,71,103,500,9,35,1036,3835,1159,4438,56,241,136,475,123,394,316,1116,1474,5556,8,37,51,170,13,35,255,646,322,887,36,107,98,211,245,538,378,861,701,1747,138,297,4270,11507
