POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3000,923,59,10,0,0,0,3,993
POA3002,214,18,0,0,0,0,0,232
POA3003,395,25,9,0,0,0,0,433
POA3004,537,31,0,0,0,0,0,572
POA3006,894,54,8,0,0,0,5,962
POA3008,864,57,11,3,0,0,0,939
POA3011,1668,89,24,10,5,0,7,1800
POA3012,2772,147,53,22,0,0,5,3002
POA3013,1898,95,17,5,0,0,4,2016
POA3015,2470,132,40,4,0,0,0,2649
POA3016,2023,120,32,4,0,0,8,2188
POA3018,1466,98,35,8,0,0,0,1613
POA3019,824,81,18,26,3,0,3,960
POA3020,4281,280,148,91,6,3,18,4822
POA3021,5196,371,178,136,18,9,39,5942
POA3022,278,14,7,6,0,0,3,307
POA3023,8814,475,271,134,5,0,33,9738
POA3024,4589,277,174,77,13,3,16,5153
POA3025,1398,68,39,14,0,0,0,1527
POA3026,1304,62,33,27,0,0,0,1422
POA3027,1386,53,22,21,5,0,3,1484
POA3028,3150,176,90,17,3,0,13,3458
POA3029,18295,786,454,303,23,11,65,19923
POA3030,16068,1029,511,148,20,4,48,17828
POA3031,1392,52,14,5,0,0,3,1474
POA3032,3150,157,43,18,0,0,8,3387
POA3033,1931,104,30,8,0,0,4,2071
POA3034,1473,51,32,9,0,0,5,1577
POA3036,807,32,14,6,5,0,0,852
POA3037,7341,406,185,73,6,9,20,8040
POA3038,3606,177,72,29,4,0,4,3899
POA3039,1655,84,20,5,0,0,0,1767
POA3040,3296,146,47,10,0,0,4,3497
POA3041,1769,72,34,10,0,0,3,1890
POA3042,1972,125,44,11,0,0,7,2153
POA3043,2006,109,51,12,0,0,10,2188
POA3044,3567,161,50,13,3,0,0,3790
POA3045,0,0,0,0,0,0,0,0
POA3046,3887,160,58,41,4,0,13,4155
POA3047,2148,90,60,39,5,0,11,2349
POA3048,2099,97,39,36,9,0,5,2281
POA3049,1150,71,31,14,0,0,0,1278
POA3051,863,49,11,9,0,0,4,935
POA3052,291,11,10,0,0,0,0,307
POA3053,440,25,16,4,0,0,0,481
POA3054,581,40,12,0,0,0,0,632
POA3055,1290,45,22,9,0,0,0,1367
POA3056,1739,83,25,6,0,0,4,1860
POA3057,848,34,10,5,0,0,0,897
POA3058,3835,161,58,21,0,0,11,4090
POA3059,3324,145,60,21,0,0,0,3552
POA3060,1666,46,30,15,0,0,0,1756
POA3061,556,23,16,5,0,0,3,605
POA3062,0,0,0,0,0,0,0,0
POA3063,71,8,3,0,0,0,0,80
POA3064,16898,700,346,204,14,13,34,18193
POA3065,492,41,14,3,0,0,0,548
POA3066,360,27,14,4,0,0,0,406
POA3067,508,42,6,0,3,0,5,555
POA3068,1655,76,32,3,0,0,0,1764
POA3070,2614,96,38,7,0,0,3,2762
POA3071,1946,77,28,8,0,0,0,2058
POA3072,3405,156,55,17,0,0,14,3648
POA3073,5084,266,107,40,3,0,18,5511
POA3074,2143,109,44,35,3,0,12,2349
POA3075,2675,110,63,32,0,0,8,2890
POA3076,4224,216,113,56,0,0,15,4625
POA3078,1309,69,12,9,0,0,3,1398
POA3079,2107,80,26,9,0,0,0,2221
POA3081,1264,64,27,6,0,0,4,1372
POA3082,3726,169,83,35,5,0,12,4028
POA3083,3424,173,59,26,0,0,0,3687
POA3084,3509,145,52,6,0,0,5,3715
POA3085,1831,88,39,6,0,0,4,1959
POA3087,1107,62,34,0,0,0,0,1203
POA3088,3532,193,73,15,0,0,10,3832
POA3089,1779,139,53,5,0,0,0,1983
POA3090,409,22,11,0,0,0,0,436
POA3091,239,10,3,0,0,0,0,257
POA3093,458,22,10,3,0,0,0,496
POA3094,1162,66,14,6,0,6,4,1255
POA3095,4075,232,79,14,0,0,7,4410
POA3096,252,20,6,8,0,0,0,289
POA3097,187,10,0,0,0,0,0,201
POA3099,632,50,26,7,0,0,7,718
POA3101,2779,123,41,12,0,0,3,2950
POA3102,914,29,17,0,0,0,0,956
POA3103,2004,84,24,7,0,0,6,2129
POA3104,3215,119,44,19,0,0,6,3396
POA3105,1408,55,21,0,0,0,6,1486
POA3106,2294,107,43,18,0,0,6,2464
POA3107,1848,104,33,10,0,0,4,1997
POA3108,2763,117,44,18,3,0,10,2954
