POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3000,191,22,64,87,360,55,5,9,27,94,60,0,26,18,101,56,7,18,17,92,76,7,31,30,138,109,19,34,38,197,177,35,26,60,302,273,27,31,59,393,396,42,54,69,556,489,71,52,85,701,312,53,37,59,466,368,64,35,49,514,735,156,54,72,1015,499,87,18,39,644,339,84,24,21,459,240,52,7,9,298,634,215,29,27,911,199,61,27,7,290,34,0,9,4,41,5243,993,580,767,7582
POA3002,5,0,7,0,10,4,0,0,0,4,0,0,3,0,3,0,0,0,0,6,7,0,5,0,8,4,0,4,0,11,11,0,3,0,14,19,4,0,0,22,25,0,6,3,38,41,0,6,5,57,19,3,0,0,23,41,6,6,7,55,85,4,3,0,93,60,16,3,0,84,68,20,6,0,91,70,13,5,5,93,356,131,18,5,513,36,27,3,0,68,8,0,5,0,9,858,232,84,32,1199
POA3003,20,8,14,0,40,0,0,5,0,9,9,0,3,3,23,0,0,0,0,0,12,6,5,0,25,13,5,7,3,27,25,12,9,3,51,39,10,10,11,64,61,19,16,4,96,94,9,12,10,129,76,15,13,3,105,85,15,8,0,107,178,55,13,10,257,128,39,6,0,174,107,42,8,4,160,80,35,0,4,126,216,151,12,6,385,34,18,10,0,63,0,5,0,0,3,1189,433,155,72,1848
POA3004,35,7,21,0,64,8,0,6,4,9,5,5,7,4,16,3,0,0,0,7,19,3,5,0,27,11,3,17,3,33,39,7,10,4,61,35,9,15,0,70,64,10,18,4,92,99,26,21,7,157,70,11,17,11,108,107,19,10,9,147,267,60,44,17,385,241,45,11,13,316,182,56,15,3,254,104,48,3,3,162,477,223,21,9,735,69,32,17,3,121,20,3,0,0,25,1844,572,276,90,2785
POA3006,49,15,31,12,109,22,4,13,0,38,8,3,11,0,25,14,12,10,0,33,30,4,20,0,49,21,11,26,9,71,54,11,26,12,96,85,21,25,7,140,180,27,43,30,275,275,45,38,27,387,193,37,39,21,291,209,40,30,16,302,563,142,56,42,802,414,70,19,25,533,341,85,28,15,469,251,58,7,10,331,758,309,36,23,1125,120,67,24,0,211,23,6,3,3,27,3615,962,479,251,5311
POA3008,63,10,27,18,115,6,4,6,0,19,13,0,5,0,31,10,0,8,0,22,19,3,11,8,44,20,13,15,9,54,58,6,19,3,84,89,5,21,0,113,120,35,26,9,182,152,46,30,14,240,124,49,14,10,199,174,56,16,17,256,362,145,23,15,546,259,81,12,18,363,262,86,9,4,361,147,82,3,4,238,566,266,23,11,864,82,50,6,0,144,10,0,0,5,17,2535,939,286,139,3899
POA3011,33,5,15,6,53,14,0,9,0,19,17,4,5,4,31,8,5,21,0,38,39,17,40,8,99,24,17,37,5,91,115,27,54,16,216,88,47,85,24,241,102,69,71,22,257,159,104,68,27,358,135,57,53,9,248,118,81,53,15,267,342,181,104,19,654,301,179,28,19,532,259,200,26,15,497,194,152,15,7,371,485,568,39,13,1102,74,75,43,6,201,13,4,9,0,32,2518,1800,763,217,5297
POA3012,47,7,23,3,88,21,3,6,0,35,11,6,17,0,42,9,0,28,3,50,42,13,42,3,98,37,28,47,4,114,167,48,64,6,282,91,62,98,21,269,105,84,118,15,328,150,158,107,26,441,105,137,82,8,340,120,142,80,17,353,305,325,141,32,797,315,336,54,16,724,246,395,46,10,698,221,259,16,3,496,463,848,39,9,1358,82,130,69,9,281,44,13,14,4,77,2588,3002,1083,195,6868
POA3013,32,4,5,4,51,8,0,0,0,15,4,0,3,0,14,5,0,10,0,9,18,4,11,0,37,13,11,26,0,46,82,7,29,4,126,53,18,46,8,119,49,38,45,4,136,69,46,47,8,175,60,52,46,3,157,67,56,44,4,169,190,138,72,17,416,171,173,31,13,386,165,200,17,0,383,145,184,5,3,339,420,987,45,9,1459,49,93,47,3,188,14,8,4,0,20,1617,2016,522,87,4245
POA3015,41,0,13,0,55,16,0,0,0,14,7,0,5,0,24,9,4,5,0,18,30,3,22,0,55,17,7,24,4,57,95,22,38,6,161,61,19,41,9,123,74,49,71,9,200,84,69,65,12,224,60,52,53,4,167,60,79,51,6,201,158,227,87,7,478,160,226,44,13,438,167,292,48,3,504,160,260,14,3,445,460,1187,38,10,1693,51,139,53,0,243,14,10,8,0,34,1716,2649,680,89,5133
