POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3000,15272,5385,529,53,44,21278,466,21750
POA3002,452,1263,539,71,44,2373,24,2396
POA3003,1383,1943,401,55,19,3799,63,3853
POA3004,1178,3533,835,93,27,5667,59,5728
POA3006,4766,5947,941,79,32,11763,156,11920
POA3008,3044,3514,765,96,36,7452,92,7540
POA3011,1787,5110,1949,348,122,9314,140,9450
POA3012,1115,4899,3378,724,278,10395,154,10550
POA3013,569,2732,2134,430,142,6007,55,6060
POA3015,376,2847,2810,563,241,6837,60,6897
POA3016,513,2409,2262,598,268,6056,57,6118
POA3018,451,2377,2008,472,229,5532,60,5591
POA3019,425,1399,1052,314,136,3331,80,3412
POA3020,1524,5951,4900,1696,825,14884,327,15211
POA3021,1583,6675,5978,2251,1042,17523,410,17935
POA3022,99,489,356,115,57,1118,26,1143
POA3023,727,5674,8340,3048,1616,19404,287,19696
POA3024,353,4130,4188,1111,558,10331,156,10489
POA3025,471,1765,1711,449,213,4616,84,4697
POA3026,62,519,1160,395,198,2333,38,2368
POA3027,77,996,1238,312,149,2772,50,2823
POA3028,633,4125,3855,1156,589,10353,167,10524
POA3029,1183,12747,16257,4733,2376,37295,672,37971
POA3030,1650,13705,16233,4483,2112,38172,534,38707
POA3031,1495,4167,1692,277,82,7718,119,7842
POA3032,1235,5740,3691,899,355,11924,154,12080
POA3033,260,1751,2369,672,337,5388,64,5447
POA3034,298,1580,1743,524,274,4421,69,4491
POA3036,97,520,937,308,252,2116,36,2156
POA3037,499,4106,6346,2740,1893,15584,210,15793
POA3038,320,2182,3497,1674,1136,8815,117,8933
POA3039,1042,3146,1930,436,215,6772,85,6862
POA3040,842,4386,3480,1055,617,10380,84,10466
POA3041,266,1710,1912,551,324,4763,55,4811
POA3042,388,2527,2614,720,353,6594,69,6668
POA3043,364,2579,2654,803,371,6775,87,6857
POA3044,807,4582,3955,969,490,10800,130,10928
POA3045,0,0,0,0,0,0,0,0
POA3046,1259,5931,4425,1098,617,13327,215,13545
POA3047,794,2569,1959,675,375,6363,168,6533
POA3048,345,1776,1878,737,411,5150,140,5283
POA3049,154,1048,1459,531,283,3474,52,3535
POA3051,2095,3249,879,126,43,6393,98,6486
POA3052,381,1203,431,80,32,2127,22,2148
POA3053,3294,2708,624,103,46,6776,143,6915
POA3054,555,1745,892,171,66,3430,33,3461
POA3055,992,3457,1585,344,156,6532,76,6612
POA3056,2339,5708,2203,510,187,10944,111,11056
POA3057,1191,3633,1142,246,90,6302,54,6351
POA3058,1645,6064,3912,1054,461,13143,160,13302
POA3059,94,1188,2860,1225,889,6255,86,6346
POA3060,478,1929,1485,470,257,4615,87,4704
POA3061,132,594,504,199,126,1554,38,1594
POA3062,0,0,0,0,0,0,0,0
POA3063,0,19,47,40,55,164,3,169
POA3064,952,9519,14254,4696,2577,32002,529,32529
POA3065,1233,2372,724,114,46,4486,79,4565
POA3066,1274,2389,630,90,34,4418,77,4489
POA3067,928,2482,792,126,36,4358,45,4403
POA3068,1334,4195,1984,408,134,8054,90,8148
POA3070,1371,5136,2789,595,258,10154,84,10237
POA3071,1148,3771,2283,506,207,7917,79,7996
POA3072,1744,6449,3887,951,435,13475,172,13645
POA3073,2243,8984,6182,1621,852,19888,373,20261
POA3074,666,2903,2469,802,394,7237,108,7347
POA3075,661,2875,2800,971,461,7767,139,7905
POA3076,459,3580,4354,1399,732,10526,170,10704
POA3078,524,2345,1569,339,172,4948,39,4987
POA3079,441,2657,2468,668,348,6588,52,6641
POA3081,624,2343,1923,415,168,5476,93,5570
POA3082,363,3108,3923,1588,939,9922,136,10057
POA3083,817,4096,4145,1378,761,11194,163,11354
POA3084,598,3902,4036,1045,441,10024,85,10112
POA3085,258,1924,2117,582,240,5125,46,5172
POA3087,213,1225,1442,375,183,3444,38,3478
POA3088,385,3264,4378,1249,680,9957,86,10049
POA3089,75,854,1873,763,554,4121,30,4158
POA3090,4,80,286,176,184,733,6,740
POA3091,6,45,158,123,148,480,9,485
POA3093,37,457,635,170,160,1457,14,1468
POA3094,110,1276,1522,393,214,3520,32,3543
POA3095,179,2317,4505,1545,1041,9582,55,9631
POA3096,11,99,255,123,116,602,3,609
POA3097,0,59,172,89,106,445,6,456
POA3099,37,356,652,338,307,1683,19,1702
POA3101,553,3667,3398,905,444,8969,107,9069
POA3102,100,825,1008,256,141,2337,24,2357
POA3103,409,2319,2253,588,259,5831,51,5877
POA3104,292,2152,3082,1002,503,7032,61,7090
POA3105,256,1374,1748,514,284,4173,38,4209
POA3106,166,1488,2546,907,550,5662,53,5717
POA3107,180,1668,2261,621,315,5033,37,5068
POA3108,696,4346,3560,846,380,9826,121,9944
POA3109,458,3951,4608,1205,616,10839,102,10939
POA3111,141,1220,1850,651,417,4277,39,4321
POA3113,24,479,1237,582,437,2756,13,2771
POA3114,9,149,476,259,257,1154,6,1164
POA3115,11,155,509,281,268,1227,4,1229
POA3116,92,1051,1863,630,406,4042,30,4071
POA3121,2793,7853,3082,587,147,14472,168,14639
POA3122,1368,4874,2541,570,247,9607,107,9706
POA3123,674,3031,1879,404,206,6198,53,6251
POA3124,478,3102,3031,833,403,7856,57,7908
POA3125,585,2148,1940,514,203,5392,67,5462
POA3126,144,978,1125,341,172,2757,25,2780
POA3127,356,2634,2834,720,338,6877,38,6914
POA3128,1620,4252,2278,570,245,8964,132,9096
POA3129,449,2578,2569,643,277,6520,79,6598
POA3130,847,4743,4782,1138,634,12147,137,12285
POA3131,603,3456,3288,788,368,8502,164,8660
POA3132,393,2661,2488,578,301,6415,49,6468
POA3133,249,2397,3666,1024,492,7825,65,7891
POA3134,745,4511,4977,1462,886,12586,172,12759
POA3135,320,2838,3172,837,439,7607,56,7657
POA3136,768,6282,7260,1952,1165,17430,152,17576
POA3137,211,1774,2231,743,499,5460,57,5513
POA3138,259,2306,3454,1277,697,7992,51,8040
POA3139,87,1003,1948,941,877,4845,75,4921
POA3140,290,2073,2581,901,648,6490,62,6550
POA3141,3614,6920,1945,326,132,12933,144,13082
POA3142,479,2379,1760,503,298,5420,63,5481
POA3143,581,2209,1226,205,101,4316,45,4361
POA3144,345,1878,1500,367,178,4267,47,4312
POA3145,809,3485,3247,845,403,8790,98,8883
POA3146,547,3975,3803,992,469,9787,110,9894
POA3147,421,2015,2125,530,245,5331,69,5405
POA3148,247,1433,1388,357,150,3567,59,3623
POA3149,530,4402,5236,1508,689,12363,120,12481
POA3150,1282,7063,9040,2805,1288,21483,231,21719
POA3151,277,1557,1552,390,196,3970,50,4021
POA3152,508,3577,5430,1672,855,12044,126,12166
POA3153,429,3128,3209,946,428,8140,116,8257
POA3154,42,361,714,249,164,1529,18,1545
POA3155,457,3604,3676,1046,462,9239,108,9347
POA3156,519,4028,5734,2068,1367,13716,136,13853
POA3158,55,582,1117,397,237,2395,22,2413
POA3159,9,179,370,152,132,842,11,852
POA3160,75,864,1372,535,344,3189,25,3218
POA3161,659,3017,2283,480,249,6687,86,6773
POA3162,409,2562,2814,591,297,6679,65,6741
POA3163,1742,6967,4064,793,382,13951,160,14112
POA3165,502,3757,4761,1165,535,10723,82,10802
POA3166,851,3804,3330,864,406,9254,120,9378
POA3167,224,1307,1426,395,195,3541,36,3579
POA3168,1124,3242,1966,449,243,7024,121,7150
POA3169,609,2892,2512,858,362,7230,125,7364
POA3170,258,2032,3090,916,460,6759,92,6856
POA3171,719,2724,2257,829,467,7002,166,7165
POA3172,337,2225,3140,1200,619,7519,108,7627
POA3173,338,2235,4035,1538,860,9009,94,9102
POA3174,1182,5458,4541,1487,744,13416,267,13683
POA3175,1724,7069,5670,1882,1080,17428,425,17855
POA3177,378,1571,1359,396,229,3927,114,4045
POA3178,247,2740,5101,1965,1259,11314,78,11398
POA3179,52,570,943,318,168,2049,16,2074
POA3180,69,929,1259,372,189,2820,20,2838
POA3181,2207,5239,1845,299,110,9705,126,9829
POA3182,2835,6503,1872,278,121,11611,172,11779
POA3183,1355,4125,1907,289,120,7793,140,7932
POA3184,812,4009,1917,319,130,7186,74,7264
POA3185,620,2769,1748,332,131,5598,58,5662
POA3186,449,3493,3512,951,491,8894,88,8981
POA3187,311,2052,2572,685,322,5948,61,6009
POA3188,474,2687,2732,738,316,6949,71,7016
POA3189,175,940,944,242,79,2380,36,2415
POA3190,305,2153,1842,329,144,4771,54,4828
POA3191,282,1710,1643,392,185,4218,45,4266
POA3192,646,3962,3645,795,365,9415,99,9517
POA3193,220,2253,3410,977,516,7376,63,7444
POA3194,421,2493,2029,430,225,5603,39,5638
POA3195,696,4670,5781,1655,833,13631,95,13726
POA3196,663,4463,4338,942,398,10801,117,10917
POA3197,286,1662,1992,570,285,4801,72,4877
POA3198,518,2939,2662,662,284,7071,116,7191
POA3199,1619,8390,8235,2347,1108,21700,329,22026
