POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3000,7,28,0,0,48,93,48,93,33,74,206,377,1963,3399,19351,32949,0,0,21559,36798,0,0,0,0,0,0,10,18,10,18,126,205,21750,37142,10259,..,32013,37142
POA3002,77,177,134,295,407,957,538,1250,227,357,623,950,308,549,599,999,0,0,1762,2857,0,0,0,0,0,0,3,15,3,15,9,10,2396,4305,857,..,3255,4305
POA3003,46,122,245,561,475,1110,718,1666,458,818,166,336,1116,1937,1317,2397,0,5,3066,5484,0,0,0,0,0,0,21,42,21,42,7,4,3853,7328,1113,..,4968,7328
POA3004,6,6,0,4,5,18,7,18,122,211,272,467,516,929,4783,8342,0,0,5694,9944,0,0,0,0,0,0,0,4,0,4,25,31,5728,10009,1914,..,7641,10009
POA3006,3,3,13,31,144,296,158,323,0,0,276,536,905,1544,10530,18596,0,0,11712,20683,0,0,0,0,0,0,9,13,9,13,43,99,11920,21126,4738,..,16660,21126
POA3008,41,90,0,0,108,293,108,293,0,0,3,11,1015,1837,6353,11674,0,0,7376,13518,0,0,5,0,0,0,0,0,5,0,20,23,7540,13927,2425,..,9965,13927
POA3011,3724,9416,453,928,998,2271,1445,3198,1179,2268,792,1388,1192,1909,1018,1668,10,24,4200,7252,0,0,0,0,0,0,69,143,69,143,16,23,9450,20035,2229,..,11680,20035
POA3012,5798,15846,1057,1943,1748,4295,2803,6246,1070,1736,574,945,224,369,0,0,20,43,1892,3088,0,0,0,0,0,0,41,104,41,104,16,25,10550,25296,1222,..,11768,25296
POA3013,4346,11542,330,617,650,1565,981,2186,272,430,236,360,45,69,104,163,0,16,661,1042,0,0,0,0,0,0,74,131,74,131,5,0,6060,14904,563,..,6629,14904
POA3015,4373,12026,671,1342,1364,3528,2042,4872,396,680,39,59,21,36,0,0,0,0,452,774,0,0,0,0,0,0,31,54,30,55,4,9,6897,17730,626,..,7525,17730
POA3016,3321,9330,764,1465,1159,2979,1926,4443,395,604,134,222,164,267,150,230,4,3,839,1327,0,0,0,0,0,0,7,24,7,24,19,30,6118,15157,782,..,6897,15157
POA3018,3573,9026,780,1363,802,1844,1578,3210,209,318,63,78,143,220,0,0,3,0,423,617,0,0,0,0,0,0,15,26,15,26,3,5,5591,12884,502,..,6091,12884
POA3019,1604,4773,775,1617,881,2459,1654,4070,26,58,57,131,43,82,0,0,0,8,131,285,0,3,8,15,0,0,10,22,21,34,4,8,3412,9172,311,..,3722,9172
POA3020,11614,33065,1130,2683,1329,3719,2459,6399,911,1703,50,78,22,38,91,145,24,55,1098,2012,0,0,0,0,6,6,18,35,16,38,18,38,15211,41558,1493,..,16707,41558
POA3021,14505,42629,1198,2787,949,2623,2151,5405,1168,2652,30,42,13,20,0,0,18,46,1227,2763,0,0,0,0,0,0,27,79,31,78,21,65,17935,50951,1308,..,19243,50951
POA3022,876,2255,111,235,120,265,229,500,3,7,0,0,0,0,0,0,0,0,7,11,0,0,29,39,0,0,0,0,29,39,0,0,1143,2802,98,..,1238,2802
POA3023,17430,56654,848,1982,1053,2908,1894,4893,35,60,62,105,246,436,0,0,9,21,353,622,0,0,0,0,0,0,4,12,4,12,12,21,19696,62202,1056,..,20753,62202
POA3024,10022,31242,345,910,104,252,451,1161,7,21,0,0,0,0,0,0,9,11,10,32,0,0,0,0,0,0,0,4,0,4,3,10,10489,32448,625,..,11120,32448
