POA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA3000,0,3,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,27,15,0,0,0,0,48,0,6,27,15,0,0,0,0,48,0,4,17,7,0,0,0,0,33,9,63,89,32,8,4,0,0,206,140,534,1139,104,0,0,0,32,1963,750,6523,10341,1422,56,10,5,241,19351,0,0,0,0,0,0,0,0,0,900,7135,11590,1567,62,7,5,279,21559,0,3,4,0,0,0,0,0,10,10,32,56,8,0,0,0,14,126,914,7180,11691,1588,67,7,11,294,21750
POA3002,0,3,14,31,17,10,0,3,77,0,12,53,44,16,0,0,0,134,0,25,91,191,79,8,11,0,407,0,38,151,234,92,11,12,3,538,0,116,76,25,4,0,0,3,227,40,264,249,54,8,0,0,3,623,0,69,162,76,0,0,0,0,308,6,120,346,105,16,0,3,3,599,0,0,0,0,0,0,0,0,0,53,565,833,266,25,0,0,14,1762,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,9,60,609,1003,539,143,16,17,20,2396
POA3003,0,6,14,17,0,6,0,0,46,0,19,124,79,16,3,0,0,245,0,81,171,133,55,12,3,6,475,0,102,291,216,74,17,10,11,718,4,176,235,37,5,0,0,10,458,0,32,85,46,5,0,0,3,166,9,409,603,80,3,0,0,6,1116,13,504,652,128,7,0,0,17,1317,0,0,0,0,0,0,0,0,0,22,1125,1573,291,19,0,0,34,3066,0,6,3,6,0,0,0,0,21,0,0,0,0,0,0,0,0,7,25,1237,1888,532,101,20,10,45,3853
POA3004,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,0,0,7,0,46,64,18,0,0,0,0,122,4,76,150,28,0,0,0,6,272,4,144,251,109,10,0,0,4,516,43,1383,2453,820,34,0,0,46,4783,0,0,0,0,0,0,0,0,0,49,1643,2919,974,53,0,0,53,5694,0,0,0,0,0,0,0,0,0,4,3,9,4,0,0,0,4,25,54,1650,2934,984,48,4,4,53,5728
POA3006,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,0,0,13,0,0,84,64,3,0,0,0,144,0,0,88,65,7,0,0,0,158,0,0,0,0,0,0,0,0,0,0,13,188,71,3,0,0,0,276,0,271,479,134,5,0,0,8,905,25,3128,6008,1226,31,5,6,102,10530,0,0,0,0,0,0,0,0,0,28,3416,6676,1436,38,5,6,113,11712,0,0,3,3,0,0,0,0,9,0,16,20,3,0,0,0,8,43,30,3424,6789,1511,47,5,6,117,11920
POA3008,0,6,8,12,13,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,15,56,32,3,0,0,108,0,0,15,56,32,3,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,317,584,94,7,0,0,5,1015,40,2139,3460,617,39,0,0,58,6353,0,0,0,0,0,0,0,0,0,44,2454,4043,718,51,5,0,63,7376,0,0,0,0,0,0,0,0,5,0,7,6,3,0,0,0,0,20,43,2466,4067,791,91,9,0,71,7540
POA3011,7,71,1137,1860,509,82,23,34,3724,3,64,229,115,17,6,0,11,453,9,40,397,474,57,3,0,13,998,10,104,632,593,73,7,3,28,1445,7,322,709,101,13,0,0,19,1179,14,211,466,86,6,0,0,7,792,52,429,600,87,3,0,0,22,1192,25,401,498,80,8,0,0,15,1018,0,3,4,0,0,0,0,0,10,97,1368,2275,354,36,0,3,65,4200,0,14,22,15,10,0,0,4,69,0,7,4,0,0,0,0,0,16,116,1566,4071,2826,624,93,34,124,9450
POA3012,6,50,1184,3206,1065,171,44,78,5798,12,189,591,223,21,0,0,24,1057,0,12,631,922,157,12,0,12,1748,12,198,1223,1141,182,12,0,36,2803,3,380,636,23,0,0,0,23,1070,0,142,383,34,0,0,0,9,574,0,41,176,0,0,0,0,5,224,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,6,20,11,566,1205,71,7,0,0,35,1892,0,4,16,8,5,0,0,0,41,0,3,3,5,0,0,0,0,16,23,822,3625,4431,1256,182,49,157,10550
POA3013,6,46,972,2310,828,132,19,39,4346,0,53,200,69,4,0,0,0,330,0,9,275,308,48,8,4,3,650,0,67,475,376,54,8,4,8,981,0,68,186,14,4,0,0,3,272,0,100,133,8,0,0,0,4,236,0,12,25,5,0,0,0,4,45,0,30,60,13,0,0,0,3,104,0,0,0,0,3,0,0,0,0,0,207,401,35,3,0,3,13,661,0,18,34,11,0,0,0,0,74,0,0,5,0,0,0,0,0,5,3,337,1885,2732,887,137,25,55,6060
POA3015,3,40,750,2280,1067,180,24,31,4373,0,68,351,218,24,3,0,9,671,0,14,295,777,257,11,0,6,1364,0,84,649,992,285,13,0,12,2042,0,111,189,71,9,0,0,5,396,0,4,28,0,0,0,0,0,39,0,4,20,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,239,71,9,0,0,12,452,0,3,8,16,0,3,0,0,30,0,0,0,0,0,0,0,0,4,7,249,1645,3356,1358,193,26,55,6897
POA3016,4,31,466,1559,1003,223,20,20,3321,0,140,343,221,45,7,0,15,764,0,11,220,639,241,26,3,9,1159,5,161,556,863,280,36,3,23,1926,0,80,251,50,0,0,0,8,395,0,41,73,17,0,0,0,0,134,0,65,90,10,0,0,0,0,164,4,66,55,20,0,0,0,8,150,0,0,0,0,0,0,0,0,4,5,247,468,96,0,0,3,21,839,0,0,5,0,5,0,0,0,7,0,3,7,7,0,0,0,4,19,10,445,1504,2519,1290,260,26,66,6118
POA3018,3,20,450,2031,870,147,15,34,3573,0,47,472,210,38,4,0,6,780,5,13,236,404,128,11,0,8,802,7,64,713,618,165,14,0,6,1578,10,54,123,17,5,0,0,0,209,0,57,10,0,0,0,0,3,63,0,19,116,6,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,125,241,23,5,0,0,6,423,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,20,219,1413,2679,1038,160,19,49,5591
POA3019,0,14,337,744,369,89,14,37,1604,5,208,296,219,27,4,3,17,775,3,13,183,457,167,31,5,22,881,3,219,483,673,189,34,4,38,1654,0,0,26,0,0,0,0,0,26,0,3,23,28,0,0,0,0,57,0,16,24,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,76,34,0,0,0,0,131,0,8,5,3,0,0,0,0,21,0,0,3,0,0,0,0,0,4,5,257,910,1460,560,126,24,75,3412
POA3020,10,143,1183,7196,2355,445,73,210,11614,3,50,507,485,63,6,0,19,1130,0,36,270,660,296,36,6,38,1329,3,86,777,1142,354,40,6,49,2459,8,341,411,121,7,0,0,24,911,0,21,20,0,0,0,0,5,50,0,11,8,0,0,0,0,0,22,0,35,59,0,0,0,0,0,91,0,6,8,8,0,0,0,0,24,8,418,509,131,6,3,0,27,1098,0,0,5,3,0,0,0,0,16,0,4,9,9,0,0,0,0,18,21,652,2475,8479,2726,491,84,289,15211
POA3021,27,108,754,9847,2902,493,98,279,14505,0,80,517,537,32,0,0,30,1198,0,10,343,464,105,4,0,26,949,0,88,857,999,138,8,0,52,2151,5,82,654,381,17,0,0,34,1168,0,6,23,4,0,0,0,0,30,0,3,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,18,5,102,687,388,16,0,0,33,1227,0,0,6,15,4,0,0,0,31,0,0,6,6,3,0,0,0,21,36,305,2308,11256,3065,499,106,368,17935
POA3022,0,12,127,565,126,15,6,23,876,0,3,52,50,3,0,0,3,111,0,0,56,57,6,0,0,0,120,0,3,109,111,8,0,0,0,229,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,7,3,25,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,47,241,670,131,15,6,24,1143
POA3023,22,48,611,8148,7081,1144,133,244,17430,0,35,308,371,95,9,0,31,848,0,0,150,690,183,12,8,12,1053,0,35,456,1057,276,23,8,38,1894,0,19,11,0,0,0,0,3,35,0,0,60,0,0,0,0,0,62,0,40,190,5,0,0,0,6,246,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,65,259,11,0,0,0,6,353,0,0,0,4,0,0,0,0,4,0,3,0,0,0,0,0,0,12,23,158,1334,9226,7359,1167,136,292,19696
POA3024,0,24,223,3956,5129,466,54,166,10022,0,0,72,182,70,11,0,8,345,0,0,22,72,7,6,0,3,104,0,0,95,257,80,12,0,5,451,0,0,5,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,9,0,6,5,8,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,29,326,4220,5211,481,54,170,10489
POA3025,3,24,231,2254,593,78,10,46,3233,4,43,117,275,27,0,0,10,489,0,21,201,413,134,12,0,16,796,4,69,319,683,167,16,4,27,1280,0,42,52,16,0,3,0,6,117,0,9,28,0,0,0,0,3,34,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,87,15,0,3,0,8,159,0,0,5,3,0,0,0,0,9,0,0,0,3,5,0,0,0,4,7,148,633,2965,766,94,11,80,4697
POA3026,4,6,33,652,1355,145,22,37,2245,0,0,5,10,0,0,0,0,19,0,11,26,14,5,0,0,3,54,0,10,29,27,7,0,0,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,47,67,680,1362,145,22,40,2368
POA3027,3,4,21,536,1601,282,20,45,2507,0,0,0,3,30,0,0,5,41,0,0,20,70,23,0,0,0,115,0,0,20,77,54,5,0,7,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,126,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,126,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,166,616,1654,284,22,49,2823
POA3028,7,24,962,5707,1923,224,38,131,9016,0,26,359,248,65,6,0,14,717,0,0,90,179,56,11,0,8,344,0,22,445,423,121,14,0,21,1062,0,13,219,114,3,0,0,8,356,0,0,0,0,0,0,0,0,0,0,7,54,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,24,277,115,3,0,4,6,431,0,5,4,3,0,0,0,0,11,0,0,7,3,0,0,0,0,7,14,80,1687,6252,2047,236,41,161,10524
POA3029,20,82,929,12285,17450,1893,249,602,33516,0,7,444,1414,752,55,5,50,2721,0,0,216,298,158,32,6,6,717,0,12,663,1711,903,81,10,56,3435,0,63,527,312,13,6,0,24,935,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,81,552,312,13,6,4,17,985,0,0,0,0,0,0,0,0,0,0,0,5,10,20,0,0,0,32,21,175,2148,14316,18389,1982,260,677,37971
POA3030,27,96,1131,12090,17206,2173,233,444,33400,6,122,1132,907,447,29,4,57,2697,0,4,256,1004,312,65,0,24,1673,6,135,1389,1909,755,93,3,78,4370,0,13,348,185,17,3,0,5,569,0,0,13,0,0,0,0,0,23,0,45,216,24,0,0,0,8,290,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,67,580,213,16,3,0,9,892,6,20,7,3,4,0,0,3,40,0,3,0,3,5,0,0,0,13,40,310,3111,14215,17987,2269,240,539,38707
POA3031,0,17,396,719,268,57,5,14,1491,0,117,611,316,53,11,3,8,1131,9,178,778,892,230,9,4,17,2114,9,294,1393,1208,283,26,6,23,3238,7,123,154,33,3,0,0,7,327,10,371,385,43,4,0,0,12,822,0,265,476,60,3,0,0,7,807,13,327,529,203,3,0,0,40,1111,0,0,0,0,0,0,0,0,0,31,1091,1543,328,11,0,0,71,3075,0,11,13,5,3,0,0,0,33,0,4,0,0,0,0,0,0,8,37,1418,3345,2261,567,79,15,115,7842
POA3032,8,30,591,2088,1488,312,53,42,4607,0,16,397,322,66,7,0,6,806,5,58,560,1228,316,52,4,25,2241,5,73,953,1546,383,57,5,32,3050,3,227,575,153,5,0,0,19,975,4,252,924,84,4,0,0,40,1308,0,266,1286,104,5,0,0,31,1690,0,191,193,21,0,0,0,0,404,0,0,0,0,5,0,0,0,8,8,931,2976,367,19,0,3,88,4387,0,5,6,6,0,0,0,0,22,0,0,9,0,7,0,0,3,13,16,1042,4528,4007,1894,368,56,161,12080
POA3033,9,20,162,2433,1453,231,29,54,4390,0,7,102,249,29,0,0,0,390,0,0,97,358,137,10,0,3,614,0,3,204,605,165,10,5,7,1003,0,0,25,18,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,46,0,0,3,6,0,0,0,0,11,0,0,0,0,0,0,0,0,4,9,31,394,3065,1622,240,33,62,5447
POA3034,0,16,277,1945,953,194,23,48,3449,0,17,94,151,18,4,0,0,288,0,3,88,313,247,50,0,9,708,0,20,183,468,269,49,0,13,996,0,0,10,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,21,0,3,5,10,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,40,478,2419,1227,244,24,64,4491
POA3036,4,10,37,783,825,188,20,18,1877,4,12,158,42,0,3,0,8,229,0,0,3,32,16,0,0,0,48,4,12,157,72,15,3,0,8,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,198,854,839,186,21,33,2156
POA3037,4,23,191,5047,6111,977,137,168,12656,0,23,404,1058,248,16,0,30,1780,0,0,97,793,120,26,3,21,1058,0,23,498,1843,369,43,8,57,2841,0,109,19,85,4,0,0,4,222,0,7,66,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,112,86,89,9,0,0,4,298,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,156,776,6988,6483,1020,137,226,15793
POA3038,3,12,138,3497,3479,580,91,103,7902,6,17,165,366,123,8,0,22,711,0,0,10,131,88,30,0,0,267,6,20,172,503,214,39,8,24,976,0,3,7,26,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,10,26,4,0,0,0,48,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,13,35,323,4028,3698,622,93,128,8933
POA3039,0,16,429,1411,931,222,37,23,3064,0,29,252,173,41,3,0,0,497,0,5,155,316,79,10,0,9,576,0,33,403,492,122,7,0,16,1076,0,144,437,54,0,0,0,6,646,37,255,212,28,0,0,0,18,554,0,630,589,93,0,0,0,17,1329,0,59,72,24,0,0,0,6,167,0,0,0,0,0,0,0,0,0,41,1094,1311,201,3,0,0,50,2697,0,3,14,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,40,1144,2154,2109,1055,227,39,85,6862
POA3040,0,17,460,2190,2005,532,64,39,5318,7,32,322,151,32,6,0,7,560,3,176,515,622,211,19,0,10,1552,7,209,839,775,241,24,0,14,2112,3,212,933,423,20,3,3,15,1615,0,142,129,28,4,0,0,6,308,0,380,593,53,0,0,0,8,1040,0,20,20,0,0,0,0,0,41,0,0,0,0,0,0,0,0,4,7,754,1678,503,28,3,3,33,3002,0,4,16,10,0,0,0,0,25,0,3,3,3,3,0,0,0,9,12,980,2994,3483,2276,555,74,90,10466
POA3041,0,8,228,1403,1085,283,58,30,3092,0,16,149,158,26,3,0,0,362,0,3,122,272,111,12,0,3,523,0,26,282,431,141,13,0,6,891,5,60,186,97,4,0,0,4,351,0,41,96,0,0,0,0,0,147,0,99,208,0,0,0,0,4,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,199,492,101,5,0,3,11,814,0,0,9,7,0,0,0,0,14,0,0,0,0,0,0,0,0,6,5,231,1011,1942,1231,296,59,45,4811
POA3042,9,15,415,2638,1149,192,34,48,4495,0,12,420,523,21,0,0,15,994,0,7,282,596,143,9,0,16,1041,0,18,696,1122,155,5,0,31,2030,0,0,32,30,0,0,0,0,58,0,0,8,0,0,0,0,0,5,0,32,17,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,40,59,28,0,0,0,0,129,0,0,4,4,0,0,0,0,14,0,0,0,0,0,0,0,0,5,10,77,1177,3791,1307,202,37,73,6668
