POA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA3000,4,5,0,0,5,5,0,7,0,0,0,0,0,0,0,0,9,3,3,0,20,22,12,48,9,3,3,0,20,22,12,48,11,6,0,0,17,14,4,33,54,22,6,6,88,97,25,206,426,76,45,61,608,928,426,1963,4677,878,512,703,6765,9261,3333,19351,0,0,0,0,0,0,0,0,5167,984,564,762,7471,10300,3791,21559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,10,8,0,0,0,6,0,0,10,18,8,6,3,33,65,23,126,5201,993,569,767,7534,10393,3823,21750
POA3002,39,17,4,0,53,19,10,77,51,21,11,4,82,34,21,134,170,89,15,8,282,95,35,407,222,105,27,11,367,126,56,538,63,14,4,3,81,124,16,227,173,23,20,4,226,354,46,623,114,20,7,6,147,132,32,308,234,49,20,6,304,277,17,599,0,0,0,0,0,0,0,0,590,104,50,20,766,886,106,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,5,0,0,0,5,5,0,9,851,230,79,34,1195,1035,170,2396
POA3003,4,12,3,0,25,16,12,46,77,51,18,5,150,57,44,245,140,87,23,9,261,126,88,475,222,135,45,10,408,185,126,718,151,32,17,10,211,178,69,458,62,25,9,0,92,61,16,166,337,99,36,19,500,517,104,1116,401,120,42,26,600,545,180,1317,0,0,0,0,0,0,0,0,953,282,108,57,1400,1294,372,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,21,0,0,0,0,3,13,9,21,0,0,0,0,0,0,0,7,1180,432,153,73,1836,1504,512,3853
POA3004,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,5,0,5,0,0,3,0,0,7,33,14,3,0,56,55,10,122,87,26,9,0,119,129,29,272,148,60,25,11,246,231,41,516,1551,473,233,76,2338,2136,307,4783,0,0,0,0,0,0,0,0,1826,574,271,86,2758,2556,384,5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,5,13,0,25,1834,577,276,86,2773,2566,384,5728
POA3006,0,0,0,0,0,0,0,3,0,4,0,0,8,3,0,13,33,16,12,0,65,49,37,144,31,23,11,0,68,53,37,158,0,0,0,0,0,0,0,0,99,31,11,6,144,82,48,276,291,78,42,9,421,418,65,905,3159,830,404,237,4616,4545,1367,10530,0,0,0,0,0,0,0,0,3536,930,463,255,5185,5045,1477,11712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,9,0,4,0,0,9,0,0,9,11,6,0,0,20,17,7,43,3590,963,472,255,5284,5113,1520,11920
POA3008,13,14,0,0,31,6,0,41,0,0,0,0,0,0,0,0,42,38,8,0,89,12,6,108,42,38,8,0,89,12,6,108,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,362,101,31,23,521,409,86,1015,2100,782,242,107,3230,2532,589,6353,0,0,0,0,0,0,0,0,2459,885,274,136,3757,2939,683,7376,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,6,15,0,20,2524,938,286,139,3880,2973,689,7540
POA3011,1026,1108,363,86,2583,741,401,3724,122,72,35,14,244,161,46,453,275,202,109,25,612,276,113,998,396,273,143,31,852,441,152,1445,266,173,92,25,554,517,104,1179,192,86,47,16,340,389,66,792,304,75,51,28,452,644,93,1192,278,64,51,18,417,535,71,1018,4,0,0,0,6,3,0,10,1040,399,240,91,1768,2089,339,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,3,33,26,13,69,13,9,4,3,33,26,13,69,5,0,5,0,4,10,0,16,2484,1792,751,218,5246,3300,906,9450
POA3012,1363,2183,638,103,4289,1120,388,5798,208,151,112,12,481,516,59,1057,570,476,160,39,1244,341,161,1748,777,625,272,50,1728,858,216,2803,179,97,84,23,380,622,70,1070,126,48,25,17,211,315,53,574,48,19,21,6,89,115,18,224,0,0,0,0,0,0,0,0,7,5,0,3,13,3,0,20,357,165,126,43,693,1059,140,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,25,12,3,41,10,11,0,0,25,12,3,41,0,0,3,0,6,9,0,16,2517,2984,1043,198,6744,3051,758,10550
POA3013,1121,1724,388,57,3285,857,202,4346,91,49,29,5,172,141,20,330,206,187,58,7,463,149,43,650,291,241,87,11,630,294,61,981,44,21,12,5,91,151,27,272,70,6,10,6,98,132,17,236,10,3,3,0,16,24,7,45,30,6,8,0,42,59,3,104,0,3,0,0,3,0,0,0,155,43,35,11,245,363,53,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,10,0,37,25,9,74,27,6,10,0,37,25,9,74,0,0,0,0,0,5,0,5,1588,2010,518,82,4199,1543,317,6060
POA3015,1017,1917,442,58,3431,808,135,4373,172,133,60,12,382,274,21,671,380,548,126,12,1061,254,40,1364,553,677,190,26,1444,528,65,2042,78,42,40,7,165,204,19,396,15,0,0,0,15,18,3,39,5,0,4,0,11,8,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,45,44,7,193,235,28,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,11,18,3,31,3,4,4,0,11,16,3,30,0,6,0,0,3,0,0,4,1673,2645,678,89,5081,1591,227,6897
