POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3000,20810,20817,41625,7525,5687,13208,4712,5982,10699,951,1045,1998,1394,1360,2752,14578,14076,28654,4173,4871,9041,9.5,9.7,9.6,70.1,67.6,68.8,63.4,61.1,62.2,3480,3786,7266,377,475,847,6486,6966,13454,1947,1920,3865,1077,797,1866,123,101,219,154,182,327,1347,1072,2420,8743,8520,17261,10663,11012,21674,2984,2791,5774,16055,16416,32473
POA3002,2210,2401,4609,1138,957,2095,351,486,833,69,87,153,58,44,100,1604,1571,3178,466,690,1162,3.4,2.9,3.2,72.8,65.4,69,70.4,63.5,66.8,434,468,907,107,134,241,817,832,1652,178,213,395,120,76,200,11,8,16,18,33,56,147,115,263,1676,1788,3462,538,604,1138,826,963,1789,1330,1393,2725
POA3003,3812,3626,7440,1821,1445,3269,750,918,1673,148,169,319,166,190,357,2889,2726,5617,715,708,1427,5.7,6.9,6.3,75.9,75.1,75.5,71.5,69.9,70.7,663,744,1407,96,148,244,1283,1256,2539,312,298,613,259,174,437,16,19,37,27,40,71,306,237,539,2048,2071,4123,1662,1615,3276,730,733,1458,2875,2866,5745
POA3004,5262,5408,10672,2679,2089,4759,756,1072,1825,167,184,348,183,169,349,3783,3507,7283,963,1401,2359,4.8,4.7,4.8,71.8,64.8,68.3,68.4,61.7,65,936,998,1928,140,265,405,1641,1726,3366,474,552,1027,406,205,612,18,33,48,79,78,155,506,319,823,3501,3628,7127,1579,1629,3208,1464,1596,3063,3462,3502,6967
POA3006,10802,10538,21338,5694,4339,10029,2090,2532,4626,453,499,955,460,495,952,8700,7865,16566,1480,2077,3553,5.3,6.3,5.8,80.5,74.6,77.6,76.3,69.9,73.2,2168,2201,4372,303,406,701,3641,3859,7503,1049,966,2009,729,434,1165,49,38,82,77,109,192,856,579,1437,6030,5917,11946,4753,4604,9359,2043,2118,4156,8447,8138,16579
POA3008,7413,6874,14283,3892,2583,6468,1042,1325,2372,292,303,598,323,379,706,5553,4592,10140,1193,1645,2842,5.8,8.3,6.9,74.9,66.8,71,70.6,61.2,66.1,1329,1376,2709,183,219,402,2587,2338,4924,613,627,1237,501,278,783,31,35,67,75,65,141,605,383,990,4193,3891,8083,3061,2825,5885,1342,1315,2654,5640,5152,10790
POA3011,9949,9593,19546,4530,3371,7904,1769,2387,4157,381,475,851,457,362,827,7138,6601,13737,2083,2413,4492,6.4,5.5,6,71.7,68.8,70.3,67.1,65,66.1,1223,1322,2549,318,543,859,2615,2707,5317,866,801,1663,1018,611,1629,77,66,141,96,109,208,1194,793,1981,7878,7538,15410,2580,2611,5191,4294,4188,8481,5672,5499,11168
POA3012,11184,11256,22444,5297,3867,9165,1804,2676,4476,401,561,965,497,401,907,8005,7507,15508,2438,3097,5536,6.3,5.4,5.8,71.6,66.7,69.1,67.1,63.1,65.1,1193,1245,2440,287,566,852,2592,2906,5496,966,1067,2036,1465,789,2254,82,91,169,118,152,268,1666,1024,2692,10294,10351,20649,2331,2287,4612,6177,6445,12621,5738,5506,11250
POA3013,6077,6569,12644,3365,2518,5882,859,1713,2566,206,343,550,197,159,361,4633,4722,9357,1213,1620,2827,4.3,3.4,3.8,76.3,71.9,74,73,69.5,71.2,646,807,1457,194,390,586,1656,2006,3660,528,612,1140,862,420,1282,46,44,83,77,98,175,975,557,1536,6034,6406,12446,1178,1254,2435,4021,4309,8324,2773,2963,5736
POA3015,7091,7524,14620,3889,2747,6638,978,1942,2920,240,382,622,251,189,440,5364,5261,10625,1431,1983,3411,4.7,3.6,4.1,75.6,69.9,72.7,72.1,67.4,69.7,649,823,1471,221,460,679,1797,2216,4018,673,771,1441,1189,491,1679,48,57,101,96,112,207,1333,655,1988,7289,7654,14945,1377,1410,2791,4752,5013,9768,3278,3448,6728
