POA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3000,8743,8520,17261,1600,1794,3389,393,355,742,7182,7375,14553,260,278,545,110,112,224,146,114,257,59,61,123,33,37,71,46,51,97,0,0,4,8230,8388,16618,730,725,1453,105,106,216,10663,11012,21674,2055,1906,3961,21458,21439,42900
POA3002,1676,1788,3462,54,60,113,21,32,51,374,427,803,20,6,25,7,4,15,4,6,14,4,3,7,4,3,4,7,7,17,0,0,0,440,490,936,32,43,80,0,6,9,538,604,1138,134,136,266,2349,2524,4873
POA3003,2048,2071,4123,207,221,427,48,45,99,1200,1161,2364,34,43,76,11,11,18,25,13,40,10,11,22,0,0,3,12,12,26,0,0,0,1351,1296,2643,86,89,179,13,8,19,1662,1615,3276,361,194,554,4069,3881,7953
POA3004,3501,3628,7127,206,218,427,49,54,108,1102,1114,2209,40,38,80,8,17,29,23,14,36,8,14,20,3,3,14,6,0,8,0,0,0,1238,1260,2495,116,126,239,19,24,47,1579,1629,3208,533,520,1057,5612,5772,11390
POA3006,6030,5917,11946,855,814,1671,135,152,285,3155,2997,6155,103,137,239,46,40,91,38,53,88,20,31,47,9,5,10,21,28,48,0,0,0,3529,3435,6964,307,302,609,61,51,106,4753,4604,9359,633,600,1228,11412,11119,22536
POA3008,4193,3891,8083,668,609,1282,93,73,169,1876,1719,3602,54,56,113,24,29,52,21,22,45,15,11,23,6,0,12,11,11,24,0,0,0,2110,1925,4035,248,272,521,33,19,50,3061,2825,5885,685,658,1345,7944,7376,15314
POA3011,7878,7538,15410,437,472,913,74,56,127,1850,1813,3660,30,39,68,7,16,29,9,16,28,11,16,24,7,6,13,6,11,10,0,0,0,1993,1971,3962,105,133,238,45,33,78,2580,2611,5191,765,641,1411,11225,10788,22015
POA3012,10294,10351,20649,394,357,750,34,29,67,1727,1732,3455,21,22,46,0,4,5,6,3,13,0,7,14,3,3,5,0,4,4,0,0,0,1799,1806,3612,87,89,177,47,34,77,2331,2287,4612,776,611,1384,13400,13251,26648
POA3013,6034,6406,12446,270,264,536,37,32,72,772,857,1623,15,21,33,4,8,12,6,13,19,4,4,8,0,4,8,5,4,11,0,0,0,849,938,1787,51,45,91,13,11,19,1178,1254,2435,271,266,541,7490,7931,15414
POA3015,7289,7654,14945,312,335,646,18,26,50,912,926,1834,22,17,40,5,8,16,10,6,17,4,10,16,6,4,4,11,3,14,0,0,0,981,1002,1984,59,60,117,30,15,39,1377,1410,2791,326,308,634,8997,9372,18367
POA3016,6538,6644,13187,322,330,655,27,28,55,588,664,1247,9,16,24,0,0,3,6,0,6,0,4,6,4,0,6,4,4,10,0,0,3,652,712,1358,55,65,119,7,6,21,1034,1117,2153,247,314,564,7823,8076,15906
POA3018,5220,5726,10950,219,249,466,11,15,22,565,622,1188,10,7,17,0,6,10,4,5,7,6,3,9,0,0,0,0,0,0,0,0,0,592,659,1252,38,51,92,16,7,17,862,964,1824,319,322,644,6395,7019,13415
POA3019,3768,3741,7511,178,155,331,16,8,20,482,439,919,4,0,4,8,4,13,0,0,0,4,0,9,3,0,0,0,0,0,0,0,0,515,455,969,55,57,109,23,9,30,767,676,1443,332,290,627,4866,4713,9579
POA3020,18144,17947,36093,527,468,996,43,35,78,1858,1614,3471,23,15,36,8,5,14,3,8,7,13,7,23,5,9,10,0,0,0,0,0,0,1948,1695,3642,176,155,331,69,48,115,2716,2365,5081,1443,1268,2711,22307,21578,43883
POA3021,22033,22208,44238,612,605,1220,45,34,79,2048,1905,3956,37,34,70,15,16,34,0,6,5,13,14,28,8,3,6,3,3,10,0,0,0,2164,2011,4183,170,202,374,75,67,141,3026,2892,5916,2285,2085,4372,27338,27189,54522
POA3022,1200,1208,2410,43,42,88,0,0,0,147,136,283,0,3,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,143,293,16,10,23,7,3,9,215,199,409,169,135,308,1580,1539,3126
POA3023,27427,27999,55429,509,498,1010,28,26,61,2066,2101,4171,26,32,56,14,11,28,10,9,18,15,15,25,0,0,3,5,5,7,0,0,0,2167,2201,4371,192,205,399,54,38,93,2925,2944,5872,3364,1726,5091,33715,32669,66381
POA3024,12708,12872,25580,396,424,816,79,61,147,2341,2375,4716,34,34,67,17,21,48,9,9,21,22,17,29,8,9,20,0,6,4,0,0,0,2506,2539,5050,145,146,295,40,36,79,3090,3145,6234,818,775,1590,16618,16798,33410
