POA_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
POA3000,110,18,0,0,123,4,0,4,128,3,0,128,85,25,0,0,111,5,0,5,119,3,0,122,40,7,14,0,56,0,0,0,56,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,226,50,15,0,296,9,0,11,302,6,0,309,14,0,0,0,15,0,0,0,19,0,0,19,9,0,0,0,9,0,0,0,14,0,0,13,21,0,0,0,25,0,0,3,28,0,0,26,253,51,15,0,320,10,6,10,333,11,0,340,130,29,9,0,164,6,0,13,178,33,0,211,0,0,0,0,0,0,0,0,0,0,0,0,381,81,17,3,484,14,5,24,504,39,0,551,71,7,0,0,81,0,0,0,85,7,0,91,51,21,0,0,70,4,0,0,73,3,0,77,5,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,3,135,29,0,0,163,3,0,3
POA3002,19,3,0,0,23,0,0,0,23,0,0,25,28,3,0,0,33,0,0,0,33,0,0,33,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,0,65,0,0,0,65,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,0,65,0,0,0,65,0,0,70,6,3,0,0,12,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,73,11,0,0,84,0,0,0,84,3,0,89,20,0,0,0,25,0,0,0,21,0,0,25,24,6,0,0,26,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,48,3,0,0,49,5,0,5
POA3003,44,3,3,0,56,0,0,0,52,0,0,58,36,20,0,0,63,0,0,0,63,0,0,64,15,5,6,0,27,3,0,3,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,101,31,8,0,138,0,0,0,139,4,0,147,8,3,0,0,10,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,10,0,0,0,10,6,0,11,110,33,8,0,149,0,0,0,153,5,0,159,47,8,0,0,58,0,0,0,58,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,159,40,8,0,201,0,0,0,206,12,0,224,49,5,0,0,57,0,0,0,57,3,0,59,30,4,0,0,35,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,82,7,0,0,96,0,0,0
POA3004,53,5,0,0,60,3,3,8,64,3,0,71,70,22,0,3,88,0,0,0,90,0,0,92,22,3,0,0,34,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,150,28,7,3,182,6,3,8,193,0,0,193,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,10,0,0,0,10,0,0,10,160,28,9,3,194,6,3,8,201,0,0,208,68,8,7,5,82,6,0,6,83,13,0,97,0,0,0,0,0,0,0,0,0,0,0,0,225,33,12,5,276,4,3,10,286,14,0,303,58,3,0,0,67,5,0,3,73,9,0,74,38,3,0,0,42,0,0,0,42,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,10,0,0,108,4,0,10
POA3006,117,8,0,0,126,4,0,4,124,11,0,137,90,24,3,0,121,4,0,4,123,3,0,126,50,3,11,0,66,0,0,0,69,0,0,69,0,0,0,3,5,0,0,0,5,0,0,5,256,40,18,7,315,4,0,4,324,12,0,336,15,4,0,0,13,0,0,0,22,3,0,20,9,4,0,0,10,0,0,0,10,0,0,10,22,4,0,0,26,0,0,0,29,3,0,29,278,41,18,7,345,8,0,12,355,15,0,369,119,18,10,3,146,4,4,7,152,35,0,192,3,0,0,0,7,0,0,0,7,0,5,4,393,60,28,10,497,17,5,16,513,49,5,565,77,5,0,0,84,3,0,8,90,5,0,98,52,12,3,0,71,0,0,0,71,4,0,75,4,0,0,0,7,0,0,0,7,0,0,7,0,0,0,5,5,0,0,0,5,0,0,5,140,22,6,5,168,3,0,8
POA3008,134,12,9,0,151,3,0,3,152,0,0,160,79,16,0,4,103,0,0,0,104,8,0,110,40,7,4,0,54,3,0,3,52,0,0,54,0,0,0,0,3,0,0,0,3,0,0,3,255,39,12,4,305,8,0,8,315,12,0,325,21,0,0,0,27,0,0,0,23,0,0,23,10,0,0,0,10,4,0,5,12,0,0,12,30,4,0,0,38,0,0,5,38,0,0,38,287,42,12,4,344,10,0,14,356,12,0,367,146,29,12,0,186,9,0,10,197,33,0,226,0,0,0,0,0,0,0,0,0,0,0,0,435,69,19,5,528,18,3,20,548,45,0,594,70,3,3,0,78,3,0,3,78,8,0,90,36,21,0,0,57,0,0,0,57,0,0,57,3,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,112,25,5,0,141,0,0,0
POA3011,150,42,8,3,196,9,3,8,203,8,0,210,261,66,7,0,336,0,3,0,343,8,0,348,112,20,17,0,144,0,0,0,145,0,0,145,5,4,0,0,9,0,0,0,9,0,0,9,521,124,31,5,686,3,5,11,701,15,0,716,3,0,0,0,3,0,0,0,3,0,0,3,11,5,0,0,18,0,0,0,18,0,0,23,18,7,0,0,18,0,0,0,18,0,0,27,538,136,31,5,712,3,3,11,720,22,0,742,138,42,8,7,190,4,3,12,197,22,5,227,0,0,0,4,9,0,0,0,4,0,5,5,683,177,36,9,905,17,13,27,927,36,5,975,199,37,7,0,250,7,5,8,258,18,0,273,200,38,5,0,245,0,0,0,246,14,0,261,17,0,5,0,19,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,412,79,19,0,512,9,3,11
POA3012,268,33,8,0,314,11,0,11,317,9,0,331,434,84,16,0,527,0,0,0,532,17,0,541,186,11,18,0,219,0,0,0,219,4,0,226,4,0,0,0,4,0,0,0,6,0,0,10,895,132,35,0,1067,9,0,9,1077,27,3,1108,4,12,0,0,17,0,0,0,19,3,0,20,8,3,0,0,14,0,0,0,14,0,0,14,20,9,3,0,28,0,0,0,32,3,0,39,914,145,40,0,1100,10,0,10,1112,32,3,1146,206,48,14,8,283,10,4,9,294,35,0,332,0,0,0,0,3,0,0,0,3,0,3,9,1122,198,55,15,1383,22,4,21,1405,67,11,1480,351,52,6,0,408,3,0,7,419,19,0,437,383,71,9,3,462,7,0,5,465,24,3,497,35,8,5,4,49,0,0,0,49,0,0,52,0,5,0,0,4,0,0,0,4,0,0,3,765,129,22,4,923,8,4,11
POA3013,207,22,5,0,232,5,0,7,232,13,0,249,304,44,3,0,353,0,0,6,355,8,0,364,117,7,16,0,134,4,0,4,140,0,0,140,5,0,0,0,5,0,0,0,5,0,0,5,633,65,20,0,726,3,3,7,736,21,0,754,3,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,11,0,0,11,13,0,0,0,16,0,0,0,18,0,0,18,648,68,20,0,744,4,3,6,754,21,0,769,137,14,3,0,161,0,0,0,156,11,0,167,0,0,0,0,0,0,0,0,0,0,0,6,787,85,21,0,899,3,3,11,911,28,3,943,278,43,8,0,320,6,0,9,328,21,0,345,321,28,3,0,358,3,0,0,355,7,0,362,15,0,0,0,21,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,616,71,8,0,698,9,0,6
POA3015,278,30,4,0,311,3,0,6,315,3,0,322,442,62,5,4,513,5,4,4,513,10,0,523,173,10,15,0,196,0,0,0,196,4,0,197,5,0,0,0,5,0,0,0,5,0,0,5,894,104,19,4,1025,6,4,15,1035,21,0,1052,3,4,0,0,4,0,0,0,4,0,0,4,3,0,0,0,7,0,0,0,7,0,0,7,4,8,0,0,12,0,0,0,12,0,0,12,900,110,19,4,1032,6,4,15,1042,21,0,1061,188,26,0,4,221,0,3,4,225,16,4,241,0,0,0,0,0,0,0,0,0,0,6,9,1092,130,22,8,1248,10,10,15,1267,39,7,1309,373,39,3,0,419,4,0,4,421,13,0,437,412,36,5,0,461,9,0,9,467,9,0,474,29,7,8,0,37,0,0,0,37,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,817,87,16,0,919,12,0,12
