POA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
POA3000,16,0,0,0,19,4,0,22,0,0,0,0,4,0,0,0,4,0,0,4,76,11,0,0,90,0,0,0,90,7,0,97,13,4,0,0,12,0,0,0,15,0,0,17,10,0,0,0,15,0,0,0,15,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,29,0,0,0,34,5,0,34,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,5,0,0,5,3,0,0,0,7,0,0,0,4,0,0,4,26,6,0,0,35,0,0,0,39,5,0,39,10,0,0,0,9,0,0,0,8,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,41,0,0,4,42,10,0,54,19,4,0,0,17,0,0,0,19,4,0,23,11,3,0,0,13,0,0,0,13,0,0,13
POA3002,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,27,0,0,0,24,0,0,31,12,0,0,0,13,0,0,0,13,0,0,14,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25,0,0,0,25,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25,0,0,0,25,0,0,24,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,25,0,0,0,25,0,0,27,7,0,0,0,6,0,0,0,6,0,0,10,11,0,0,0,14,0,0,0,14,0,0,14
POA3003,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,0,62,0,0,0,63,4,0,66,19,0,0,0,19,0,0,0,22,3,0,24,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,34,0,0,0,30,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,34,3,0,3,31,3,0,34,7,0,0,0,11,0,0,0,11,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,43,3,0,3,42,3,0,49,21,4,0,0,26,0,0,0,30,0,0,33,4,0,0,0,4,0,0,0,4,0,0,8
POA3004,22,3,0,3,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,64,6,0,0,78,7,0,7,79,8,0,86,15,0,0,0,17,0,0,0,17,0,0,23,11,6,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,28,0,0,0,28,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,28,0,0,0,28,0,0,35,5,0,0,0,8,0,0,0,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,36,0,0,0,36,3,0,43,20,0,0,0,18,0,0,0,19,0,0,21,5,3,0,0,10,0,0,0,10,0,0,14
POA3006,24,0,0,0,25,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,59,21,0,0,81,4,0,5,85,8,0,91,5,0,0,0,10,0,0,0,10,3,0,13,4,4,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,27,0,0,0,27,3,0,26,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,23,5,0,0,27,0,0,0,32,3,0,28,6,0,0,0,8,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,29,5,7,0,37,0,0,4,42,9,0,45,10,0,0,0,13,0,0,0,13,0,0,13,4,6,0,0,8,0,0,0,8,0,0,9
POA3008,19,0,0,0,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,0,62,3,0,0,64,6,0,66,11,0,0,0,9,0,0,0,9,0,0,12,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,14,0,0,0,14,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,18,0,0,0,18,0,0,19,12,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,0,29,0,0,0,29,0,0,33,12,0,0,0,18,0,0,0,18,0,0,11,3,3,0,0,12,0,0,0,12,0,0,12
POA3011,34,0,0,0,34,13,0,43,0,0,0,0,0,0,0,0,0,4,0,4,241,39,0,0,286,0,7,9,293,30,0,326,54,10,0,0,56,3,0,0,63,0,0,61,32,4,0,0,45,0,0,0,45,6,0,49,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,91,16,5,0,107,0,0,5,111,4,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,16,5,0,111,0,0,5,113,5,0,116,9,0,0,0,9,0,0,0,13,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,102,16,5,5,120,5,0,4,127,17,0,143,65,8,0,0,74,0,0,0,76,5,0,86,37,17,0,0,51,0,0,0,51,0,0,59
POA3012,67,0,0,0,68,17,0,84,0,0,0,4,6,0,0,0,9,0,3,8,450,92,9,9,561,7,3,15,576,35,3,616,111,19,0,0,132,4,0,3,135,6,0,144,94,13,0,3,111,0,0,0,111,10,0,119,6,0,0,0,10,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,216,31,4,3,251,4,0,3,256,15,0,267,7,4,0,0,8,0,0,0,8,0,0,8,0,0,0,0,9,0,0,0,9,0,0,5,9,4,0,0,8,0,0,0,8,0,0,10,224,36,4,3,265,4,0,3,268,13,0,282,24,9,0,0,39,0,0,0,33,6,5,42,0,0,0,0,0,0,0,0,0,0,0,0,243,42,4,0,295,3,0,0,300,23,5,326,144,22,3,0,165,0,0,4,165,11,0,177,90,21,0,0,118,0,0,0,118,13,0,127
POA3013,36,0,0,0,36,6,0,42,0,0,0,0,0,0,0,0,0,0,0,0,364,27,3,0,398,10,5,12,404,24,0,436,121,18,4,0,142,0,0,0,147,5,0,153,76,13,0,0,93,0,0,0,92,7,0,94,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,203,32,5,0,235,0,0,4,245,15,0,256,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,203,32,5,0,242,0,0,4,242,15,0,257,16,0,0,0,20,0,0,0,20,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,223,35,5,0,259,0,0,4,263,19,0,280,129,9,3,0,136,3,0,3,142,4,0,143,110,15,0,0,129,0,0,0,131,10,0,134
POA3015,76,5,0,6,79,3,0,80,0,0,0,0,0,0,0,0,0,0,0,3,500,70,11,0,579,12,0,16,597,20,3,615,140,16,4,4,157,6,0,6,162,8,0,174,108,12,0,0,121,3,0,3,122,5,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,29,6,4,283,6,0,6,287,11,0,300,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,0,0,0,3,0,0,3,251,26,6,4,289,6,0,6,290,11,0,301,30,3,0,9,39,0,0,0,42,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,279,29,9,7,325,4,0,4,332,12,0,347,152,16,0,0,170,4,0,4,175,3,0,181,103,25,0,0,126,3,0,3,129,9,0,138
