POA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA3000,23,0,0,0,23,3,0,26,263,33,0,0,299,7,0,7,308,18,3,331,183,62,4,0,251,10,0,13,264,14,0,277,47,7,11,0,73,0,0,0,73,3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,496,107,18,4,629,18,0,24,650,34,3,685,25,5,0,0,31,3,0,3,34,0,0,34,22,0,0,0,22,4,5,10,34,0,0,31,47,5,0,0,50,8,5,11,64,3,0,65,547,105,28,4,682,25,7,32,715,37,3,756,220,46,9,9,278,15,0,19,299,66,0,369,0,0,0,3,6,0,0,0,6,0,0,6,768,152,34,11,965,37,13,54,1015,102,4,1120
POA3002,16,0,0,0,16,0,0,16,85,9,0,0,95,0,0,0,96,7,0,104,94,14,0,0,105,0,0,0,106,0,0,106,17,0,0,0,17,0,0,0,17,0,0,17,0,4,0,0,4,0,0,0,4,0,0,4,201,24,0,0,220,3,0,3,225,7,0,231,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,202,24,0,0,224,3,0,3,231,7,0,234,31,12,0,0,44,0,0,0,44,8,0,49,0,0,0,0,0,0,0,0,0,0,0,0,229,35,0,0,269,3,0,3,268,14,0,285
POA3003,13,0,0,0,13,4,0,11,197,22,3,0,220,0,3,5,224,17,0,242,99,20,0,0,126,0,0,0,126,3,0,131,17,7,6,0,33,3,0,3,36,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,316,59,8,0,383,5,3,7,388,25,3,415,8,3,0,0,10,0,0,0,10,0,0,13,13,0,0,0,13,5,0,5,15,0,0,19,18,3,0,0,22,5,0,5,24,4,0,30,334,58,8,0,405,7,3,12,414,26,3,445,95,12,0,0,110,0,0,0,108,24,0,134,0,0,0,0,0,0,0,0,0,0,0,0,427,75,8,0,510,7,0,13,520,51,3,580
POA3004,18,0,0,0,18,0,0,13,182,17,0,0,205,7,8,12,217,21,0,234,133,34,4,3,178,0,0,0,180,3,0,186,31,3,7,0,38,0,0,0,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,353,55,10,5,420,8,8,14,433,27,0,463,13,0,0,0,17,4,0,4,13,0,0,13,10,0,0,0,11,0,0,0,11,0,0,11,23,0,0,0,22,4,0,4,23,0,0,23,370,55,9,3,441,12,8,21,460,27,0,484,151,19,12,3,175,13,0,13,183,23,0,212,0,0,0,0,0,0,0,0,0,0,4,4,519,71,21,9,616,27,8,29,646,47,4,698
POA3006,15,3,0,3,14,6,0,22,248,22,0,0,274,6,0,8,286,23,0,304,179,58,15,0,245,3,0,3,254,15,0,266,53,10,15,0,80,0,0,0,82,0,0,82,0,0,0,14,10,0,0,0,10,0,4,14,481,94,31,14,612,14,0,16,628,35,4,665,27,0,0,0,30,8,0,8,39,4,0,39,17,4,0,0,20,0,0,3,24,0,0,21,44,7,0,0,49,8,0,10,57,3,0,66,524,97,31,14,670,19,0,20,688,34,4,729,219,38,13,6,277,11,6,16,290,80,0,371,3,0,0,0,7,0,0,0,7,0,5,4,747,139,43,21,945,29,7,37,987,118,4,1108
POA3008,10,0,0,0,10,4,0,16,266,24,11,0,294,10,0,7,304,15,0,322,147,46,0,4,196,0,0,0,197,8,0,206,51,7,6,0,71,3,0,3,71,0,0,68,0,0,0,0,3,0,0,0,4,0,4,7,466,76,16,4,567,10,0,11,576,31,4,612,32,0,0,0,33,0,0,4,34,0,0,34,21,0,0,0,21,3,6,10,27,5,0,31,51,4,0,0,53,5,3,11,65,5,0,69,518,81,16,4,617,22,6,21,643,32,4,672,258,55,11,0,326,9,9,11,337,62,0,397,4,0,0,6,9,0,0,0,9,0,0,9,775,134,25,8,949,29,9,36,988,88,4,1081
POA3011,50,4,0,3,60,14,0,71,629,124,18,6,778,15,5,25,801,51,0,849,655,157,18,4,831,5,6,12,842,40,0,878,143,25,19,0,186,3,0,3,188,0,0,191,7,4,0,3,12,0,0,0,11,0,0,11,1428,303,59,10,1806,26,12,36,1846,89,0,1934,7,6,0,0,17,0,0,0,13,0,0,13,28,10,0,0,41,6,0,4,40,4,0,46,34,14,0,0,48,6,0,6,53,4,0,59,1472,316,61,10,1856,29,17,46,1900,97,0,1996,271,66,5,4,346,10,12,16,364,87,5,453,0,0,0,3,12,0,0,0,6,3,5,20,1738,382,63,20,2210,37,26,63,2276,187,8,2469
POA3012,75,0,3,7,78,16,0,95,1175,190,20,0,1382,14,5,17,1403,70,0,1478,1244,236,25,4,1509,8,0,14,1521,85,3,1616,243,27,28,4,303,3,3,5,308,11,0,320,12,8,0,6,16,0,0,0,13,0,4,21,2672,459,75,12,3219,29,10,38,3253,163,9,3427,17,12,0,0,38,12,0,12,45,3,0,48,40,15,5,0,58,0,7,4,62,0,0,67,60,31,9,0,94,13,7,12,109,8,0,116,2731,487,81,12,3316,39,17,51,3364,173,9,3550,491,129,28,20,660,17,4,25,685,125,5,813,5,7,0,4,19,0,4,4,15,0,18,37,3229,617,108,39,3991,54,21,84,4068,300,25,4390
POA3013,67,0,0,0,68,10,0,75,1010,112,17,0,1144,15,6,25,1166,70,0,1238,1014,132,11,3,1153,6,4,12,1161,27,0,1190,153,5,18,0,175,0,5,6,182,6,0,188,4,0,0,0,5,0,0,0,5,0,0,5,2181,252,41,8,2475,26,12,40,2521,102,0,2624,12,0,0,0,16,0,0,0,16,0,0,16,22,0,0,0,26,0,0,0,28,0,0,28,38,3,0,0,44,0,0,0,48,0,0,48,2212,253,47,12,2524,32,12,42,2563,102,0,2668,314,40,5,0,363,8,0,8,369,40,3,412,4,0,0,0,4,0,0,0,4,0,4,6,2533,294,51,12,2887,35,12,50,2938,143,9,3084
POA3015,82,0,0,0,82,17,0,98,1266,144,12,4,1425,18,3,28,1449,43,3,1500,1343,173,18,6,1538,24,3,28,1562,43,0,1606,215,23,21,0,259,0,0,0,265,8,0,274,7,0,0,9,15,0,0,0,15,0,0,15,2833,337,57,7,3243,44,10,56,3299,100,3,3397,19,4,0,0,24,0,0,0,24,0,0,24,30,7,0,0,33,3,0,3,33,0,0,33,48,7,0,0,54,3,0,3,56,0,0,56,2878,345,57,7,3298,46,10,56,3350,100,3,3451,451,74,13,12,557,19,7,26,584,40,4,626,0,0,0,0,0,0,0,0,0,0,13,21,3337,423,71,27,3857,63,18,82,3940,134,20,4096
