POA_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
POA3000,3,11,5,4,9,7,5,37,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,9,8,7,8,7,5,60,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,6,9,8,8,8,15,5,65,0,3,3,3,0,4,7,21,0,0,0,0,0,0,0,0,6,17,13,10,14,11,14,82,9,16,15,14,19,13,10,100,8,19,8,8,14,7,14,77,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,23,39,26,23,32,21,25,184,0,4,0,0,0,3,0,8,0,0,0,0,0,3,0,5,3,4,0,0,0,7,0,16,24,39,26,25,37,27,25,202,25,15,12,24,22,42,32,175,0,0,0,0,0,0,0,4,60,56,36,46,58,75,56,382,15,28,19,17,24,20,11,138
POA3002,0,6,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,18,5,9,10,3,5,3,3,27,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,4,3,3,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,4,3,3,3,40,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,15,8,8,5,7,3,48,5,15,9,3,5,4,5,44
POA3003,0,0,5,3,5,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,10,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,3,25,0,4,3,6,8,6,0,34,0,5,4,5,6,0,4,29,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,10,11,6,14,11,11,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,7,15,11,6,17,7,11,74,6,4,3,3,8,8,0,33,0,0,0,0,0,0,0,0,10,22,16,9,29,17,11,106,0,7,10,7,10,6,5,44
POA3004,3,5,6,5,0,0,0,15,0,0,3,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,7,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,7,0,5,0,26,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,10,8,5,0,5,7,33,10,9,11,9,17,6,7,62,5,9,3,6,8,0,0,32,0,0,0,5,0,0,0,7,3,0,0,0,0,0,0,5,12,23,15,14,22,9,8,104,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,4,0,0,9,14,19,15,22,25,9,8,112,14,3,6,8,13,8,6,63,0,0,0,0,0,0,0,0,30,22,24,26,35,20,14,175,9,11,14,15,15,6,7,82
POA3006,3,3,9,0,7,16,4,48,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,10,9,0,10,11,8,52,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,9,0,10,11,3,53,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,9,6,12,16,7,60,15,20,6,9,18,13,3,86,11,18,10,9,3,5,6,60,3,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,30,37,20,22,22,18,9,160,4,0,0,0,0,0,0,7,3,0,0,0,0,3,0,7,4,0,0,0,0,3,0,14,38,45,20,22,23,19,14,175,18,28,18,6,19,14,19,118,0,0,0,0,0,0,0,3,57,70,32,29,47,35,30,300,16,26,16,12,24,32,11,131
POA3008,0,3,0,5,5,6,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,6,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,6,3,25,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,3,4,0,5,6,11,6,29,9,16,3,10,3,6,3,41,3,6,0,3,10,8,6,32,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,23,4,9,11,11,9,83,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,4,0,4,0,0,5,3,0,13,21,24,5,11,13,13,7,94,19,13,6,3,11,12,16,85,0,0,0,0,0,0,0,0,37,41,8,16,23,25,24,179,12,16,8,9,4,7,5,66
POA3011,5,12,7,5,7,4,3,49,0,5,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,10,7,6,7,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,10,7,6,7,3,67,3,4,4,0,0,3,0,14,0,0,0,0,0,0,0,0,9,22,16,7,13,5,3,84,18,46,24,17,24,14,8,149,26,32,19,9,17,7,12,122,4,0,0,0,0,0,0,8,7,0,0,0,0,0,0,3,44,82,49,29,45,24,17,288,0,5,7,0,0,0,0,13,0,5,3,5,0,0,0,15,4,13,5,5,0,0,0,25,48,92,55,33,47,24,17,316,41,34,17,10,14,5,10,140,0,0,0,0,0,0,0,5,89,128,71,42,65,34,25,458,18,57,32,19,33,22,9,204
POA3012,8,8,12,12,14,6,6,73,3,3,4,3,6,5,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,7,18,21,10,21,9,6,89,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,7,22,21,10,24,9,6,96,0,7,0,5,7,0,0,21,0,0,0,0,0,0,0,0,7,29,24,19,27,12,6,122,19,66,48,26,48,32,15,260,30,47,29,25,24,22,12,187,6,9,3,3,13,9,4,40,0,0,0,0,0,0,0,9,56,126,80,58,88,64,30,495,0,3,5,4,5,3,0,18,0,7,3,0,0,0,0,22,0,11,9,5,7,4,0,41,59,133,89,60,91,65,33,533,51,68,37,23,36,19,10,235,0,0,5,4,0,0,0,10,107,208,124,87,127,80,48,776,27,78,61,33,68,38,24,329
POA3013,4,9,10,8,0,3,0,31,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,13,7,7,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,13,7,7,3,4,43,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,3,10,13,14,9,3,4,53,4,35,29,16,20,10,11,131,14,28,19,11,10,11,8,108,0,3,0,3,4,0,0,8,0,0,0,0,0,0,0,0,23,69,48,35,39,25,16,253,6,0,4,0,0,3,0,12,6,0,0,0,0,0,0,8,4,0,4,0,3,3,0,23,28,74,55,34,42,33,16,275,14,18,19,6,7,3,6,72,0,0,0,0,0,0,0,0,41,87,69,39,51,37,22,350,10,41,37,25,29,18,12,163
POA3015,0,12,12,3,9,13,0,51,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,10,9,11,0,60,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,12,10,13,11,0,63,0,6,0,0,0,0,4,12,0,0,0,0,0,0,0,0,3,18,12,13,9,11,0,73,17,41,47,40,48,27,16,233,20,40,28,19,30,19,8,161,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,34,87,78,60,78,44,17,409,0,0,0,0,4,0,3,10,0,3,3,0,0,0,0,11,0,6,3,0,4,0,3,16,40,91,86,60,83,47,24,421,16,23,19,13,8,10,5,88,0,4,0,0,0,0,0,4,55,116,97,71,92,56,23,519,20,52,55,40,55,36,14,284
