POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,1300,678,244,34,32672
POA3002,541,511,246,85,3832
POA3003,347,170,57,6,5923
POA3004,866,776,484,182,8827
POA3006,1028,651,255,40,17699
POA3008,895,487,147,16,11842
POA3011,1235,635,267,168,14212
POA3012,1388,686,288,178,15377
POA3013,1128,459,152,74,9029
POA3015,1445,673,229,155,10490
POA3016,1913,1185,468,137,9164
POA3018,1028,699,361,137,7302
POA3019,390,253,75,27,4528
POA3020,2025,1260,631,253,19356
POA3021,2416,1847,915,449,21808
POA3022,130,99,46,17,1525
POA3023,3104,1747,687,205,28777
POA3024,1194,660,198,41,16104
POA3025,514,293,246,117,5771
POA3026,312,120,41,5,3677
POA3027,341,181,25,0,5398
POA3028,1890,1084,342,110,13611
POA3029,4917,2742,943,188,63609
POA3030,5762,3305,1268,436,58769
POA3031,1091,683,210,88,11189
POA3032,2148,1252,421,103,17859
POA3033,980,650,499,113,7149
POA3034,743,620,401,180,5785
POA3036,530,399,211,90,2970
POA3037,2922,1335,499,151,22740
POA3038,2365,1343,459,108,12255
POA3039,1377,860,301,127,9889
POA3040,2462,1461,577,257,15505
POA3041,1073,758,300,108,7007
POA3042,1119,718,357,130,8355
POA3043,1010,842,479,125,8112
POA3044,1906,897,395,277,15664
POA3045,11,4,0,0,54
POA3046,1815,944,633,439,19147
POA3047,837,432,240,85,8486
POA3048,756,376,184,44,6190
POA3049,743,420,187,66,4507
POA3051,830,515,203,60,10121
POA3052,341,276,187,71,4305
POA3053,573,499,312,139,11136
POA3054,680,608,280,72,5846
POA3055,945,565,209,86,9410
POA3056,1522,867,295,90,16966
POA3057,709,382,133,36,9560
POA3058,2217,1172,426,201,19655
POA3059,1383,663,164,19,9584
POA3060,601,344,166,85,6350
POA3061,189,120,77,9,1661
POA3062,0,0,0,0,3
POA3063,58,21,10,5,277
POA3064,4261,1799,543,160,48542
POA3065,824,473,201,58,7301
POA3066,458,244,87,17,6517
POA3067,510,333,142,30,6779
POA3068,1591,1269,568,151,13323
POA3070,2052,1109,405,149,16104
