POA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
POA3000,38,566,29,182,47,33,8,50,6,954,40,230,10,147,39,24,0,22,3,510,419,982,157,543,654,341,30,230,55,3408,134,510,48,298,204,119,9,87,30,1436,106,320,62,186,100,112,9,57,10,962,46,10,246,203,41,35,4,60,10,655,6,0,3,5,0,4,0,0,0,18,19,55,17,38,30,18,3,13,8,192,17,30,25,34,14,12,5,14,43,200,988,3806,742,1873,1322,852,95,685,193,10552,103,507,89,105,89,86,19,56,17,1074,187,1465,156,127,120,113,56,129,46,2406,254,1068,238,127,113,113,94,262,32,2300,84,378,105,45,52,51,17,52,16,800,17,26,9,19,10,13,7,10,0,108,62,883,43,230,65,37,14,64,15,1422,69,319,10,174,53,34,3,30,8,696,849,1797,415,761,1044,574,136,457,109,6150,266,955,102,408,317,164,29,141,49,2431,180,587,133,252,172,186,39,127,25,1700
POA3002,11,167,4,12,16,0,0,0,0,210,19,67,0,6,11,0,0,0,0,106,112,120,6,13,62,9,0,6,5,325,39,156,3,23,39,9,0,0,9,284,26,82,3,10,26,10,0,0,0,164,3,9,9,6,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,8,16,0,3,7,0,0,0,0,33,0,4,0,0,0,0,0,0,4,11,244,703,35,84,172,41,6,10,27,1321,22,69,9,6,3,4,0,4,8,126,20,51,6,3,0,0,0,4,3,84,34,70,16,8,11,5,0,0,4,148,16,74,19,3,3,8,0,5,0,135,10,8,0,4,4,0,0,0,0,23,20,297,4,18,20,3,0,0,0,365,26,96,0,10,13,5,0,0,0,150,241,271,15,15,88,32,0,11,10,683,80,324,0,35,61,13,4,4,7,538,42,145,14,14,39,16,0,6,0,286
POA3003,7,152,3,27,11,0,0,10,0,215,8,58,6,25,11,5,0,3,0,117,115,196,27,57,115,37,8,44,8,605,53,167,0,66,48,9,0,22,0,367,33,101,12,23,30,25,0,8,0,237,7,4,37,20,8,6,0,9,3,95,0,0,0,0,0,0,0,0,0,4,7,9,4,8,7,4,0,0,0,44,0,5,0,7,10,4,0,7,7,42,299,935,121,261,285,110,15,115,29,2167,31,120,20,14,20,10,8,20,0,238,51,256,25,12,18,9,4,15,7,399,61,272,59,13,34,16,22,38,11,523,31,85,32,13,15,13,4,12,4,199,6,6,4,0,3,4,0,3,0,32,10,241,9,40,16,7,0,13,0,343,14,97,3,33,13,8,0,3,0,164,229,366,52,88,189,69,30,78,19,1122,86,303,18,91,80,17,3,29,11,635,53,189,30,37,56,37,0,19,6,425
POA3004,31,347,12,52,24,3,0,0,5,481,14,114,0,21,13,6,0,0,4,185,224,314,15,49,186,68,7,26,8,889,81,207,7,53,71,21,4,8,12,462,29,110,10,29,43,26,0,7,0,260,12,6,25,10,18,16,0,6,0,105,0,0,0,0,0,0,0,0,0,0,13,17,0,9,14,5,0,4,0,57,5,3,7,6,8,4,0,0,8,39,468,1387,98,241,429,165,18,77,39,2924,45,158,7,3,21,16,0,6,3,259,60,253,19,5,25,11,5,11,8,393,104,236,83,13,48,15,21,31,14,567,47,130,74,0,14,10,3,11,3,297,12,18,6,0,4,0,3,0,0,56,44,541,20,59,30,9,3,8,4,718,26,157,5,28,13,10,0,7,4,252,461,638,47,85,292,145,24,58,19,1771,147,345,15,88,107,33,14,15,16,772,58,211,30,36,56,48,3,21,4,467
POA3006,31,397,12,92,44,14,3,17,0,615,19,153,8,53,29,12,0,9,0,282,387,811,62,204,453,148,14,146,29,2255,139,375,21,128,137,50,0,55,19,922,71,220,19,72,54,53,3,28,9,529,39,10,78,77,40,22,0,18,0,280,3,0,0,0,0,6,0,4,0,13,19,42,5,18,23,13,0,5,7,130,12,17,6,9,6,8,0,14,29,96,867,2679,296,752,913,367,44,377,110,6405,82,286,42,48,62,24,14,21,5,592,171,947,89,35,91,57,18,42,24,1474,213,736,161,66,93,39,44,154,12,1526,85,190,97,16,37,23,8,29,3,487,15,18,5,9,15,3,0,6,3,73,52,623,24,125,51,17,6,26,5,929,38,233,10,61,27,8,0,11,3,402,874,1534,160,317,753,291,84,263,69,4346,248,622,44,203,216,84,24,86,23,1549,123,402,56,120,86,86,22,49,14,967
POA3008,17,216,8,46,12,12,5,5,3,324,25,87,9,35,26,11,0,4,3,194,215,440,42,78,279,107,7,49,9,1243,50,197,7,65,96,23,6,25,4,468,29,101,15,27,33,26,3,14,0,251,13,11,38,28,34,14,0,9,0,145,0,0,0,0,0,0,0,0,0,3,10,13,0,9,14,4,0,5,7,67,0,10,4,5,4,4,0,0,10,46,483,1646,171,338,553,244,27,143,56,3667,52,185,12,31,26,25,5,16,5,347,137,888,51,18,39,30,8,17,20,1212,206,752,107,25,60,41,30,53,15,1292,62,113,63,10,19,14,4,8,7,305,11,9,3,0,10,0,0,5,0,45,26,330,15,59,15,14,5,11,9,491,47,111,10,35,27,12,7,9,9,261,524,843,85,140,426,196,45,100,30,2392,118,341,14,126,122,39,20,32,7,832,52,166,33,49,44,38,7,27,0,427
POA3011,41,437,10,96,45,13,6,10,3,665,39,323,7,77,36,3,0,9,7,499,255,325,25,92,300,83,13,72,14,1166,155,544,30,169,150,40,7,25,13,1140,90,261,35,54,87,51,9,5,3,603,25,10,51,33,27,24,0,20,0,191,0,0,0,0,0,0,0,0,0,3,24,47,5,14,28,12,3,5,5,144,8,19,0,7,13,3,0,5,22,79,738,2290,215,581,776,254,56,188,73,5170,74,206,36,23,59,25,8,27,9,469,77,295,65,27,48,30,45,50,9,654,116,321,224,35,50,32,56,73,14,916,69,176,122,13,39,7,13,26,5,474,29,42,22,9,16,3,8,11,3,133,64,630,18,141,58,18,9,10,0,950,64,489,13,95,54,10,6,14,3,735,526,654,82,146,462,156,78,139,29,2272,253,855,44,258,236,69,26,47,20,1813,156,515,94,100,133,95,29,31,10,1156
POA3012,42,562,14,107,61,24,4,20,8,842,41,403,7,82,35,16,4,7,3,586,344,391,30,101,357,100,17,47,17,1399,147,425,14,202,176,36,14,33,3,1045,106,268,36,54,68,56,11,12,6,616,40,13,58,57,43,31,7,24,3,277,0,0,0,0,0,0,0,0,0,5,22,43,8,18,26,3,0,4,5,127,7,20,4,14,16,5,0,11,16,92,841,2410,248,672,869,314,71,183,75,5675,80,211,39,29,54,19,6,21,3,461,122,277,59,21,50,46,52,58,14,708,157,357,291,41,67,40,110,82,18,1166,99,112,235,12,25,8,18,39,0,552,21,31,36,6,24,10,3,10,7,140,74,753,26,159,68,32,15,26,8,1167,64,591,10,106,45,17,13,12,9,859,632,759,113,170,541,184,98,125,30,2650,235,659,44,322,234,57,31,53,11,1647,169,500,91,84,100,86,30,32,15,1105
POA3013,40,364,13,60,39,18,0,0,3,528,50,291,0,38,25,9,0,3,0,428,284,257,16,29,196,58,3,19,16,880,119,357,15,106,119,31,4,8,11,766,79,191,26,37,32,36,7,4,4,425,19,12,26,24,29,9,5,10,0,139,0,0,0,0,0,0,0,0,0,0,19,39,3,7,24,10,0,0,0,98,4,9,0,3,10,4,0,3,6,52,707,1718,134,327,529,191,18,65,47,3750,60,160,16,11,22,9,0,7,4,300,63,156,23,7,19,7,7,9,4,298,135,235,178,12,39,18,32,45,3,695,85,103,131,5,18,8,6,11,8,371,18,29,26,4,12,6,7,11,0,103,65,497,11,83,43,17,0,4,6,739,72,399,8,53,38,12,0,9,4,591,565,499,50,52,280,109,22,33,20,1630,218,544,18,164,149,41,5,15,20,1174,133,335,60,58,63,66,15,24,9,763
POA3015,48,425,19,75,55,11,9,3,3,641,69,307,7,67,31,10,0,0,0,494,353,319,13,54,278,68,7,12,10,1124,131,381,9,107,119,12,3,7,3,765,54,142,18,27,43,27,0,13,3,314,29,10,38,22,38,23,0,5,0,174,0,0,0,0,0,0,0,0,0,0,26,24,4,9,19,0,0,0,3,89,6,7,0,0,10,5,0,0,6,35,798,1857,139,382,639,171,29,51,37,4111,73,145,19,18,20,13,0,10,0,295,92,197,17,10,19,13,5,9,0,362,204,295,244,22,61,26,55,51,10,972,109,94,193,12,18,8,11,37,5,493,18,23,20,3,10,5,0,11,0,95,76,538,26,100,61,10,16,8,5,847,94,422,14,81,43,8,3,3,6,664,703,615,40,93,381,128,40,34,28,2053,209,568,17,166,151,33,9,18,12,1174,97,253,41,42,50,36,14,28,6,566
