POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3000,109,21,651,270,68,50,20,124,20,1326,7,6,10,8,4,4,0,3,0,38,42,103,36,51,43,32,16,33,7,361,31,51,55,63,24,23,18,37,101,410,2256,8173,2058,2638,2183,1470,464,1530,435,21224
POA3002,9,9,15,15,3,0,0,4,0,60,0,0,0,0,0,0,0,0,0,0,16,27,0,3,8,4,0,0,0,56,5,9,0,0,0,3,0,3,6,28,538,1452,101,131,248,98,15,42,41,2668
POA3003,24,6,100,26,13,8,7,8,3,194,0,0,0,0,0,0,0,0,0,3,22,22,3,16,12,11,5,0,0,88,8,14,9,12,12,8,5,10,23,88,625,1985,359,392,475,205,100,241,73,4449
POA3004,32,13,76,22,16,25,4,15,0,205,0,0,0,0,0,0,0,0,0,0,30,30,5,12,15,4,0,3,5,110,10,21,11,8,14,4,4,4,24,96,1076,2746,384,378,660,326,82,201,106,5969
POA3006,77,20,244,121,49,33,11,39,3,597,3,0,3,5,0,4,0,3,0,14,41,67,11,26,34,23,4,10,12,225,25,33,15,27,12,8,7,25,63,219,2045,5709,965,1178,1529,708,251,770,248,13398
POA3008,30,12,119,45,35,19,12,23,11,310,0,0,0,5,0,0,0,0,0,9,25,41,8,17,19,10,3,5,5,139,13,26,9,5,6,8,0,7,23,107,1302,3809,543,565,857,462,150,323,140,8151
POA3011,51,16,157,53,36,38,15,37,0,397,0,0,0,0,0,0,0,0,0,9,57,79,28,28,41,17,12,9,7,275,17,35,8,22,20,3,11,24,48,189,1542,4318,904,953,1232,519,304,507,166,10439
POA3012,67,23,154,74,57,30,24,56,4,506,0,6,4,0,0,0,0,0,0,11,45,73,19,26,40,15,10,8,4,239,18,33,29,27,22,18,16,23,41,223,1786,4385,1147,1078,1325,561,431,544,168,11430
POA3013,47,10,74,34,39,21,9,20,4,258,0,0,0,6,0,0,0,0,0,7,45,60,16,9,26,15,7,5,6,185,25,14,6,7,13,4,3,8,15,103,1527,3044,624,501,760,329,121,199,104,7213
POA3015,43,13,83,34,46,28,4,11,5,268,0,0,4,0,0,0,0,0,0,3,53,46,17,15,24,8,3,6,6,190,15,16,17,6,13,8,5,11,23,111,1781,3230,744,614,906,321,160,230,104,8091
POA3016,25,18,42,22,28,18,4,7,4,175,0,4,0,0,0,0,0,0,0,8,38,34,4,9,26,7,3,4,6,125,11,19,8,7,7,10,6,4,16,80,1518,2591,518,440,688,274,88,156,100,6377
POA3018,19,15,42,28,23,15,16,10,0,169,0,0,0,0,0,0,0,0,0,3,14,28,8,12,21,5,0,3,3,88,13,16,10,3,13,3,0,15,28,111,912,1795,622,463,656,215,140,187,104,5095
POA3019,19,7,51,37,16,18,5,18,0,169,0,0,0,0,0,0,0,9,0,11,7,3,0,8,9,0,9,8,3,51,10,5,14,10,10,12,11,10,32,114,294,831,305,365,391,213,243,239,86,2973
POA3020,54,28,203,139,74,47,48,114,9,722,0,0,0,5,0,0,4,3,0,20,22,48,23,28,44,16,32,21,6,242,32,25,51,48,42,21,67,51,93,427,1175,3268,1597,1536,1534,727,976,1025,275,12122
POA3021,66,17,292,185,82,76,90,143,21,974,0,0,0,3,0,4,9,6,0,19,13,23,30,29,28,10,38,25,12,211,21,27,71,58,32,32,72,88,115,517,824,2346,1873,1793,1439,725,1176,1237,329,11742
POA3022,5,4,12,9,9,6,4,9,0,47,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,18,0,0,4,4,8,0,6,8,11,32,90,276,124,117,115,51,71,68,12,931
POA3023,101,29,279,186,141,110,111,110,22,1092,0,3,0,0,0,4,3,7,0,20,42,58,39,42,45,13,49,34,5,327,55,32,83,68,72,34,66,56,153,623,2274,5253,2644,2464,2816,1088,1329,1150,452,19474
POA3024,70,21,188,90,84,73,80,76,6,686,0,0,6,0,0,3,0,0,0,10,14,34,29,40,28,15,44,16,15,235,15,21,31,32,37,5,50,37,62,296,1104,3355,1436,1665,1533,590,868,694,239,11485
POA3025,31,7,50,22,30,13,9,17,5,193,0,0,0,0,0,0,0,0,0,0,12,15,6,7,13,9,4,6,7,75,12,9,14,11,11,11,11,13,21,118,642,1261,549,324,535,215,159,167,89,3926
