POA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
POA3000,0,15,0,3,3,0,0,0,0,23,21,249,9,0,10,5,0,0,0,296,295,1375,101,100,213,141,57,138,45,2462,16,29,0,0,3,5,0,0,3,57,32,109,6,20,11,5,4,0,3,191,17,27,0,0,12,6,0,5,0,64,594,2242,408,318,438,279,165,379,74,4896,0,0,3,0,0,0,4,5,3,19,59,83,147,55,21,31,19,32,7,448,99,93,291,118,67,64,41,120,24,917,84,73,258,107,67,66,40,92,19,794,6,8,15,11,11,4,0,20,0,76,13,17,29,17,3,11,10,15,8,119,15,33,21,9,8,7,8,3,4,99,21,18,33,19,6,10,14,43,46,211,1267,4370,1314,767,861,619,369,846,237,10667,0,13,0,0,0,0,0,0,0,18,27,162,5,5,0,0,0,0,3,204,264,1437,83,242,376,188,6,69,46,2715,3,22,0,5,6,9,0,5,0,45
POA3002,0,3,0,0,0,0,0,0,0,3,14,68,0,0,0,0,0,0,0,80,63,165,3,4,12,3,0,0,7,261,0,10,0,0,0,0,0,0,0,12,16,37,0,0,7,0,0,0,0,61,5,6,0,0,0,0,0,0,0,9,141,391,20,17,34,35,3,21,11,667,0,0,0,0,0,0,0,0,0,0,18,32,3,4,3,3,0,4,0,58,16,12,10,8,8,6,0,0,0,69,16,6,32,4,6,8,0,10,0,87,0,0,0,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,6,0,4,0,6,0,0,0,0,0,17,295,750,70,46,80,57,11,36,13,1350,0,0,0,0,0,0,0,0,0,0,11,61,0,0,0,0,0,0,0,78,67,185,0,12,21,6,0,0,3,294,0,9,0,3,0,0,0,0,0,8
POA3003,5,3,0,0,0,0,0,0,0,6,9,80,0,0,5,0,0,0,0,91,75,262,16,15,36,19,14,8,9,457,4,7,0,0,0,0,0,0,0,19,10,30,0,4,3,0,0,3,0,53,4,12,0,0,0,0,0,0,0,16,141,561,69,50,103,43,38,70,20,1094,0,0,0,0,0,0,0,0,0,3,16,25,17,8,8,8,3,5,0,93,29,26,36,21,14,9,10,14,0,153,31,16,80,19,20,7,12,11,0,196,0,3,0,3,3,0,0,0,0,10,8,5,5,3,0,0,3,0,0,17,3,12,6,8,3,3,0,3,0,34,0,7,5,3,0,3,4,4,8,41,327,1049,240,126,196,95,81,126,40,2283,0,3,0,0,0,0,0,0,0,5,10,58,0,5,3,0,0,0,0,71,85,329,18,29,56,20,5,14,5,546,0,10,0,0,7,0,0,0,0,21
POA3004,0,7,0,0,0,0,0,0,0,11,17,86,0,0,6,0,0,0,0,111,150,374,16,25,36,33,13,5,8,652,0,8,0,0,0,0,0,0,0,17,20,38,6,0,5,0,0,0,0,69,8,9,0,0,0,0,0,0,0,24,252,667,72,47,123,68,22,55,28,1333,0,0,0,0,0,0,0,0,0,0,41,44,12,11,11,12,6,4,3,141,42,45,39,16,25,23,10,18,0,215,58,26,126,24,17,19,13,16,12,313,0,0,0,4,0,0,0,0,0,13,9,11,5,7,10,4,4,0,0,54,5,6,4,0,0,3,0,5,5,23,6,21,4,5,5,0,0,5,10,55,609,1360,291,143,232,162,67,117,63,3040,3,6,0,0,0,0,0,0,0,20,9,96,3,0,0,0,0,0,0,112,100,402,15,19,64,27,4,9,9,650,0,14,0,0,0,0,0,0,0,24
POA3006,3,12,0,0,0,0,0,0,0,15,17,147,0,0,6,0,0,0,0,173,284,913,54,42,159,91,46,46,39,1676,9,22,0,0,8,3,6,0,0,39,29,98,8,5,14,7,4,3,0,169,16,27,0,0,5,0,0,0,0,50,528,1509,214,191,270,132,76,183,35,3130,0,0,4,0,0,0,0,0,0,3,61,84,63,26,15,17,4,21,6,303,89,78,118,56,54,29,30,57,11,514,105,75,170,75,65,45,33,46,5,614,12,3,3,3,7,0,3,3,0,41,11,16,6,10,3,3,3,3,0,64,10,32,13,4,5,5,3,12,3,90,8,16,13,10,9,0,8,18,22,104,1177,3027,670,428,616,335,211,385,136,6988,3,20,0,0,4,0,0,0,0,27,13,121,0,0,5,0,0,3,0,142,250,886,50,89,235,77,12,19,22,1641,5,24,0,5,8,0,0,3,0,45
POA3008,0,4,0,0,0,0,0,0,0,7,19,77,3,0,0,4,0,0,0,109,186,583,30,23,66,44,14,33,17,1003,3,17,0,0,0,0,0,0,0,18,25,52,6,6,7,0,0,5,0,100,8,11,4,0,3,0,0,0,0,37,352,1228,96,88,141,90,56,73,32,2156,0,0,0,6,0,0,0,0,0,6,40,42,29,11,15,18,8,7,10,175,65,53,61,28,24,24,9,24,3,291,82,37,116,46,34,29,25,26,6,396,4,0,7,3,4,0,0,0,0,20,10,16,12,0,3,9,3,0,0,57,7,25,5,8,9,0,0,7,6,55,7,20,4,0,4,0,0,9,12,55,820,2168,370,227,311,212,119,178,80,4482,4,8,0,0,0,0,0,0,0,9,7,76,0,0,5,0,0,0,0,94,115,534,25,50,149,54,0,10,14,946,9,17,0,0,0,5,0,0,0,36
POA3011,5,3,0,0,0,0,0,0,0,9,12,122,0,0,3,0,0,0,0,139,157,472,39,30,73,38,39,51,11,925,5,17,5,3,3,4,0,4,5,35,34,115,7,6,17,7,6,0,0,187,12,29,0,3,11,0,0,0,0,55,367,1030,176,119,199,107,79,108,27,2214,0,0,0,0,0,0,0,0,0,9,34,64,54,41,19,18,14,23,4,264,68,82,81,62,43,29,27,33,4,421,84,61,291,75,57,40,55,68,20,754,0,3,16,10,0,3,6,8,0,57,13,12,4,4,11,6,3,3,0,63,5,7,5,0,4,4,4,6,0,43,5,18,13,9,6,0,6,11,23,90,805,2024,693,367,454,263,245,318,98,5268,0,6,0,0,5,0,0,0,0,17,17,119,0,0,4,0,0,0,0,146,140,619,20,56,94,22,12,30,6,1001,6,21,0,0,3,0,0,0,0,30
POA3012,0,9,0,0,0,0,0,0,0,7,20,90,0,4,4,0,0,0,0,122,160,411,49,27,52,53,87,54,12,912,6,12,3,0,3,3,0,0,0,29,31,117,6,10,5,5,3,3,0,178,11,24,0,4,4,0,6,0,0,55,427,1051,161,143,218,93,73,98,29,2291,0,0,0,4,0,0,0,0,0,5,48,76,55,25,23,10,22,13,3,285,70,85,100,65,51,18,45,44,10,489,127,67,474,95,66,44,89,107,14,1087,5,0,7,6,3,8,4,12,0,48,10,14,16,9,8,5,15,7,0,85,12,9,17,0,3,0,7,3,3,58,11,18,14,6,7,7,12,17,11,105,943,1977,903,404,459,249,359,362,93,5749,0,18,0,0,0,0,0,0,0,21,14,110,0,0,6,0,0,0,0,132,161,537,22,44,121,24,14,15,9,945,6,23,3,0,3,0,0,0,6,43
POA3013,0,5,0,0,0,0,0,0,0,9,20,61,0,0,3,0,0,0,0,98,131,265,15,13,28,5,9,7,3,473,5,6,0,0,0,0,0,0,0,11,34,67,4,5,7,0,0,0,0,122,13,14,3,4,6,0,0,0,0,39,394,696,80,64,106,53,23,37,11,1479,0,0,0,0,0,0,0,0,0,0,44,49,41,13,13,13,7,6,0,186,55,67,35,29,25,12,10,11,6,261,94,48,288,40,36,39,31,51,16,641,6,8,4,6,0,7,3,7,0,34,8,9,7,4,0,3,5,3,0,50,0,4,0,0,0,0,7,0,0,13,17,10,6,0,6,0,3,3,6,52,821,1320,489,173,230,137,100,128,57,3463,3,11,0,0,6,0,0,0,0,15,9,75,4,3,4,4,0,0,0,105,135,374,3,21,53,6,0,5,7,605,3,10,0,0,3,0,0,0,0,27
POA3015,0,7,0,0,0,0,0,0,0,8,12,63,0,0,0,0,0,0,0,86,144,246,11,18,38,8,4,4,8,482,4,9,0,0,0,0,0,0,0,13,39,60,5,4,14,0,0,0,0,121,19,19,0,4,4,3,0,0,3,51,419,758,70,83,114,65,28,32,8,1583,0,0,0,0,0,0,0,0,0,0,53,53,32,27,7,16,6,7,3,202,106,77,45,35,27,22,12,19,10,349,137,52,416,48,45,32,64,93,10,900,4,7,6,5,4,0,5,4,0,35,17,7,6,0,11,7,7,9,0,73,10,8,0,0,0,0,5,0,0,26,12,6,0,3,3,7,3,6,15,55,983,1369,606,230,265,155,134,178,59,3984,0,8,0,0,0,0,0,0,0,13,14,84,0,0,8,0,0,0,0,103,163,334,6,25,59,3,0,3,9,605,3,11,0,7,7,0,0,0,0,26
