POA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA3000,270,2473,6395,2423,905,529,164,28,3,13185,0,9,13,3,0,0,0,0,0,22,0,0,4,3,0,0,0,0,0,6,9,59,180,39,11,9,4,0,0,312,0,3,30,17,8,0,0,0,0,62,3,27,86,36,19,3,0,0,0,169,3,33,73,31,19,8,5,0,0,172,91,482,521,110,48,24,3,0,0,1274,202,940,1191,262,67,36,8,0,0,2706,5,41,124,39,20,5,5,0,0,240,6,41,115,33,11,4,5,0,0,212,0,125,354,143,56,28,5,0,0,700,0,29,132,44,19,14,5,0,0,240,9,320,1049,278,77,48,19,5,0,1804,9,117,343,89,31,16,8,0,0,599,4,49,183,80,70,31,8,0,0,428,26,263,476,182,78,48,15,0,0,1080,21,319,698,222,96,77,13,0,0,1448,11,67,102,45,13,12,5,0,0,245,8,82,229,78,30,14,0,0,0,444
POA3002,11,93,499,336,200,228,134,45,0,1555,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,9,11,8,4,8,0,0,37,0,0,6,7,4,0,0,0,0,4,0,3,11,0,9,10,3,0,0,32,0,5,3,3,6,5,0,0,0,17,8,23,42,22,12,11,5,0,0,120,14,17,32,10,4,10,3,0,0,84,0,3,3,0,4,4,0,0,0,15,0,4,15,7,10,8,0,0,0,42,0,4,22,22,24,14,6,3,0,97,0,0,3,8,4,0,0,0,0,15,0,20,115,58,40,27,13,0,0,279,0,0,6,3,5,7,0,0,0,23,7,7,48,29,22,17,10,0,0,129,0,10,50,42,29,35,10,4,0,188,0,16,101,57,27,52,32,5,0,290,0,7,18,7,3,8,4,0,0,43,0,4,9,7,9,14,3,0,0,46
POA3003,28,334,1303,577,285,155,40,10,0,2725,0,0,5,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,8,31,13,11,0,0,0,0,66,0,0,11,12,0,0,0,0,0,23,0,0,26,11,5,0,0,0,0,44,0,3,29,10,14,3,3,0,0,62,14,68,89,22,18,11,0,0,0,216,8,82,150,30,13,6,5,0,0,294,0,4,29,9,7,4,0,0,0,49,0,9,22,9,11,3,0,0,0,57,0,15,81,48,18,14,3,0,0,174,0,10,17,7,3,0,0,0,0,36,0,38,242,79,37,13,4,0,0,411,0,22,81,21,6,0,0,0,0,129,0,6,56,34,26,14,4,0,0,142,0,21,113,53,30,14,6,0,0,244,3,45,156,79,35,34,5,0,0,353,0,15,21,19,3,3,0,0,0,56,0,10,51,19,4,0,0,0,0,85
POA3004,30,245,1275,961,466,351,196,63,6,3597,0,0,3,3,0,0,0,0,0,6,0,0,4,4,5,0,0,0,0,8,0,3,50,22,8,7,3,0,0,101,0,0,5,10,4,0,0,0,0,21,0,0,44,14,6,6,6,0,0,75,0,5,40,17,9,7,3,0,0,86,8,29,94,51,38,22,16,0,0,255,16,46,92,45,16,8,0,0,0,220,0,6,30,10,7,5,0,0,0,53,0,5,35,19,7,9,3,0,0,72,0,9,90,72,36,21,11,0,0,237,0,0,28,24,13,12,9,3,0,85,0,36,270,139,56,37,23,3,0,562,0,15,65,32,21,8,0,0,0,140,0,0,51,46,28,19,8,0,0,161,6,19,113,68,48,47,17,5,0,331,5,43,263,118,64,73,32,5,0,603,0,4,35,20,18,5,3,0,0,85,0,9,39,21,11,9,10,0,0,93
POA3006,62,888,3984,1938,746,443,152,20,0,8241,0,0,8,3,0,0,0,0,0,16,0,0,4,4,6,0,0,0,0,10,0,22,93,38,26,15,3,0,0,199,0,4,25,27,9,4,0,0,0,71,0,19,95,27,16,15,4,0,0,182,0,16,55,27,20,10,0,0,0,131,14,182,284,81,34,28,5,0,0,619,51,220,397,102,23,12,0,0,0,810,4,11,59,41,13,12,3,0,0,132,0,29,83,43,17,8,0,0,0,172,0,54,308,172,50,27,5,0,0,610,0,9,71,28,14,6,0,0,0,131,0,124,731,248,71,38,18,0,0,1229,0,54,303,74,19,17,3,0,0,472,0,12,154,94,58,29,3,0,0,356,10,66,250,122,45,59,23,0,0,570,4,108,441,155,85,52,24,0,0,876,3,50,112,53,25,4,3,0,0,253,0,24,99,46,20,7,0,0,0,205
POA3008,29,391,2375,1295,583,412,129,22,0,5228,0,0,0,9,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,10,0,11,53,32,20,12,0,0,0,126,0,5,8,25,7,0,0,0,0,49,0,7,50,25,6,10,0,0,0,105,0,6,32,10,15,11,0,0,0,84,17,66,155,59,28,25,7,0,0,355,17,83,208,59,18,11,4,0,0,405,0,8,38,19,12,7,0,0,0,84,0,11,42,12,17,5,0,0,0,84,0,24,208,140,47,24,6,0,0,445,0,7,52,33,17,3,7,0,0,117,0,50,468,162,62,28,8,0,0,778,0,24,113,26,21,16,5,0,0,206,0,13,70,58,42,24,0,0,0,213,0,33,121,75,34,32,12,0,0,319,0,39,222,88,51,45,17,0,0,462,4,5,34,18,7,7,0,0,0,78,0,14,60,23,13,17,4,0,0,126
POA3011,104,578,2499,1806,957,606,117,10,0,6679,0,3,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,11,65,64,41,18,0,0,0,208,0,3,18,19,13,4,0,0,0,58,0,13,37,26,14,5,0,0,0,97,0,6,36,23,17,9,5,0,0,87,38,106,202,84,59,34,8,0,0,527,53,143,186,68,35,13,5,0,0,495,0,13,54,26,23,23,0,0,0,138,0,10,60,49,26,8,5,0,0,147,0,7,139,106,57,16,0,0,0,323,0,4,32,13,14,6,0,0,0,69,0,35,329,235,80,36,6,0,0,728,4,24,115,58,32,11,7,0,0,244,3,16,187,186,99,68,4,0,0,557,4,43,277,237,138,104,16,0,0,813,9,100,475,261,175,95,28,0,0,1137,5,21,67,34,24,19,0,0,0,164,0,14,84,58,33,22,6,0,0,212
POA3012,164,546,2504,2077,1325,731,151,13,0,7500,0,0,3,7,5,0,0,0,0,15,0,0,0,0,4,0,0,0,0,4,3,11,71,65,69,46,10,0,0,275,0,0,18,28,14,0,0,0,0,57,0,8,52,56,30,9,0,0,0,155,0,9,40,42,24,9,3,0,0,134,61,110,229,123,67,47,8,0,0,648,91,80,134,73,53,22,8,0,0,461,0,4,71,54,49,23,3,0,0,200,0,4,44,55,27,7,0,0,0,138,4,22,140,141,62,27,0,0,0,389,0,6,36,32,15,14,3,0,0,111,3,28,259,220,109,36,6,4,0,668,0,16,83,72,44,24,9,0,0,257,0,19,166,206,143,73,8,0,0,612,8,48,267,271,202,111,4,0,0,915,13,89,476,356,255,150,34,5,0,1385,5,24,42,49,33,11,5,0,0,169,8,15,94,61,53,22,5,0,0,257
POA3013,141,270,1086,1265,978,546,127,15,0,4433,0,0,4,7,0,0,0,0,0,14,0,0,4,4,0,4,0,0,0,9,7,5,36,47,38,14,6,0,0,153,0,0,8,14,9,0,0,0,0,36,0,9,30,36,19,12,0,0,0,111,0,3,16,27,17,19,0,0,0,84,49,60,110,74,79,36,5,0,0,419,87,49,63,30,20,14,5,0,0,261,3,0,19,32,33,17,0,0,0,109,5,16,23,53,32,12,3,0,0,147,0,8,68,80,69,25,3,0,0,252,0,3,26,25,23,5,6,0,0,88,0,15,165,176,130,45,0,0,0,532,0,3,33,39,42,16,0,0,0,136,0,7,81,117,112,64,10,0,0,399,10,24,158,141,145,97,18,0,0,598,0,39,221,215,178,140,16,0,0,813,5,13,41,42,30,13,0,0,0,144,3,17,48,29,26,22,10,0,0,147
POA3015,185,291,1040,1497,1189,753,147,11,0,5110,0,0,6,6,6,0,0,0,0,12,0,0,0,5,0,0,0,0,0,12,10,9,27,46,46,11,8,0,0,153,0,0,15,29,23,6,0,0,0,67,4,9,29,47,38,18,4,0,0,145,0,9,21,32,26,21,0,0,0,110,58,69,91,98,67,37,8,0,0,428,79,40,32,35,29,20,3,0,0,229,0,6,26,49,39,14,0,0,0,142,3,3,17,32,16,26,0,0,0,102,0,16,72,137,80,29,5,0,0,336,0,3,15,19,19,15,0,4,0,77,0,13,147,210,143,47,8,0,0,571,0,7,27,42,34,24,3,0,0,136,0,13,76,144,129,72,13,0,0,455,13,27,146,202,203,132,28,0,0,745,9,52,229,253,201,167,20,0,0,925,8,13,33,28,27,15,3,5,0,128,0,7,30,55,49,21,0,0,0,168
