POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,14,119,336,124,42,36,8,0,0,677,19,292,542,165,77,48,17,6,0,1163,677,5588,12560,4237,1597,932,268,41,3,25902
POA3002,0,4,17,24,16,22,9,0,0,91,0,3,19,24,14,16,6,9,0,85,35,208,1002,649,431,451,233,58,5,3078
POA3003,0,16,76,28,10,5,0,0,0,138,5,33,115,39,16,7,6,0,0,214,62,707,2543,1061,523,288,65,11,0,5262
POA3004,0,18,68,34,19,12,12,0,0,168,4,17,131,75,36,28,18,5,3,317,62,484,2679,1714,884,664,364,91,5,6939
POA3006,0,46,164,86,30,19,9,0,0,353,0,71,361,138,41,46,3,0,0,671,154,1930,7718,3396,1318,805,256,31,0,15613
POA3008,0,14,105,43,24,27,10,0,0,226,4,34,191,75,42,16,5,3,0,372,71,822,4400,2192,1018,706,210,24,0,9443
POA3011,0,25,139,103,59,33,12,0,0,381,9,57,207,136,71,53,11,0,0,544,235,1164,4935,3391,1847,1112,214,13,0,12913
POA3012,12,27,169,105,95,47,14,0,0,462,11,57,234,150,103,59,15,9,0,635,369,1079,4812,4039,2624,1382,271,21,5,14603
POA3013,8,24,68,57,47,39,11,0,0,249,3,26,84,97,59,43,15,0,0,320,321,558,2274,2503,2003,1118,209,16,0,8999
POA3015,6,13,55,85,77,47,12,0,0,307,8,20,79,94,72,54,12,6,0,347,376,587,2117,3002,2386,1447,253,18,0,10185
POA3016,7,19,24,44,65,61,18,0,0,248,8,18,38,58,75,46,22,5,0,271,453,649,1031,1631,2234,1759,453,43,0,8257
POA3018,4,16,35,64,40,36,11,0,0,208,6,19,61,70,64,30,16,4,0,264,261,398,1270,1832,1639,1031,245,31,3,6710
POA3019,0,12,63,38,35,20,9,0,0,178,11,31,120,68,53,30,4,0,0,314,135,434,1611,967,681,410,104,5,0,4341
POA3020,9,63,218,181,142,99,28,5,0,739,37,142,457,277,237,169,29,9,0,1351,610,2005,5675,4355,3388,2333,498,40,5,18907
POA3021,25,110,326,249,191,102,28,0,0,1021,41,188,478,382,338,241,47,3,4,1709,649,2391,6000,4291,3592,2658,618,54,4,20252
POA3022,0,4,11,18,16,5,0,0,0,49,0,6,30,25,22,18,0,0,0,108,36,88,410,380,260,138,29,6,0,1355
POA3023,23,98,286,287,271,131,36,0,0,1140,69,167,431,458,368,201,52,3,3,1754,1540,2726,6199,7914,6932,3608,713,40,4,29670
POA3024,21,63,117,124,71,47,13,0,0,459,23,89,254,257,148,45,12,0,0,829,698,1355,4452,5224,2489,1292,252,15,0,15772
POA3025,3,15,56,58,39,21,10,0,0,203,7,28,78,81,49,28,10,0,3,283,158,372,1534,1600,1072,585,139,14,3,5482
