POA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA3000,0,0,0,0,0,5,0,7,9,180,0,191,0,0,0,0,0,0,0,10,0,35,0,55,0,5,0,0,0,3,0,20,0,22,0,60,0,0,0,0,0,0,0,28,7,15,0,56,0,7,0,0,0,6,3,24,3,35,0,76,0,9,0,0,0,6,6,52,8,22,0,109,0,40,0,0,0,19,0,45,10,55,0,177,3,57,3,14,0,53,16,61,17,46,0,273,13,130,6,22,0,74,17,60,10,50,0,396,14,142,4,102,14,83,28,53,9,45,0,489,7,62,3,85,8,68,15,25,9,25,0,312,66,70,7,123,8,53,8,16,4,19,0,368,263,69,10,172,30,131,13,22,6,37,4,735,243,29,4,118,12,45,13,11,9,17,0,499,200,10,5,57,7,42,5,6,0,11,0,339,163,7,0,26,9,17,0,0,0,5,0,240,373,24,3,91,16,77,4,13
POA3002,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,5,0,11,0,19,0,0,0,0,0,0,0,3,0,17,0,25,0,5,0,6,0,9,4,5,0,20,0,41,0,3,0,4,0,7,5,6,0,0,0,19,4,4,0,12,0,5,0,3,0,10,0,41,19,7,0,19,3,21,0,4,3,17,0,85,24,3,0,16,0,0,0,3,0,12,0,60,27,0,0,18,4,3,0,0,0,9,0,68,38,5,0,14,0,5,0,6,0,9,0,70,162,18,0,52,14,51,3,32
POA3003,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,5,0,13,0,4,0,0,0,4,0,8,0,14,0,25,0,13,0,0,0,4,0,5,0,10,0,39,0,17,0,3,0,10,4,16,0,7,0,61,7,24,0,16,0,17,0,10,0,10,0,94,4,11,0,27,0,20,0,0,0,4,0,76,17,9,0,29,3,12,7,3,0,4,0,85,53,27,3,49,10,28,3,7,0,9,0,178,67,11,0,26,6,6,0,8,0,4,0,128,66,0,0,17,3,4,0,0,0,4,0,107,71,0,0,8,0,6,0,0,0,0,0,80,155,7,0,28,5,15,0,4
POA3004,0,0,0,0,0,5,0,0,0,27,0,35,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,10,0,19,0,0,0,0,0,0,0,0,0,4,0,11,0,5,0,0,0,0,0,3,3,26,0,39,0,4,0,0,0,6,0,12,0,9,0,35,0,8,0,3,0,11,0,3,0,26,0,64,6,20,3,13,0,10,3,13,0,35,0,99,8,4,0,18,0,19,0,0,0,16,0,70,12,20,0,19,8,18,0,14,0,21,0,107,69,27,4,63,0,44,3,15,0,39,0,267,129,9,0,48,11,15,0,9,0,22,0,241,98,8,0,35,8,13,0,4,0,15,0,182,70,0,0,18,0,3,0,0,0,8,0,104,242,9,0,64,9,79,3,24
POA3006,0,0,0,0,0,0,0,0,0,47,0,49,0,0,0,0,0,0,0,5,0,15,0,22,0,0,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,0,0,7,0,7,0,14,0,3,0,0,0,0,0,5,0,13,0,30,0,3,0,0,0,3,0,6,5,9,0,21,0,4,0,0,0,0,0,20,0,21,0,54,0,21,0,0,0,14,4,14,3,25,0,85,4,45,4,19,3,29,7,24,6,33,0,180,20,91,0,47,5,40,5,28,0,38,0,275,15,38,0,57,8,42,5,17,5,11,0,193,31,45,4,42,0,44,0,13,0,19,0,209,206,50,4,118,27,84,13,23,3,32,0,563,233,21,3,93,8,34,0,6,0,19,0,414,191,9,0,66,18,41,0,8,0,13,0,341,185,0,5,36,3,9,0,7,0,8,0,251,471,20,0,85,13,102,3,16
POA3008,0,0,0,0,0,3,0,0,0,66,0,63,0,0,0,0,0,0,0,4,0,8,0,6,0,0,0,0,0,0,0,4,0,10,0,13,0,0,0,0,0,0,0,6,0,10,0,10,0,5,0,0,0,0,0,4,0,3,0,19,0,0,0,0,0,3,0,9,0,8,0,20,0,3,0,0,0,9,0,15,0,34,0,58,0,12,5,3,4,19,0,18,3,25,0,89,6,26,0,8,3,34,4,13,6,21,0,120,13,39,0,14,6,38,0,13,0,27,0,152,9,21,4,33,9,32,0,13,3,14,0,124,22,14,3,40,12,42,0,9,0,23,0,174,119,21,6,71,16,85,3,18,3,24,0,362,130,4,0,64,14,25,0,4,0,14,0,259,142,8,0,35,9,46,0,10,6,4,0,262,100,8,0,22,4,10,0,3,0,3,0,147,342,13,10,70,21,84,0,8
POA3011,0,0,0,0,0,0,0,0,0,29,0,33,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,3,0,13,0,17,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,3,3,34,0,39,0,0,0,0,0,0,0,7,0,14,0,24,0,3,0,0,0,4,0,8,0,96,0,115,0,14,0,6,0,8,5,15,0,38,0,88,0,22,0,11,0,21,7,14,0,20,0,102,19,39,0,36,0,23,6,16,3,26,0,159,11,19,0,35,3,39,7,11,5,4,0,135,20,19,0,29,0,24,0,3,0,10,0,118,119,20,3,116,10,39,3,11,3,18,0,342,172,12,0,75,9,19,0,9,3,5,0,301,149,7,4,58,10,12,3,0,3,4,4,259,129,3,0,40,13,7,0,0,0,0,0,194,369,4,4,70,10,25,0,4
POA3012,0,0,0,0,0,0,0,0,0,46,0,47,0,0,0,0,0,0,0,0,0,22,0,21,0,0,0,0,0,0,0,3,0,8,0,11,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,5,0,40,0,42,0,0,0,0,0,0,0,12,0,22,0,37,0,3,0,0,0,8,0,14,5,131,5,167,0,13,0,0,0,9,0,10,3,52,0,91,0,19,0,0,0,27,0,6,0,41,0,105,5,22,0,38,0,32,5,11,0,35,0,150,10,11,0,31,0,22,4,4,3,17,0,105,20,15,3,30,6,25,3,3,5,12,0,120,118,26,3,83,15,33,4,7,4,9,0,305,174,8,5,83,13,18,3,8,0,7,0,315,159,8,0,48,10,16,3,0,0,6,0,246,154,3,0,39,8,13,0,0,0,3,0,221,344,0,7,60,19,25,0,4
POA3013,0,0,4,0,0,0,0,0,0,34,0,32,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,4,14,0,18,0,0,0,0,0,0,0,4,0,6,0,13,0,0,0,4,0,3,0,4,3,66,0,82,0,0,0,0,0,6,0,7,3,30,0,53,0,4,0,3,0,6,0,9,0,27,0,49,8,14,0,14,0,12,0,12,4,15,0,69,6,10,0,16,0,12,0,9,0,10,0,60,11,4,0,24,4,13,0,5,0,8,0,67,54,12,0,54,8,29,7,10,0,14,0,190,86,11,0,41,6,13,3,0,0,0,0,171,91,0,0,44,12,11,0,7,0,0,0,165,104,0,3,23,11,0,0,0,0,5,0,145,293,8,4,55,13,38,0,0
POA3015,0,0,0,0,0,0,0,0,0,38,0,41,0,0,0,0,0,0,0,3,0,11,0,16,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,3,0,27,0,30,0,0,0,0,0,0,0,9,0,13,0,17,0,0,0,0,0,3,0,11,0,80,0,95,0,4,0,0,0,4,0,9,0,40,0,61,0,8,0,7,0,14,3,12,6,35,0,74,0,9,0,7,7,12,0,16,0,34,0,84,5,7,0,10,0,5,0,11,0,7,0,60,0,7,0,18,3,10,0,6,0,10,0,60,42,12,0,45,5,25,3,6,3,17,0,158,79,3,0,45,0,13,0,3,0,6,0,160,96,4,7,39,7,11,0,7,0,4,0,167,115,0,3,25,0,8,6,0,0,3,0,160,338,6,3,39,13,34,3,6
