POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3000,5,23,0,634,3,0,0,3,8,3,3,4,0,0,171,199,0,5,3,0,0,0,0,0,0,0,23,34,1362,659,47,828,103,674,130,473,110,654,206,5243
POA3002,0,39,0,356,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,0,4,0,8,274,40,6,136,17,103,16,68,11,165,31,858
POA3003,0,0,0,216,0,0,0,0,0,0,0,0,0,0,30,34,0,0,0,0,0,0,0,0,0,0,0,0,444,113,13,215,34,125,11,83,3,110,38,1189
POA3004,0,44,4,477,3,0,3,0,0,0,0,0,0,0,57,69,0,0,0,0,0,3,0,3,0,6,11,20,637,126,11,287,38,229,22,113,12,314,75,1844
POA3006,0,35,0,758,0,0,0,0,0,4,0,5,0,0,106,120,5,0,0,0,0,0,0,0,0,0,9,23,1355,349,42,571,86,450,47,211,30,356,117,3615
POA3008,5,18,0,566,0,0,0,0,0,0,0,0,0,0,68,82,0,0,0,0,0,0,0,0,0,0,7,10,872,171,29,367,93,435,12,151,27,294,86,2535
POA3011,0,0,0,485,0,0,0,0,5,0,0,0,0,0,58,74,0,0,0,0,0,0,0,0,0,0,4,13,990,176,19,479,61,223,37,110,24,318,70,2518
POA3012,0,0,0,463,4,0,0,0,0,0,0,0,4,0,63,82,0,0,0,0,0,0,0,0,0,18,23,44,988,134,24,411,76,230,28,91,26,472,101,2588
POA3013,0,3,0,420,0,0,0,3,0,0,0,0,0,4,42,49,0,0,0,3,0,0,0,0,0,9,6,14,658,70,11,265,46,152,13,77,22,259,49,1617
POA3015,0,3,0,460,0,0,0,0,3,0,0,0,0,0,46,51,0,0,0,4,0,0,0,0,0,6,5,14,684,60,16,237,43,153,17,102,16,346,55,1716
POA3016,0,32,0,362,0,0,0,0,0,6,0,0,0,9,37,56,0,0,3,0,0,0,0,0,0,8,4,19,346,72,11,214,23,166,12,144,17,565,47,1621
POA3018,0,6,0,237,0,0,0,0,0,3,0,0,0,4,42,49,6,0,0,6,0,0,0,5,0,12,0,26,404,53,11,222,37,146,16,95,15,536,49,1578
POA3019,0,0,0,66,0,0,0,0,0,3,0,0,0,0,14,22,0,0,0,0,0,0,0,0,0,6,8,15,211,44,8,94,16,69,5,42,13,202,29,735
POA3020,6,5,0,207,0,0,0,4,0,5,0,4,0,15,97,123,4,0,0,0,0,5,0,0,0,31,36,73,702,167,23,364,70,357,38,221,51,1343,178,3499
POA3021,3,3,0,95,0,0,0,0,0,0,0,0,3,21,103,140,4,0,3,0,0,4,0,0,0,42,67,120,519,174,16,395,64,408,40,326,67,2001,216,4209
POA3022,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,3,4,66,14,4,34,4,29,6,20,0,67,11,248
POA3023,0,9,0,225,6,0,6,0,3,3,8,4,0,15,115,157,5,0,3,0,0,0,0,0,0,18,34,70,895,156,28,472,69,475,32,255,62,1504,168,4134
POA3024,0,4,0,177,4,0,0,0,0,6,0,0,0,0,80,97,0,0,4,4,0,0,0,0,0,3,8,29,672,85,22,359,50,299,26,126,28,468,99,2239
POA3025,0,6,0,145,0,0,0,3,0,0,0,0,0,8,28,39,6,0,0,0,0,0,0,0,0,13,8,28,348,40,4,140,25,88,3,39,14,425,51,1170
POA3026,0,0,0,39,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,0,8,8,139,16,0,53,9,45,0,24,4,89,24,419
POA3027,0,0,0,110,0,0,0,0,0,0,0,0,0,0,18,20,0,0,5,0,0,0,0,0,0,0,3,9,253,28,5,95,21,78,7,46,10,97,17,664
POA3028,0,3,0,159,0,0,3,0,0,0,0,0,4,4,56,78,3,0,0,5,4,0,0,0,0,21,35,66,550,105,14,343,61,303,13,170,34,903,102,2611
POA3029,6,8,3,480,17,0,5,8,9,4,0,4,3,22,220,283,13,0,3,0,5,0,3,4,5,41,61,133,2027,393,54,1146,171,1053,82,545,123,2252,318,8161
POA3030,5,15,0,787,6,0,4,0,6,13,0,5,3,20,241,297,10,0,7,4,7,5,0,5,3,39,63,142,2367,370,72,1220,210,1049,91,520,119,2374,338,8728
POA3031,0,0,0,482,0,0,0,0,0,0,3,0,0,0,55,65,0,0,0,0,0,0,0,0,0,0,11,14,831,113,12,336,44,142,19,105,10,279,72,1959
POA3032,0,10,5,596,0,0,0,0,3,0,0,0,0,0,80,87,6,0,0,0,0,0,0,0,3,13,12,32,1013,175,26,562,79,278,32,191,33,644,114,3140
POA3033,0,4,0,117,0,0,0,0,0,0,0,0,0,10,29,42,0,0,0,0,0,0,0,0,0,22,12,33,237,40,12,147,28,126,13,87,13,764,50,1515
POA3034,0,8,0,92,0,0,0,0,0,0,0,0,0,4,24,29,0,0,0,4,0,0,0,0,0,8,10,31,197,45,10,108,18,87,4,72,18,647,46,1260
POA3036,0,3,0,60,0,0,0,0,0,0,0,0,0,4,13,21,0,0,0,0,0,0,0,0,0,10,5,15,89,27,3,64,9,56,4,51,9,310,24,640
POA3037,0,7,0,180,4,0,4,3,0,11,0,4,4,9,61,98,0,0,4,0,0,0,0,0,3,19,31,60,802,120,35,401,58,388,28,202,39,1243,109,3426
POA3038,3,7,0,157,5,0,0,0,0,3,0,0,4,5,51,67,0,0,0,0,0,0,0,0,0,23,22,57,344,86,13,315,37,281,26,202,48,1203,86,2639
POA3039,0,4,0,368,0,0,0,0,0,0,0,0,0,0,52,58,3,0,0,0,0,0,0,0,0,9,6,17,606,85,12,298,44,180,25,106,14,396,64,1826
POA3040,5,36,0,444,4,0,0,0,0,0,0,0,0,8,63,75,0,0,4,0,0,4,0,0,0,17,9,36,658,150,17,357,61,210,27,182,30,719,77,2494
POA3041,0,15,0,152,0,0,0,0,0,3,0,0,0,4,26,36,0,0,0,0,0,3,0,0,0,8,8,18,232,55,7,149,19,110,7,120,13,406,37,1156
POA3042,0,3,0,189,0,0,0,0,0,0,0,0,0,7,42,59,0,0,0,3,0,0,0,0,0,9,19,40,448,50,9,156,32,118,18,108,20,620,71,1649
POA3043,0,3,0,96,0,0,0,0,0,0,3,3,0,8,42,64,0,0,0,0,0,0,0,0,0,21,16,39,368,55,8,170,28,148,12,123,24,784,75,1799
POA3044,0,4,0,376,6,0,5,0,0,0,0,0,4,6,63,84,6,0,0,3,0,3,0,4,4,21,16,48,867,108,14,447,72,243,30,151,35,641,90,2697
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,0,9,6,329,0,0,0,0,0,4,0,4,0,8,97,120,3,0,0,0,0,0,0,3,0,23,27,68,1061,182,24,519,70,320,34,176,34,951,151,3515
POA3047,0,0,0,14,0,0,0,0,0,0,0,0,3,4,32,42,0,0,0,0,0,0,0,0,0,6,25,36,159,62,7,142,18,145,17,86,11,500,63,1213
POA3048,0,0,0,11,0,0,0,0,0,0,0,0,0,6,30,33,3,0,0,0,0,0,0,0,0,11,9,25,97,25,3,77,14,97,5,77,8,525,52,979
POA3049,0,0,0,53,0,0,0,0,0,4,0,0,0,3,20,27,0,0,0,0,0,0,0,0,0,8,5,16,193,37,8,121,16,103,7,63,15,309,28,889
