POA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA3000,6,50,34,229,41,181,14,105,7,677,214,1289,469,1294,589,804,172,631,126,5588,1051,4735,1415,1651,1216,792,360,1090,252,12560,691,1640,452,358,472,204,103,231,84,4237,360,538,135,99,213,90,52,77,36,1597,231,298,62,59,135,50,22,54,21,932,80,105,13,6,26,9,6,7,12,268,12,14,0,0,3,3,0,5,5,41,0,0,0,0,0,0,0,0,0,3,2646,8675,2578,3693,2693,2136,733,2204,550,25902
POA3002,0,5,0,15,3,10,0,8,0,35,14,67,17,41,32,34,4,9,0,208,125,583,35,65,93,50,8,32,13,1002,144,328,35,35,59,24,0,8,14,649,132,208,9,19,42,12,4,6,10,431,127,187,13,18,68,14,9,8,6,451,70,109,8,4,32,10,0,4,0,233,14,29,0,0,4,0,0,0,5,58,0,0,0,0,0,0,0,0,0,5,617,1514,115,193,341,154,28,69,52,3078
POA3003,0,9,0,16,11,19,0,10,4,62,30,172,62,123,93,107,27,71,18,707,269,1095,243,246,279,121,75,183,32,2543,213,461,87,69,121,37,14,47,20,1061,140,203,27,34,54,26,17,16,3,523,55,120,17,21,42,13,7,15,4,288,12,27,0,3,10,3,3,0,0,65,3,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,719,2087,435,519,604,323,141,344,92,5262
POA3004,0,0,0,20,8,19,3,8,0,62,35,134,30,96,69,64,19,30,5,484,293,1275,207,206,310,162,50,124,50,2679,399,740,108,78,193,100,18,53,29,1714,237,324,43,57,117,58,17,20,15,884,199,241,36,41,82,35,9,13,7,664,86,153,7,13,51,24,3,5,18,364,25,40,0,0,12,3,0,5,7,91,0,0,0,0,0,0,0,0,0,5,1269,2908,433,506,839,459,118,259,137,6939
POA3006,5,11,4,66,11,29,0,28,4,154,97,468,141,409,238,293,66,177,32,1930,837,3288,643,746,852,449,177,582,149,7718,733,1409,232,221,427,116,53,147,63,3396,384,448,69,91,179,58,21,38,18,1318,231,251,35,44,147,32,19,26,19,805,60,127,8,5,39,13,4,5,0,256,6,17,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,2357,6010,1132,1573,1895,1001,348,998,291,15613
POA3008,3,6,3,22,7,21,5,11,0,71,39,210,66,143,119,131,24,76,19,822,441,2143,332,336,474,263,101,235,79,4400,442,1020,141,116,228,94,42,69,41,2192,306,325,57,59,131,61,24,27,26,1018,231,200,33,49,106,41,28,19,6,706,62,77,7,8,22,22,7,3,5,210,6,7,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1529,3988,644,724,1080,634,224,437,176,9443
POA3011,0,3,11,57,12,86,4,48,7,235,49,161,134,275,148,181,49,140,17,1164,544,1970,453,483,588,317,186,316,91,4935,650,1379,281,234,408,118,118,152,54,3391,363,622,181,141,240,79,81,113,35,1847,149,333,95,95,164,59,88,107,19,1112,34,67,20,14,36,4,14,22,4,214,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1791,4543,1183,1289,1597,846,543,897,225,12913
POA3012,0,10,27,68,23,148,3,80,6,369,57,158,107,190,141,175,78,140,27,1079,546,1670,521,498,578,310,274,330,89,4812,796,1565,381,276,485,170,139,162,60,4039,507,801,244,231,349,98,166,165,59,2624,169,337,144,145,198,75,143,139,27,1382,24,57,32,29,49,23,37,34,3,271,9,4,0,0,4,0,0,4,6,21,0,0,0,0,0,0,0,0,0,5,2100,4605,1459,1439,1829,1002,843,1052,271,14603
POA3013,3,8,20,75,14,127,8,69,4,321,19,86,66,118,72,103,28,48,9,558,311,971,209,182,264,129,55,103,44,2274,660,1055,200,114,241,94,39,62,37,2503,525,721,150,115,264,100,55,38,31,2003,197,355,111,88,184,72,54,61,16,1118,42,59,17,17,31,5,18,21,0,209,3,8,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,1759,3266,767,706,1064,628,262,400,143,8999
POA3015,0,6,28,73,19,156,8,77,0,376,28,109,87,108,71,96,20,58,9,587,309,804,240,187,251,119,72,94,40,2117,759,1201,230,162,376,110,54,67,41,3002,640,808,193,164,289,124,71,69,26,2386,270,436,138,108,245,66,82,83,20,1447,32,70,32,20,47,16,17,21,6,253,4,10,0,0,0,3,0,5,0,18,0,0,0,0,0,0,0,0,0,0,2051,3439,946,832,1292,684,325,478,140,10185
POA3016,7,9,34,105,19,150,15,104,0,453,31,112,76,126,85,117,24,63,13,649,145,428,114,94,121,60,20,41,21,1031,476,626,91,96,196,53,25,35,26,1631,611,787,150,151,298,123,28,54,29,2234,412,641,156,107,253,68,41,61,28,1759,90,144,34,27,70,18,17,30,19,453,5,13,4,0,5,6,4,0,3,43,0,0,0,0,0,0,0,0,0,0,1778,2764,666,700,1046,602,180,385,134,8257
POA3018,4,3,18,48,11,93,10,62,4,261,15,55,64,82,38,73,20,34,10,398,148,476,139,132,158,78,47,57,32,1270,370,617,208,134,261,89,50,70,40,1832,364,447,174,120,253,68,80,94,45,1639,167,240,123,99,189,58,68,74,12,1031,31,60,33,24,40,14,20,13,4,245,5,8,3,3,0,5,0,3,5,31,0,0,0,0,0,0,0,0,0,3,1099,1915,767,649,962,467,292,417,154,6710
POA3019,0,10,7,23,8,58,3,27,0,135,11,57,35,63,56,85,42,67,11,434,152,435,181,177,193,129,136,146,59,1611,122,244,99,96,137,50,86,102,28,967,72,90,79,96,82,38,97,114,22,681,25,40,47,43,24,25,102,102,12,410,11,10,15,13,12,3,12,32,4,104,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,385,884,460,507,522,390,474,585,135,4341
POA3020,11,16,46,80,40,223,30,151,15,610,60,264,265,329,225,321,186,288,69,2005,429,1405,748,585,696,391,598,625,184,5675,527,1003,579,407,538,237,440,503,109,4355,314,500,450,368,453,184,483,549,84,3388,189,242,298,243,272,107,453,452,70,2333,46,58,57,48,65,14,101,95,16,498,3,4,6,3,5,3,4,9,5,40,0,0,0,0,0,0,0,0,0,5,1589,3496,2451,2064,2290,1495,2303,2679,542,18907
POA3021,12,16,58,82,18,254,36,154,22,649,82,282,333,362,246,395,244,378,74,2391,355,1114,944,771,721,404,734,747,217,6000,343,568,683,545,481,239,586,697,143,4291,226,313,522,376,366,175,694,801,119,3592,171,180,395,295,259,129,515,660,59,2658,48,64,74,61,77,23,103,149,25,618,0,10,3,4,10,3,5,14,0,54,0,0,0,0,0,0,0,0,4,4,1227,2540,3012,2493,2186,1617,2905,3607,666,20252
POA3022,0,0,4,3,0,15,3,3,0,36,4,10,15,13,10,6,7,16,0,88,22,119,55,48,46,26,47,34,10,410,48,94,46,42,55,25,30,37,6,380,20,52,39,30,23,11,42,35,8,260,9,13,15,19,17,3,24,27,8,138,0,7,5,3,0,0,4,5,3,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,111,298,180,157,164,86,164,159,41,1355
POA3023,8,38,119,179,84,659,69,353,27,1540,109,384,357,371,370,503,249,288,95,2726,478,1565,879,719,885,390,585,497,202,6199,1058,1922,976,818,1162,424,720,607,221,7914,913,1222,871,758,1022,368,841,764,158,6932,338,425,427,413,506,213,634,577,78,3608,59,84,82,81,112,28,97,144,18,713,3,6,3,0,0,3,3,8,0,40,0,0,0,0,0,0,0,0,3,4,2967,5656,3724,3336,4143,2593,3209,3233,813,29670
POA3024,9,10,76,60,21,305,38,156,14,698,58,124,243,220,122,208,154,191,37,1355,342,1200,536,573,579,282,459,378,108,4452,585,1603,543,594,740,235,482,311,125,5224,266,366,302,336,410,160,331,270,59,2489,129,161,143,173,226,69,200,166,18,1292,27,36,17,40,40,8,37,41,3,252,3,0,0,3,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,1417,3500,1872,1989,2139,1263,1703,1517,370,15772
POA3025,3,0,6,20,12,67,13,33,3,158,16,57,58,55,53,72,28,34,9,372,191,495,221,141,184,93,85,87,35,1534,329,461,213,100,216,83,83,73,33,1600,180,208,130,89,191,70,85,90,28,1072,76,104,62,41,114,40,74,71,14,585,25,24,13,7,18,7,17,19,7,139,0,4,0,0,5,0,0,6,0,14,0,0,0,0,0,0,0,0,0,3,825,1345,703,453,795,433,381,414,132,5482
POA3026,4,7,18,25,6,62,12,35,11,174,0,42,30,49,38,39,46,27,11,291,72,219,110,84,139,37,103,69,42,876,178,334,161,119,248,78,160,113,39,1420,88,148,95,89,114,35,153,113,10,848,26,38,45,30,45,19,96,68,13,382,0,5,6,6,6,7,8,12,0,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,376,783,460,401,603,274,582,440,116,4046
POA3027,4,7,3,17,4,47,10,27,4,126,24,53,44,57,40,69,93,59,17,452,133,454,138,129,182,113,159,125,37,1473,301,706,139,129,250,97,96,54,35,1809,151,231,60,63,103,34,57,47,15,757,37,54,43,22,53,23,37,21,5,298,4,10,12,0,8,5,10,8,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,1516,437,421,649,388,455,344,115,4976
