POA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA3000,814,960,1774,159,180,342,0,0,0,1435,1803,3238,30,56,88,1270,619,1894,83,149,234,11,0,11,181,36,215,282,130,412,78,49,123,2195,1997,4191,6543,5977,12520,195,203,396,0,0,0,175,191,374,20,15,29,19,24,40,33,31,64,437,459,901,0,0,0,24,25,46,3,0,3,5,5,7,0,5,9,34,27,65,130,107,237,604,597,1197,127,154,286,3,3,12,14,11,19,140,170,313,4391,3847,8241,1433,2082,3515,71,52,119,13185,12713,25902
POA3002,25,15,44,12,8,15,0,0,0,59,58,121,3,3,8,331,228,558,13,23,35,3,0,3,3,0,5,44,26,67,6,6,14,174,184,359,669,556,1229,0,3,4,0,0,0,4,8,11,0,0,0,0,0,0,0,0,0,3,10,19,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,7,0,3,5,13,18,13,23,35,3,0,3,0,0,0,0,0,5,5,4,7,732,771,1501,125,169,295,0,3,6,1555,1522,3078
POA3003,129,142,270,24,12,38,0,0,0,131,175,311,6,11,18,558,309,860,30,60,95,6,0,6,33,16,47,81,43,124,11,5,23,306,298,608,1318,1077,2394,23,25,48,0,0,0,21,22,44,5,5,8,0,10,9,11,9,16,51,72,121,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,8,23,19,42,80,95,176,17,18,32,0,0,4,3,7,10,22,26,48,1043,978,2021,249,352,602,10,10,23,2725,2534,5262
POA3004,29,34,55,7,11,15,0,0,0,275,311,583,10,15,23,948,539,1488,43,73,116,0,0,5,23,9,33,68,46,114,22,15,33,268,281,549,1697,1326,3025,3,0,9,0,0,0,31,22,52,0,0,0,0,0,3,3,0,0,40,27,65,0,0,0,12,5,16,0,0,0,0,0,0,0,0,0,9,5,18,47,40,89,94,77,167,22,27,49,0,0,0,10,4,7,30,32,64,1485,1520,2996,280,377,655,13,13,29,3597,3341,6939
POA3006,217,237,458,33,34,65,0,0,0,557,754,1310,33,47,81,1557,807,2360,69,160,226,11,0,10,96,19,117,158,67,230,68,39,103,1073,939,2014,3864,3117,6983,45,42,86,0,0,0,54,72,133,7,5,7,0,11,11,34,15,49,140,146,280,0,0,0,9,17,21,4,5,4,0,0,0,0,7,7,8,19,31,85,64,151,232,235,466,54,75,134,5,0,6,15,10,24,77,93,164,3314,3021,6327,716,883,1603,36,36,71,8241,7371,15613
POA3008,88,114,209,17,8,27,0,0,0,472,542,1012,16,11,25,1031,517,1543,46,78,129,0,0,4,52,5,55,78,35,109,36,21,53,405,302,707,2244,1638,3881,21,9,36,0,0,0,56,62,115,11,3,12,3,4,3,8,0,10,99,76,176,0,0,0,7,13,19,0,0,0,0,0,0,0,0,0,6,8,19,42,50,87,151,136,288,41,36,77,0,0,0,6,6,10,46,41,89,2406,1902,4309,366,485,849,20,13,30,5228,4215,9443
POA3011,443,352,797,87,127,216,0,0,0,8,25,39,19,24,38,2301,1367,3670,87,149,237,15,3,17,50,8,55,153,82,234,23,23,49,166,211,375,3362,2368,5725,59,84,144,0,0,0,71,70,140,15,5,20,4,14,17,20,18,40,175,188,364,0,0,0,10,13,19,4,4,6,0,8,14,0,5,6,15,27,45,26,21,51,226,235,459,53,71,128,0,0,3,0,0,0,59,73,129,2382,2633,5013,634,906,1534,25,24,42,6679,6237,12913
POA3012,190,187,378,78,86,169,0,0,4,11,13,18,24,20,49,3425,2230,5657,146,258,401,39,0,39,51,5,59,128,52,186,31,22,52,100,127,228,4224,3002,7229,61,82,151,0,0,0,16,19,36,26,31,52,3,13,17,16,7,21,129,148,269,0,0,0,5,16,20,8,0,10,6,10,11,0,5,3,18,30,50,54,33,84,192,208,405,46,52,96,0,3,10,0,0,3,47,60,106,2341,2802,5142,658,1010,1665,38,20,54,7500,7103,14603
POA3013,179,208,383,11,19,31,0,4,4,0,0,0,9,3,17,1640,1211,2850,64,91,149,17,0,15,21,8,26,103,33,134,17,16,33,104,94,190,2159,1683,3843,15,23,40,0,0,0,7,22,30,9,10,23,9,11,15,8,9,14,48,71,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11,3,18,61,78,145,17,13,27,0,0,0,0,0,0,21,13,33,1801,2118,3920,377,658,1038,17,9,26,4433,4567,8999
POA3015,168,132,302,12,14,25,5,0,5,0,0,5,14,4,12,2141,1488,3632,104,114,209,30,0,30,26,0,29,77,26,101,16,21,37,45,73,116,2637,1872,4504,11,19,35,0,0,0,16,22,36,11,12,21,4,4,8,11,4,18,54,64,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,8,33,79,76,155,14,13,31,0,0,0,0,0,0,17,15,31,1940,2361,4307,423,741,1161,16,5,23,5110,5075,10185
