Suburb,Address,Rooms,Type,Price,Method,Real Estate Agent,Date,Distance,Postcode,Number of Bathroom,number of carpark,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Year,Month
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,2016-09-17,2.5,3067,1,1,150,73,1985,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019,33,2167,1354,424,3024,1.0,2196,1.9,2016,9
Abbotsford,132 Vere St,3,h,1000000,SP,Biggin,2017-04-08,2.5,3067,1,0,198,98,1900,Yarra City Council,-37.8025,144.9939,Northern Metropolitan,4019,33,2167,1354,424,3024,1.0,2196,1.9,2017,4
Abbotsford,2 Federation La,3,h,855000,S,Nelson,2017-06-24,3.0,3067,2,1,92,116,2004,Yarra City Council,-37.79683,144.99586000000005,Northern Metropolitan,4019,33,2167,1354,424,3024,1.0,2196,1.9,2017,6
Abbotsford,16 Federation La,3,h,955000,S,Biggin,2018-02-17,3.0,3067,2,2,86,122,2004,Yarra City Council,-37.796859999999995,144.99621000000005,Northern Metropolitan,4019,33,2167,1354,424,3024,1.0,2196,1.9,2018,2
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,2016-09-10,13.5,3042,1,6,1063,133,1975,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2016,9
Airport West,13 Etzel St,3,h,805000,S,Nelson,2016-12-10,13.5,3042,1,1,0,105,1950,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2016,12
Airport West,180 Parer Rd,3,h,830000,S,Barry,2016-04-16,13.5,3042,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2016,4
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,2017-03-18,13.5,3042,3,2,555,192,1980,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2017,3
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,2016-11-27,13.5,3042,2,3,628,146,1975,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2016,11
Niddrie,5 Hamilton St,3,h,991000,S,Brad,2017-02-11,11.2,3042,1,1,716,139,1950,Moonee Valley City Council,-37.7368,144.8856,Western Metropolitan,2291,40,2113,862,410,2347,0.8,1853,2.4,2017,2
Niddrie,21 Ryder St,3,h,810000,S,Barry,2017-04-08,11.2,3042,2,1,297,139,1955,Moonee Valley City Council,-37.738,144.8865,Western Metropolitan,2291,40,2113,862,410,2347,0.8,1853,2.4,2017,4
Niddrie,42 Newman Cr,4,h,950000,SP,Nelson,2017-07-15,10.4,3042,1,2,558,148,1970,Moonee Valley City Council,-37.73834,144.88197,Western Metropolitan,2291,40,2113,862,410,2347,0.8,1853,2.4,2017,7
Airport West,16 Highridge Cr,3,h,850000,S,Brad,2017-09-23,10.4,3042,1,2,551,96,1950,Moonee Valley City Council,-37.72739,144.88235,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2017,9
Niddrie,1 Cuthbert St,2,h,800000,S,Frank,2017-09-23,10.4,3042,1,2,352,83,1950,Moonee Valley City Council,-37.7361,144.88306,Western Metropolitan,2291,40,2113,862,410,2347,0.8,1853,2.4,2017,9
Niddrie,3 Grandview Rd,3,h,845000,SP,Brad,2017-08-26,10.4,3042,1,1,345,111,1950,Moonee Valley City Council,-37.73901,144.89154,Western Metropolitan,2291,40,2113,862,410,2347,0.8,1853,2.4,2017,8
Airport West,31 Kingsley Rd,3,h,805000,S,Nelson,2017-10-14,10.4,3042,1,2,540,100,1960,Moonee Valley City Council,-37.72459,144.87406000000001,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2017,10
Airport West,108 Victory Rd,3,h,926000,S,Nelson,2017-10-21,10.4,3042,1,2,614,129,1960,Moonee Valley City Council,-37.71757,144.88228,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2017,10
Airport West,49 Bedford St,4,h,965000,PI,Nelson,2017-10-28,10.4,3042,2,1,730,125,1950,Moonee Valley City Council,-37.7204,144.87419,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2017,10
Airport West,11 Harrington Rd,6,h,870000,VB,Barry,2017-10-28,10.4,3042,3,2,976,186,1980,Moonee Valley City Council,-37.72394,144.87348,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2017,10
Airport West,60 Hilbert Rd,3,h,845000,S,Barry,2017-10-28,10.4,3042,3,3,612,30,1970,Moonee Valley City Council,-37.72483,144.87087,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2017,10
Airport West,32 Coniston Av,3,h,970000,S,Barry,2018-01-06,10.4,3042,1,2,634,140,1960,Moonee Valley City Council,-37.72904000000001,144.88259,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2018,1
Airport West,8 McNamara Av,3,h,975000,S,Nelson,2018-03-03,10.4,3042,2,1,303,248,2017,Moonee Valley City Council,-37.73174,144.88086,Western Metropolitan,3464,40,2113,862,410,2347,0.8,1853,2.4,2018,3
Niddrie,94 Hotham Rd,3,h,920000,PI,Barry,2018-02-24,10.4,3042,1,5,534,123,1950,Moonee Valley City Council,-37.7347,144.88021,Western Metropolitan,2291,40,2113,862,410,2347,0.8,1853,2.4,2018,2
Albert Park,6 Brooke St,2,h,980000,S,Greg,2016-05-28,3.3,3206,1,0,79,68,1890,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280,46,3467,1372,600,3853,0.9,2659,2.3,2016,5
Albert Park,9 Durham St,1,h,985000,S,Marshall,2016-07-30,3.3,3206,1,0,81,54,1900,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280,46,3467,1372,600,3853,0.9,2659,2.3,2016,7
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,2016-05-22,6.4,3078,1,1,180,131,2010,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211,38,2277,1138,396,3206,0.9,2166,2.3,2016,5
Altona,24 Wren St,4,h,845000,S,hockingstuart,2017-02-11,13.8,3018,1,2,745,130,1950,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,5301,42,2200,945,390,2475,0.8,1861,2.3,2017,2
Altona,27 McIntyre Dr,3,h,840000,SP,Greg,2017-03-18,13.8,3018,2,2,534,136,1965,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan,5301,42,2200,945,390,2475,0.8,1861,2.3,2017,3
Altona,104 Maidstone St,2,h,857000,SP,hockingstuart,2016-11-27,13.8,3018,2,1,675,100,1950,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,5301,42,2200,945,390,2475,0.8,1861,2.3,2016,11
Altona,35 Lowe Av,4,h,935000,SP,Barlow,2017-07-15,11.0,3018,2,2,629,180,1985,Hobsons Bay City Council,-37.86027,144.82073,Western Metropolitan,5301,42,2200,945,390,2475,0.8,1861,2.3,2017,7
Altona,86 Grieve Pde,3,h,913000,S,Greg,2017-09-03,11.0,3018,2,3,530,148,1985,Hobsons Bay City Council,-37.8614,144.81931,Western Metropolitan,5301,42,2200,945,390,2475,0.8,1861,2.3,2017,9
Altona,12 Belmar Av,3,h,940000,S,Greg,2017-10-07,11.0,3018,1,2,534,106,1940,Hobsons Bay City Council,-37.85993,144.8176,Western Metropolitan,5301,42,2200,945,390,2475,0.8,1861,2.3,2017,10
Altona,17 Bell Av,3,h,970000,S,Williams,2018-02-10,11.0,3018,2,2,534,145,1988,Hobsons Bay City Council,-37.87106,144.80523,Western Metropolitan,5301,42,2200,945,390,2475,0.8,1861,2.3,2018,2
Altona North,25 Allan St,4,h,875000,SP,Jas,2016-10-08,11.1,3025,1,4,559,169,1965,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2016,10
Altona North,24 Hansen St,3,h,931000,S,hockingstuart,2016-08-22,11.1,3025,2,1,590,160,1950,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2016,8
Altona North,6 Hill St,3,h,815000,S,hockingstuart,2017-02-25,11.1,3025,2,3,555,130,1960,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,2
Altona North,269 Blackshaws Rd,3,h,916000,SP,Hunter,2017-05-20,11.1,3025,1,2,606,109,1970,Hobsons Bay City Council,-37.8326,144.8594,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,5
Altona North,23 Rymill Ct,3,h,910000,S,hockingstuart,2017-04-29,11.1,3025,1,3,535,132,1970,Hobsons Bay City Council,-37.8322,144.8399,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,4
Altona North,151 Chambers Rd,3,h,900000,S,Greg,2017-07-01,9.4,3025,1,2,672,110,1960,Hobsons Bay City Council,-37.8265,144.84386,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,7
Altona North,242 Mason St,3,h,870000,S,hockingstuart,2017-06-17,9.4,3025,1,4,559,560,1950,Hobsons Bay City Council,-37.8399,144.86228,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,6
