,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
0,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,4/02/2016,2.5,3067,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
1,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,4/03/2017,2.5,3067,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
2,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,3067,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
3,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,7/05/2016,2.5,3067,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
4,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016,2.5,3067,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
5,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.5,3067,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
6,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016,2.5,3067,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
7,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016,2.5,3067,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
8,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.5,3067,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
9,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016,2.5,3067,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
10,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016,2.5,3067,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
11,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016,2.5,3067,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
12,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18/03/2017,2.5,3067,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
13,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016,2.5,3067,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
14,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
15,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
16,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
17,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
18,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
19,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
20,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
21,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
22,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
23,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
24,Abbotsford,132 Vere St,3,h,1000000.0,SP,Biggin,8/04/2017,2.5,3067,3.0,1.0,0.0,198.0,98.0,1900.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
25,Abbotsford,6/205 Gipps St,2,u,870000.0,S,Biggin,20/05/2017,2.5,3067,2.0,2.0,1.0,0.0,86.0,2013.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
26,Abbotsford,24 Cooke St,2,h,1050000.0,S,Jellis,29/04/2017,2.5,3067,2.0,1.0,0.0,129.0,128.0,1890.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
27,Abbotsford,198 Gipps St,2,h,1242000.0,S,Nelson,29/04/2017,2.5,3067,2.0,1.0,1.0,249.0,98.0,1940.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
28,Abbotsford,22 Lulie St,3,h,1165000.0,S,Jellis,29/04/2017,2.5,3067,3.0,2.0,0.0,92.0,114.0,1888.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
29,Abbotsford,5/29 Church St,2,u,480000.0,S,hockingstuart,17/06/2017,3.0,3067,2.0,1.0,1.0,601.0,64.0,1970.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
