POA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
POA3000,6,0,0,0,769,773,78,4,5,10,4915,5009,1437,95,108,9,7234,8888,1151,94,216,0,1778,3240,506,95,185,8,550,1333,377,57,180,11,240,867,285,28,92,14,68,482,102,8,44,9,26,183,12,0,3,16,4,40,3938,375,834,74,15583,20810,3,0,0,0,950,950,129,12,11,5,5662,5819,1626,114,172,8,6861,8779,929,90,259,14,1383,2670,480,72,213,12,353,1133,395,27,221,36,148,822,245,22,102,61,39,473,52,6,27,49,6,136,5,0,3,20,0,36,3867,343,1004,210,15394,20817,11,0,0,0,1715,1726,203,14,16,12,10576,10827,3059,215,284,15,14094,17665,2073,184,473,16,3159,5909,992,167,395,23,899,2466,768,83,397,47,384,1688,530,53,191,79,107,956,148,7,68,61,30,323,20,0,9,33,8,73,7807,718,1841,289,30977,41625
POA3002,0,0,0,0,40,40,0,0,0,0,130,130,54,0,9,0,497,565,124,16,28,0,231,397,111,9,38,0,100,255,178,13,53,0,59,308,221,7,39,12,21,299,132,0,21,7,7,172,25,0,4,8,4,39,839,51,189,39,1090,2210,0,0,0,0,56,56,0,0,0,0,153,153,72,13,10,0,490,577,121,7,37,0,222,386,126,13,47,4,108,297,199,11,55,13,64,351,206,16,53,37,38,349,76,0,17,36,20,150,19,0,9,45,17,84,816,62,221,140,1161,2401,0,0,0,0,92,92,0,0,0,0,275,275,133,13,15,0,984,1144,242,22,62,0,455,786,234,28,80,4,209,552,381,24,113,16,126,663,426,22,91,48,65,651,203,10,34,45,31,324,39,0,9,54,22,119,1658,118,410,173,2259,4609
POA3003,5,0,0,0,109,117,8,0,3,0,508,523,296,22,24,0,1314,1655,323,22,53,0,365,761,157,27,45,0,141,372,111,7,36,4,64,223,74,9,17,5,8,117,29,8,0,0,0,45,3,0,0,0,0,5,1006,97,183,14,2503,3812,0,0,0,0,117,117,9,0,0,0,569,583,328,16,27,0,1212,1588,280,23,60,0,254,617,169,20,47,4,97,329,97,19,51,13,36,209,66,6,25,17,13,125,17,3,8,20,0,47,0,0,3,7,0,12,967,89,224,50,2294,3626,5,0,0,0,225,227,21,0,5,0,1074,1098,621,43,54,0,2522,3248,602,50,109,0,616,1377,326,42,94,4,235,697,212,28,88,14,98,435,144,19,44,16,21,245,43,6,12,19,3,91,6,0,3,11,0,15,1977,184,404,65,4803,7440
POA3004,0,0,0,0,101,101,0,0,0,0,358,359,279,17,17,0,1264,1574,467,47,79,0,560,1152,246,32,97,0,250,630,238,35,102,11,120,507,294,15,110,17,50,489,231,3,67,20,32,342,43,3,16,20,27,109,1807,149,482,73,2751,5262,0,0,0,0,105,105,3,0,0,0,350,358,392,20,29,0,1341,1789,428,32,66,3,473,1004,254,24,102,9,201,596,274,19,148,17,99,562,288,21,127,73,48,551,154,0,49,85,24,316,22,0,12,99,3,136,1827,125,536,279,2644,5408,0,0,0,0,205,205,10,0,0,0,705,711,672,38,49,0,2607,3363,897,76,150,3,1028,2155,501,58,198,11,451,1224,517,55,247,32,223,1071,578,36,234,90,99,1042,386,10,110,100,49,659,67,3,25,112,28,242,3631,270,1018,352,5403,10672
POA3006,0,0,0,0,202,202,12,4,0,0,1322,1341,902,44,55,0,3745,4744,957,74,164,0,1125,2322,391,67,140,7,309,907,348,58,126,12,105,646,291,17,54,18,35,420,131,7,29,7,12,184,20,0,8,9,0,34,3056,265,570,57,6849,10802,0,0,0,0,259,257,44,6,0,0,1470,1517,1089,53,120,0,3435,4696,785,62,170,9,870,1905,363,46,182,12,240,841,367,38,156,28,87,675,248,11,96,64,29,451,90,8,31,48,9,176,10,0,0,17,0,26,2998,224,749,175,6392,10538,0,0,0,0,459,458,63,8,0,0,2790,2861,1988,97,174,0,7174,9434,1746,139,334,9,1993,4225,754,113,320,18,549,1748,712,96,278,38,189,1322,540,34,155,79,62,868,222,14,55,54,22,358,29,0,8,23,0,65,6055,487,1320,231,13243,21338
POA3008,0,0,0,0,118,118,15,0,0,0,750,770,852,26,39,0,2159,3083,833,55,99,0,613,1601,341,61,112,0,221,733,347,43,136,7,74,604,242,23,69,8,26,375,80,3,10,4,3,107,16,0,4,4,0,22,2721,212,478,29,3973,7413,0,0,0,0,127,124,46,0,3,0,746,796,1008,48,55,0,1844,2952,644,56,139,8,451,1290,343,43,133,11,134,664,353,32,128,25,58,600,192,17,62,39,16,322,49,11,14,34,0,104,6,0,0,15,0,26,2644,200,528,129,3383,6874,0,0,0,0,245,248,64,3,3,3,1495,1564,1862,73,91,0,4009,6036,1472,108,242,8,1067,2891,680,98,241,14,354,1397,700,70,267,35,132,1204,435,42,130,50,41,695,127,12,19,39,6,207,24,0,3,18,0,42,5369,411,997,162,7352,14283
POA3011,0,0,0,0,324,324,20,4,0,0,836,866,585,24,32,3,2456,3107,982,69,120,10,1037,2209,553,64,159,9,517,1304,442,60,181,8,326,1013,289,50,141,29,156,666,160,14,58,36,44,319,65,0,9,59,7,150,3096,287,700,149,5707,9949,0,0,0,0,298,304,63,4,3,0,759,817,749,45,55,0,2242,3089,917,83,125,8,847,1978,491,74,190,16,466,1235,381,67,213,65,248,977,226,29,132,87,95,570,128,15,59,148,42,387,28,3,14,176,18,239,2979,310,786,511,5009,9593,0,0,0,0,618,624,84,7,3,0,1594,1681,1330,69,91,11,4695,6195,1897,154,241,15,1882,4188,1048,136,346,25,981,2538,826,121,395,77,575,1993,518,76,267,119,256,1240,288,29,112,183,87,703,91,5,23,232,31,390,6071,599,1489,667,10722,19546
POA3012,0,0,0,0,535,535,9,0,0,0,791,805,693,33,43,0,2383,3156,1356,82,112,4,930,2480,913,67,190,11,540,1718,614,65,229,14,310,1228,379,47,119,31,115,697,242,14,44,33,45,379,84,8,11,67,15,179,4288,317,753,162,5659,11184,0,0,0,0,524,529,27,7,0,0,727,760,863,38,51,0,1948,2908,1321,113,178,8,861,2479,840,88,283,29,492,1729,547,80,274,72,273,1241,342,40,192,160,92,826,179,16,64,209,25,488,42,0,9,241,10,300,4151,376,1059,724,4949,11256,0,0,0,0,1065,1068,37,8,0,0,1513,1562,1557,75,100,0,4330,6061,2673,199,291,14,1791,4963,1750,158,467,38,1031,3452,1159,143,506,78,580,2469,726,85,309,197,207,1525,415,31,111,245,73,873,122,10,27,311,16,479,8445,693,1809,890,10604,22444
POA3013,0,0,0,0,345,345,0,0,0,0,364,365,240,13,15,5,1001,1274,803,21,67,0,522,1412,655,47,106,5,353,1168,432,39,102,8,192,773,243,16,71,8,80,416,131,10,19,28,19,214,68,0,4,38,0,109,2581,134,379,93,2882,6077,0,0,0,0,334,334,4,0,0,0,364,367,321,10,23,0,1021,1380,828,42,92,5,528,1492,679,65,140,12,332,1219,414,43,141,27,211,836,207,19,94,66,61,450,116,9,34,129,12,297,30,0,15,136,7,184,2585,193,541,375,2874,6569,0,0,0,0,682,682,3,0,0,0,728,727,563,18,36,5,2025,2654,1628,64,151,10,1051,2901,1328,109,241,21,685,2386,846,84,244,34,403,1611,450,33,166,79,140,870,245,13,54,159,32,511,94,0,19,172,14,300,5169,328,917,469,5764,12644
POA3015,0,0,0,0,450,450,0,0,0,0,409,411,297,11,13,0,863,1188,1060,29,72,0,500,1670,821,54,136,8,359,1377,614,41,146,7,232,1035,323,31,90,34,85,559,175,11,28,42,19,275,64,4,3,41,13,120,3361,177,487,135,2929,7091,0,0,0,0,424,426,13,0,0,0,369,378,429,20,36,0,800,1284,1135,51,85,10,539,1814,801,71,207,12,390,1482,541,44,188,34,206,1018,305,31,116,95,74,619,124,4,42,120,18,309,30,0,14,150,5,198,3382,218,679,423,2830,7524,0,0,0,0,874,877,13,0,0,0,780,793,726,29,54,0,1664,2472,2195,78,151,10,1042,3486,1624,126,345,17,747,2860,1154,85,330,41,439,2053,624,57,201,132,161,1180,304,15,61,164,39,589,94,4,19,188,14,320,6742,390,1165,558,5763,14620
