POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA3000,290,507,484,1981,25,3286,22,13,16,132,5,178,14933,36,130,41,44,15186,79,14,5,21,0,131,151,46,29,79,0,305,2121,449,402,2332,33,5329,1040,5,67,3,5,1129,194,17,17,31,0,266,292,56,46,324,5,720,142,38,22,97,4,310,32,6,10,18,0,69,3083,10,8,12,5,3117,392,149,124,1102,10,1779,502,125,73,335,6,1038,1175,7,10,3,0,1187,62,10,9,9,0,88,38,4,6,15,0,63,43,17,7,45,0,111,82,5,10,5,0,104,120,16,9,6,0,152,132,20,11,56,0,221,118,7,4,19,0,155,42,5,3,0,0,52,387,137,103,803,12,1448,77,10,3,0,0,87,59,11,3,0,0,78,291,8,8,11,0,319,183,16,5,0,0,197,1225,4,13,0,5,1251,47,4,7,39,0,100,8561,205,235,208,33,9243,390,5,0,41,3896,4337,31943,1101,1050,4936,4057,43084
POA3002,27,173,136,799,6,1143,4,0,0,8,0,14,288,9,20,7,3,329,16,3,4,7,0,26,40,14,3,24,0,80,378,186,129,1165,3,1867,37,0,4,0,0,42,26,4,7,15,0,46,74,18,13,126,0,229,69,9,13,31,0,125,12,3,0,3,0,19,68,8,3,0,0,84,146,63,39,628,0,877,136,50,20,103,0,314,18,0,0,0,0,18,18,0,0,6,0,24,10,0,8,0,0,17,5,0,4,17,0,27,15,0,0,0,0,20,23,12,0,0,0,34,35,10,10,14,0,62,14,3,0,3,0,25,4,0,0,0,0,4,116,58,36,466,0,678,7,0,4,3,0,13,10,0,6,0,0,13,20,8,0,0,0,28,16,0,4,0,0,22,34,0,3,0,0,38,12,7,4,21,0,39,393,44,58,88,6,581,22,0,0,5,263,291,1668,387,279,2278,279,4896
POA3003,71,175,158,732,9,1145,5,0,0,41,0,49,1640,9,28,23,9,1699,23,6,0,6,0,40,37,19,14,32,0,103,412,136,127,811,11,1495,171,3,14,3,0,187,50,0,0,17,0,71,78,20,22,106,3,226,42,23,5,29,0,97,17,0,0,5,0,20,518,6,0,3,0,531,123,57,43,433,0,657,168,48,15,143,6,380,205,0,4,0,0,208,6,0,0,5,0,13,15,4,5,9,0,28,17,7,4,36,0,59,23,5,4,0,0,32,37,8,6,0,0,53,34,5,4,23,0,61,48,3,0,5,0,57,8,0,0,0,0,9,98,36,44,293,0,469,11,3,0,3,0,17,7,0,0,0,0,7,67,0,5,3,0,77,45,0,7,4,0,55,195,4,3,0,3,209,18,3,3,18,0,53,1391,64,91,84,0,1634,78,0,5,6,560,647,4913,368,344,1805,598,8025
POA3004,114,245,259,1132,3,1758,4,0,0,34,0,40,1516,13,33,13,3,1577,35,5,3,10,0,51,60,18,22,41,0,142,833,239,205,1539,9,2834,171,0,22,0,0,197,117,3,9,23,0,150,163,37,30,172,0,395,108,30,16,46,0,206,19,4,3,6,0,37,512,10,3,5,0,533,408,64,32,687,4,1194,302,57,39,156,0,562,104,0,0,0,0,107,25,3,0,0,0,34,43,8,4,4,0,51,33,12,9,22,0,71,37,4,0,0,0,44,65,9,11,0,0,82,151,15,8,23,0,195,101,5,3,7,0,119,11,0,0,0,0,7,236,56,55,539,0,892,29,4,0,3,0,40,46,4,0,4,0,60,148,6,5,7,0,166,66,0,6,0,0,75,90,6,0,3,5,94,24,9,6,25,0,66,1828,82,118,125,9,2158,49,0,0,21,1033,1101,6316,549,505,3037,1075,11482
POA3006,185,397,403,1793,18,2790,18,3,4,87,5,114,4552,27,64,30,14,4693,87,7,9,12,0,117,93,25,20,63,0,214,1494,343,317,1942,22,4116,412,9,42,0,0,464,139,9,4,36,0,192,229,41,35,259,3,558,139,31,29,72,0,270,44,7,4,14,0,64,2180,12,9,8,3,2212,456,86,81,868,7,1496,469,97,50,269,9,888,493,3,11,0,4,505,59,7,3,9,0,78,55,11,7,16,0,84,45,7,11,29,0,98,63,12,8,0,0,83,85,16,14,4,0,125,114,16,15,23,0,165,130,7,5,17,0,157,14,0,0,0,0,16,329,83,75,614,3,1106,90,0,4,6,0,105,75,6,4,0,0,93,270,10,5,9,0,297,117,8,10,3,0,132,394,3,11,5,3,418,44,4,4,23,0,79,4780,139,168,175,21,5278,255,12,6,31,1243,1543,15585,837,815,4127,1335,22699
POA3008,130,203,220,995,7,1558,3,9,0,38,0,49,3313,7,52,21,12,3411,32,13,7,4,0,54,49,19,9,41,0,119,836,201,158,1159,13,2373,290,3,27,4,4,323,98,6,7,20,0,128,155,26,17,144,0,337,115,29,9,53,4,205,18,7,4,9,0,39,2017,0,3,3,3,2023,177,54,36,486,7,769,330,50,21,122,3,522,333,0,3,0,3,331,30,7,4,4,0,40,30,6,0,8,0,41,41,13,6,24,0,79,46,5,0,0,0,55,64,4,3,0,0,69,73,9,6,11,0,90,99,0,0,8,0,114,20,0,0,0,0,20,180,45,37,371,5,636,47,8,5,0,0,58,38,8,5,0,0,45,108,0,0,6,0,122,50,0,5,0,0,57,237,0,11,6,0,257,24,6,5,20,0,53,2966,92,91,105,12,3260,127,9,4,10,1348,1495,10757,489,423,2425,1398,15495
POA3011,276,718,604,3033,24,4651,4,12,9,132,0,158,1665,43,72,56,20,1862,148,26,15,55,0,247,73,62,35,128,0,300,1332,651,503,3033,56,5577,356,12,43,13,4,421,74,13,10,46,0,139,203,72,66,357,0,696,354,62,28,144,5,583,41,8,5,31,0,87,741,13,24,16,4,802,393,208,150,1753,12,2516,388,133,71,392,5,984,63,3,8,0,0,73,27,11,3,8,0,48,220,17,7,38,4,281,89,38,27,73,3,225,80,6,8,4,0,102,131,31,21,5,0,195,107,32,23,61,0,221,51,0,11,25,0,87,39,6,3,0,0,54,354,159,152,1143,6,1809,116,16,3,8,0,146,42,3,4,5,0,52,123,13,10,13,0,166,60,5,10,9,0,80,1871,18,54,23,12,1979,47,19,14,66,0,149,3257,267,215,321,26,4088,227,14,4,47,1428,1721,10929,1504,1222,7034,1585,22278
POA3012,394,943,698,3835,36,5912,6,23,13,179,0,220,1974,72,66,68,14,2198,237,40,23,59,6,353,99,50,42,126,0,315,1458,726,523,3703,42,6457,533,18,68,14,3,639,96,19,12,37,0,165,179,67,47,423,8,733,447,69,36,175,5,730,41,19,5,27,0,92,907,23,21,10,3,966,429,238,175,1736,18,2598,759,204,91,562,7,1630,62,0,6,4,0,76,105,15,19,18,0,165,230,21,18,54,4,328,137,70,37,139,0,376,103,12,14,5,0,135,140,42,38,9,0,227,188,33,21,79,0,321,49,0,5,21,0,78,52,5,4,0,0,64,372,207,151,1289,11,2028,148,5,12,22,0,192,37,13,3,5,0,61,139,15,15,22,4,192,66,13,5,16,0,103,2623,55,73,46,3,2801,57,26,5,51,0,140,3538,383,250,349,34,4547,309,14,22,61,1340,1747,13596,1961,1442,8517,1497,27023
POA3013,165,705,527,3132,18,4545,3,8,4,102,0,124,488,35,44,53,0,616,105,27,6,37,0,172,90,44,31,90,0,259,1141,577,413,3012,17,5165,131,6,29,9,0,172,57,13,4,33,0,110,161,55,37,389,7,644,616,75,59,159,8,909,22,9,3,7,0,46,173,27,20,11,4,233,391,189,128,1513,4,2222,435,138,61,391,4,1031,22,0,3,0,0,29,72,5,9,15,0,99,237,34,18,52,0,335,82,35,18,112,0,245,37,13,9,0,0,48,118,37,36,16,0,208,126,30,23,76,4,257,27,5,10,18,0,62,4,4,0,0,0,15,367,152,129,989,6,1649,94,10,7,17,0,127,55,15,4,3,0,79,69,10,5,11,0,100,37,9,6,0,0,55,459,3,24,17,0,506,52,13,16,74,0,154,1113,224,178,266,10,1794,74,4,12,53,501,648,5636,1424,1042,6970,574,15636
POA3015,187,877,700,3760,51,5562,0,9,4,94,0,110,480,29,70,50,0,629,154,29,21,77,8,284,98,74,36,105,0,308,1326,769,528,3465,42,6125,131,8,40,4,0,185,63,20,7,33,4,126,208,78,35,410,0,737,460,77,37,221,6,798,37,14,3,35,0,90,341,20,26,14,0,405,501,206,166,1693,8,2573,546,167,82,542,8,1349,15,0,0,3,0,21,301,57,19,51,0,422,222,32,9,53,0,322,183,62,33,147,0,432,72,13,0,5,0,97,165,47,36,13,0,266,153,16,19,77,3,272,41,7,7,15,0,71,12,8,0,0,0,21,393,192,134,1263,7,1991,115,13,16,13,0,156,68,21,18,4,0,106,61,6,6,9,0,81,35,20,13,10,0,73,194,7,23,20,0,249,72,22,14,63,0,169,1310,254,219,283,16,2084,68,3,8,54,572,712,6509,1806,1304,8319,703,18634
POA3016,142,685,538,3393,27,4788,4,4,11,87,0,102,261,20,33,41,6,365,190,16,8,90,5,306,115,53,26,92,0,284,1396,629,433,3343,32,5829,108,6,23,5,0,142,68,19,9,38,0,138,179,72,37,317,8,606,409,92,37,227,0,760,19,5,6,20,0,55,128,21,6,3,0,157,393,176,106,1546,7,2235,530,112,53,461,9,1158,11,0,3,0,0,18,85,9,8,29,0,131,136,26,11,35,0,211,221,50,24,120,5,422,26,5,8,8,0,50,86,37,18,9,0,153,130,14,7,46,0,214,33,3,7,7,0,57,19,6,0,0,0,23,385,182,127,1202,13,1904,87,20,6,16,0,125,59,14,6,0,0,78,52,0,0,9,0,57,18,0,0,6,0,25,167,16,15,11,0,209,63,18,13,50,0,141,1050,164,175,231,11,1630,59,9,5,37,474,584,5415,1405,996,7643,569,16025
POA3018,135,545,437,2540,25,3689,3,8,5,61,0,77,403,8,38,26,6,472,172,12,20,38,0,245,136,36,36,50,0,257,1212,407,338,2367,24,4344,126,3,26,9,0,159,68,9,4,26,0,113,239,46,41,274,4,597,222,39,18,134,0,415,36,10,11,10,0,69,221,6,9,5,0,244,390,145,83,983,12,1615,476,110,57,368,0,1015,16,0,4,0,0,21,45,10,12,15,0,74,100,15,0,47,0,174,475,71,34,262,4,832,71,10,8,0,0,97,88,35,26,9,3,156,111,20,14,45,0,186,42,3,0,8,0,51,19,3,0,0,0,22,398,116,88,722,3,1327,47,6,6,8,0,68,43,9,9,0,0,57,54,9,4,8,0,69,12,6,6,3,0,25,175,5,6,4,0,186,46,12,12,26,0,97,1081,171,146,182,10,1585,45,6,4,40,528,630,5492,1074,848,5537,608,13556
POA3019,276,91,109,527,18,1015,3,0,6,52,3,67,1316,21,23,19,13,1391,60,3,3,13,0,79,9,9,4,12,0,31,399,84,77,519,21,1104,313,4,12,4,4,339,12,0,0,5,0,17,40,18,11,48,0,105,44,4,3,19,3,74,7,4,0,0,0,12,517,0,0,3,0,522,58,28,12,197,8,302,69,11,11,60,0,164,31,0,0,0,0,31,10,0,0,0,0,15,46,0,3,8,0,58,43,6,9,22,0,85,21,0,0,0,0,20,22,5,4,0,5,37,42,8,3,8,0,57,3,0,0,0,0,4,32,3,0,0,0,34,42,23,22,135,0,218,53,0,4,0,0,58,4,0,0,0,0,12,41,0,7,0,0,49,17,0,0,0,0,17,2526,31,42,19,20,2639,0,0,0,3,0,6,1821,42,54,63,16,2000,311,0,3,10,558,894,7326,240,257,1203,653,9682
POA3020,1219,617,590,3061,75,5560,20,17,5,188,0,229,3550,46,82,97,16,3792,444,38,17,63,5,567,66,31,29,51,0,178,1803,489,425,2633,82,5432,1254,28,71,20,3,1380,60,14,6,32,0,110,207,62,44,270,3,586,1080,88,58,216,7,1454,73,8,0,8,4,98,1339,14,14,8,5,1386,279,168,107,1122,9,1688,1067,133,85,432,25,1748,55,0,0,0,0,65,133,26,15,11,0,186,552,44,23,71,16,699,1502,100,73,292,15,1982,143,18,4,0,0,165,106,24,23,6,0,165,426,28,25,72,3,553,76,5,18,6,0,99,231,13,11,6,3,261,272,110,86,788,9,1262,203,13,5,14,0,238,15,5,3,0,0,25,223,7,12,13,0,262,146,9,3,5,0,168,9068,92,207,105,41,9520,20,9,9,41,0,81,8577,351,290,303,87,9604,1271,20,19,74,2525,3909,31663,1610,1426,6780,2883,44372
POA3021,1689,580,458,2188,108,5025,21,31,10,158,4,224,3696,17,67,30,32,3849,1091,58,44,100,6,1300,124,24,20,60,0,222,2130,332,293,1766,102,4623,1917,37,95,16,9,2079,78,0,4,17,5,106,384,45,31,178,7,648,959,80,47,176,3,1268,97,11,5,19,0,143,1888,34,14,7,9,1954,189,80,59,539,9,869,930,173,81,353,8,1551,40,0,3,0,0,41,324,49,21,33,0,428,1240,65,43,73,15,1437,1963,166,92,299,18,2534,185,14,11,4,3,218,125,13,12,6,5,160,464,36,19,71,8,589,110,7,0,9,0,130,750,42,30,10,8,840,197,80,49,422,16,759,712,47,22,25,3,807,18,0,0,0,0,22,303,15,17,11,3,346,197,6,4,3,0,214,13027,86,189,64,69,13432,9,0,9,7,0,26,10992,305,253,261,88,11888,2001,14,33,46,4192,6293,42843,1554,1292,4778,4644,55112
