POA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA3000,0,0,0,0,0,0,0,0,0,0,0,0,25,29,0,0,0,0,0,56,0,0,53,74,3,0,0,0,0,132,0,0,122,73,0,0,0,0,0,196,0,0,7,7,0,0,0,5,0,15,0,3,94,153,35,19,7,3,0,319,0,0,0,0,3,0,0,0,0,3,0,0,8,23,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,6,4,8,109,393,30,19,3,3,0,566,0,0,3,12,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,8,0,0,24,4,0,80,154,17,9,6,0,0,264,0,0,24,19,7,6,7,0,0,56,0,0,36,89,8,4,5,0,0,141,0,0,56,314,10,8,5,0,0,401,0,6,106,760,23,3,3,0,0,896,0,0,0,19,0,0,0,0,0,20,0,3,43,72,8,5,4,4,0,142
POA3002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,38,9,8,12,4,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,17,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,8,4,0,0,0,0,12,0,0,0,6,0,6,0,0,0,17,0,0,0,3,4,3,0,0,0,10,0,0,0,3,4,0,0,0,0,5,0,0,4,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,22,4,3,3,0,0,42
POA3003,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,16,35,12,10,0,0,0,74,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,46,4,5,5,0,0,65,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,13,0,0,5,29,4,0,0,0,0,44,0,0,0,3,0,0,0,0,0,3,0,0,5,11,3,0,0,0,0,23,0,0,10,48,0,0,0,0,0,50,0,0,0,43,4,4,0,0,0,57,0,0,0,6,0,0,0,0,0,8,0,0,10,14,4,5,0,0,0,32
POA3004,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,4,0,0,0,5,0,0,0,9,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,8,72,30,17,15,3,0,141,0,0,0,5,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,3,0,8,71,8,8,3,0,0,105,0,0,0,9,0,4,3,5,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,5,5,5,4,33,0,0,3,24,4,4,3,0,0,44,0,0,5,30,7,10,3,0,0,49,0,0,0,15,0,4,0,0,0,27,0,0,0,33,0,0,4,0,0,34,5,0,0,36,4,0,4,0,0,49,0,0,0,3,0,0,0,0,0,3,0,0,3,27,3,15,11,0,0,61
POA3006,0,0,0,0,0,0,4,0,0,5,0,0,7,21,0,4,0,0,0,31,0,0,8,5,4,0,4,0,0,22,0,0,10,27,0,0,0,0,0,38,0,0,0,9,0,0,4,0,0,18,0,5,52,166,31,21,9,0,0,283,0,0,4,4,0,0,0,0,0,12,0,0,5,18,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,29,157,21,19,4,0,0,238,0,0,0,16,3,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,3,3,3,0,27,0,4,20,85,18,10,0,0,0,141,0,0,8,30,3,0,6,0,0,55,0,0,17,58,7,3,3,0,0,82,0,0,3,78,4,6,4,0,0,101,0,0,11,133,9,3,0,0,0,162,0,0,3,21,3,3,4,0,0,29,3,0,7,46,6,6,10,0,0,80
POA3008,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,20,0,0,3,11,0,0,0,0,0,18,0,0,5,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,4,4,12,77,24,25,6,4,0,154,0,0,0,0,0,0,0,0,0,7,0,0,3,14,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,3,11,112,9,12,7,0,0,159,0,0,3,12,3,6,0,0,0,26,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,6,30,11,0,3,0,0,59,0,0,7,22,6,6,0,0,0,37,0,0,4,17,3,4,4,3,0,35,0,0,0,53,3,3,4,0,0,63,0,0,11,107,8,0,0,0,0,131,0,0,0,13,4,4,0,0,0,27,0,12,0,25,4,3,4,0,0,51
POA3011,0,0,0,0,0,0,5,7,7,20,0,0,6,4,0,0,4,0,4,13,0,0,0,4,0,0,0,0,0,7,0,0,47,73,0,0,0,0,0,121,0,0,5,8,0,3,0,0,0,8,0,8,16,146,28,23,9,3,0,242,0,0,4,6,8,11,20,20,4,77,0,0,0,16,0,0,0,0,0,23,0,0,0,7,3,0,0,0,0,15,0,0,14,117,17,21,15,3,0,182,0,0,0,12,0,0,3,3,6,23,0,0,0,3,0,3,0,0,0,8,0,0,0,17,9,8,4,4,0,36,0,6,4,38,0,0,4,0,0,57,0,0,4,19,7,0,0,0,0,29,0,0,4,26,4,0,0,0,4,35,0,0,0,27,0,0,4,0,0,31,0,3,3,42,3,4,4,0,0,66,0,0,0,6,3,3,0,3,0,14,5,6,0,46,7,4,0,0,0,72
POA3012,0,0,0,4,4,0,11,7,7,29,0,0,0,10,0,4,0,0,0,12,0,0,0,4,5,5,0,0,0,10,0,0,8,39,0,0,0,0,0,58,0,0,0,7,3,3,8,0,0,18,0,9,10,143,58,16,15,0,5,258,0,0,0,6,15,11,26,15,4,82,0,3,0,13,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,10,0,3,24,127,41,35,26,24,4,278,0,0,0,19,4,10,10,6,10,53,0,0,0,3,0,0,0,0,0,9,0,0,0,20,3,3,4,3,0,34,0,0,0,33,8,0,6,0,0,46,0,0,0,14,3,0,0,0,0,21,0,0,6,19,7,4,4,4,0,45,0,0,5,15,0,0,0,5,0,22,0,3,10,42,14,7,0,0,0,70,0,0,0,13,6,13,4,0,0,32,0,0,7,35,8,5,0,0,0,54
POA3013,0,0,0,0,0,0,10,4,0,12,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,9,4,4,0,0,0,21,0,6,10,106,32,18,8,0,0,187,0,0,0,3,11,14,26,19,9,83,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,36,12,7,6,6,0,72,0,0,0,4,3,0,3,6,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,4,9,0,0,40,0,0,0,23,0,0,0,0,0,23,0,4,4,24,10,0,0,0,0,29,0,0,0,8,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,8,0,0,0,23,3,3,0,0,0,29,0,0,0,4,0,0,0,0,0,10,0,7,0,27,14,3,0,0,0,49
POA3015,0,0,0,3,6,0,8,9,0,21,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,7,0,0,0,4,4,4,5,0,0,16,0,5,5,113,66,29,9,0,0,223,0,0,0,10,3,16,18,11,7,66,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,6,3,33,5,16,3,0,0,64,0,0,0,14,3,0,5,0,9,27,0,0,0,0,0,0,0,0,0,0,0,3,0,19,4,8,6,4,0,49,0,0,0,6,0,0,0,0,0,18,3,0,0,26,12,7,0,4,0,51,0,0,0,12,9,4,0,0,0,26,0,0,0,3,0,0,0,0,0,4,0,0,0,21,3,4,3,0,0,37,0,0,0,4,0,0,0,0,0,7,0,11,0,29,13,5,5,0,0,69
