POA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
POA3000,0,9,348,256,29,4,7,0,0,662,0,0,0,0,0,3,0,0,0,8,0,0,9,8,0,0,0,0,0,14,5,17,191,690,47,27,14,4,0,990,28,54,522,1042,114,90,44,8,5,1903,345,376,6772,11446,1133,822,473,136,36,21539,5,4,9,16,0,0,0,0,0,33,526,362,2288,4186,875,664,413,133,33,9475,0,0,32,56,0,0,0,0,0,95,0,0,3,13,0,0,0,0,0,20,0,5,20,155,8,3,0,0,0,190,0,0,57,41,0,0,0,0,0,104,4,0,14,62,10,10,5,0,0,99,0,0,8,89,3,3,0,0,0,99,7,61,3204,3603,312,200,101,26,3,7519,0,0,0,5,4,11,0,3,0,29,0,0,11,28,4,3,5,0,0,51,0,5,104,254,70,59,40,17,3,559,0,0,15,25,5,0,6,0,0,55,0,0,25,108,11,6,0,0,0,159
POA3002,0,0,3,7,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,40,6,10,10,7,6,78,0,4,13,50,20,14,19,5,5,135,53,91,203,968,297,351,349,150,84,2545,0,0,0,0,0,0,0,0,0,0,102,137,287,1194,346,445,455,244,87,3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,7,0,0,0,12,5,0,0,0,0,16,0,0,0,12,0,0,0,0,0,12,0,3,6,59,11,8,6,5,0,97,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,5,4,84,25,46,31,16,8,217,0,0,0,7,0,0,0,0,0,13,0,0,3,9,6,0,0,0,0,20
POA3003,0,0,21,36,9,7,9,0,0,82,0,0,0,4,0,0,0,0,0,3,0,0,4,8,0,0,0,0,0,10,0,3,43,221,11,4,5,0,0,292,10,9,37,99,16,6,14,0,0,194,137,167,694,2206,329,209,125,47,12,3926,0,0,0,0,0,0,0,0,0,0,202,244,567,1543,372,243,114,44,7,3337,0,0,3,4,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,5,0,0,10,54,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,4,17,4,5,0,0,0,34,0,0,0,22,3,3,0,0,0,24,0,17,228,485,61,40,14,8,3,854,0,0,0,4,0,0,4,0,0,7,0,0,0,11,0,0,0,0,0,11,3,5,15,94,40,20,8,8,0,196,0,0,0,8,0,0,0,0,0,7,0,0,3,29,0,0,0,0,0,38
POA3004,0,0,0,22,3,3,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,9,4,12,14,270,28,19,22,17,10,402,12,18,37,236,45,39,43,39,51,516,193,223,463,2791,596,562,551,316,136,5827,0,0,5,0,0,0,0,0,0,6,309,268,448,1810,608,549,598,384,90,5064,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,6,5,121,9,0,3,0,0,149,0,0,3,10,3,0,0,0,0,20,0,0,0,22,4,3,0,0,0,33,0,0,4,24,0,5,4,0,0,36,8,44,107,416,82,63,30,11,3,763,0,0,0,4,0,3,0,0,0,9,0,0,0,19,0,3,3,6,0,31,3,6,17,190,46,84,50,28,15,439,0,0,0,4,0,0,0,0,0,10,0,3,3,48,4,0,3,0,0,67
POA3006,0,10,47,102,12,13,7,0,0,186,0,0,0,5,0,0,0,0,0,7,0,0,0,14,0,3,0,0,0,16,6,19,122,773,60,32,28,8,0,1044,18,22,90,350,51,37,29,12,0,609,332,326,1773,6596,841,675,451,176,26,11197,5,3,7,31,4,0,0,0,0,46,578,369,1235,3488,738,575,362,193,33,7566,0,0,7,34,0,0,0,0,0,46,0,0,0,27,0,0,0,0,0,27,0,0,20,198,0,0,3,0,0,221,0,0,3,10,5,0,0,0,0,18,0,6,9,49,11,4,0,0,0,72,0,7,8,72,0,4,0,0,0,93,0,25,441,1226,124,116,61,24,4,2024,0,0,0,15,3,8,0,0,0,23,0,0,0,18,0,5,0,4,0,33,6,0,56,345,100,78,57,23,12,681,0,0,0,28,6,0,4,0,0,41,0,0,15,92,4,9,0,3,0,120
POA3008,0,0,28,60,18,6,5,0,0,114,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,7,9,14,63,358,34,26,16,0,0,532,19,28,74,384,59,64,30,10,0,668,328,252,922,4243,664,600,322,104,26,7458,0,0,0,11,0,0,0,0,0,11,496,236,529,1686,611,585,336,102,23,4607,0,0,3,29,0,0,0,0,0,35,0,0,0,6,5,0,0,0,0,16,0,0,14,129,6,0,0,0,0,149,0,0,3,13,0,0,0,0,0,14,4,4,3,30,0,8,0,0,0,50,0,0,0,17,6,3,0,0,0,29,3,16,498,1190,115,124,36,14,4,2006,0,0,0,0,0,4,0,3,0,13,0,0,0,18,0,3,8,0,0,27,0,0,17,115,47,55,47,20,0,301,0,0,0,14,4,0,0,0,0,20,0,3,3,40,5,10,0,0,0,64
POA3011,3,9,66,290,150,198,131,59,21,926,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,9,0,11,49,298,56,50,39,31,14,543,21,34,59,284,73,49,30,48,56,644,567,748,1119,5069,1235,977,570,387,239,10913,0,0,0,11,0,4,3,0,0,18,1077,1326,1486,5525,1380,888,416,169,78,12342,0,13,13,107,16,3,0,0,0,148,0,0,0,13,4,4,16,8,0,42,0,0,0,43,0,3,0,0,0,48,0,0,3,5,3,10,10,0,0,39,0,0,0,53,6,9,0,0,0,67,0,0,0,16,8,6,5,6,0,35,0,4,22,174,70,68,45,23,25,432,0,0,0,12,5,15,16,14,7,68,0,0,0,5,0,4,3,7,0,23,4,17,20,245,103,96,34,15,7,539,0,0,3,13,11,4,7,0,0,33,0,0,3,17,5,0,0,0,0,27
POA3012,4,6,71,326,286,254,163,58,31,1210,0,0,0,7,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,12,4,23,38,317,100,67,52,45,13,649,25,50,73,261,56,52,32,41,15,603,845,1318,1285,5383,1729,1241,826,488,300,13423,0,0,3,24,3,0,0,0,0,25,1629,2502,1858,5953,1817,1091,520,214,165,15739,0,4,7,104,11,4,4,0,0,137,0,0,0,14,8,14,12,11,6,64,0,0,5,49,4,0,0,0,0,60,0,0,0,3,8,6,3,0,0,26,0,0,3,33,10,3,0,0,0,54,0,0,0,31,16,10,12,4,0,75,0,12,28,200,51,69,41,17,10,427,0,0,0,9,14,18,27,35,9,117,0,3,4,14,0,3,9,3,3,43,5,25,19,274,104,67,40,21,9,563,0,0,0,18,5,8,0,4,0,30,0,0,0,40,4,4,0,0,0,54
POA3013,0,0,6,51,42,38,45,13,3,194,0,0,0,3,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,5,0,7,12,129,32,30,24,23,8,260,15,23,23,103,40,31,17,6,10,263,504,963,703,2871,1219,836,450,297,184,8038,0,0,0,0,0,0,0,0,0,0,1004,1800,1236,3784,1669,1064,432,139,123,11258,0,0,6,10,0,0,0,0,0,23,0,0,0,9,0,7,0,0,0,18,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,6,5,0,0,11,0,3,0,29,5,9,0,0,0,50,0,0,0,9,10,8,0,4,0,30,0,0,0,48,14,13,6,0,0,83,0,0,0,6,0,6,12,8,7,40,0,0,0,7,0,3,3,0,0,10,3,20,23,232,144,81,38,12,7,572,0,0,0,10,3,0,0,0,0,12,0,0,0,13,0,4,3,0,0,28
POA3015,0,0,5,37,21,6,12,3,0,82,0,0,0,4,0,3,0,0,0,14,0,0,0,7,0,0,0,0,0,6,0,7,10,117,40,35,26,28,10,283,13,23,25,99,54,25,19,10,13,285,684,1280,804,3098,1482,1018,619,309,198,9492,0,0,0,0,0,0,0,0,0,0,1387,2363,1445,3991,2051,1399,661,220,130,13653,0,0,0,10,5,0,0,0,0,10,0,0,0,12,6,8,0,5,0,32,0,3,0,19,4,5,0,0,0,30,0,0,0,3,3,0,4,0,0,12,0,0,0,27,15,4,0,0,0,47,0,0,0,13,6,0,0,0,0,30,0,5,5,54,11,18,14,10,0,119,0,0,0,3,8,10,14,8,7,51,0,0,0,4,5,0,0,6,5,22,4,26,15,243,135,120,68,30,10,657,0,0,0,7,0,0,0,0,0,13,0,0,0,17,3,8,0,0,0,31
