POA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
POA3000,0,0,0,0,0,0,11,8,0,0,0,0,0,14,0,33,0,0,0,0,0,3,4,21,0,14,10,14,11,0,0,95,0,0,0,9,4,12,16,16,4,8,9,16,13,8,0,99,0,0,7,12,60,166,1103,1801,764,957,1012,1094,378,35,122,7519,0,0,6,0,3,9,0,0,0,0,0,0,0,0,0,29,0,0,3,0,0,3,11,4,4,12,3,0,0,0,0,51,0,0,0,4,5,6,6,7,5,5,0,8,5,0,0,55,9,9,5,0,8,12,16,10,9,0,8,9,7,0,7,107,0,4,12,0,4,0,3,7,0,0,0,4,0,0,0,42,0,6,9,6,70,87,137,135,67,60,73,67,37,14,8,768,0,0,7,5,11,42,220,408,260,374,622,910,449,80,37,3413,0,0,0,3,15,91,226,317,156,263,307,340,132,13,20,1878,0,0,0,0,0,7,22,34
POA3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,5,0,0,0,0,16,0,0,3,0,7,18,24,18,9,5,3,9,0,0,0,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,13,0,6,0,0,0,0,6,7,0,0,5,0,0,0,0,24,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4,8,5,10,8,0,0,0,0,0,0,0,34,0,0,6,8,6,0,5,7,0,0,4,0,0,0,0,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,3,8
POA3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,4,5,7,0,10,5,0,0,5,0,0,0,34,0,0,0,6,18,36,142,244,105,95,80,77,35,0,9,854,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,4,3,7,5,0,4,0,0,0,0,31,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,12,21,24,24,11,6,0,7,8,0,0,118,0,0,6,3,0,14,54,97,50,52,73,110,59,13,8,555,0,0,0,3,3,7,20,12,6,8,8,14,3,0,0,75,0,0,0,0,0,0,7,9
POA3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,5,0,6,0,3,0,3,4,0,3,33,3,0,5,0,29,47,216,191,70,44,50,71,23,4,6,763,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,9,4,6,3,0,4,0,4,4,0,0,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,3,0,7,8,10,6,4,3,0,8,0,0,0,83,4,4,8,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,24,8,24,15,4,4,5,11,8,5,0,114,0,3,10,0,12,18,71,94,25,50,58,77,20,8,3,449,0,0,0,0,6,22,44,16,12,17,4,4,8,0,3,128,0,0,0,0,8,0,21,39
POA3006,0,0,0,0,0,9,13,5,0,0,0,0,0,19,0,46,0,0,0,0,0,6,6,6,0,4,8,4,5,0,0,46,0,0,0,0,0,8,5,11,0,6,17,9,4,0,0,72,0,0,3,0,46,115,521,542,193,189,142,175,57,12,25,2024,0,0,3,0,0,5,6,8,3,0,0,0,0,0,0,23,0,0,4,0,3,0,3,0,4,5,4,0,0,0,0,33,0,0,0,0,10,8,7,3,0,0,0,7,0,0,0,41,0,5,3,4,3,9,19,13,8,4,8,0,3,3,0,96,0,11,10,0,0,0,3,4,4,5,0,0,0,0,0,42,0,0,3,8,30,51,79,55,26,19,19,24,6,6,0,313,0,0,3,10,15,40,227,283,169,223,391,522,184,32,29,2127,0,0,0,3,3,94,160,110,43,39,51,56,30,7,3,601,0,0,0,0,6,14,58,71
POA3008,0,0,0,0,6,6,3,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,9,0,9,4,4,0,0,0,35,0,0,0,0,0,4,11,7,0,0,6,11,3,0,0,50,0,5,0,5,34,87,441,551,208,227,166,184,51,15,23,2006,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,3,3,0,0,7,4,4,0,0,0,0,4,0,0,27,0,0,0,0,5,9,7,3,0,0,4,0,0,0,0,20,4,7,6,8,0,0,10,7,0,6,9,11,0,6,0,67,0,4,7,3,0,5,0,12,0,0,0,0,0,0,0,36,0,0,0,0,31,23,42,49,14,6,8,21,10,0,3,224,0,0,0,0,11,33,159,359,196,319,423,477,165,74,23,2243,0,0,0,4,3,17,42,34,11,11,17,11,10,0,3,157,0,0,0,0,3,3,19,56
POA3011,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,18,0,0,0,0,0,6,38,33,19,10,13,11,5,6,0,148,0,0,0,3,6,9,14,25,0,0,5,3,0,0,4,67,0,0,0,0,63,73,107,57,18,19,41,33,3,0,5,432,0,4,35,6,0,12,3,0,0,0,0,0,0,0,4,68,0,0,3,0,0,6,0,0,0,0,0,0,0,0,5,23,0,0,0,8,3,13,8,3,0,0,0,0,0,0,0,33,6,9,7,3,5,3,19,7,3,4,5,0,0,0,3,82,0,30,115,10,5,4,0,0,0,0,0,0,0,0,8,177,0,0,4,3,31,15,12,20,9,3,4,4,0,0,0,106,0,0,0,6,15,18,147,174,62,82,115,153,42,4,17,842,0,0,0,0,13,14,36,17,10,5,10,10,10,0,3,131,0,0,0,0,0,0,4,16
POA3012,0,0,0,0,0,4,3,9,0,0,0,0,0,0,3,25,0,0,0,0,3,5,37,37,3,20,17,13,8,0,0,137,0,0,0,0,8,5,13,16,0,3,0,0,5,0,0,54,0,0,0,12,47,54,118,77,22,27,35,29,3,0,8,427,0,4,73,14,3,12,3,4,0,0,0,0,0,0,0,117,0,0,3,6,5,7,12,13,0,0,0,0,0,0,0,43,0,0,0,7,3,10,0,0,0,0,0,4,0,0,0,30,17,17,10,5,8,16,8,8,0,0,0,0,0,0,0,102,0,31,136,24,3,4,6,3,0,0,0,0,0,0,0,213,0,0,0,6,23,33,21,17,0,3,0,0,0,0,0,106,0,0,7,16,14,26,172,180,87,100,173,178,31,3,21,1023,0,0,0,0,8,19,36,21,8,8,5,11,4,0,0,121,0,0,0,0,0,3,4,25
POA3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,5,0,0,0,0,23,0,0,3,3,4,4,6,6,0,0,0,0,0,0,0,50,0,0,0,0,14,23,26,13,0,0,4,3,0,0,0,83,0,3,19,10,0,0,0,0,0,0,0,0,0,0,0,40,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,12,3,10,4,0,9,8,12,11,3,0,3,0,0,0,0,54,0,49,169,43,5,3,4,10,0,0,0,4,0,0,10,285,0,0,0,0,5,8,9,4,0,0,0,0,0,0,0,29,0,0,5,7,16,9,31,16,8,7,11,5,4,0,0,124,0,0,0,4,3,4,12,4,0,5,0,0,0,0,0,30,0,0,0,5,0,3,0,0
POA3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,10,0,4,0,0,3,3,17,8,3,0,3,7,0,0,0,47,0,0,0,5,10,21,35,13,3,0,9,9,7,0,6,119,0,0,20,13,3,0,5,0,0,0,0,0,0,0,4,51,0,0,12,0,0,4,6,0,0,4,0,0,0,0,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,13,10,0,4,7,7,20,13,3,3,0,0,4,0,0,93,0,38,103,25,0,0,0,0,0,0,0,0,0,0,9,189,0,0,0,0,9,8,9,4,0,0,0,0,0,0,0,30,0,0,3,15,16,10,70,46,18,11,27,23,8,0,10,257,0,0,0,0,6,5,12,0,4,0,3,0,0,0,0,37,0,0,0,0,0,0,9,17
