POA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
POA3000,..,8,13,8,6,6,11,10,11,6,76,..,10,48,16,35,49,60,21,18,7,261,..,0,3,4,5,9,18,7,28,6,74,..,0,0,0,0,0,0,3,3,0,9,..,10,51,21,41,57,79,30,50,14,350,..,0,0,0,0,0,0,0,0,0,3,..,21,66,31,44,61,91,39,60,16,425,136,145,124,73,95,167,220,110,31,28,1126,181,308,1078,816,1144,1343,1665,826,56,80,7503,28,13,36,48,80,148,162,54,0,19,594,0,0,0,0,0,0,8,0,0,0,11,213,322,1118,867,1226,1495,1830,883,53,96,8111,0,0,0,3,0,4,0,0,0,8,17,351,467,1245,946,1321,1654,2060,997,89,131,9256,325,260,441,141,171,243,361,143,50,34,2174,440,1091,2258,939,1123,1397,1827,627,131,94,9935,49,34,144,107,174,232,295,76,12,14,1141,0,0,0,3,0,0,4,0,0,4,15,495,1124
POA3002,..,0,7,5,0,0,9,0,0,0,24,..,0,0,0,0,4,5,0,0,0,13,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,5,0,0,0,17,..,0,0,0,0,0,0,0,0,0,0,..,0,7,5,0,5,6,0,0,3,39,15,11,5,0,3,0,0,5,0,0,40,0,5,8,3,4,0,3,6,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,4,0,3,6,0,4,29,0,0,0,0,0,0,0,0,0,0,0,15,12,16,3,6,0,4,4,0,5,62,52,18,35,16,17,22,36,12,10,3,212,23,22,30,7,14,14,22,0,0,0,137,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,22
POA3003,..,0,10,3,0,5,9,4,3,0,28,..,3,18,8,3,11,9,10,6,4,71,..,0,0,0,0,0,9,3,0,6,18,..,0,0,0,0,0,0,0,0,0,7,..,3,18,8,4,13,17,11,4,6,93,..,0,0,0,0,0,0,0,0,0,0,..,5,23,9,4,20,27,16,6,6,118,17,26,11,11,9,11,20,13,0,0,123,23,30,107,77,70,75,91,59,0,7,536,0,0,7,3,0,6,8,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,25,30,111,81,71,77,99,65,0,7,571,0,0,0,0,0,0,0,0,0,5,4,45,60,127,93,78,90,117,74,0,10,699,99,61,90,37,35,45,49,23,10,5,455,76,149,363,145,171,189,249,86,15,11,1458,6,10,17,5,14,19,30,10,0,0,115,0,0,0,3,0,0,0,0,0,5,4,83,153
POA3004,..,7,7,0,0,7,11,0,9,3,48,..,3,31,17,13,23,22,12,4,5,126,..,0,0,0,0,0,12,7,7,0,23,..,0,0,0,0,0,0,0,0,0,0,..,3,31,17,13,21,31,18,5,3,151,..,0,0,0,0,0,0,0,0,0,0,..,9,42,15,13,32,38,19,14,5,195,27,19,20,8,3,7,22,9,0,0,106,5,28,65,33,33,44,40,13,5,0,265,0,0,0,0,4,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,28,63,36,35,44,41,18,8,0,279,0,0,0,0,0,0,0,0,0,0,0,35,48,84,40,44,48,58,21,7,3,387,110,61,100,53,74,92,157,53,17,10,718,83,175,290,120,133,153,177,73,17,4,1222,0,3,3,0,0,0,5,4,3,0,21,0,0,0,0,0,0,0,0,0,0,0,83,181
POA3006,..,9,16,7,10,6,6,5,4,4,70,..,3,27,24,22,31,45,34,7,3,202,..,0,0,4,0,4,14,9,13,3,42,..,0,0,0,0,4,0,0,0,0,4,..,5,27,22,22,40,61,39,20,10,251,..,0,0,0,0,0,0,0,0,0,0,..,12,43,33,29,43,73,49,26,19,318,67,66,39,25,44,42,67,35,13,9,423,44,110,236,160,194,179,351,137,17,22,1452,4,0,6,9,0,12,14,12,0,0,62,0,0,0,0,0,0,0,0,0,0,0,47,110,242,171,202,189,368,152,17,22,1520,0,0,0,0,0,0,0,0,0,0,0,120,176,281,196,242,234,439,185,32,27,1935,231,169,317,123,172,189,271,71,20,23,1586,263,607,1078,422,520,695,822,270,48,45,4768,6,12,34,17,26,35,62,43,8,3,246,0,0,0,0,0,0,0,0,0,0,3,263,615
POA3008,..,0,13,4,10,7,17,10,8,0,68,..,0,28,14,42,50,59,16,23,10,236,..,0,0,5,6,14,22,13,16,10,77,..,0,0,0,0,0,3,0,0,0,6,..,0,28,13,42,65,88,28,45,20,326,..,0,0,0,0,0,0,0,0,0,0,..,4,42,20,58,70,98,34,47,17,392,30,32,25,8,10,12,22,11,3,0,156,34,62,186,107,142,133,162,67,8,8,907,0,0,11,9,10,11,20,7,3,0,69,0,0,0,0,0,0,0,0,0,0,4,38,60,197,114,152,148,185,72,9,9,982,0,0,0,0,0,0,0,0,0,0,3,68,91,218,124,163,163,208,86,19,10,1140,118,78,148,58,89,74,104,38,11,4,720,165,390,777,358,427,501,620,187,52,42,3516,9,7,35,21,26,31,38,25,0,6,197,0,0,0,0,0,0,0,0,0,0,4,178,401
POA3011,..,6,26,5,4,3,8,5,4,4,68,..,9,32,14,13,17,27,8,0,3,120,..,0,3,0,3,0,13,10,4,4,29,..,0,0,0,0,0,0,0,0,0,4,..,9,34,14,12,17,36,18,3,11,150,..,0,0,0,0,0,0,0,0,0,4,..,11,62,20,23,23,48,19,3,11,223,39,41,12,12,6,17,20,10,4,0,154,24,32,60,46,63,106,120,35,0,9,502,0,0,0,0,0,4,5,6,4,0,27,0,0,0,0,0,0,0,0,0,0,0,27,35,63,46,63,112,122,41,9,9,524,0,0,0,0,0,0,0,0,0,0,0,66,70,72,53,66,128,147,48,5,18,678,189,114,200,51,47,61,59,13,5,16,752,158,198,405,141,172,205,211,60,6,26,1589,6,8,36,9,12,19,24,7,6,0,110,0,0,0,0,0,0,0,0,0,0,3,158,210
POA3012,..,14,40,7,10,13,0,6,0,3,101,..,6,44,15,11,24,17,10,7,4,150,..,0,0,0,3,0,11,0,0,4,20,..,0,0,0,0,0,0,0,0,5,7,..,6,44,18,16,31,28,11,9,12,176,..,0,0,0,0,0,0,0,0,0,0,..,21,91,25,25,38,33,16,15,16,275,39,31,15,3,5,8,10,4,0,6,124,31,54,84,40,41,90,99,35,0,11,487,0,0,4,3,5,5,11,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,31,54,93,46,42,100,105,37,0,16,513,0,0,0,0,0,0,0,0,0,0,0,72,82,103,49,49,108,116,37,3,21,633,168,76,170,40,53,40,45,4,3,16,619,168,217,420,149,162,233,210,36,5,19,1619,3,14,29,9,16,22,21,7,0,0,124,0,0,0,0,0,0,0,0,0,0,5,169,233
POA3013,..,14,33,3,7,0,11,3,0,0,73,..,8,11,3,0,3,4,3,0,0,35,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,8,11,3,0,3,4,3,0,0,37,..,0,0,0,0,0,0,0,0,0,0,..,15,42,5,5,9,14,6,0,6,105,21,21,7,4,6,6,4,3,4,0,67,4,5,11,3,3,6,13,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,3,3,10,14,4,0,0,57,0,0,0,0,0,0,0,0,0,0,0,23,27,20,11,4,16,17,9,4,3,130,98,42,99,25,28,35,24,6,0,3,367,47,45,72,24,34,33,30,11,0,6,309,0,0,3,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,47,45
POA3015,..,13,27,6,12,8,15,10,8,6,96,..,4,18,3,19,21,9,0,0,10,76,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,7,..,4,18,3,19,21,5,0,0,9,81,..,0,0,0,0,0,0,0,0,0,0,..,13,43,14,29,33,19,13,8,17,184,25,26,17,0,0,5,5,0,0,4,76,15,10,13,8,8,9,17,9,0,4,86,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,10,13,8,8,11,17,12,0,4,86,0,0,0,0,0,0,0,0,0,0,0,39,37,26,9,9,11,18,11,0,9,166,78,43,105,24,11,25,24,5,0,5,316,37,38,79,17,47,32,41,7,0,7,309,0,0,4,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,38,38
