POA_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA3000,91,12,0,0,12,0,108,54,345,18,0,358,0,413,0,22,8,0,34,0,37,0,0,0,0,0,0,0,57,367,21,0,390,0,447,0,0,0,0,0,0,0,142,389,21,0,405,0,551,47,3,0,0,3,0,52,28,179,10,0,188,3,222,0,14,13,0,27,0,29,0,0,0,0,0,0,0,28,189,23,0,213,3,247,0,0,0,0,0,0,0,82,199,23,0,212,3,296,29,0,0,0,0,0,30,6,50,4,0,54,0,58,0,6,0,0,10,0,10,0,0,0,0,0,0,0,6,56,3,0,58,0,66,0,0,0,0,0,0,0,36,58,3,0,63,0,97,17,0,0,0,0,0,17,5,23,0,0,26,0,32,0,0,4,0,4,0,4,0,0,0,0,0,0,0,5,23,5,0,27,0,37,0,0,0,0,0,0,0,19,23,5,0,27,0,54,14,0,0,0
POA3002,53,0,0,0,0,0,58,5,20,0,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,20,0,25,0,0,0,0,0,0,0,58,29,0,0,29,0,89,44,0,0,0,0,0,40,3,15,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,15,0,19,0,0,0,0,0,0,0,46,17,0,0,17,0,65,30,0,0,0,0,0,30,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,30,3,0,0,3,0,31,22,0,0,0,0,0,22,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,23,0,0,0,0,0,27,25,0,0,0
POA3003,83,3,0,0,3,0,85,20,99,0,0,107,0,126,0,7,5,0,13,0,13,0,0,0,0,0,0,0,20,108,5,0,111,0,137,0,0,0,0,0,0,0,106,114,5,0,117,0,224,53,5,0,0,5,0,62,16,55,4,0,55,0,68,0,10,9,0,12,0,12,0,0,0,0,0,0,0,16,58,7,0,73,0,82,0,0,0,0,0,0,0,67,67,7,0,73,0,141,28,3,0,0,3,0,33,0,27,0,0,27,0,31,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,29,0,0,29,0,33,0,0,0,0,0,0,0,29,32,0,0,32,0,66,30,5,0,0,5,0,28,0,12,0,0,12,0,9,0,3,4,0,5,0,3,0,0,0,0,0,0,0,5,12,4,0,18,0,18,0,0,0,0,0,0,0,32,16,4,0,18,0,49,30,0,0,0
POA3004,105,3,0,0,3,0,106,32,151,0,0,149,0,186,0,10,5,0,12,0,12,0,0,0,0,0,0,0,32,156,5,0,163,0,194,0,0,0,0,0,0,0,135,161,5,0,165,0,303,56,5,0,4,7,0,61,19,88,8,0,98,0,116,0,9,0,0,6,0,6,0,0,0,0,0,0,0,19,98,10,0,105,0,124,0,0,0,0,0,0,0,72,106,10,4,111,0,189,34,0,0,0,0,0,33,9,35,3,0,35,0,46,0,3,0,0,5,0,5,0,0,0,0,0,0,0,9,38,3,0,43,0,46,0,0,0,0,0,0,0,44,37,3,0,45,0,86,18,0,0,0,0,0,25,0,10,3,0,11,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,10,3,0,15,0,24,0,0,0,0,0,0,0,24,14,3,0,20,0,43,17,0,0,0
POA3006,147,7,5,0,10,0,161,61,313,5,0,319,0,378,0,20,5,0,26,0,23,0,0,0,0,0,0,0,62,330,10,0,344,0,407,0,5,0,0,5,0,5,209,341,15,0,356,0,565,70,0,0,0,0,0,70,14,185,4,0,192,0,204,0,4,3,0,12,0,14,0,0,0,0,0,0,0,16,190,13,0,203,0,216,0,0,0,0,0,0,0,87,190,13,0,203,0,291,35,0,0,0,0,0,35,3,44,0,0,51,0,52,0,9,0,0,9,0,9,0,0,0,0,0,0,0,3,54,4,0,53,0,54,0,0,0,0,0,0,0,35,56,4,0,57,0,91,19,0,0,0,0,0,22,0,22,0,0,22,0,22,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,0,0,0,0,19,19,0,0,24,0,45,16,0,0,0
POA3008,98,6,0,0,6,0,111,34,413,6,0,415,0,449,0,24,12,0,34,0,34,0,0,0,0,0,0,0,34,436,16,0,448,0,486,0,0,0,0,0,0,0,133,448,16,0,460,0,594,57,3,0,0,3,0,58,21,194,3,0,201,0,217,0,17,6,0,16,0,16,0,0,0,0,0,0,0,21,203,13,0,218,0,235,4,0,0,0,0,0,4,74,209,13,0,221,0,294,15,4,0,0,4,0,19,0,37,0,0,37,0,42,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,36,0,0,43,0,45,0,0,0,0,0,0,0,19,47,0,0,44,0,66,14,0,0,0,0,0,14,0,16,0,0,16,0,13,0,0,5,0,6,0,6,0,0,0,0,0,0,0,0,12,5,0,17,0,21,0,0,0,0,0,0,0,17,12,5,0,17,0,33,18,0,0,0
POA3011,568,40,0,0,43,0,612,67,232,10,0,246,0,314,0,33,9,0,38,0,40,0,0,0,0,0,0,0,74,268,17,0,283,0,358,0,4,0,0,4,0,4,641,313,19,0,328,0,975,409,21,0,0,21,0,426,45,170,9,0,177,0,222,5,20,12,0,28,0,31,0,0,0,0,0,0,0,48,194,17,0,209,0,258,0,0,0,0,0,0,0,452,214,17,0,223,0,680,201,6,0,0,6,0,208,15,81,0,0,83,0,96,4,17,10,0,22,0,26,0,0,0,0,0,0,0,15,95,7,0,101,0,120,0,0,0,0,0,0,0,220,100,7,0,106,0,326,78,4,0,0,4,0,79,4,42,0,0,39,0,48,0,12,6,0,16,0,18,0,0,0,0,0,0,0,7,52,8,0,60,0,68,0,0,0,0,0,0,0,81,53,8,0,62,0,143,105,5,0,0
POA3012,858,63,0,0,63,0,922,97,413,3,0,417,0,513,0,31,12,0,42,0,47,0,0,0,0,0,0,0,94,445,18,0,467,0,560,0,0,0,0,0,0,0,954,505,18,0,527,0,1480,731,51,0,0,51,0,781,90,304,15,0,318,0,406,5,28,14,0,50,0,51,0,0,0,0,0,0,0,90,331,30,0,363,0,455,0,0,0,0,0,0,5,825,384,30,0,413,0,1239,364,31,0,0,31,0,395,42,137,0,0,140,0,181,0,16,14,3,28,0,31,0,0,0,0,0,0,0,44,151,13,4,171,0,213,0,4,0,0,4,0,4,414,183,13,3,202,0,616,196,10,0,0,10,5,202,16,82,5,0,84,0,104,0,12,6,0,17,0,17,0,0,0,0,0,0,0,16,95,12,0,104,0,122,0,0,0,0,0,0,0,214,103,12,0,111,5,326,207,11,0,0
POA3013,688,43,0,0,43,0,733,75,126,6,0,128,0,204,0,5,0,0,5,0,5,0,0,0,0,0,0,0,75,133,6,0,133,0,212,0,0,0,0,0,0,0,762,170,6,0,174,0,943,676,39,0,0,37,0,723,49,80,5,0,84,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,76,5,0,90,0,140,0,0,0,0,0,0,0,729,117,5,0,128,0,860,352,12,0,0,12,0,365,21,38,4,0,44,0,61,0,3,0,0,3,0,3,0,0,0,0,0,0,0,21,41,4,0,48,0,65,0,0,0,0,0,0,0,374,54,4,0,58,0,436,229,5,0,0,5,0,235,10,29,7,0,31,0,48,0,4,0,0,4,0,4,0,0,0,0,0,0,0,10,36,7,0,40,0,49,0,0,0,0,0,0,0,238,40,7,0,44,0,280,266,10,0,0
POA3015,942,43,0,0,42,6,990,115,185,7,0,195,0,308,0,7,4,0,14,0,13,0,0,0,0,0,0,0,117,199,11,0,208,0,323,0,0,0,0,0,0,0,1057,239,7,0,251,6,1309,858,39,4,0,37,0,903,66,168,6,0,173,0,240,0,4,0,0,4,0,0,0,0,0,0,0,0,0,69,169,6,0,174,0,246,0,3,0,0,3,0,5,926,210,11,0,218,3,1148,496,12,0,0,12,0,506,27,73,3,0,75,0,101,0,4,0,0,8,0,8,0,0,0,0,0,0,0,27,76,4,0,82,0,109,0,0,0,0,0,0,0,521,92,4,0,95,0,615,271,15,0,0,16,0,289,16,43,0,0,43,0,57,0,4,0,0,0,0,4,0,0,0,0,0,0,0,15,47,0,0,49,0,58,0,0,0,0,0,0,0,286,58,0,0,64,0,347,298,10,0,0
