POA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
POA3000,4,159,0,159,..,681,22,706,0,704,..,128,3,131,0,131,..,139,10,146,0,147,..,1107,35,1139,3,1142,..,459,34,494,0,495,..,191,7,200,4,202,..,306,92,395,0,395,..,40,12,51,0,51,..,433,32,465,0,472,..,632,52,682,13,691,..,10501,1465,11966,46,12013,..,67,11,79,2016,2102,7433,10572,1477,12047,2063,21548,5590,..,..,..,..,5590,..,7,0,7,0,7,..,120,10,130,0,130,..,0,0,0,0,0,..,950,116,1069,5,1067,..,4719,895,5614,13,5623,..,117,34,149,0,149,..,5785,1037,6826,16,6845,..,5,0,13,0,13,..,103,3,111,0,109,..,27,0,27,0,27,..,50,4,52,0,52,..,67,0,68,0,65,..,51,0,54,0,54,..,530,9,538,3,542,..,181,0,177,0,177,..,76,4,80,0,80,..,89,4,88,0,86,..,45,0,48,3,46,..,148,0,153
POA3002,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,28,0,28,0,28,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,9,0,9,..,22,0,26,0,26,..,293,10,305,3,307,..,8,0,12,127,140,1905,302,10,318,128,2353,2026,..,..,..,..,2026,..,9,0,9,0,9,..,9,0,8,0,8,..,0,0,0,0,0,..,26,0,28,0,28,..,60,8,67,0,67,..,0,0,0,0,0,..,92,6,94,0,94,..,7,0,7,0,7,..,14,0,14,0,14,..,18,0,18,0,20,..,28,3,36,0,36,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
POA3003,0,20,0,20,..,27,0,27,0,27,..,16,0,16,0,16,..,16,0,16,0,16,..,82,0,80,0,80,..,146,19,160,0,160,..,27,0,33,0,33,..,21,3,19,0,23,..,17,4,21,0,21,..,67,6,73,0,73,..,94,5,105,0,108,..,1488,190,1677,14,1690,..,14,4,16,361,379,2026,1505,194,1697,373,4093,1806,..,..,..,..,1806,..,0,0,0,0,0,..,44,3,40,0,40,..,0,0,0,0,0,..,122,26,147,0,147,..,526,90,613,4,620,..,16,4,19,0,19,..,668,114,779,4,784,..,6,0,3,0,3,..,19,0,19,0,19,..,10,0,10,0,11,..,19,0,17,0,17,..,14,0,14,0,14,..,8,0,10,0,10,..,92,3,90,0,90,..,18,0,18,0,18,..,11,0,11,0,11,..,15,0,15,0,15,..,12,0,12,0,12,..,15,0,15
POA3004,0,23,0,23,..,57,3,57,0,57,..,21,0,21,0,19,..,21,0,21,0,21,..,119,5,123,0,124,..,190,11,202,0,206,..,24,0,26,0,27,..,11,0,9,0,12,..,18,0,18,0,18,..,17,0,24,0,18,..,119,7,132,5,131,..,1638,117,1757,12,1771,..,17,0,21,517,539,3347,1656,120,1778,531,5655,3270,..,..,..,..,3270,..,9,0,9,0,9,..,32,3,31,0,31,..,0,0,0,0,0,..,107,6,116,0,116,..,478,98,579,4,581,..,27,5,31,0,31,..,613,111,719,4,722,..,6,0,6,0,6,..,48,0,55,0,51,..,30,0,30,0,30,..,44,0,44,0,44,..,7,0,11,0,11,..,22,0,22,0,22,..,72,0,77,0,80,..,4,0,4,0,5,..,14,0,14,0,14,..,15,0,15,0,15,..,6,0,9,0,9,..,14,0,17
POA3006,0,60,0,60,..,195,4,202,3,209,..,41,0,41,0,41,..,39,0,42,0,42,..,341,5,346,3,352,..,544,49,593,0,596,..,97,7,101,0,102,..,47,13,63,0,63,..,37,3,41,0,41,..,117,6,118,0,122,..,317,23,346,13,359,..,4750,389,5132,44,5184,..,54,11,65,634,699,5622,4806,397,5199,679,11499,4671,..,..,..,..,4671,..,9,0,9,0,9,..,107,17,122,0,118,..,3,0,3,0,3,..,336,30,367,6,371,..,1320,209,1526,4,1535,..,70,6,75,0,75,..,1725,245,1970,10,1978,..,22,0,22,0,22,..,79,0,82,0,82,..,30,0,30,0,30,..,52,3,55,0,55,..,53,0,53,0,53,..,51,0,55,0,55,..,415,9,422,3,421,..,41,0,42,0,42,..,38,0,41,0,41,..,47,0,47,0,47,..,25,0,30,0,30,..,93,4,91
POA3008,0,37,0,40,..,51,0,48,0,48,..,36,0,36,0,36,..,15,0,15,0,15,..,139,0,139,0,140,..,201,7,205,0,205,..,155,9,166,7,170,..,50,12,59,0,59,..,37,4,42,0,40,..,77,12,84,0,89,..,390,35,417,11,428,..,3661,357,4018,38,4060,..,42,7,44,682,724,3251,3701,364,4062,719,8037,2553,..,..,..,..,2553,..,8,0,8,0,8,..,121,14,133,4,136,..,0,0,0,0,0,..,242,20,262,3,268,..,1050,219,1271,7,1278,..,31,4,32,0,32,..,1325,251,1573,7,1583,..,4,0,6,0,6,..,28,7,32,0,32,..,19,0,19,0,19,..,39,0,45,0,45,..,56,4,61,0,63,..,31,0,31,0,31,..,321,14,338,5,341,..,13,0,14,0,14,..,35,0,36,0,39,..,14,0,14,0,14,..,23,0,26,0,25,..,100,6,108
POA3011,0,27,0,27,..,44,4,46,0,48,..,38,0,38,0,38,..,17,0,17,0,17,..,124,10,134,0,134,..,174,18,195,0,197,..,29,4,28,0,28,..,24,4,22,0,22,..,24,3,31,0,31,..,704,253,953,9,963,..,505,71,576,12,586,..,3141,678,3816,44,3865,..,49,8,58,750,812,6686,3190,683,3879,795,11361,6323,..,..,..,..,6323,..,4,0,4,0,4,..,45,13,53,0,53,..,5,0,5,0,5,..,172,87,254,0,258,..,207,75,288,0,284,..,28,12,39,0,39,..,404,180,580,0,584,..,31,10,46,0,46,..,36,0,37,0,37,..,42,0,38,4,46,..,120,55,174,0,174,..,63,17,83,0,80,..,49,8,56,0,56,..,76,7,83,0,83,..,114,9,125,0,123,..,30,4,32,0,32,..,19,0,19,0,19,..,36,0,36,5,42,..,12,0,12
POA3012,0,36,0,37,..,41,7,48,0,48,..,82,6,86,0,86,..,16,0,16,0,16,..,172,12,187,0,185,..,218,32,255,9,260,..,46,4,43,0,43,..,23,7,35,0,35,..,49,10,67,0,67,..,975,299,1279,12,1293,..,729,73,804,15,815,..,4037,805,4850,55,4902,..,58,13,69,739,810,7887,4096,821,4917,793,13593,7729,..,..,..,..,7729,..,0,0,0,0,0,..,118,15,136,3,132,..,8,0,8,0,8,..,234,116,354,0,355,..,194,94,283,7,291,..,23,3,22,0,22,..,452,211,665,6,670,..,75,24,94,0,94,..,35,5,38,4,40,..,37,0,37,0,37,..,155,59,213,0,213,..,59,12,64,0,69,..,34,6,43,0,43,..,52,3,58,0,58,..,67,0,67,3,69,..,40,3,41,0,46,..,17,0,17,0,17,..,59,11,66,0,70,..,26,4,24
POA3013,0,0,0,0,..,5,0,3,0,3,..,18,0,18,0,18,..,6,0,6,0,6,..,29,0,28,0,28,..,96,8,104,0,104,..,12,0,9,0,9,..,11,0,11,0,11,..,24,0,23,0,23,..,156,40,198,0,199,..,117,13,130,3,132,..,1210,216,1425,10,1437,..,30,5,33,264,299,5869,1238,220,1458,275,7603,6062,..,..,..,..,6062,..,6,0,6,0,6,..,31,8,37,0,37,..,0,0,0,0,0,..,65,19,82,4,86,..,65,11,76,0,76,..,6,3,11,0,11,..,137,35,168,4,170,..,20,5,33,0,33,..,25,0,25,0,27,..,36,0,41,0,38,..,262,102,364,0,364,..,12,0,13,0,13,..,4,0,4,0,4,..,13,0,14,0,14,..,8,0,8,0,8,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9
POA3015,3,11,0,11,..,22,3,17,0,17,..,10,0,11,0,11,..,0,0,3,0,10,..,43,9,49,0,48,..,69,4,76,0,76,..,16,0,16,0,16,..,12,4,18,0,17,..,16,0,16,0,13,..,40,14,51,0,55,..,143,18,162,3,163,..,1336,204,1541,18,1562,..,36,12,41,300,350,7242,1370,209,1582,321,9144,7304,..,..,..,..,7304,..,12,0,12,0,15,..,172,32,204,3,207,..,0,0,0,0,0,..,56,9,65,0,65,..,88,13,103,0,105,..,20,0,21,0,21,..,165,27,187,0,190,..,57,7,67,0,67,..,37,0,40,0,42,..,45,0,48,0,48,..,176,54,227,0,227,..,8,0,10,0,10,..,0,0,0,0,0,..,41,0,45,0,46,..,7,0,7,0,7,..,23,0,27,0,27,..,16,0,16,0,16,..,5,0,8,0,8,..,0,0,0
