POA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
POA3000,..,229,69,296,0,296,..,10240,2065,12311,29,12338,..,26,3,25,4,26,..,218,3,219,0,225,..,65,0,65,0,65,..,103,3,110,0,113,..,149,3,156,0,159,..,117,4,115,0,115,..,1170,18,1189,9,1197,..,406,3,408,0,414,..,181,9,188,0,188,..,171,4,180,0,178,..,144,6,148,3,149,..,317,3,323,0,323,..,2664,46,2704,14,2722,..,236,8,241,0,241,..,312,59,373,3,376,..,87,3,89,0,89,..,789,224,1018,5,1021,..,18,4,23,0,23,..,203,0,210,0,212,..,146,20,173,0,173,..,43,0,46,0,46,..,150,5,149,0,149,..,87,5,93,0,93,..,14,0,14,0,13,..,32,0,32,0,32,..,375,4,375,0,375,..,1541,41,1586,0,1588,..,339,8,342,0,342,..,292,6,302,5,300,..,2544,57,2604,6,2610,..,908,73,986,3,986,..,346
POA3002,..,3,0,3,0,3,..,164,15,180,0,180,..,7,0,7,0,7,..,22,0,29,0,29,..,35,0,39,0,34,..,55,3,60,0,60,..,4,0,4,0,8,..,0,0,0,0,0,..,13,0,17,0,17,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,27,0,30,..,67,0,71,0,70,..,12,0,12,0,12,..,6,0,6,0,6,..,9,0,13,0,13,..,5,0,5,0,5,..,3,0,3,0,3,..,19,0,19,0,19,..,11,0,11,0,11,..,5,0,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,11,0,11,0,11,..,0,0,0,0,0,..,24,0,22,0,22,..,49,0,44,0,44,..,3
POA3003,..,29,0,35,0,35,..,1150,231,1387,9,1393,..,10,0,7,0,7,..,48,0,44,0,44,..,28,0,28,0,30,..,38,0,37,0,37,..,31,0,37,0,37,..,14,0,13,0,13,..,187,6,194,0,192,..,45,0,44,0,44,..,28,0,28,0,27,..,27,0,27,0,27,..,28,0,28,0,28,..,29,0,29,0,32,..,395,11,401,5,407,..,84,8,86,0,86,..,67,4,77,0,77,..,0,0,0,0,0,..,133,46,185,3,187,..,13,0,18,0,18,..,36,0,36,0,39,..,32,3,35,0,35,..,9,0,9,0,9,..,54,0,54,0,54,..,32,0,33,0,33,..,4,0,4,0,4,..,3,0,3,0,3,..,43,0,43,0,43,..,63,3,64,0,70,..,48,0,50,0,50,..,25,0,25,0,25,..,183,0,186,0,187,..,286,41,325,0,325,..,54
POA3004,..,34,5,40,0,40,..,1041,169,1211,0,1216,..,16,0,20,0,20,..,103,0,108,0,105,..,66,0,62,0,67,..,95,0,95,0,95,..,22,0,20,0,20,..,48,0,48,0,48,..,151,0,156,0,161,..,22,0,22,0,24,..,20,0,23,0,23,..,43,0,43,0,42,..,20,0,22,0,22,..,37,0,33,0,33,..,359,6,364,6,373,..,107,3,105,0,105,..,68,15,83,0,83,..,14,0,10,0,10,..,69,12,83,0,83,..,17,7,22,0,22,..,20,0,20,0,20,..,101,5,106,0,112,..,33,0,33,0,33,..,149,0,148,0,149,..,67,7,78,0,78,..,0,0,0,0,0,..,16,0,16,0,16,..,58,0,58,0,58,..,116,9,117,0,117,..,52,0,52,0,49,..,36,0,34,0,34,..,257,7,261,0,260,..,379,22,403,3,408,..,43
POA3006,..,102,9,114,0,114,..,3007,409,3413,24,3438,..,33,0,33,0,35,..,154,6,157,0,158,..,67,0,74,0,74,..,102,3,100,0,100,..,109,5,112,0,112,..,128,0,130,0,128,..,881,16,896,7,903,..,82,0,86,0,86,..,92,4,98,0,98,..,98,0,106,0,106,..,83,0,81,0,81,..,201,11,206,0,207,..,1675,35,1711,9,1717,..,224,8,231,3,232,..,166,40,207,3,211,..,16,0,19,0,19,..,375,81,456,7,463,..,28,0,28,0,28,..,116,0,123,0,122,..,240,19,260,0,260,..,30,5,32,0,32,..,188,11,199,0,199,..,114,12,124,0,126,..,0,0,0,0,0,..,48,7,58,0,58,..,130,0,130,0,130,..,460,15,473,6,478,..,114,0,114,0,121,..,105,0,103,0,103,..,809,18,823,9,828,..,1085,112,1196,6,1208,..,172
POA3008,..,51,20,71,0,71,..,2426,439,2870,19,2887,..,9,3,15,0,15,..,68,5,74,0,77,..,53,3,50,0,50,..,75,3,82,0,84,..,124,9,129,0,131,..,55,0,54,0,54,..,706,21,729,5,732,..,29,0,32,0,32,..,83,0,81,5,87,..,49,0,49,0,49,..,74,0,69,0,74,..,211,15,219,10,226,..,1322,46,1369,21,1385,..,132,9,143,0,143,..,88,20,111,0,112,..,10,0,10,0,10,..,235,57,296,0,296,..,24,0,26,0,26,..,125,7,132,0,129,..,133,5,136,0,136,..,33,0,32,0,32,..,137,10,142,0,142,..,82,11,91,0,91,..,10,0,10,0,10,..,33,0,38,0,38,..,98,0,98,0,100,..,112,4,116,3,118,..,88,0,88,0,88,..,36,0,36,0,36,..,334,4,342,3,339,..,372,32,403,0,401,..,265
POA3011,..,59,23,84,0,84,..,758,340,1090,9,1103,..,70,15,89,0,90,..,69,0,71,4,74,..,77,0,77,6,82,..,238,87,326,0,325,..,167,18,195,0,192,..,130,18,145,0,145,..,172,20,188,0,188,..,257,13,267,0,266,..,70,5,73,5,73,..,43,0,43,0,46,..,125,6,131,3,140,..,19,0,21,0,21,..,989,75,1066,12,1072,..,192,49,242,0,243,..,102,7,114,0,114,..,18,4,24,0,24,..,29,5,41,0,42,..,134,61,197,9,204,..,21,0,20,0,20,..,22,9,31,0,31,..,38,8,43,0,43,..,38,8,48,0,48,..,24,0,23,0,23,..,19,0,19,0,19,..,58,32,90,0,90,..,75,3,75,0,75,..,84,10,92,0,95,..,110,4,112,0,115,..,48,0,48,0,50,..,317,12,331,6,331,..,326,53,378,8,381,..,41
POA3012,..,41,6,48,5,54,..,841,384,1229,13,1245,..,136,40,173,0,173,..,90,8,100,4,100,..,57,4,63,0,63,..,304,98,409,0,407,..,137,12,151,0,154,..,67,4,79,0,79,..,147,3,150,0,150,..,152,0,154,3,156,..,88,6,90,0,94,..,38,0,38,0,36,..,205,25,225,0,225,..,51,4,51,0,51,..,871,64,934,9,943,..,382,94,476,4,476,..,53,8,60,0,58,..,5,0,10,0,10,..,31,11,43,0,46,..,158,42,204,0,204,..,28,0,28,0,28,..,35,4,43,0,43,..,70,11,84,0,84,..,90,13,99,0,99,..,12,0,12,4,15,..,14,0,14,0,14,..,97,33,125,0,132,..,111,0,118,0,118,..,88,11,96,0,98,..,216,12,225,3,227,..,33,0,33,0,33,..,452,20,476,4,482,..,418,67,487,9,493,..,63
POA3013,..,13,12,18,0,18,..,226,65,293,4,293,..,49,6,61,0,61,..,50,0,46,0,54,..,62,0,63,0,65,..,483,161,645,0,652,..,24,5,23,0,26,..,4,0,4,0,4,..,36,0,35,0,33,..,34,0,34,0,34,..,17,0,20,0,20,..,6,0,6,0,6,..,8,0,8,0,8,..,14,0,14,0,14,..,133,5,144,0,146,..,204,47,244,0,247,..,39,4,44,5,48,..,0,0,0,0,0,..,9,4,10,0,16,..,133,58,194,0,194,..,6,0,6,0,6,..,7,0,8,0,8,..,51,4,52,0,52,..,28,0,28,0,28,..,18,0,19,0,19,..,0,0,0,0,0,..,56,11,72,0,72,..,6,0,6,0,6,..,23,0,18,0,18,..,35,0,35,0,35,..,3,0,3,0,3,..,67,0,68,0,68,..,176,20,196,3,197,..,22
POA3015,..,23,5,26,0,26,..,251,47,300,0,302,..,100,16,118,0,118,..,68,0,74,6,78,..,69,0,73,0,73,..,344,87,434,0,434,..,15,4,19,0,18,..,4,0,5,0,5,..,92,0,96,0,100,..,22,0,23,0,23,..,43,0,45,0,45,..,25,0,25,0,25,..,21,0,22,0,22,..,8,0,8,0,8,..,230,11,243,0,245,..,240,38,275,3,279,..,34,7,38,0,38,..,7,0,7,0,7,..,16,0,16,0,16,..,165,36,208,0,208,..,12,0,12,0,12,..,29,7,37,0,37,..,57,11,66,0,67,..,37,0,38,0,38,..,16,0,20,0,20,..,4,0,4,0,4,..,84,22,104,0,104,..,22,4,27,0,27,..,32,4,37,0,37,..,28,0,33,0,33,..,16,0,14,0,15,..,105,11,117,0,119,..,159,13,172,0,179,..,28
