POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA3000,1926,2613,4543,385,323,711,0,0,0,177,236,415,0,0,0,2205,2311,4520,8,14,25,154,119,272,5,12,9,7,12,22,24,27,53,17,21,38,116,118,236,117,174,286,191,196,383,5,8,11,11,12,25,159,163,326,486,687,1173,10,8,24,4098,4433,8523,1801,1417,3220,640,493,1133,37,33,75,0,3,0,99,86,184,114,107,220,213,192,407,10146,9897,20046,129,92,218,47,44,91,10325,10029,20355,2510,2326,4836,21548,21539,43084
POA3002,23,46,73,190,229,419,0,0,0,15,20,38,0,0,0,387,523,908,0,4,3,44,58,106,0,3,3,0,0,0,3,8,16,5,0,5,0,0,6,11,15,21,44,39,84,3,0,3,0,0,0,54,47,104,27,33,64,3,7,6,793,988,1778,16,20,37,23,21,48,20,14,30,0,0,0,0,3,3,4,7,13,4,8,19,1265,1233,2494,23,14,33,5,7,16,1293,1255,2547,181,194,374,2353,2545,4896
POA3003,169,246,414,90,95,193,0,0,0,23,35,58,0,0,0,529,537,1063,0,4,0,39,51,96,0,0,3,0,6,6,0,6,5,3,4,7,19,15,27,11,19,31,24,38,58,0,0,0,0,0,0,33,32,65,61,97,154,0,0,0,857,927,1788,260,214,469,130,112,239,9,14,24,0,0,0,14,12,20,19,21,40,34,32,65,2164,2092,4254,28,16,45,3,18,18,2195,2122,4320,437,260,703,4093,3926,8025
POA3004,160,217,376,307,370,676,0,0,0,38,42,82,0,0,0,926,1043,1968,3,4,7,115,109,225,3,11,19,0,3,6,14,14,31,16,6,18,27,33,55,35,46,82,70,61,129,0,0,0,3,0,5,71,108,174,121,126,245,0,6,8,1752,1988,3735,238,212,451,114,118,231,111,137,247,0,0,0,11,16,30,25,29,51,39,41,79,2541,2408,4944,37,30,62,8,27,32,2583,2461,5048,668,645,1312,5655,5827,11482
POA3006,503,714,1222,338,345,683,0,5,3,86,107,198,0,0,0,1663,1852,3513,3,3,10,154,177,327,9,5,12,15,14,23,21,24,43,14,15,20,51,55,106,118,138,264,93,104,199,0,4,4,11,9,17,99,121,218,290,326,609,0,3,7,2969,3304,6276,982,862,1840,420,358,776,37,35,78,0,0,0,72,47,117,53,68,119,127,110,236,5455,4900,10354,62,46,108,23,28,50,5543,4974,10514,919,847,1767,11499,11197,22699
POA3008,288,439,728,218,204,425,0,0,0,59,57,114,0,0,0,1014,1068,2084,0,10,13,134,140,272,9,9,12,0,3,8,16,18,34,8,15,24,29,34,61,46,47,92,61,73,131,0,0,5,5,7,9,73,67,138,139,198,337,0,5,5,1825,1945,3772,1120,893,2012,362,309,673,16,15,36,0,0,0,38,37,72,32,29,64,70,63,136,3434,2946,6379,30,19,46,13,9,23,3474,2971,6451,865,825,1692,8037,7458,15495
POA3011,729,914,1639,274,288,560,0,0,0,63,82,138,0,0,0,1502,1557,3062,13,11,20,342,370,710,11,18,28,8,3,15,17,19,38,33,38,73,33,37,71,43,55,104,55,62,124,0,0,6,16,13,34,67,69,137,228,243,468,6,3,8,2725,2869,5595,523,337,856,493,364,861,24,23,43,0,0,0,27,30,56,34,51,89,63,81,142,5653,5415,11068,83,61,146,31,34,65,5766,5506,11273,1040,821,1864,11361,10913,22278
POA3012,878,1106,1984,322,426,747,0,0,0,108,99,210,0,0,0,2470,2795,5266,16,23,41,476,501,977,15,11,24,17,22,43,14,32,42,60,50,108,46,63,110,69,91,153,89,102,189,3,9,7,13,12,30,95,141,236,307,328,640,6,4,14,4127,4710,8837,571,293,870,736,504,1240,7,11,23,0,0,0,32,35,72,36,38,75,75,71,144,6061,5760,11826,72,55,122,18,42,60,6149,5857,12005,1051,863,1911,13593,13423,27023
POA3013,150,250,403,275,380,652,0,0,0,36,45,83,0,0,0,1314,1573,2890,4,6,11,498,585,1083,5,6,7,0,0,0,12,17,28,7,15,20,29,23,51,16,18,35,31,44,73,5,4,7,7,9,15,87,105,189,125,145,267,8,3,8,2453,2973,5422,82,50,130,125,100,226,12,13,31,0,0,0,10,5,12,22,29,55,33,36,66,4242,4218,8455,49,24,74,10,14,26,4306,4255,8561,438,362,795,7603,8038,15636
POA3015,95,168,264,399,521,913,0,0,0,39,54,94,0,0,0,1993,2345,4334,8,7,9,479,535,1020,19,22,41,7,9,13,22,42,59,11,10,18,14,19,33,36,34,73,56,82,140,4,7,12,0,0,0,108,158,263,204,208,409,8,4,6,3409,4051,7456,139,107,245,310,288,592,21,22,41,0,0,0,21,19,38,27,32,58,42,52,97,4579,4328,8912,53,38,88,14,15,32,4648,4386,9036,486,431,914,9144,9492,18634
