POA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA3000,87,90,182,185,178,363,21,12,33,29,29,60,235,216,451,156,149,302,10,17,21,43,52,93,208,215,420,338,360,702,520,771,1286,128,128,262,418,599,1016,0,0,5,1405,1866,3268,2871,3529,6405,1199,1244,2448,145,190,337,336,373,712,7,12,18,4567,5348,9922,5978,7219,13202,364,470,832,399,473,872,4,4,9,767,947,1714,2100,1936,4035,9373,10621,20000
POA3002,19,21,41,27,23,53,3,9,13,19,31,44,51,60,112,15,9,21,5,7,11,32,29,63,48,47,99,0,6,4,11,9,24,0,6,6,22,18,37,0,0,0,35,36,71,66,76,144,28,59,85,10,16,26,42,84,129,0,0,3,149,229,381,187,268,455,5,0,9,11,24,33,0,0,0,16,26,43,129,140,267,453,562,1013
POA3003,35,36,70,95,79,176,8,9,14,14,10,30,110,102,216,68,69,145,10,17,25,14,11,32,96,106,200,31,36,66,63,90,155,16,9,28,79,97,174,0,0,0,188,241,422,240,312,549,186,175,364,23,25,48,103,97,198,0,0,5,557,603,1163,741,848,1591,43,50,92,62,75,133,0,0,0,106,122,227,372,194,567,1467,1412,2875
POA3004,58,60,121,95,97,192,11,7,21,32,32,65,140,142,286,48,46,95,12,12,23,47,44,93,107,107,212,27,17,43,42,73,113,8,7,17,71,87,160,0,0,0,141,191,327,118,159,283,121,142,268,25,27,46,93,134,219,0,0,0,351,455,813,497,648,1142,19,27,50,46,57,110,0,0,0,71,89,154,532,521,1054,1398,1571,2969
POA3006,101,78,180,161,162,324,25,23,50,43,32,72,228,219,447,78,87,161,11,16,24,28,32,58,119,131,250,67,100,166,197,231,426,57,43,100,234,295,523,0,3,3,549,665,1213,616,709,1327,431,466,898,60,74,135,248,255,503,3,0,4,1355,1509,2867,1911,2181,4090,100,139,244,152,199,353,0,0,4,253,343,600,641,613,1257,3259,3561,6818
POA3008,88,85,175,156,115,277,16,12,26,16,23,39,192,148,338,51,52,102,6,10,19,29,28,59,86,88,177,39,42,83,85,142,222,26,28,58,115,156,275,0,0,0,268,361,631,375,399,772,275,270,542,34,44,70,127,129,256,0,0,3,805,842,1652,1076,1210,2286,60,78,143,62,119,185,0,0,0,129,193,321,683,663,1355,2261,2389,4653
POA3011,192,177,372,488,430,923,78,77,154,11,18,31,581,524,1109,242,223,466,49,43,90,29,29,60,325,293,621,73,57,130,118,141,263,38,34,69,154,153,313,0,0,0,383,393,772,352,394,745,300,326,626,64,51,113,217,322,537,0,5,3,929,1091,2023,1315,1482,2795,84,73,161,92,130,216,4,0,8,176,205,381,795,631,1422,3383,3316,6701
POA3012,322,333,653,801,677,1480,213,197,416,23,35,59,1040,912,1950,457,411,865,148,151,292,55,55,107,649,612,1260,58,56,111,135,113,247,46,31,77,136,186,318,0,0,3,370,382,758,309,335,641,241,242,484,37,43,72,156,269,424,0,0,0,739,883,1626,1106,1274,2380,103,64,163,98,120,218,3,0,3,203,185,384,852,725,1571,4173,4034,8205
POA3013,218,191,408,573,573,1143,63,63,127,26,29,57,663,662,1329,252,239,496,121,139,259,75,75,154,444,457,898,22,16,39,36,40,73,18,11,27,69,75,147,0,0,0,144,136,286,158,204,360,81,103,184,31,28,57,112,186,295,0,0,0,379,522,903,533,656,1190,22,15,31,41,53,94,0,0,0,62,68,129,274,258,537,2191,2307,4492
POA3015,298,301,600,633,620,1255,198,202,405,65,46,112,897,877,1775,284,282,568,190,201,391,79,93,173,554,579,1134,21,19,43,24,39,62,53,11,63,72,91,166,0,0,4,176,165,339,187,208,392,59,97,158,21,26,43,131,204,337,3,0,5,400,529,933,575,700,1271,18,25,44,64,64,131,0,0,0,87,94,177,337,324,657,2753,2866,5618
