POA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3000,84,842,1518,336,93,76,41,19,9,3023,50,925,1804,462,158,91,72,21,7,3585,27,827,2187,569,178,147,53,15,0,4017,9,389,1508,424,163,82,37,10,3,2628,7,171,1171,452,149,96,30,11,0,2091,0,85,781,370,140,67,23,5,0,1472,9,104,1180,820,328,168,55,18,6,2680,5,21,204,213,99,67,14,0,0,636,3,26,227,321,211,153,61,24,3,1019,170,938,1708,640,309,204,102,42,16,4128,1726,10827,17665,5909,2466,1688,956,323,73,41625
POA3002,5,22,52,28,19,27,43,12,10,233,0,20,80,34,9,27,37,30,6,239,0,33,114,45,29,51,54,26,3,363,0,14,145,58,25,39,49,15,9,358,0,17,149,54,40,48,43,15,6,378,0,11,96,56,37,38,28,15,0,286,0,5,221,153,92,95,58,30,5,653,0,3,48,54,34,22,22,18,4,213,0,3,46,140,134,161,98,61,11,660,8,13,53,57,45,35,54,31,29,332,92,275,1144,786,552,663,651,324,119,4609
POA3003,3,107,240,62,24,20,13,5,0,481,5,104,336,66,43,28,21,7,0,607,0,100,407,102,39,39,21,6,0,719,0,56,357,107,30,26,7,6,0,592,0,34,320,131,46,21,14,3,0,566,0,7,203,120,45,25,6,0,0,399,0,20,332,259,123,57,10,3,0,811,0,0,45,66,41,12,6,0,0,176,0,0,43,105,111,48,11,3,0,321,15,93,237,133,68,33,26,3,0,605,227,1098,3248,1377,697,435,245,91,15,7440
POA3004,3,57,149,67,32,44,65,44,3,477,11,77,264,101,55,66,74,49,12,699,0,98,417,157,76,71,97,46,12,972,0,48,430,188,86,66,54,39,8,921,0,25,401,174,96,69,56,32,7,863,0,11,282,180,81,46,59,27,8,700,0,16,433,435,199,144,94,38,11,1366,0,0,76,135,69,46,33,11,0,378,0,6,85,238,169,178,130,56,14,871,18,60,338,179,126,103,94,108,119,1158,205,711,3363,2155,1224,1071,1042,659,242,10672
POA3006,22,292,675,139,47,56,61,12,3,1308,12,312,896,249,83,71,61,17,3,1709,8,309,1322,379,146,95,52,29,4,2338,7,193,1110,375,104,81,44,18,5,1928,4,95,946,374,130,87,41,19,4,1701,0,49,629,356,140,80,39,10,0,1304,0,30,1158,854,317,168,61,24,3,2609,0,0,163,247,112,58,28,6,0,618,0,15,174,377,260,182,73,29,4,1103,19,150,580,280,123,83,63,28,4,1333,458,2861,9434,4225,1748,1322,868,358,65,21338
POA3008,6,140,334,105,39,66,39,18,9,743,5,144,504,126,87,55,59,19,0,990,4,172,699,242,97,79,59,14,3,1367,0,94,656,216,75,69,27,13,3,1149,0,36,571,237,109,68,31,4,0,1061,0,20,397,228,89,86,27,10,0,861,0,28,725,623,228,151,58,5,0,1823,0,10,146,158,82,47,13,10,0,451,0,8,125,229,203,140,46,7,3,752,11,139,606,266,118,112,68,21,0,1349,248,1564,6036,2891,1397,1204,695,207,42,14283
POA3011,17,212,489,207,127,118,74,17,15,1268,6,189,606,277,173,138,53,18,0,1476,4,134,705,368,213,166,71,14,5,1674,3,76,668,371,190,120,36,7,0,1469,0,22,593,380,193,128,31,4,5,1343,0,13,456,361,206,101,16,0,0,1149,0,9,676,786,371,223,27,4,0,2097,0,0,126,209,99,43,3,0,0,484,0,0,115,281,175,54,12,3,0,653,40,132,472,249,174,137,106,116,110,1535,624,1681,6195,4188,2538,1993,1240,703,390,19546
POA3012,16,184,428,213,184,149,118,33,21,1348,10,181,637,327,240,189,77,23,10,1683,3,149,789,479,297,230,74,9,3,2051,0,80,688,468,258,162,41,4,0,1705,0,31,598,473,323,158,33,10,0,1627,0,10,445,454,261,136,16,5,0,1318,0,16,655,901,546,186,22,0,0,2322,0,0,119,249,128,51,8,0,0,553,0,0,89,310,216,62,6,0,0,684,67,111,441,285,193,159,115,89,66,1520,1068,1562,6061,4963,3452,2469,1525,873,479,22444
POA3013,12,79,143,96,114,100,69,25,10,657,3,78,230,125,112,122,66,22,12,763,0,63,301,166,184,145,53,8,5,928,4,43,313,204,163,152,31,9,0,915,0,26,317,241,187,132,34,6,3,954,0,7,205,263,201,116,20,3,6,815,0,4,410,662,482,214,29,5,4,1801,0,0,92,232,147,54,9,3,0,536,0,4,94,442,361,86,17,4,0,1006,30,27,121,97,86,76,40,39,52,571,682,727,2654,2901,2386,1611,870,511,300,12644
POA3015,13,81,129,107,106,136,116,35,16,740,3,91,223,166,152,164,69,21,8,903,8,73,264,202,228,161,66,20,9,1031,0,45,276,270,191,145,47,9,4,998,0,24,290,304,228,163,36,5,5,1050,0,10,221,294,215,147,27,0,6,910,0,11,405,817,609,274,37,6,0,2145,0,4,103,263,197,93,13,0,0,665,0,9,81,494,387,144,13,0,4,1136,34,41,112,135,114,72,77,66,96,741,877,793,2472,3486,2860,2053,1180,589,320,14620
