POA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
POA3000,0,3,5,6,6,4,0,3,4,41,0,3,0,4,9,7,12,4,0,39,8,606,542,219,93,70,33,10,0,1576,0,5,7,0,4,3,6,10,4,34,18,227,326,177,76,90,52,20,7,993,600,5230,6868,1863,755,456,234,48,12,16054,87,594,842,310,132,100,52,12,5,2124,725,6772,8779,2670,1133,822,473,136,36,21539,0,45,88,78,77,132,134,76,18,663,36,537,751,347,162,99,66,16,4,2018,0,14,25,37,44,78,68,42,10,312,0,0,3,0,3,0,4,17,3,35,0,31,69,93,92,110,103,29,9,529,0,9,32,26,34,62,75,43,20,310,0,8,17,13,12,21,17,10,8,106,0,9,8,14,17,25,26,8,0,104,11,892,967,452,203,128,59,23,4,2743,0,3,10,6,13,19,25,11,0,89,38,371,548,361,184,171,108,41,12,1834,1221,9860,13845,4099,1549,893,435,114,18,32028
POA3002,0,0,5,0,5,8,0,3,3,23,0,0,5,0,0,5,5,6,5,26,3,34,118,51,24,27,24,6,5,284,0,0,4,0,0,0,4,7,5,19,3,18,57,29,22,32,42,21,30,253,122,128,373,253,184,206,155,46,10,1472,7,18,35,34,24,19,31,7,3,189,143,203,577,386,297,351,349,150,84,2545,0,0,17,19,30,73,122,81,31,377,16,26,114,71,32,47,39,22,7,376,0,0,7,7,16,40,66,51,14,192,0,0,0,0,0,0,3,18,25,52,0,0,0,4,9,22,41,24,4,115,0,0,0,0,5,31,56,56,25,177,0,0,5,0,8,11,8,9,4,41,0,0,3,0,3,6,11,13,11,43,4,51,161,94,42,46,33,14,5,458,0,0,4,0,0,6,16,8,8,40,12,29,79,54,40,53,73,42,39,422,249,241,780,511,351,386,278,99,12,2921
POA3003,0,0,0,0,3,3,0,0,0,14,0,0,0,0,4,6,0,0,0,15,7,133,177,58,39,16,3,3,0,430,0,0,0,0,0,0,0,3,0,11,9,33,91,51,39,24,20,17,0,288,255,473,1184,454,184,122,53,11,5,2741,22,53,98,30,26,16,20,0,0,265,302,694,1588,617,329,209,125,47,12,3926,5,0,17,18,38,35,41,22,3,177,18,90,209,97,64,27,13,5,0,526,3,0,7,11,12,19,20,12,0,91,0,0,0,0,0,3,0,0,0,7,0,0,21,20,21,25,22,12,5,125,0,6,8,0,10,27,29,19,6,105,0,0,9,5,7,4,3,4,6,36,5,0,3,0,3,3,0,5,0,28,9,171,274,102,66,33,8,5,0,679,0,0,0,3,4,4,0,7,4,18,19,54,136,96,75,53,35,21,0,489,504,956,2436,963,405,234,97,21,7,5618
POA3004,0,0,0,3,3,0,3,7,5,18,0,0,0,5,0,9,11,18,0,45,3,59,186,87,64,37,30,14,13,487,0,0,0,0,0,0,6,3,6,13,10,27,97,76,60,68,69,36,19,458,361,330,1244,696,353,313,261,97,21,3673,31,45,198,93,53,59,49,45,50,621,417,463,1789,1004,596,562,551,316,136,5827,0,3,21,43,46,83,155,157,45,559,37,60,228,155,96,61,73,49,18,775,0,3,25,13,40,50,93,73,28,317,0,0,0,0,4,0,6,14,19,41,0,0,13,28,26,53,77,69,20,281,0,0,3,11,16,48,116,97,35,323,0,0,0,7,5,3,14,10,8,45,0,0,3,8,9,12,20,31,7,93,3,93,273,184,121,69,51,30,13,838,0,0,0,0,3,5,14,17,13,54,24,46,150,154,106,114,113,85,31,830,695,665,2413,1493,745,577,458,205,35,7300
POA3006,0,0,7,4,6,4,6,0,0,20,0,0,4,7,3,12,11,13,0,46,8,231,379,160,48,42,20,5,0,900,0,0,6,7,4,3,6,4,0,26,12,101,237,123,56,68,59,22,0,683,574,1282,3624,1395,571,375,205,64,11,8103,52,119,295,132,68,52,41,16,0,789,659,1773,4696,1905,841,675,451,176,26,11197,0,11,66,48,79,124,115,71,19,536,23,227,550,272,111,74,51,20,3,1338,0,8,24,27,32,60,73,56,11,291,0,0,0,0,0,0,12,11,3,27,0,10,52,60,66,61,84,44,11,389,4,4,19,25,33,59,85,58,13,297,0,4,9,11,8,10,9,8,5,71,4,3,11,7,5,17,22,14,3,94,16,344,629,314,110,76,44,19,0,1548,0,4,8,8,9,6,11,11,4,54,34,155,386,237,136,129,104,48,7,1235,1173,2490,7400,3103,1166,738,385,116,17,16592
POA3008,0,0,8,5,0,3,9,0,0,25,0,4,6,3,5,3,5,4,5,26,3,91,151,65,64,38,18,4,0,431,0,0,0,0,3,5,5,7,5,20,8,40,110,69,55,60,50,19,0,418,500,694,2293,930,424,314,146,40,5,5350,57,79,303,137,65,79,32,13,6,776,585,922,2952,1290,664,600,322,104,26,7458,0,0,22,29,52,111,107,38,11,373,28,87,244,143,70,48,35,18,6,677,0,0,13,22,35,55,67,22,8,219,0,0,0,0,0,0,3,0,5,11,0,4,31,57,44,71,64,18,3,303,0,4,18,15,25,66,62,26,11,234,0,4,9,11,6,11,12,3,0,56,3,4,9,6,10,13,18,7,5,69,6,137,251,153,109,70,31,5,0,752,0,0,0,10,0,12,17,3,8,52,25,67,190,154,114,139,78,25,3,807,1051,1392,4756,2115,910,651,306,83,10,11280
POA3011,3,0,6,6,7,13,7,11,8,62,3,0,7,5,13,29,32,15,7,105,24,258,644,294,189,131,61,50,11,1661,0,0,0,3,7,12,16,17,3,61,42,76,289,182,153,139,89,75,59,1111,1096,690,1852,1265,667,450,198,73,19,6303,96,88,235,132,108,73,46,43,40,858,1318,1119,3089,1978,1235,977,570,387,239,10913,5,11,71,109,149,222,242,207,134,1147,154,216,583,409,237,179,100,45,29,1957,5,4,25,29,73,86,66,56,16,362,0,0,0,0,3,14,33,59,89,200,3,12,44,78,86,170,182,147,69,791,0,4,20,26,52,106,121,101,61,487,3,3,14,10,21,33,33,29,20,157,3,0,7,6,15,50,65,35,14,208,39,370,990,540,362,245,139,81,26,2792,0,0,0,8,16,25,39,29,14,136,108,121,447,330,272,255,207,152,106,1996,2245,1518,4010,2684,1426,935,390,134,35,13379
POA3012,0,0,4,7,16,12,16,18,21,102,5,5,9,3,6,29,34,34,13,140,37,197,491,326,214,177,107,38,22,1609,0,0,0,4,3,17,18,15,16,67,75,64,222,219,171,186,129,92,80,1240,1812,840,1834,1583,1064,550,275,105,34,8096,147,116,234,166,118,85,50,36,25,978,2169,1285,2908,2479,1729,1241,826,488,300,13423,0,8,68,110,191,319,323,264,146,1420,298,225,600,478,297,223,147,80,29,2363,0,0,27,53,86,120,92,80,41,504,0,0,0,3,0,9,22,68,104,208,4,23,47,84,141,260,289,186,108,1145,7,0,10,19,54,132,140,158,93,615,6,4,8,10,30,43,46,35,27,218,8,5,15,12,17,68,66,57,29,269,77,295,755,544,387,293,165,69,29,2606,0,0,3,4,13,31,40,39,37,171,177,119,359,369,317,328,223,143,110,2140,3724,1828,4085,3292,2080,1157,554,200,73,16992
POA3013,0,0,8,3,3,10,9,7,16,59,5,0,0,0,9,20,20,9,12,69,35,142,288,233,131,97,58,30,16,1022,0,0,0,0,4,6,12,14,17,57,45,48,133,135,130,93,69,51,52,745,1224,434,848,936,762,424,158,71,31,4895,86,38,82,79,64,49,20,15,11,443,1468,703,1380,1492,1219,836,450,297,184,8038,4,8,31,73,126,190,193,163,100,887,202,140,288,312,214,146,78,42,29,1450,3,4,20,40,57,80,67,51,36,353,0,0,0,0,0,5,5,22,38,66,0,4,17,37,71,110,124,122,45,528,4,4,12,12,29,77,82,75,80,371,3,4,6,3,11,19,22,17,21,110,7,0,0,0,13,29,38,21,22,131,53,215,437,366,255,154,75,41,21,1608,0,0,3,0,11,14,28,40,20,115,97,89,206,209,213,171,116,75,68,1254,2484,929,1708,1924,1499,831,332,122,52,9882
POA3015,4,0,0,3,17,12,15,10,16,70,0,0,0,0,6,14,23,19,5,81,41,146,219,167,176,101,64,41,19,977,0,0,0,4,11,9,9,15,16,71,67,41,104,121,153,124,89,46,34,775,1669,530,816,1274,905,510,231,71,27,6037,104,48,84,99,88,59,25,20,16,536,1966,804,1284,1814,1482,1018,619,309,198,9492,0,8,27,65,162,266,262,182,108,1086,250,163,250,338,251,146,98,27,21,1543,0,3,10,30,67,105,94,49,29,382,0,0,0,0,3,7,12,32,67,121,6,11,23,39,82,141,140,120,46,602,4,0,0,15,43,95,127,112,67,478,3,0,0,6,23,27,25,16,20,127,4,0,0,6,22,31,47,36,11,162,82,215,344,313,303,177,91,57,29,1607,0,0,0,7,19,19,37,35,27,143,141,88,164,227,252,243,146,91,59,1401,3364,1146,1644,2417,1790,1076,449,152,47,12077
POA3016,0,3,0,3,0,5,14,24,12,61,0,0,0,0,3,17,40,30,7,99,23,118,134,117,121,101,79,30,12,732,0,0,0,0,0,9,7,13,11,43,37,51,43,70,129,130,122,74,35,689,1128,563,426,713,957,729,346,111,35,4994,69,62,57,59,77,68,65,35,14,504,1327,852,689,1035,1420,1278,906,435,191,8141,0,4,17,48,134,297,406,249,106,1257,187,171,139,189,203,173,146,62,19,1301,6,3,7,10,63,111,170,96,33,505,0,0,0,0,0,12,13,33,30,83,5,13,7,21,42,119,183,114,40,551,3,0,3,9,41,104,201,158,85,604,0,3,0,6,7,16,31,36,19,123,0,0,0,7,7,34,65,59,15,192,50,189,195,174,219,190,144,48,18,1225,0,0,0,5,5,23,31,37,22,124,119,89,72,112,196,244,235,130,49,1243,2330,1354,848,1351,1809,1456,710,215,55,10128
