POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3000,1457,12552,17665,5909,2466,1688,956,323,73,43084
POA3002,289,368,1144,786,552,663,651,324,119,4896
POA3003,589,1325,3248,1377,697,435,245,91,15,8025
POA3004,809,920,3363,2155,1224,1071,1042,659,242,11482
POA3006,1360,3321,9434,4225,1748,1322,868,358,65,22699
POA3008,1208,1813,6036,2891,1397,1204,695,207,42,15495
POA3011,2729,2305,6195,4188,2538,1993,1240,703,390,22278
POA3012,4580,2626,6061,4963,3452,2469,1525,873,479,27023
POA3013,2994,1416,2654,2901,2386,1611,870,511,300,15636
POA3015,4017,1672,2472,3486,2860,2053,1180,589,320,18634
POA3016,2808,1899,1297,1921,2658,2516,1796,821,303,16025
POA3018,2383,1104,1569,2238,2016,1602,1370,887,398,13556
POA3019,1508,1254,2222,1416,1098,985,789,287,116,9682
POA3020,7254,5278,8090,6370,5356,4759,3766,2442,1058,44372
POA3021,9354,6989,9237,7167,6386,6214,5672,2997,1087,55112
POA3022,542,285,605,546,398,276,257,150,107,3170
POA3023,14273,9066,9573,11292,9577,6340,4479,1968,575,67146
POA3024,9180,4089,6238,6714,3404,2295,1421,515,149,34004
POA3025,2624,1153,2047,2077,1508,1035,962,999,561,12962
POA3026,2441,1059,1181,1811,1132,678,324,117,16,8770
POA3027,2297,1124,1965,2199,969,532,300,52,12,9448
POA3028,4824,3031,4471,4232,3642,3673,2628,1196,496,28191
POA3029,33996,15302,24770,25580,12319,9079,5903,2408,541,129888
POA3030,28862,13563,18359,22767,14671,9998,6759,3076,1147,119201
POA3031,2564,1905,4272,3275,2199,1622,1181,511,241,17772
POA3032,4585,3483,6047,4968,4028,3220,2208,976,354,29874
POA3033,2640,1614,1642,1950,2139,1651,1479,1451,514,15078
POA3034,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
POA3036,952,722,560,643,817,843,746,476,224,5974
POA3037,10290,7575,6622,7489,7932,5816,3520,1591,569,51402
POA3038,3874,3620,3127,2795,3749,4470,3188,1434,449,26703
POA3039,2250,1830,3138,2423,2130,1936,1361,752,415,16224
POA3040,4094,3687,3835,3598,3950,3393,2332,1195,655,26722
POA3041,2337,1754,1468,1790,2008,1602,1255,601,304,13111
POA3042,2895,1711,2288,2474,2305,1889,1605,1101,501,16763
POA3043,2995,1864,2572,2460,2199,2027,2061,1357,381,17912
POA3044,5108,3132,4833,4709,3900,2965,1847,1221,987,28701
POA3045,10,16,8,8,12,11,4,0,0,64
POA3046,6470,4269,7631,5814,3961,3363,2239,1829,1211,36772
POA3047,4612,3004,3932,2952,2293,2144,1329,889,327,21478
POA3048,3820,2605,2718,2265,2180,2133,1385,757,213,18081
POA3049,1653,1208,1329,1265,1330,1368,1004,488,159,9812
POA3051,1733,2767,4283,2355,1472,1105,779,333,126,14953
POA3052,487,2765,1696,760,446,400,342,245,155,7297
POA3053,859,4907,5417,1736,963,809,684,447,217,16034
POA3054,896,1104,2148,1112,858,809,732,391,141,8186
POA3055,1882,1761,3734,2507,1748,1332,927,580,289,14746
POA3056,2553,2995,7280,4432,2788,2086,1426,922,440,24912
POA3057,1252,1434,4445,2654,1399,932,597,372,173,13262
POA3058,5528,3830,6388,5860,4852,3473,2376,1624,963,34906
POA3059,4519,2897,3128,3056,2857,2574,1545,568,120,21274
POA3060,3027,1728,2371,2136,1501,1260,911,805,534,14274
POA3061,996,590,693,626,594,520,479,365,113,4977
POA3062,0,0,0,0,4,0,0,0,0,6
POA3063,82,97,40,53,102,92,55,32,7,563
POA3064,29534,15210,21003,19925,12262,9204,4897,1849,539,114413
POA3065,1067,994,3072,1841,1197,1108,697,324,135,10431
POA3066,898,847,3348,1752,1030,661,394,189,67,9179
POA3067,733,859,3278,1785,888,692,508,249,97,9096
POA3068,2616,1796,4582,3099,2373,1946,1658,922,385,19382
POA3070,3787,2521,5164,4021,3830,2629,1682,1111,528,25276
POA3071,2806,1860,3851,3370,2685,1856,1233,852,495,19005
POA3072,5058,3444,6682,5931,4742,3410,2294,1484,740,33790
POA3073,7958,5233,9460,8024,6424,5178,4003,3075,1753,51096
POA3074,3153,2330,3221,2679,2222,2219,2269,1599,543,20234
POA3075,4265,2757,3495,3361,2759,2308,2122,1534,630,23219
POA3076,6970,4042,5240,5404,4067,3570,2465,1172,567,33489
POA3078,1882,1347,2149,1921,1741,1519,987,477,215,12237
POA3079,2603,2117,2216,2315,2371,2293,1757,906,464,17055
POA3081,2356,1610,2890,2120,1601,1625,1068,487,245,14003
POA3082,4439,3647,4165,3668,3752,4461,2946,1212,417,28712
POA3083,4482,4936,5214,3901,4030,3456,2736,1963,812,31529
POA3084,4936,2902,3020,3867,3732,3180,2586,1864,952,27045
POA3085,2587,1671,1775,2036,1999,1468,1295,768,453,14050
POA3087,1690,904,1292,1399,1194,1012,884,580,201,9156
POA3088,5047,2796,2908,4050,3715,3266,3038,1693,670,27181
