POA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
POA3000,202,32,200,74,4,502,555,1947,272,9,474,259,88,76,2537,56,1627,31728,510,38422,0,6,9,0,8,3,0,0,8,0,7,230,3903,4162,663,2018,312,35,529,310,106,104,2743,89,1834,32028,4416,43084,6,6,0,0,0,0,0,0,5,0,3,46,4,64,23,10,11,0,21,12,5,3,42,10,18,117,4,196,25,17,12,0,21,12,5,3,39,10,18,163,8,256,633,1952,299,27,505,292,97,98,2678,80,1772,30399,472,37307,3,14,0,0,4,3,0,0,10,0,9,243,3780,4064,663,1983,312,35,525,308,106,99,2730,90,1794,30811,4258,41625
POA3002,47,11,83,7,3,187,324,354,177,12,94,141,38,34,412,32,331,2889,108,4413,0,4,3,6,0,3,0,0,0,0,0,23,259,292,377,376,192,52,115,177,41,43,458,40,422,2921,369,4896,0,0,0,0,0,0,0,0,0,0,0,13,0,13,17,0,14,0,12,18,6,0,3,4,14,35,0,90,17,0,14,0,12,18,6,0,3,4,14,48,0,98,349,353,179,51,97,158,37,46,448,34,387,2616,101,4238,6,0,0,0,4,6,0,0,0,0,4,11,248,270,369,361,193,52,109,176,39,46,454,41,404,2672,348,4609
POA3003,41,7,52,20,0,127,154,504,81,0,117,87,33,19,634,8,436,5575,126,7309,0,0,0,0,0,0,0,0,0,0,5,23,556,592,177,526,91,7,125,105,36,28,679,18,489,5618,686,8025,0,4,0,0,0,0,0,0,0,0,3,8,0,13,8,5,9,0,6,3,0,0,9,0,6,33,5,60,10,6,9,0,6,3,0,0,9,0,8,37,5,71,166,495,86,7,120,98,33,30,659,17,459,5035,117,6782,0,0,0,0,0,0,0,0,0,0,0,39,537,579,180,502,89,7,125,103,39,31,664,20,471,5111,652,7440
POA3004,92,19,123,41,4,326,486,728,266,13,247,262,34,69,741,34,699,7226,219,10085,3,4,4,0,3,0,0,0,4,0,10,36,1018,1072,559,775,317,41,281,323,45,93,838,54,830,7300,1247,11482,6,0,0,0,0,0,0,0,8,0,8,41,0,50,25,10,17,4,15,19,0,0,19,5,25,74,7,156,27,10,17,4,20,24,0,0,26,5,32,109,3,210,527,727,297,36,258,294,45,90,808,52,769,6456,206,9430,7,4,4,0,5,3,0,0,3,0,3,34,977,1032,559,741,317,41,281,319,45,95,830,55,801,6601,1194,10672
POA3006,94,20,136,38,0,310,473,1300,242,9,345,255,58,71,1450,36,1090,16455,347,21010,3,5,0,0,0,0,0,0,6,0,9,100,1255,1376,536,1338,291,27,389,297,71,94,1548,54,1235,16592,1602,22699,3,4,0,0,0,0,0,0,0,0,3,55,0,69,14,13,20,0,6,17,4,3,23,0,23,86,8,173,14,13,20,0,6,17,4,5,25,0,31,142,5,239,521,1295,266,24,383,273,65,80,1510,48,1171,15180,325,19829,0,3,5,0,0,3,0,4,8,0,3,93,1157,1270,540,1311,290,27,387,290,71,90,1537,54,1201,15420,1491,21338
POA3008,56,16,102,22,0,213,325,645,192,0,273,201,43,54,696,35,692,11179,209,13851,4,4,0,0,0,0,0,0,0,0,4,75,1347,1432,373,677,219,11,303,234,56,69,752,52,807,11280,1550,15495,4,0,0,0,0,0,0,0,0,0,0,24,0,31,17,7,12,0,17,20,0,3,22,5,28,71,7,146,21,5,12,0,17,20,0,3,25,5,28,97,5,175,349,641,205,9,286,209,49,67,723,48,750,10080,186,12791,0,0,0,0,0,0,0,0,0,0,0,56,1259,1316,373,650,217,11,303,225,55,67,749,52,780,10227,1456,14283
POA3011,419,82,532,100,17,1325,744,1795,266,7,538,314,91,113,2363,59,1455,13190,514,19483,17,5,3,3,6,4,0,0,11,0,10,91,1336,1470,1147,1957,362,200,791,487,157,208,2792,136,1996,13379,1875,22278,0,5,0,0,0,0,0,0,0,0,0,16,0,22,25,11,12,5,12,16,9,8,27,3,25,107,0,188,21,17,12,5,12,16,9,8,27,3,30,124,6,214,1099,1774,342,182,769,459,146,190,2717,133,1850,10932,455,17989,20,10,0,13,4,11,0,4,9,0,13,79,1224,1349,1136,1803,354,194,789,487,158,200,2754,136,1888,11135,1685,19546
POA3012,428,105,521,181,22,1530,995,2145,373,70,816,373,130,148,2164,63,1613,16687,724,23955,17,14,4,0,17,5,0,5,11,7,9,125,1363,1540,1420,2363,504,208,1145,615,218,269,2606,171,2140,16992,2105,27023,3,4,0,0,0,0,0,0,0,0,0,21,0,26,32,20,11,0,27,22,4,9,25,0,25,105,3,207,30,26,11,0,27,22,4,9,25,0,29,123,0,232,1364,2036,486,125,1073,577,201,249,2488,169,1873,13045,592,20785,22,14,0,77,48,6,0,5,17,3,66,108,1177,1423,1420,2073,504,208,1144,605,211,261,2533,168,1970,13271,1773,22444
POA3013,197,57,247,83,13,709,662,1363,268,10,386,250,79,86,1401,59,999,9752,393,14323,13,13,0,0,6,0,6,0,9,0,10,53,504,600,887,1450,353,66,528,371,110,131,1608,115,1254,9882,909,15636,0,0,0,0,0,0,0,0,0,0,0,27,0,28,29,11,10,0,19,16,5,3,26,4,20,73,3,164,32,10,10,0,19,21,5,3,26,4,20,104,6,198,843,1232,330,70,507,346,99,118,1526,113,1131,7274,311,11985,10,6,5,0,0,3,0,0,3,0,3,22,417,466,883,1251,347,66,528,367,109,129,1555,115,1155,7400,733,12644
POA3015,195,75,302,80,23,816,842,1453,315,11,452,360,88,118,1407,64,1091,11914,495,17120,7,15,0,0,3,5,0,0,7,0,4,84,581,698,1086,1543,382,121,602,478,127,162,1607,143,1401,12077,1097,18634,6,3,0,0,0,0,0,0,0,0,5,34,0,47,37,16,14,0,14,18,8,7,27,7,28,128,14,251,36,21,14,0,14,27,3,7,26,7,30,169,14,299,1050,1271,362,97,573,441,117,149,1495,128,1202,8518,395,13751,8,6,3,22,5,6,0,0,4,11,24,28,478,566,1087,1297,383,121,596,468,124,157,1528,143,1258,8715,886,14620
