POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA3000,5,16,0,5,0,0,0,0,29,3,10,6,0,3,0,0,0,19,5,38,24,30,26,29,13,9,169,15,65,23,37,27,29,13,9,217,5225,7956,2859,1107,721,415,150,18,18457,539,865,357,188,114,44,26,8,2135,5778,8888,3240,1333,867,482,183,40,20810,5,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,5,0,4,9,8,3,0,30,15,7,0,4,6,8,3,0,38,6205,7944,2388,1018,720,423,121,30,18847,555,833,273,110,93,44,9,8,1931,6772,8779,2670,1133,822,473,136,36,20817,11,22,3,5,0,0,0,0,40,3,10,6,0,4,0,0,0,22,12,41,25,33,34,29,9,9,196,27,71,31,41,39,29,9,9,256,11429,15894,5250,2128,1450,841,272,53,37307,1092,1698,635,303,207,90,35,12,4064,12552,17665,5909,2466,1688,956,323,73,41625
POA3002,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,9,8,33,18,11,85,4,0,7,11,14,33,18,11,94,155,535,366,224,287,244,145,27,1979,8,29,23,24,14,22,14,0,132,166,565,397,255,308,299,172,39,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,192,555,357,272,334,325,147,78,2265,13,25,33,22,12,28,5,3,135,203,577,386,297,351,349,150,84,2401,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,3,9,11,33,18,14,90,4,3,4,11,15,33,18,14,98,346,1085,731,500,621,567,292,101,4238,25,53,55,42,26,51,18,7,270,368,1144,786,552,663,651,324,119,4609
POA3003,3,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,3,0,9,7,9,11,11,5,0,50,3,17,13,10,11,11,5,0,65,581,1490,642,317,194,98,34,5,3362,47,154,105,43,20,8,7,0,384,633,1655,761,372,223,117,45,5,3812,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,0,0,0,8,656,1493,596,306,198,111,48,11,3419,40,91,17,23,9,15,0,0,196,694,1588,617,329,209,125,47,12,3626,3,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,7,0,9,13,6,17,11,6,0,60,3,17,15,11,17,11,6,0,71,1234,2983,1243,622,395,212,79,14,6782,90,248,128,61,30,21,7,0,579,1325,3248,1377,697,435,245,91,15,7440
POA3004,5,16,5,7,3,0,0,0,29,0,5,0,0,0,0,0,0,11,0,10,11,14,13,32,36,9,128,6,22,13,23,15,32,36,9,170,405,1392,1056,536,445,419,257,55,4563,48,164,85,66,46,39,45,38,533,463,1574,1152,630,507,489,342,109,5262,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,4,5,3,9,0,4,29,8,11,4,7,3,9,0,4,40,417,1607,927,544,510,504,272,86,4869,35,171,74,49,44,36,42,47,500,463,1789,1004,596,562,551,316,136,5408,8,18,5,10,3,0,0,0,42,3,3,0,0,0,0,0,0,12,0,18,11,19,15,36,38,16,156,13,39,17,33,17,36,38,16,210,825,3001,1982,1079,958,923,528,139,9430,82,330,161,114,95,80,90,84,1032,920,3363,2155,1224,1071,1042,659,242,10672
POA3006,0,13,11,11,5,0,0,0,41,0,0,3,5,4,0,0,0,14,5,10,38,24,25,28,19,4,150,8,37,46,37,32,28,19,4,200,1472,4410,2130,817,571,362,155,31,9944,65,304,145,57,45,31,11,4,660,1543,4744,2322,907,646,420,184,34,10802,3,4,8,4,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,3,7,8,0,3,0,20,3,3,9,11,13,0,3,0,41,1675,4423,1780,773,623,421,159,26,9889,94,267,110,56,35,26,18,0,611,1773,4696,1905,841,675,451,176,26,10538,3,20,12,14,9,0,0,0,52,0,6,5,5,4,0,0,0,15,5,15,37,30,34,29,18,4,173,10,39,55,43,44,29,18,4,239,3152,8837,3906,1588,1196,788,317,61,19829,158,565,256,110,81,60,29,4,1270,3321,9434,4225,1748,1322,868,358,65,21338
POA3008,0,8,0,4,0,0,0,0,15,0,4,0,0,0,0,0,0,11,0,14,13,12,31,29,10,5,124,7,28,16,16,39,29,10,5,147,798,2747,1441,657,522,315,90,11,6583,81,309,145,59,50,35,7,0,686,890,3083,1601,733,604,375,107,22,7413,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,3,4,7,5,0,0,25,0,4,3,14,7,5,0,0,32,850,2664,1170,593,528,292,89,21,6204,73,289,114,56,65,30,11,5,637,922,2952,1290,664,600,322,104,26,6874,6,8,3,10,0,0,0,0,20,0,7,0,6,0,0,0,0,13,3,22,13,22,43,26,10,5,146,9,31,23,29,40,26,10,5,175,1650,5412,2616,1253,1045,605,181,30,12791,154,593,257,115,115,65,21,5,1316,1813,6036,2891,1397,1204,695,207,42,14283
POA3011,0,5,0,3,0,0,0,0,8,0,7,3,0,0,0,0,0,11,0,20,40,24,30,21,21,4,167,3,33,45,26,32,21,21,4,183,1096,2838,2017,1201,910,573,262,123,9010,92,234,147,76,75,70,42,14,750,1188,3107,2209,1304,1013,666,319,150,9949,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,10,0,0,0,23,0,5,8,8,10,0,0,0,27,1056,2874,1884,1158,915,543,342,199,8974,64,207,94,67,52,27,42,37,596,1119,3089,1978,1235,977,570,387,239,9593,0,9,3,3,0,0,0,0,15,0,7,6,0,0,0,0,0,10,0,22,46,28,36,21,20,5,188,3,35,53,30,35,21,20,5,214,2147,5712,3895,2354,1826,1115,600,327,17989,157,442,244,146,123,98,81,52,1349,2305,6195,4188,2538,1993,1240,703,390,19546
POA3012,0,3,0,0,0,0,0,0,5,0,8,6,0,0,0,0,0,15,0,17,30,29,37,27,24,12,177,4,29,35,31,40,27,24,12,192,1251,2888,2299,1583,1117,639,324,135,10241,84,234,148,106,74,38,32,26,744,1336,3156,2480,1718,1228,697,379,179,11184,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,5,0,8,6,0,3,32,0,8,10,0,8,6,0,3,38,1213,2720,2350,1652,1176,775,435,221,10543,75,182,121,74,56,40,53,80,680,1285,2908,2479,1729,1241,826,488,300,11256,0,3,0,0,0,0,0,0,11,0,14,5,0,0,0,0,0,13,3,25,34,30,44,32,25,19,207,5,39,45,33,44,32,25,19,232,2460,5608,4652,3242,2298,1412,757,358,20785,161,418,268,177,130,80,84,106,1423,2626,6061,4963,3452,2469,1525,873,479,22444
POA3013,0,4,6,0,0,0,0,0,10,0,3,4,0,0,0,0,0,14,0,12,30,24,32,23,13,15,140,0,21,40,20,31,23,13,15,162,678,1198,1330,1106,704,374,198,88,5679,28,56,46,38,36,16,4,4,234,709,1274,1412,1168,773,416,214,109,6077,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,4,5,11,0,3,0,25,0,4,8,5,8,0,3,0,30,680,1314,1433,1172,806,444,280,174,6302,27,60,51,39,24,7,13,10,234,703,1380,1492,1219,836,450,297,184,6569,0,6,11,0,0,0,0,0,17,0,3,7,0,4,0,0,0,14,0,10,27,32,38,23,14,14,164,3,22,45,32,41,23,14,14,198,1353,2511,2761,2284,1509,817,480,268,11985,52,117,95,79,60,25,19,17,466,1416,2654,2901,2386,1611,870,511,300,12644
POA3015,0,3,0,5,3,0,0,0,20,0,4,8,4,0,0,0,0,21,0,16,24,48,50,34,16,16,203,0,27,34,63,59,34,16,16,245,823,1115,1566,1269,949,501,239,94,6553,32,48,68,49,27,29,18,9,291,864,1188,1670,1377,1035,559,275,120,7091,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,0,0,5,14,17,8,0,0,50,0,3,10,17,21,8,0,0,59,777,1225,1751,1411,970,596,291,172,7197,25,57,50,53,28,16,17,24,275,804,1284,1814,1482,1018,619,309,198,7524,0,8,5,5,3,0,0,0,24,0,5,7,10,0,0,0,0,23,0,21,35,60,69,38,13,16,251,0,28,44,83,77,38,13,16,299,1606,2336,3318,2680,1928,1091,536,263,13751,62,106,117,109,51,49,32,38,566,1672,2472,3486,2860,2053,1180,589,320,14620
