POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3000,61,11,73,1806,526,11,2341,35111,4170,41625
POA3002,116,4,119,376,273,8,660,3673,275,4609
POA3003,16,0,15,762,154,8,923,5908,601,7440
POA3004,150,87,242,1040,371,12,1423,8184,1068,10672
POA3006,62,4,65,1720,498,18,2236,17790,1313,21338
POA3008,42,5,42,1536,315,23,1873,11063,1347,14283
POA3011,311,73,390,2999,593,49,3634,14437,1474,19546
POA3012,373,99,479,4737,737,107,5575,15367,1502,22444
POA3013,274,21,300,3122,406,64,3592,8572,480,12644
POA3015,275,37,320,4190,640,71,4896,9093,637,14620
POA3016,274,27,303,2954,722,45,3717,8988,508,13216
POA3018,360,29,398,2417,598,63,3075,7565,534,11172
POA3019,104,15,116,1295,289,26,1605,5904,659,8171
POA3020,973,84,1058,6078,1501,130,7712,26569,2837,37114
POA3021,806,267,1087,7027,2049,125,9204,32179,4369,45758
POA3022,95,8,107,451,121,10,588,1737,308,2625
POA3023,482,83,575,12070,2422,215,14710,32980,5182,52875
POA3024,137,11,149,7730,1145,150,9026,14339,1460,24825
POA3025,506,45,561,2180,423,46,2648,7027,663,10339
POA3026,18,3,16,1987,251,38,2270,3672,381,6330
POA3027,11,0,12,2162,261,54,2470,4217,468,7150
POA3028,463,29,496,4556,1159,86,5804,16190,1379,23368
POA3029,483,46,541,28015,4029,420,32470,55701,7726,95904
POA3030,959,183,1147,26096,4165,512,30769,54248,5317,90342
POA3031,216,18,241,2490,528,70,3084,11255,876,15209
POA3032,313,41,354,4761,1060,78,5898,18109,1283,25290
POA3033,491,18,514,2573,748,35,3351,8584,496,12435
POA3034,568,31,607,1950,588,31,2567,7381,457,10411
POA3036,199,19,224,961,376,19,1356,3503,172,5023
POA3037,541,30,569,9412,1960,147,11520,27736,1851,41108
POA3038,428,18,449,3635,1729,75,5436,16459,931,22827
POA3039,394,16,415,2434,675,52,3160,10285,527,13976
POA3040,593,53,655,4376,1210,60,5646,16102,883,22629
POA3041,286,16,304,2394,654,39,3082,7315,385,10781
POA3042,445,51,501,2934,770,57,3757,9545,562,13866
POA3043,335,35,381,2757,841,52,3648,10545,724,14920
POA3044,900,77,987,5365,891,92,6354,16211,1034,23595
POA3045,0,0,0,3,0,0,4,4,44,55
POA3046,1033,173,1211,5769,1088,96,6957,21214,2137,30306
POA3047,283,41,327,2822,576,44,3438,11424,1997,16866
POA3048,196,15,213,2264,557,34,2861,10249,1155,14261
POA3049,141,15,159,1434,498,35,1977,5753,435,8156
POA3051,108,13,126,1605,339,29,1973,10045,1203,13220
POA3052,144,12,155,568,180,15,764,5605,437,6810
POA3053,191,18,217,854,326,15,1191,12976,1009,15177
POA3054,126,9,141,1026,386,23,1440,5582,276,7293
POA3055,254,34,289,2095,463,45,2603,9724,537,12865
POA3056,411,26,440,2951,713,62,3726,17817,820,22359
POA3057,159,5,173,1503,395,44,1943,9553,516,12011
POA3058,857,100,963,5909,1025,138,7071,20991,1311,29370
POA3059,116,0,120,3905,919,56,4868,11242,640,16750
POA3060,494,44,534,2329,439,45,2812,7611,830,11247
POA3061,99,11,113,607,143,10,760,2903,329,3988
POA3062,0,0,0,0,0,0,0,4,0,6
POA3063,9,3,7,76,25,3,105,333,41,475
POA3064,441,83,539,22822,3380,406,26608,53101,5167,84878
POA3065,112,12,135,923,300,23,1244,7334,787,9362
POA3066,62,0,67,749,208,14,976,6741,569,8284
POA3067,98,3,97,921,282,10,1210,6649,498,8362
POA3068,350,31,385,2835,776,72,3675,12383,706,16765
POA3070,482,32,528,4191,825,91,5106,15582,806,21495
POA3071,358,132,495,3154,638,67,3860,11602,735,16200
POA3072,652,88,740,5420,1100,102,6620,20785,1318,28727
POA3073,1440,303,1753,7860,1651,132,9646,30609,2891,43146
POA3074,508,31,543,2647,905,56,3595,12550,937,17085
POA3075,600,32,630,3430,848,50,4333,13415,1215,18957
POA3076,282,289,567,5895,1242,111,7246,17225,2052,26518
POA3078,206,4,215,2059,473,42,2571,7346,438,10361
POA3079,427,32,464,2847,863,63,3771,10182,497,14453
POA3081,227,17,245,2139,449,56,2642,8232,767,11649
POA3082,392,19,417,4249,1495,81,5831,17439,1006,24271
POA3083,728,76,812,4560,1293,66,5920,19690,1430,27049
POA3084,865,80,952,5091,1271,87,6448,14912,746,22108
POA3085,431,17,453,2727,629,49,3403,7728,338,11466
POA3087,190,7,201,1696,415,44,2156,5066,240,7464
POA3088,586,78,670,5255,1561,108,6922,14520,690,22134
POA3089,122,8,125,2445,730,79,3257,6571,248,10080
POA3090,101,0,107,437,151,8,590,1485,72,2147
POA3091,15,4,21,217,113,3,340,968,59,1367
POA3093,143,8,150,671,290,6,966,2221,120,3308
POA3094,138,5,148,1874,599,57,2527,4663,205,7393
POA3095,310,48,366,5495,1956,134,7584,14754,655,22999
POA3096,58,0,57,315,129,6,452,1104,33,1589
POA3097,13,0,13,249,128,18,395,808,75,1276
POA3099,46,6,46,909,340,37,1284,2631,147,4066
POA3101,683,98,786,4080,1261,62,5401,14543,852,20798
POA3102,156,8,163,1247,293,26,1564,3694,173,5431
POA3103,570,46,624,2707,797,27,3535,9160,441,13134
POA3104,578,39,622,4001,949,57,5005,11985,514,17505
POA3105,478,25,512,1742,542,28,2307,6930,277,9518
POA3106,598,90,696,2733,1036,46,3818,9955,569,14347
POA3107,557,46,613,2503,666,49,3222,8172,401,11794
POA3108,911,84,993,3882,1119,44,5037,15606,914,21558
POA3109,926,52,989,5853,1477,75,7405,17096,842,25340
POA3111,529,51,584,2128,640,54,2818,7377,369,10563
POA3113,77,9,79,1646,552,46,2249,4534,215,6992
POA3114,57,4,62,639,297,19,953,2121,89,3164
POA3115,37,4,43,645,299,20,962,2155,96,3213
POA3116,156,8,165,2220,746,65,3033,6099,347,9474
POA3121,376,29,411,3339,892,73,4298,22692,1521,28515
POA3122,378,23,409,3047,901,44,3994,14693,889,19579
POA3123,289,19,319,2383,631,43,3056,9114,461,12628
POA3124,901,99,1008,3691,1101,63,4848,12992,654,18498
POA3125,505,34,545,2124,469,34,2627,9721,782,13128
POA3126,303,21,323,1334,493,19,1844,4478,211,6539
POA3127,433,54,494,3272,975,62,4311,10794,524,15630
POA3128,556,119,673,3232,625,35,3900,14724,1397,20017
POA3129,410,22,435,3289,701,61,4050,10304,528,14882
POA3130,1123,116,1241,6122,1379,106,7612,18801,927,27336
POA3131,783,108,895,4220,918,81,5216,13096,949,19262
POA3132,302,27,326,3286,724,63,4075,9349,393,13818
POA3133,567,178,758,4188,1203,68,5460,12693,767,18925
POA3134,728,125,863,6289,1814,166,8267,19126,1127,28513
POA3135,409,61,476,4070,1040,84,5201,10874,635,16708
POA3136,1032,178,1221,8392,2618,229,11241,25097,1477,37816
POA3137,326,16,346,2543,809,88,3440,8117,365,11925
POA3138,312,31,346,4268,1336,177,5779,12048,654,18489
POA3139,143,18,158,2642,908,108,3657,7336,492,11485
POA3140,387,31,425,2921,1003,100,4028,9800,543,14376
POA3141,330,24,360,1962,758,37,2751,18892,1625,23266
POA3142,433,69,514,1496,770,29,2294,8405,728,11428
POA3143,181,28,218,1306,423,21,1758,6066,364,8187
POA3144,376,36,419,1727,592,35,2347,6435,362,9147
POA3145,589,84,680,3976,916,63,4955,14140,781,19880
POA3146,512,38,548,4824,1209,96,6125,14807,682,21616
POA3147,441,48,489,2907,523,54,3484,8353,489,12322
